age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.0,0.1162,3.5119,-0.6303,0.2161,9.1064,8.4292,6.3116,5.51,5.2275,17.1337,12.6394,33.0,22.007
5.0,0.1393,3.5209,-0.4809,-0.3737,8.6153,7.929,5.9256,5.1625,4.8471,16.6854,12.1946,33.0,21.724
5.0,0.1697,3.5317,-0.3195,-0.479,8.0924,7.3971,5.5174,4.7943,4.4356,16.1944,11.721,33.0,33.0
5.0,0.2052,3.5437,-0.178,-0.6342,7.6058,6.9044,5.16,4.4798,4.0793,15.7233,11.27,33.0,33.0
5.0,0.2407,3.5552,-0.059,-0.728,7.1639,6.4638,4.8545,4.2165,3.7868,15.2864,10.8367,31.044,17.551
5.0,0.2915,3.5716,0.0892,-0.8906,6.5674,5.8827,4.4629,3.8873,3.44,14.661,10.1809,30.838,17.345
5.0,0.3281,3.5819,0.1758,-1.0154,6.2025,5.5365,4.2268,3.6914,3.2509,14.2335,9.7187,30.174,15.912
5.0,0.3838,3.5969,0.303,-1.0326,5.6679,5.0398,3.8748,3.3973,2.9863,13.46,8.9711,30.006,15.744
5.0,0.4546,3.6152,0.4351,-1.0902,5.0803,4.51,3.4989,3.0894,2.7356,12.1571,8.0544,29.401,14.483
5.0,0.5498,3.6363,0.5848,-1.055,4.4416,3.9368,3.0786,2.7427,2.4647,10.4436,7.0594,25.766,12.615
5.0,0.7577,3.6606,0.8178,-1.2177,3.6136,3.171,2.4611,2.2043,2.0101,8.6158,5.9207,22.526,10.662
5.0,0.9344,3.673,0.9624,-1.2302,3.1479,2.734,2.0884,1.87,1.7165,7.775,5.3138,21.369,9.797
5.0,1.5499,3.6957,1.2977,-1.2339,2.1473,1.7848,1.2431,1.0907,1.0068,6.2228,4.0791,18.766,8.035
5.0,4.1461,3.7248,1.976,-1.8358,0.2828,-0.0146,-0.4369,-0.5138,-0.5169,3.8419,1.9901,14.91,5.39
5.0,5.6124,3.764,2.5896,-2.5619,-1.4409,-1.6505,-1.9149,-1.9016,-1.8002,1.6877,0.1395,10.645,2.863
5.0,5.9076,3.8014,2.7016,-3.2106,-1.8625,-1.9978,-2.112,-2.0237,-1.828,0.9361,-0.3069,7.706,1.812
5.0,6.1185,3.8352,2.786,-3.3384,-2.1842,-2.2578,-2.2325,-2.0822,-1.8005,0.4129,-0.5854,5.639,1.152
5.0,6.3202,3.868,2.8708,-3.4013,-2.4833,-2.4967,-2.3357,-2.1338,-1.7734,-0.0094,-0.8195,3.849,0.592
5.0,6.5035,3.8998,2.9533,-3.4624,-2.7389,-2.6946,-2.4146,-2.169,-1.745,-0.3989,-1.0614,2.014,0.008
5.0,6.6783,3.9313,3.0352,-3.5091,-2.9214,-2.8426,-2.4762,-2.1912,-1.722,-0.8055,-1.3339,0.481,-0.571
5.0,6.8458,3.9625,3.1153,-3.5553,-3.0385,-2.9384,-2.5178,-2.1966,-1.7012,-1.1997,-1.6117,-0.476,-1.074
5.0,7.0045,3.9934,3.1922,-3.593,-3.1148,-3.0013,-2.5453,-2.1895,-1.6778,-1.568,-1.8858,-1.058,-1.487
5.0,7.1616,4.0245,3.2665,-3.6197,-3.1647,-3.0419,-2.5594,-2.1715,-1.6487,-1.8935,-2.142,-1.506,-1.85
5.0,7.3173,4.0557,3.3372,-3.6416,-3.193,-3.0623,-2.5568,-2.1401,-1.6085,-2.168,-2.3608,-1.871,-2.149
5.0,7.4746,4.0872,3.4043,-3.6548,-3.2021,-3.0637,-2.5364,-2.0938,-1.5543,-2.3964,-2.5363,-2.178,-2.394
5.0,7.6366,4.119,3.467,-3.6621,-3.1909,-3.0447,-2.4958,-2.03,-1.4828,-2.5825,-2.6681,-2.446,-2.601
5.0,7.8048,4.1512,3.5261,-3.6647,-3.1637,-3.0097,-2.4389,-1.9517,-1.3969,-2.7327,-2.7643,-2.676,-2.771
5.0,7.9821,4.1838,3.5818,-3.6624,-3.1231,-2.961,-2.3679,-1.8608,-1.2981,-2.8509,-2.8312,-2.871,-2.908
5.0,8.1711,4.2167,3.6342,-3.6563,-3.0684,-2.8979,-2.2816,-1.7555,-1.1847,-2.9413,-2.8725,-3.039,-3.019
