# Imag Gmag-Imag
# F814W F475W-F814W
# Vega apparent mags
# Bulge region extracted by Charlie
24.93874 1.80332
24.83787 1.81327
24.75148 1.78215
25.02399 1.63783
25.18851 1.70968
25.26015 1.67244
25.29028 1.66284
25.30663 1.68269
25.27212 1.74213
25.03134 1.93242
24.81938 1.85060
24.22599 1.97589
24.14269 1.97531
24.73884 1.80834
24.90973 1.76848
25.19060 1.59883
25.33973 1.59471
25.21835 1.56358
25.27690 1.59648
25.22735 1.73729
25.19600 1.70771
25.30925 1.63829
25.37008 1.61771
25.45210 1.58347
25.38049 1.61421
25.27499 1.61709
25.22467 1.65774
25.22054 1.76403
25.18435 1.83431
25.11095 1.84631
25.07215 1.75494
25.07287 1.73965
24.96891 1.86143
24.41672 2.19917
23.94824 2.38511
23.29572 2.94463
23.01747 3.36629
23.93776 2.77060
24.71879 2.24696
24.94598 2.04471
25.15654 1.80813
25.26040 1.74219
25.36876 1.72142
25.42616 1.73143
25.40245 1.76716
25.28645 1.75435
25.17081 1.74012
25.10175 1.76868
24.89683 1.77192
24.58442 1.86867
24.59676 1.90570
24.89958 1.87173
25.19922 1.72404
25.24400 1.65607
25.29773 1.58599
25.45804 1.53001
25.50029 1.60019
25.43544 1.63122
25.36242 1.68142
25.22563 1.69303
25.13501 1.69909
25.20211 1.65985
25.25751 1.72936
25.25001 1.74000
25.26014 1.70394
25.28464 1.75040
25.10846 1.82044
25.08157 1.80408
25.08345 1.79776
25.25215 1.69534
25.19841 1.65853
25.18592 1.68261
25.21383 1.74180
25.05365 1.77266
24.59423 1.87045
24.25123 1.90276
24.61581 1.78802
24.91327 1.80387
25.03089 1.75671
24.90351 1.91215
24.91816 1.95827
25.27005 1.72700
25.34307 1.64583
25.21591 1.65553
25.06279 1.67266
25.11756 1.59170
25.06910 1.71093
24.97358 1.80779
24.87255 1.91887
24.92108 1.94015
25.12229 1.93661
25.18767 1.85396
25.16833 1.71064
25.11980 1.63099
25.06537 1.62715
25.20842 1.64079
25.28951 1.74699
25.43441 1.70885
25.48617 1.69619
25.52294 1.68508
25.49598 1.62092
25.37909 1.61751
25.34124 1.63009
25.28245 1.72424
25.13291 1.76940
