# Vega Mags
# Elliptical M49 region extracted from isophotes (1,28]
# Semi-Minor Axes (pix): (0.0, 62.1]
# Num Pixels: 9478
# Neff ~ 414^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
21.600553 2.195998
21.593299 2.210691
21.588563 2.210207
21.583133 2.205203
21.587230 2.205160
21.582295 2.191086
21.572356 2.199168
21.575953 2.217541
21.581649 2.213710
21.592249 2.205556
21.582424 2.199828
21.579571 2.212182
21.576714 2.216495
21.584866 2.208720
21.585915 2.202889
21.572516 2.198271
21.584879 2.214203
21.593993 2.226203
21.590293 2.214554
21.584442 2.201202
21.584607 2.215675
21.589923 2.200903
21.571657 2.220389
21.569473 2.232645
21.569482 2.217483
21.575944 2.202787
21.579506 2.196440
21.576293 2.198281
21.565270 2.215815
21.562789 2.212290
21.572308 2.195255
21.558071 2.219394
21.556113 2.231908
21.565695 2.200889
21.575986 2.217052
21.570977 2.210022
21.574392 2.182336
21.581631 2.200428
21.574204 2.211713
21.565031 2.218806
21.569013 2.214313
21.567644 2.208993
21.573638 2.226506
21.605832 2.197274
21.583219 2.228806
21.595758 2.200490
21.590258 2.196447
21.587647 2.207672
21.580961 2.217142
21.575299 2.220118
21.570749 2.206528
21.568488 2.204146
21.569651 2.204840
21.555656 2.222265
21.559028 2.201008
21.557511 2.200954
21.568378 2.207464
21.566558 2.203187
21.557126 2.210608
21.549497 2.208623
21.544812 2.208004
21.549464 2.209929
21.545906 2.217217
21.548670 2.207425
21.560361 2.199896
21.558810 2.207689
21.566419 2.183707
21.556198 2.217583
21.563119 2.226789
21.567598 2.207508
21.556301 2.208383
21.571460 2.199979
21.567691 2.209180
21.572344 2.221932
21.582805 2.209062
21.597684 2.182597
21.588436 2.210389
21.583308 2.202864
21.580391 2.203188
21.571310 2.213174
21.570306 2.221708
21.576286 2.211565
21.579865 2.195055
21.569939 2.206265
21.555895 2.221878
21.559332 2.202622
21.564096 2.211664
21.561099 2.220733
21.537284 2.226367
21.541642 2.206535
21.536895 2.205556
21.541906 2.206645
21.541066 2.214827
21.539419 2.218098
21.534180 2.217223
21.534689 2.213074
21.536982 2.214927
21.542711 2.204685
21.528315 2.212265
21.536541 2.191548
21.539738 2.208762
21.545608 2.211150
21.539572 2.223311
21.544154 2.223189
21.545332 2.227430
21.547147 2.226254
21.568071 2.208084
21.570035 2.194781
21.567630 2.212897
21.569058 2.217703
21.571834 2.206472
21.584180 2.193421
21.587665 2.206398
21.584079 2.211130
21.583687 2.217321
21.577531 2.210042
21.576871 2.198211
21.564733 2.208795
21.571453 2.207295
21.571466 2.185177
21.560281 2.207618
21.557115 2.212359
21.558370 2.198165
21.540117 2.210929
21.538865 2.198900
21.538649 2.200606
21.531186 2.216209
21.531471 2.226668
21.519083 2.237040
21.523315 2.230800
21.518963 2.207804
21.527839 2.230910
21.537708 2.202497
21.524930 2.234916
21.516359 2.233372
21.526135 2.218501
21.524031 2.213684
21.527706 2.210121
21.518041 2.214486
21.508453 2.221440
21.518882 2.215229
21.541647 2.201908
21.554134 2.204239
21.528354 2.214352
21.542459 2.215119
21.543423 2.212442
21.541738 2.215486
21.542708 2.215736
21.550076 2.213215
21.560820 2.199686
21.569447 2.190067
21.573027 2.189122
21.572442 2.206351
21.569864 2.209379
21.570550 2.208565
21.583497 2.200743
21.584242 2.212886
21.592266 2.207016
21.581777 2.209385
21.557284 2.219081
21.553645 2.201159
21.561024 2.203848
21.566995 2.194590
21.557549 2.204691
21.549688 2.212748
21.545089 2.219486
21.543245 2.207448
