# Vega Mags
# Elliptical M49 region extracted from isophotes (40,43]
# Semi-Minor Axes (pix): (194.9, 259.4]
# Num Pixels: 63771
# Neff ~ 436^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.091010 2.141522
23.070920 2.161757
23.091204 2.125637
23.071980 2.146267
23.083563 2.131518
23.100551 2.156863
23.070748 2.159984
23.084768 2.162890
23.076172 2.154138
23.083922 2.155177
23.092998 2.115761
23.067874 2.119899
23.072719 2.144491
23.063251 2.216657
23.069816 2.145588
23.080684 2.163726
23.079234 2.151162
23.072548 2.129919
23.062636 2.151614
23.082656 2.150232
23.061207 2.150823
23.051303 2.170225
23.063373 2.174109
23.080927 2.147139
23.094217 2.121630
23.088051 2.151523
23.078690 2.157648
23.065662 2.146401
23.056823 2.147856
23.065658 2.164541
23.067391 2.160371
23.085943 2.156748
23.079145 2.168667
23.050159 2.212061
23.047103 2.192724
23.058340 2.180019
23.077714 2.150767
23.065199 2.169718
23.063001 2.176143
23.054777 2.199357
23.041695 2.199450
23.044271 2.172920
23.061597 2.202111
23.047754 2.180754
23.093924 2.136766
23.057758 2.164716
23.067343 2.115254
23.099904 2.172625
23.067029 2.162577
23.068293 2.150440
23.091045 2.152455
23.079398 2.163104
23.101574 2.128669
23.099176 2.178663
23.078938 2.170283
23.093493 2.182690
23.106523 2.144903
23.103308 2.146617
23.079748 2.153254
23.061346 2.152061
23.061754 2.158386
23.045574 2.224143
23.040798 2.188993
23.065901 2.158729
23.071663 2.143232
23.073302 2.175075
23.051009 2.203019
23.081664 2.145320
23.067406 2.187586
23.065784 2.170865
23.073736 2.144688
23.090258 2.149294
23.107150 2.093327
23.089522 2.116311
23.058830 2.173640
23.055013 2.139627
23.082722 2.094636
23.078054 2.116486
23.067128 2.146453
23.057916 2.196369
23.064412 2.162878
23.051388 2.174610
23.036954 2.188779
23.045523 2.165535
23.069140 2.129838
23.060621 2.146817
23.067967 2.132056
23.058878 2.196291
23.049767 2.193865
23.016791 2.195695
23.046393 2.184706
23.066369 2.185691
23.069376 2.177403
23.062047 2.168596
23.088452 2.119635
23.120964 2.111845
23.092977 2.121603
23.095792 2.133329
23.053808 2.163226
23.068345 2.125294
23.082918 2.152261
