# Vega Mags
# Elliptical M49 region extracted from isophotes (43.00,45.00]
# Num Pixels: 63962
# Neff ~ 253^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
23.330405 2.124141
23.338277 2.126535
23.357591 2.107012
23.386164 2.067192
23.328226 2.109294
23.306165 2.140252
23.310947 2.155709
23.309034 2.140987
23.299379 2.176812
23.300072 2.182463
23.329368 2.130504
23.341344 2.108328
23.339412 2.132675
23.326082 2.220427
23.303332 2.179760
23.325714 2.168246
23.322837 2.163039
23.343925 2.117692
23.332334 2.128870
23.317373 2.129376
23.298621 2.128222
23.324808 2.112749
23.327415 2.130361
23.352775 2.103535
23.340772 2.124534
23.303094 2.159548
23.362428 2.071961
23.360887 2.123780
23.363112 2.082944
23.345470 2.071631
23.332114 2.109282
23.337403 2.106427
23.333663 2.114948
23.351491 2.086418
23.359993 2.106338
23.316199 2.130580
23.282866 2.107551
23.240223 2.077081
23.157266 2.111896
23.164778 2.125318
23.229566 2.132865
23.293377 2.123483
23.329448 2.157255
23.339214 2.132258
23.345876 2.138757
23.353759 2.116775
23.338299 2.111219
23.359745 2.082332
23.326382 2.137599
23.310931 2.122101
23.293608 2.099047
23.320755 2.153065
23.325779 2.141708
23.349245 2.082852
23.336274 2.119543
23.320419 2.127606
23.302825 2.156340
23.317272 2.153194
23.315903 2.154237
23.341231 2.124186
23.313897 2.128819
23.294721 2.161021
23.291866 2.154660
23.286722 2.174394
23.322447 2.165836
23.340474 2.159785
23.332575 2.141484
23.306383 2.154116
23.330906 2.115145
23.338975 2.096868
23.337743 2.064710
23.338567 2.091726
23.315826 2.142908
23.313978 2.118850
23.339469 2.109074
23.332864 2.137241
23.333891 2.121295
23.342624 2.125846
23.338316 2.114532
23.320820 2.111521
23.316961 2.099104
23.310198 2.139470
23.323319 2.132750
23.326339 2.119939
23.315958 2.151061
23.318452 2.144434
23.332413 2.128741
23.329747 2.123671
23.358981 2.114524
23.358002 2.104691
23.296654 2.120392
23.341415 2.148156
23.336657 2.139297
23.316843 2.086302
23.290864 2.167038
23.295164 2.114193
23.252812 2.141603
23.182279 2.078506
23.026571 2.040181
22.991897 2.056206
23.163558 2.079542
23.264361 2.116065
23.316596 2.134859
23.325677 2.126596
23.373257 2.087030
23.331074 2.108757
23.331889 2.156428
23.351065 2.144248
23.336697 2.118014
23.331477 2.120093
23.329743 2.104647
23.337896 2.126711
23.311505 2.156921
23.329788 2.117029
23.301020 2.143465
23.278940 2.176181
23.310670 2.128512
23.307434 2.139780
23.328754 2.188026
23.316324 2.149075
23.327956 2.131754
23.319592 2.127507
23.295116 2.153891
23.281275 2.202106
23.324922 2.148007
23.324230 2.127978
23.314945 2.122679
23.290797 2.136956
23.342810 2.079255
23.336022 2.082006
23.343394 2.053762
23.320352 2.095416
23.319580 2.141752
23.323906 2.169263
23.327444 2.131175
23.332540 2.121037
23.319345 2.127788
23.322946 2.101426
23.324576 2.123608
23.300812 2.112098
23.330730 2.082711
23.349033 2.063638
23.335597 2.114744
23.332542 2.138882
23.326719 2.152877
23.324623 2.127698
23.337698 2.097393
23.316539 2.136380
23.325533 2.153646
23.314917 2.168691
23.323439 2.146477
23.288164 2.188165
23.322668 2.125934
23.353646 2.107987
23.368555 2.119913
23.356340 2.105819
23.316417 2.156108
23.304285 2.160416
23.312022 2.164056
23.331822 2.165847
23.313334 2.157603
23.348480 2.108334
23.327034 2.154273
23.302304 2.141976
23.315482 2.130196
23.320573 2.132128
23.308818 2.123938
23.302553 2.113038
23.290812 2.111581
23.263730 2.090422
23.198420 2.068054
23.013807 2.023882
23.041507 2.049891
23.175831 2.120468
23.245686 2.082794
23.271900 2.127100
23.288827 2.154154
23.293827 2.156360
23.293693 2.166208
23.302552 2.167573
23.298873 2.175008
23.328545 2.121773
23.326108 2.142394
23.329559 2.118885
23.346408 2.141232
23.334486 2.120674
23.316456 2.132183
23.311452 2.143182
23.297751 2.152617
23.304500 2.136132
23.323820 2.109128
23.343247 2.129057
23.313339 2.127473
23.303757 2.154615
23.312794 2.135946
23.317907 2.110040
23.302733 2.129280
23.322380 2.102925
23.336442 2.104516
23.325744 2.123200
23.301153 2.135888
23.306348 2.138657
23.323878 2.108003
23.334383 2.063714
23.296506 2.123020
23.316811 2.106969
23.316286 2.124932
23.356434 2.101318
23.350962 2.100618
23.331225 2.148491
23.315449 2.105220
23.313260 2.115993
23.299678 2.129666
23.317186 2.119205
23.306939 2.141079
23.320222 2.132103
23.355299 2.138886
23.317172 2.189276
23.335144 2.135967
23.323424 2.125522
23.329073 2.140118
