# Vega Mags
# arm2 region extracted from square X=[4872,5128), Y=[7072, 7328) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
26.380791 0.851086 0.602707
26.401896 0.824961 0.526976
26.422552 0.769571 0.442303
26.482899 0.820739 0.185856
26.516036 0.821416 0.206000
26.576060 0.806652 0.315976
26.456809 0.888083 0.484593
26.365151 0.907704 0.467724
25.961539 1.069927 0.538416
25.912822 0.978730 0.475210
26.179083 0.710257 0.492024
26.141462 0.943122 0.182631
26.235692 0.960778 0.181290
26.306080 0.972963 0.312884
26.327733 0.860371 0.443091
26.337081 0.815472 0.472925
26.432612 0.897864 0.318228
26.397258 0.847658 0.358465
26.410604 0.740203 0.450440
26.609519 0.658385 0.557706
26.544250 0.824578 0.381789
26.455441 0.717395 0.545403
25.963789 0.974690 0.450791
25.682821 1.229610 0.472529
26.112926 1.030416 0.473878
26.383327 0.796189 0.413442
26.400540 0.618261 0.499627
26.391882 0.635426 0.241999
26.443083 0.692274 0.297467
26.315622 0.735043 0.524491
26.352404 0.735318 0.418270
26.448346 0.653233 0.418637
26.391126 0.719463 0.345534
26.293737 0.692816 0.392798
26.061654 0.567286 0.428135
25.688564 0.309079 0.560120
25.492346 0.201929 0.499840
25.720524 0.319673 0.325199
25.982030 0.473033 0.321661
26.143832 0.654936 0.295045
26.182252 0.750553 0.390685
26.294771 0.772637 0.369342
26.358188 0.942353 0.309537
26.450831 0.992523 0.320316
26.419593 1.004658 0.398322
26.420668 0.930415 0.430128
26.435498 1.010860 0.335045
26.489035 0.875452 0.401085
26.366334 0.730994 0.574308
26.337190 0.753010 0.379860
26.344352 0.749323 0.301426
26.266957 0.591006 0.519248
26.375147 0.635627 0.328455
26.417065 0.670568 0.416618
26.421496 0.715205 0.411455
26.347369 0.573598 0.346067
26.332135 0.591311 0.291748
26.259526 0.731768 0.419169
26.230265 0.821593 0.420828
26.243298 0.833015 0.456025
26.410370 0.736952 0.446460
26.481623 0.742736 0.432923
26.376269 0.925997 0.451424
26.359860 0.852420 0.417000
26.389443 0.781905 0.509836
26.360245 0.879266 0.484819
26.336242 0.630866 0.652091
26.360889 0.510244 0.518129
26.427013 0.543420 0.445728
26.487647 0.682507 0.392664
26.343545 0.691024 0.407127
26.371400 0.696904 0.449221
26.289587 0.628716 0.789227
26.241285 0.842616 0.594563
26.299757 0.744035 0.601464
26.071875 0.891455 0.533783
25.875589 1.037931 0.487330
26.078773 1.055949 0.434804
26.369123 1.001124 0.324716
26.570675 0.795281 0.380314
26.629072 0.741232 0.391228
26.611693 0.726426 0.535377
26.648677 0.727306 0.477372
26.451117 0.900035 0.500117
26.428139 0.886318 0.439510
26.459157 0.821294 0.518183
26.334771 0.890878 0.640866
26.430104 0.739844 0.536735
26.563464 0.685897 0.419478
26.359548 0.681674 0.654212
26.019010 0.807170 0.673414
26.089982 0.919971 0.509696
26.442878 0.807023 0.470684
26.407596 0.966987 0.442579
26.366178 0.973489 0.325618
26.554060 0.873103 0.484429
26.476414 0.912171 0.461311
26.418285 1.008850 0.439341
26.465765 0.933251 0.453033
26.515636 0.974504 0.370069
26.580692 0.918528 0.383587
26.553600 0.846154 0.439677
26.517740 0.713198 0.516264
26.394751 0.841330 0.484550
26.266395 0.959214 0.497179
26.335312 0.968268 0.499321
26.467197 0.889114 0.561528
26.527238 0.937903 0.440301
26.343994 1.003778 0.492670
26.389427 0.920381 0.442212
26.500845 1.017309 0.357262
26.470400 0.813199 0.525876
26.508658 0.710076 0.513722
26.515785 0.765401 0.494301
26.502211 0.883067 0.395757
26.407934 0.985935 0.379808
26.377404 1.066266 0.333624
26.445258 0.867320 0.552386
26.515989 0.684263 0.647753
26.441082 0.590753 0.597338
26.123404 0.363129 0.597979
25.981496 0.686019 0.246246
25.701446 1.116124 0.415192
25.936571 1.123667 0.477928
26.323178 0.942771 0.437263
26.412690 0.882654 0.490230
26.491154 0.708460 0.495286
26.545718 0.552803 0.511227
26.407190 0.601730 0.533283
26.323182 0.669785 0.549240
26.430091 0.799625 0.385892
26.417056 0.820148 0.482487
26.439903 0.673265 0.533875
26.133358 0.711527 0.708083
26.074217 0.968090 0.498105
26.314960 0.896941 0.508411
26.426966 0.893709 0.392576
26.428818 0.788508 0.375361
26.373526 0.835472 0.458100
26.433482 0.855430 0.392121
26.465254 0.862208 0.455722
26.405604 0.956767 0.443464
26.502054 0.813691 0.399119
26.444650 0.708825 0.513323
26.456375 0.614900 0.421563
26.463815 0.735811 0.231418
26.479799 0.800804 0.282185
26.502834 0.837526 0.283888
26.546781 0.797709 0.279994
26.570494 0.812446 0.323942
26.535678 0.768275 0.289070
26.582426 0.725818 0.377633
26.618153 0.709044 0.394397
26.536047 0.722224 0.489870
26.534906 0.720474 0.456764
26.419207 0.859707 0.330511
26.451879 0.868399 0.355808
26.602847 0.777744 0.420508
26.661142 0.773679 0.385206
26.597828 0.841045 0.350981
26.497359 0.772320 0.518818
26.436993 0.915348 0.364392
26.554862 0.706116 0.518905
26.584563 0.559193 0.687055
26.508652 0.664325 0.614602
26.293355 0.836912 0.508425
25.903888 0.996732 0.444130
26.064713 1.025070 0.300299
26.181866 1.034379 0.341987
26.042820 1.239622 0.399540
26.065279 1.097324 0.582593
26.076333 1.051935 0.526067
26.255223 0.859149 0.699895
26.487234 0.678871 0.475654
26.525196 0.822741 0.471095
26.484100 0.929609 0.420308
26.543352 0.837000 0.525532
26.541514 0.805459 0.509992
26.337625 0.845930 0.597325
26.067705 1.045922 0.517881
26.260473 0.955143 0.389216
26.459351 0.857257 0.396130
26.616818 0.728901 0.495948
26.460265 0.969149 0.414950
26.169152 1.016109 0.618661
25.892509 1.215032 0.652370
25.982826 1.126221 0.589437
26.246788 0.958114 0.557439
26.393841 0.939649 0.427253
26.435685 0.787583 0.406238
26.484623 0.872960 0.298864
26.588307 0.779171 0.292759
26.654868 0.756051 0.243445
26.625920 0.860215 0.442876
26.677309 0.748960 0.379037
26.696447 0.696915 0.342435
26.517215 0.690529 0.556763
26.386247 0.832175 0.537523
26.238893 0.895213 0.526202
26.228350 1.046101 0.389175
26.324900 0.851073 0.529105
26.258790 0.849714 0.501589
26.076587 0.936322 0.572341
26.127290 0.940557 0.568176
26.133794 1.119809 0.457816
25.717166 1.192732 0.776481
25.344691 1.277874 0.960235
25.797935 1.160079 0.592073
26.085178 1.027806 0.424011
26.233205 0.909838 0.319294
26.398441 0.852110 0.385896
26.228827 1.020770 0.502096
25.857883 1.243432 0.558945
25.977568 1.167577 0.418279
26.256809 0.824117 0.636632
26.242473 0.816454 0.536672
26.173752 0.986230 0.509517
26.363570 0.825962 0.509354
26.288110 0.900526 0.482133
26.295613 0.863691 0.440586
26.179061 0.958554 0.373441
26.208671 0.944293 0.494096
26.277926 0.891773 0.532761
26.471283 0.753952 0.488344
26.523016 0.757712 0.541424
26.524350 0.827124 0.389476
26.561614 0.741749 0.492280
26.326308 0.935294 0.611270
26.105673 1.177465 0.482143
26.215783 1.123288 0.346465
26.411735 0.843718 0.442979
26.325153 0.814108 0.386164
26.241336 0.945905 0.340033
26.388365 0.822967 0.431137
26.343223 0.999527 0.407112
26.467622 0.745946 0.501689
26.442753 0.890916 0.408516
26.516169 0.941176 0.381410
26.421172 0.812158 0.619496
26.388113 0.700368 0.661434
26.396230 0.634829 0.460508
26.312370 0.755206 0.434349
26.301584 0.781957 0.414569
26.293504 0.804860 0.267643
26.117756 0.762644 0.460083
25.949315 0.740674 0.517617
26.136173 0.740780 0.417669
26.274501 0.691828 0.433343
26.264956 0.726550 0.312500
26.100864 0.659009 0.257229
25.630922 -0.115743 0.624933
25.005399 -0.062051 0.477857
25.498104 0.205543 0.114919
26.058943 0.453457 0.221038
26.297863 0.651966 0.256188
26.416906 0.681266 0.246156
26.306548 0.976369 0.521662
26.449204 0.952827 0.409860
26.383310 0.881521 0.435493
26.345859 0.779939 0.433598
26.439136 0.765911 0.308739
26.549992 0.807114 0.259123
26.472158 0.909549 0.378251
26.215027 0.874371 0.545717
25.659256 1.206686 0.453153
25.627432 1.198288 0.430932
26.103286 0.724349 0.420998
26.134897 0.871635 0.414673
26.323306 0.730918 0.451266
26.341136 0.759090 0.282113
26.349196 0.768434 0.426943
26.347830 0.766920 0.441428
26.383829 0.703271 0.429687
26.436840 0.654713 0.320782
26.511545 0.639585 0.387504
26.624760 0.557436 0.495141
26.613695 0.727387 0.509991
26.463101 0.783268 0.492617
26.063394 0.842315 0.466380
25.901847 1.012673 0.514678
26.326643 0.817045 0.494683
26.428155 0.792944 0.362014
26.450518 0.677515 0.383978
26.342847 0.720406 0.455035
26.298681 0.940357 0.303911
26.172357 1.019428 0.354835
26.250922 0.830679 0.463807
26.388341 0.711331 0.440037
26.343702 0.814142 0.523487
26.404706 0.726806 0.554075
26.209619 0.674009 0.482860
25.960965 0.590011 0.607266
26.084521 0.415562 0.645544
26.196197 0.578002 0.455180
26.281452 0.636179 0.444179
26.276932 0.746071 0.441247
26.318535 0.725441 0.499276
26.290657 0.726391 0.461311
26.153435 1.046254 0.376647
26.199058 1.113016 0.409923
26.100649 1.140180 0.501791
26.049520 1.256517 0.359983
26.201741 1.012261 0.442391
26.301331 0.867567 0.630808
26.310217 0.838307 0.504895
26.435415 0.718167 0.446996
26.466986 0.693648 0.430629
26.367855 0.721501 0.340057
26.458493 0.727095 0.219461
26.480442 0.830482 0.273764
26.546729 0.626330 0.444645
26.431324 0.561206 0.533939
26.386723 0.710774 0.429588
26.308421 0.788029 0.479865
26.296092 0.856008 0.462301
26.329035 0.888923 0.476606
26.352489 0.835141 0.430575
26.501862 0.641486 0.431046
26.516761 0.598457 0.535939
26.482532 0.639695 0.380341
26.496960 0.769245 0.334010
26.429380 0.711792 0.536851
26.224576 0.841561 0.602502
26.485834 0.638502 0.527696
26.474079 0.803235 0.506808
26.560385 0.673269 0.490002
26.399246 0.716910 0.481309
26.405799 0.787735 0.494061
26.431171 0.783605 0.427105
26.480178 0.787424 0.483464
26.424196 0.756824 0.577628
26.258999 0.824537 0.466266
26.265118 0.795613 0.546671
26.179543 1.054378 0.381266
26.445053 0.894150 0.335997
26.517382 0.810121 0.437551
26.610357 0.727133 0.472030
26.602506 0.797048 0.497039
26.511528 0.756860 0.551098
26.384293 0.833222 0.597083
26.365973 0.999996 0.479540
26.416965 0.928434 0.557162
26.390064 0.849151 0.587972
26.412559 0.874434 0.431338
26.452567 0.696475 0.508958
26.383029 0.734589 0.530326
26.172534 0.648510 0.795523
26.194385 0.855326 0.539238
26.448847 0.859306 0.544421
26.490628 0.862169 0.459969
26.541433 0.747042 0.479240
26.650508 0.735216 0.436589
26.456878 0.918019 0.461361
26.334450 1.020444 0.444940
26.472059 0.898358 0.421247
26.620088 0.846648 0.307314
26.573954 0.854298 0.397354
26.498121 0.825431 0.428221
26.596016 0.728753 0.363021
26.586767 0.763559 0.461399
26.486543 0.805012 0.536445
26.479530 0.808761 0.418969
26.538602 0.792244 0.404349
26.538156 0.809172 0.477631
26.441067 0.997889 0.349137
26.470430 0.870023 0.375511
26.567063 0.836632 0.325886
26.568392 0.838368 0.403485
26.576758 0.784637 0.438997
26.462426 0.877900 0.461021
26.256824 1.106923 0.369270
26.324678 0.941176 0.490373
26.304612 1.040440 0.429576
26.368530 0.941106 0.411454
26.440032 0.875614 0.456924
26.410985 0.818760 0.545282
26.273971 0.643986 0.670084
26.223388 0.678980 0.694607
25.963061 0.862004 0.852463
26.152865 0.984895 0.605363
26.306424 0.868495 0.551825
26.465551 0.797062 0.550273
26.536018 0.690205 0.506016
26.540088 0.665655 0.386574
26.480145 0.685777 0.412069
26.402346 0.754675 0.448056
26.368198 0.871137 0.404284
26.493928 0.788650 0.395085
26.345279 0.808883 0.586001
26.134133 0.784863 0.690103
26.170804 0.905878 0.589465
26.232620 1.000389 0.366970
26.329541 0.850246 0.454121
26.437790 0.754318 0.433174
26.428366 0.868403 0.478372
26.375990 0.932913 0.465282
26.337776 0.945076 0.478752
26.518088 0.771053 0.434927
26.529115 0.854600 0.371927
26.468272 0.878440 0.429078
26.439998 0.666147 0.404389
26.419181 0.635673 0.318555
26.463877 0.666657 0.404232
26.457987 0.821850 0.384382
26.523360 0.795608 0.382225
26.609199 0.731029 0.342676
26.584062 0.744269 0.204736
26.543639 0.706139 0.132258
26.499695 0.790391 0.294498
26.550791 0.674664 0.451647
26.498120 0.738721 0.422739
26.447263 0.766489 0.421320
26.467058 0.779680 0.384615
26.514987 0.946177 0.276272
26.503777 0.832793 0.432758
26.465816 0.823679 0.441950
26.486815 0.770882 0.472328
26.466447 0.816277 0.528120
26.580357 0.770033 0.453695
26.523934 0.891481 0.469630
26.471735 0.897277 0.531238
26.138739 0.922755 0.584013
25.652846 1.059666 0.586333
25.852333 1.058795 0.443876
26.133125 0.956197 0.444547
26.039273 1.188643 0.470885
26.296277 0.947210 0.586908
26.395832 0.937904 0.482111
26.494934 0.938478 0.559487
26.539240 0.791494 0.440729
26.599690 0.788152 0.286357
26.580069 0.992947 0.288448
26.654775 0.847454 0.364035
26.548948 0.755597 0.472735
26.444905 0.793636 0.420408
26.197770 0.815746 0.634935
26.303199 0.798152 0.456825
26.431791 0.853661 0.304028
26.559153 0.697347 0.387774
26.528721 0.836652 0.409842
26.428131 0.871758 0.525366
26.356910 1.028374 0.533807
26.330407 0.937665 0.476077
26.507626 0.813499 0.482501
26.497735 0.849508 0.396343
26.493096 0.643599 0.462790
26.452402 0.702522 0.320816
26.544868 0.793324 0.094199
26.606851 0.683190 0.331089
26.622554 0.776872 0.437427
26.603641 0.692611 0.564615
26.650835 0.752521 0.387922
26.523322 0.786839 0.434949
26.331205 0.827588 0.569281
26.262605 0.982052 0.456440
26.397962 0.843104 0.458633
26.295929 0.842225 0.592910
26.223433 0.882249 0.529678
26.065105 1.024157 0.555014
26.187109 0.936959 0.544616
26.290304 0.935634 0.535288
26.238705 0.961955 0.559993
26.179447 0.990479 0.482915
26.191432 0.945698 0.576219
26.272177 0.856593 0.433984
26.386788 0.670678 0.481423
26.374435 0.831990 0.430332
26.186730 1.172866 0.301886
25.790617 1.388785 0.523976
25.906133 1.298819 0.524156
26.267709 0.902062 0.550991
26.231579 0.846114 0.621128
26.212143 0.942441 0.546983
26.311816 0.842720 0.505420
26.269740 0.896483 0.376037
25.994160 1.064718 0.420889
25.807066 1.353507 0.343860
25.725898 1.303214 0.574833
25.883424 1.322048 0.243673
26.323975 0.978908 0.286706
26.458722 0.950314 0.345207
26.555251 0.874560 0.420620
26.508894 0.895435 0.443603
26.353534 1.000410 0.466311
26.118267 1.096331 0.489709
26.221266 1.017011 0.374243
26.243660 0.925332 0.396403
26.035735 0.899993 0.543423
26.052755 0.952136 0.543719
26.376983 0.792583 0.456334
26.301323 1.059257 0.262019
26.366990 0.957463 0.262739
26.412593 0.948318 0.366708
26.470625 0.794232 0.460978
26.333660 0.830781 0.605866
26.289779 0.900161 0.445051
26.346337 0.800370 0.503305
26.399210 0.703772 0.457448
26.230788 0.778287 0.494485
26.163153 0.829959 0.378963
26.096167 0.884573 0.474143
25.887318 1.058659 0.443380
26.002249 1.062372 0.351372
26.259544 0.867386 0.412139
26.315985 0.774659 0.336026
26.141853 0.751199 0.184665
26.129037 0.223377 0.531814
25.925845 0.107367 0.823627
26.100853 0.395097 0.529620
26.267913 0.696906 0.374978
26.445196 0.610986 0.484915
26.350630 0.683770 0.490944
26.347312 0.979596 0.452840
26.397159 0.886655 0.532924
26.390612 0.898887 0.392229
26.301302 0.786685 0.512908
26.396052 0.669032 0.424817
26.436304 0.762396 0.327879
26.431713 0.842069 0.373776
26.293742 0.750040 0.561782
25.951178 0.941407 0.608057
25.971738 0.882406 0.538598
26.239457 0.665639 0.489131
26.265861 0.839090 0.485805
26.427353 0.755285 0.598790
26.328637 0.769340 0.499788
26.327046 0.878932 0.394630
26.431276 0.654664 0.547536
26.428516 0.664380 0.490135
26.465507 0.623992 0.418885
26.521013 0.724052 0.237885
26.520581 0.788758 0.236209
26.586388 0.807202 0.361686
26.528127 0.856204 0.378461
26.349220 0.764496 0.474641
26.403426 0.723608 0.565131
26.449338 0.692736 0.603738
26.468816 0.752953 0.440020
26.430761 0.861514 0.292822
26.235666 0.894359 0.284121
26.018385 0.910707 0.071101
26.073201 0.879193 0.131856
26.202016 0.839588 0.281445
26.295558 0.797043 0.193579
26.223439 0.908068 0.294567
26.263074 1.011451 0.373796
26.185664 0.869408 0.545678
26.122114 0.886941 0.494176
26.240053 0.830928 0.436447
26.281581 0.819068 0.357866
26.321894 0.763086 0.425960
26.267820 0.878639 0.492768
