# Vega Mags
# arm region extracted from square X=[2732,2988), Y=[3822, 4078) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
26.146363 1.024130 0.557798
26.092892 1.035918 0.538165
26.024575 1.061499 0.578067
26.083505 0.956469 0.616432
26.098867 1.013342 0.595865
26.055255 0.983806 0.718388
26.059093 1.045680 0.630881
26.076368 1.072714 0.525197
26.061138 1.000360 0.623334
26.037312 1.029016 0.532655
25.914632 1.119511 0.527522
25.838506 1.107278 0.719035
25.943372 1.063213 0.717677
26.028034 0.977192 0.657686
26.077677 1.018355 0.566564
26.216295 0.852561 0.609712
26.195993 0.839445 0.705508
26.160012 0.856816 0.553343
26.162184 0.814700 0.373959
26.034960 1.095639 0.417730
26.045139 0.908019 0.647830
25.968201 0.950396 0.504211
25.856717 1.001353 0.301474
25.977878 0.908402 0.460434
26.032675 0.949834 0.517910
25.989018 0.945533 0.614419
26.026810 1.022728 0.526433
26.044447 1.052050 0.540957
26.017758 0.954226 0.681823
26.002532 1.063536 0.708508
26.075819 1.024406 0.701208
26.129375 0.946662 0.701978
26.104260 1.057048 0.539533
26.018497 0.981249 0.592994
26.054619 0.961319 0.655225
26.060584 0.999589 0.660118
26.000601 1.083610 0.645807
26.069743 0.975322 0.598095
26.103467 0.941307 0.557995
26.039760 0.929126 0.512206
25.892405 1.006114 0.699156
25.816977 1.075322 0.631462
25.930148 1.084310 0.550347
26.005267 1.110849 0.446592
26.006175 1.035708 0.519150
25.995720 0.984130 0.543680
26.076723 0.872659 0.609180
26.099134 0.806671 0.655196
26.007917 0.946413 0.565449
26.077232 0.872010 0.585519
26.039721 0.944876 0.583538
25.953517 1.084173 0.581963
25.732327 1.244229 0.561136
25.836566 1.143164 0.620026
25.857477 1.168256 0.602323
25.911228 1.008648 0.673541
25.944886 0.991020 0.596365
26.057409 0.921985 0.550529
25.999159 0.888969 0.699255
25.824388 0.907048 0.654077
25.790616 0.994387 0.500760
25.869716 0.966245 0.496554
25.898127 0.932668 0.641282
25.973430 0.939288 0.517310
25.979636 1.049497 0.482864
25.864082 1.037095 0.524851
25.844661 1.036108 0.521532
25.881793 1.061231 0.616488
26.001210 0.885909 0.686147
25.998548 0.853942 0.525588
25.977326 0.959208 0.539541
25.916247 0.996768 0.584918
25.825139 0.994944 0.635439
25.826340 1.040537 0.533193
25.915987 1.005035 0.446425
25.992586 0.933497 0.554584
26.025942 0.937433 0.525488
26.011516 0.927102 0.552209
26.036753 0.935770 0.588910
26.055169 1.003258 0.443997
26.041211 0.950885 0.531345
25.949910 1.007701 0.540957
25.949577 0.984149 0.620980
26.077633 0.873112 0.669323
26.101359 0.872869 0.612575
26.015295 0.997505 0.603683
26.041311 0.989909 0.585036
25.989715 1.020413 0.556910
25.943913 1.041503 0.598127
25.936789 0.959341 0.697898
25.935188 1.003502 0.654904
25.977191 0.954558 0.473107
25.997487 0.902469 0.552319
26.052440 0.853636 0.631832
26.015498 0.807058 0.823019
25.965703 1.066052 0.558266
