# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
23.995702 1.400491
23.980025 1.360022
23.991091 1.354667
23.970497 1.418336
23.930435 1.378816
23.858925 1.372994
23.826548 1.316004
23.866422 1.241109
23.898657 1.255775
23.928517 1.321610
23.957197 1.351985
23.983759 1.384875
24.002490 1.356501
23.998442 1.396394
24.001275 1.389253
23.970945 1.434102
23.916461 1.445890
23.877868 1.424371
23.862703 1.432216
23.873126 1.451102
23.868294 1.436320
23.814025 1.448561
23.754872 1.431869
23.724863 1.420238
23.730851 1.355212
23.688459 1.374899
23.670991 1.374590
23.658140 1.382111
23.666921 1.436486
23.674554 1.419643
23.676526 1.414383
23.673937 1.395018
23.683204 1.377743
23.657009 1.352961
23.653264 1.276089
23.614488 1.306566
23.612806 1.339578
23.659376 1.384039
23.716088 1.390457
23.704344 1.423381
23.667585 1.349196
23.601957 1.372721
23.588485 1.365837
23.600758 1.331187
23.597570 1.285198
23.586979 1.313197
23.593936 1.301393
23.583632 1.315051
23.562136 1.363590
23.578582 1.374708
23.576515 1.355750
23.591017 1.341168
23.630356 1.373611
23.642178 1.392753
23.648918 1.393360
23.663121 1.415068
23.707180 1.435301
23.723509 1.491362
23.754694 1.534391
23.826147 1.529160
23.884120 1.499907
23.881641 1.479247
23.831054 1.515169
23.791078 1.479001
23.759534 1.484860
23.742720 1.517727
23.774326 1.484258
23.776816 1.495697
23.761517 1.494522
23.768993 1.482283
23.759521 1.524565
23.777581 1.498450
23.807301 1.478646
23.798982 1.475735
23.797959 1.474750
23.758330 1.486541
23.689414 1.438917
23.639709 1.379454
23.641335 1.334053
23.645414 1.373550
23.641628 1.400069
23.648057 1.391700
23.638068 1.363574
23.638659 1.374942
23.643985 1.384488
23.704873 1.359728
23.764279 1.395459
23.782314 1.469845
23.832655 1.424894
23.817845 1.472729
23.821126 1.473707
23.792239 1.491365
23.752293 1.517774
23.709068 1.475793
23.661602 1.476891
23.672931 1.443635
23.686574 1.394240
23.646682 1.359302
23.603689 1.398701
23.627028 1.370038
23.624321 1.416358
23.619883 1.407916
23.629040 1.393146
23.628248 1.380172
23.661089 1.343159
23.667847 1.394551
23.637011 1.395142
23.645384 1.395119
23.669719 1.395542
23.710429 1.409535
23.706708 1.430593
23.662446 1.451001
23.649576 1.397810
23.657303 1.385414
23.657066 1.360515
23.651072 1.356542
23.632223 1.396737
23.660849 1.344953
23.650394 1.274043
23.613022 1.263144
23.559990 1.279630
23.521252 1.249410
23.553534 1.262634
23.606308 1.219514
23.626178 1.257080
23.637112 1.244786
23.637953 1.275506
23.662891 1.323050
23.717174 1.276707
23.718867 1.301050
23.706846 1.388840
23.695063 1.400574
23.702654 1.403608
23.693002 1.401086
23.666807 1.346739
23.660917 1.327894
23.679436 1.331663
23.660458 1.333722
23.634213 1.356164
23.643093 1.324333
23.679518 1.267326
23.699622 1.285666
23.717252 1.315222
23.787451 1.356804
23.816237 1.389256
23.815796 1.383970
23.867800 1.362908
23.855052 1.363220
23.871299 1.363297
23.873704 1.372753
23.858248 1.361134
23.857024 1.394884
23.817367 1.384371
23.754999 1.392989
23.726616 1.340433
23.686506 1.348950
23.663396 1.341882
23.658064 1.293014
23.650052 1.286357
23.653078 1.292922
23.668782 1.259842
23.665388 1.233977
23.657045 1.254297
23.649618 1.237599
23.631799 1.247199
23.641380 1.242103
23.660889 1.253036
23.672382 1.213750
23.646475 1.313478
23.674212 1.315526
23.730411 1.290418
23.732762 1.280207
23.726359 1.307601
23.759296 1.269269
23.811447 1.353419
23.866839 1.343151
23.954814 1.318832
23.965690 1.280668
23.908663 1.343311
23.901891 1.319140
23.913344 1.307520
23.892018 1.299255
23.814954 1.350432
23.737723 1.406372
23.690558 1.458075
23.739708 1.420935
23.814162 1.351372
23.855711 1.341616
23.817804 1.344473
23.791169 1.302898
23.777188 1.278546
23.775269 1.307572
23.797699 1.322119
23.785715 1.363279
23.779940 1.425155
23.871113 1.396363
23.910415 1.372590
23.982795 1.321204
24.046428 1.305309
23.970845 1.342800
23.863203 1.234141
23.704360 1.165855
23.623208 1.099512
23.620594 1.113572
23.658978 1.089897
23.681042 1.097607
23.668331 1.165197
23.679702 1.253443
23.679816 1.266414
23.664789 1.189336
23.658937 1.147908
23.643865 1.112980
23.627120 1.002702
23.632354 1.027748
23.648718 1.120357
23.706860 1.108414
23.753825 1.143954
23.798701 1.189170
23.823827 1.197355
23.799317 1.216277
23.777391 1.253311
23.773424 1.277874
23.794695 1.242294
23.763863 1.277238
23.793369 1.303951
23.827468 1.334777
23.852154 1.295638
23.834524 1.248832
23.754914 1.202542
23.675527 1.101945
23.601251 0.954232
23.584669 0.886171
23.624072 0.933568
23.675380 1.106475
23.705615 1.212643
23.725643 1.207057
23.662349 1.155183
23.584038 1.035051
23.558673 0.938154
23.559351 0.965372
23.594513 1.063852
23.635052 1.076887
23.665015 1.099817
23.705698 1.115395
23.681154 1.142389
23.671235 1.137650
23.709749 1.116384
23.752473 1.096739
23.771360 1.112222
23.803905 1.163151
23.796919 1.227528
23.834372 1.180271
23.761302 1.073236
23.771429 1.005198
23.865631 1.093758
23.873989 1.222214
23.904220 1.214461
23.908264 1.209795
23.940831 1.195553
23.973188 1.230365
23.987201 1.226971
