# Imag Bmag-Vmag
# F814W F435W-F555W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
26.692311 0.734645
26.772561 0.565543
26.727563 0.487589
26.678427 0.526644
26.594095 0.736617
26.520339 0.836541
26.481850 0.863605
26.477358 0.817782
26.531492 0.658546
26.647062 0.723766
26.444933 0.712917
26.448870 0.827292
26.574727 0.706076
26.651859 0.710784
26.667459 0.548624
26.772349 0.653606
26.672520 0.714142
26.486605 0.827628
26.566855 0.853986
26.477898 0.784377
26.537792 0.785328
26.638008 0.658788
26.676940 0.706939
26.644049 0.487256
26.689394 0.559951
26.643644 0.682751
26.699922 0.778949
26.643347 0.722729
26.723044 0.658644
26.590845 0.881219
26.560718 0.652347
26.605508 0.545584
26.541288 0.814120
26.641806 0.598948
26.763526 0.799938
26.768697 0.811324
26.696063 0.625613
26.578820 0.718337
26.662883 0.784479
26.774315 0.734658
26.726819 0.685102
26.535744 0.622422
26.490886 0.556472
26.526054 0.758684
26.638305 0.710551
26.818669 0.651394
26.832117 0.582159
26.750558 0.602069
26.675045 0.820144
26.453688 0.713379
26.458642 0.684940
26.523930 0.610316
26.608580 0.730811
26.628886 0.753997
26.677762 0.650758
26.664769 0.552305
26.640878 0.778360
26.711332 0.744424
26.675747 0.645415
26.690173 0.618882
26.741225 0.619200
26.766105 0.513101
26.752278 0.675161
26.673074 0.803035
26.641724 0.762938
26.699575 0.736535
26.800657 0.821732
26.717189 0.707251
26.689472 0.520436
26.644315 0.784068
26.557392 0.717177
26.724472 0.774540
26.714011 0.785616
26.699109 0.602889
26.730056 0.740882
26.743471 0.703185
26.707780 0.397820
26.664484 0.451209
26.598613 0.643334
26.735091 0.790072
26.675472 0.777058
26.614527 0.772451
26.472354 0.929406
26.414801 0.752973
26.605086 0.784354
26.628786 0.772859
26.661010 0.718301
26.610167 0.804481
26.615624 0.698700
26.659130 0.703783
26.621176 0.744364
26.624255 0.693768
26.590219 0.626367
26.463827 0.689888
26.462733 0.687586
26.622680 0.763879
26.643896 0.843957
26.589800 0.640009
26.617475 0.744620
26.582297 0.844260
26.481362 0.873771
26.371758 0.762853
26.498186 0.676036
26.705276 0.951688
26.670191 0.617855
26.616900 0.812202
26.417406 0.857680
26.267216 0.897088
26.407454 0.743707
26.596560 0.682020
26.613607 0.876729
26.613286 0.755518
26.650477 0.616812
26.586053 0.651140
26.749204 0.565419
26.808031 0.684455
26.775457 0.514176
26.656142 0.647030
26.680408 0.617080
26.653502 0.623032
26.610086 0.755236
26.652080 0.816482
26.816228 0.712657
26.657402 0.626836
26.597759 0.715964
26.563626 0.749118
26.599123 0.844166
26.796165 0.763161
26.768969 0.726633
26.779482 0.813753
26.775274 0.781852
26.868950 0.708692
26.566000 0.723859
26.514175 0.771941
26.569112 0.647189
26.511227 0.726487
26.524012 0.774194
26.658769 0.613393
26.849601 0.713908
26.792810 0.874622
26.639999 0.687489
26.591194 0.736890
26.562716 0.689660
26.561171 0.838346
26.580315 0.895282
26.561135 0.722126
26.547808 0.961374
26.658923 0.805978
26.708255 0.733740
26.805419 0.850531
26.776402 0.639464
26.625140 0.662132
26.535594 0.798941
26.659548 0.869746
26.625148 0.887243
26.603978 0.805220
26.812059 0.672290
26.901645 0.762993
26.854896 0.897999
26.828596 0.894157
26.803814 0.794353
26.776892 0.862279
26.804725 0.592560
26.866855 0.540130
26.779005 0.658271
26.738270 0.887716
26.819972 0.811233
26.839313 0.660326
26.849671 0.762014
26.743557 0.618477
26.650620 0.759505
26.692325 0.528396
26.680191 0.551011
26.621792 0.841688
26.650847 0.797939
26.781875 0.602632
26.702056 0.698403
26.718185 0.882537
26.699841 0.893468
26.696360 0.881069
26.736632 0.954076
26.724254 0.786062
26.696631 0.804651
26.665296 0.821865
26.667324 0.660410
26.575036 0.826849
26.671935 0.726197
26.707651 0.754093
26.662051 0.732647
26.720014 0.543157
26.804162 0.647523
26.774963 0.756598
26.736157 0.740747
26.725483 0.708049
26.700886 0.787016
26.629604 0.806772
26.672256 0.787641
26.614814 0.771813
26.613839 0.797225
26.706949 0.542787
26.754756 0.639713
26.799694 0.667266
26.722979 0.767866
26.722696 0.849147
26.699170 0.790582
26.707602 0.694115
26.550277 0.849357
26.460461 0.760756
26.690720 0.754197
26.560511 0.711984
26.795891 0.772585
26.825346 0.775950
26.715207 0.769069
26.586499 0.926668
26.689088 0.827265
26.621866 0.856438
26.637011 0.974367
26.758580 0.786103
26.829760 0.710504
26.800514 0.777010
26.714268 0.634768
26.652628 0.451135
26.637222 0.603936
26.735632 0.693717
26.788197 0.667564
26.721147 0.615109
26.669759 0.793747
26.509929 0.780312
26.469608 0.648894
26.642345 0.832591
26.649557 0.752963
26.846087 0.824240
26.880522 0.760832
26.841736 0.595311
26.816277 0.597278
26.878166 0.652606
26.837325 0.583633
26.705421 0.838647
26.588953 0.859515
26.596971 0.884733
26.733883 0.716512
26.648827 0.937159
26.700460 0.971789
26.838047 0.867784
26.821516 0.773638
26.838641 0.714535
26.784759 0.690675
26.788985 0.662674
26.767811 0.799606
26.577081 0.768157
26.555685 0.643786
26.591977 0.600776
26.545179 0.688703
26.404683 0.750332
26.623481 0.847906
26.850138 0.778749
26.772235 0.776482
26.859017 0.894926
26.974524 0.734668
26.924204 0.791033
26.767324 0.650202
26.717728 0.800912
26.670680 1.035932
26.778094 0.788914
26.739362 0.653872
26.650947 1.028574
26.677841 0.762002
26.564175 0.755240
26.674306 0.790923
26.629642 0.686084
26.653457 0.783165
26.613541 0.856463
26.675165 0.744578
26.706418 0.729795
26.728671 0.545729
26.792025 0.593645
26.879339 0.499882
26.753880 0.466298
26.674442 0.555861
26.713205 0.593712
26.635088 0.652893
26.745104 0.593399
26.723833 0.728714
26.711345 0.862024
26.701600 0.676187
26.621115 0.635391
26.618985 0.824298
26.741328 0.879437
26.726476 0.803090
26.799956 0.589779
26.744314 0.768635
26.747273 0.896337
26.829948 0.613690
26.736514 0.484421
26.594137 0.739176
26.685919 0.829162
26.650809 0.809035
26.768338 0.853560
26.759644 0.697716
26.740957 0.807628
26.677462 0.584253
26.671967 0.709593
26.814975 0.663824
26.736537 0.590484
26.789463 0.706216
26.626046 0.709962
26.548165 0.696983
26.527291 0.685937
26.533032 0.717105
26.602141 0.780219
26.710970 0.734960
26.855487 0.737029
26.754427 0.688503
26.743488 0.871462
26.603662 0.752031
26.574374 0.989922
26.622067 0.745624
26.529659 0.755605
26.620657 0.773539
26.742490 0.706117
26.760106 0.693507
26.690482 0.653645
26.668709 0.704516
26.518973 0.818018
26.400326 0.752807
26.429766 0.710324
26.535801 0.925485
26.682140 0.706601
26.749037 0.744221
26.769338 0.648993
26.655222 0.625199
26.575109 0.728851
26.535112 0.779096
26.695764 0.530349
26.775412 0.533608
26.739547 0.624218
26.598782 0.727551
26.578947 0.710902
26.634025 0.736000
26.641953 0.706419
26.497183 0.763785
26.458517 0.799713
26.525730 0.551107
26.555572 0.655802
26.527507 0.676156
26.517061 0.499395
26.570331 0.776858
26.582743 0.631841
26.566720 0.589981
26.603094 0.615943
26.509057 0.641774
26.480283 0.668977
26.467812 0.591988
26.322951 0.390957
26.445884 0.364857
26.495133 0.719033
26.549281 0.676766
26.526631 0.404895
26.523087 0.451506
26.536795 0.525309
26.571639 0.559031
26.647889 0.634532
26.599892 0.579208
26.656498 0.595675
26.659071 0.658058
26.606009 0.824920
26.502201 0.851187
26.393832 0.716152
26.337928 0.646963
26.346869 0.490189
26.328985 0.527099
26.278173 0.489368
26.416540 0.399952
26.506588 0.527049
26.466241 0.537914
26.528907 0.447118
26.463779 0.487438
26.443499 0.609405
26.621705 0.614069
26.601500 0.754083
26.497452 0.707779
26.488112 0.632572
26.407732 0.552178
26.349503 0.561432
26.272678 0.552124
26.264070 0.500906
26.412470 0.402545
26.520063 0.710312
26.563553 0.744336
26.628700 0.546007
26.644873 0.720456
26.652678 0.693234
26.584528 0.488452
26.348794 0.702760
26.287528 0.767609
26.376878 0.742857
26.457570 0.585405
26.510641 0.632250
26.448863 0.683892
26.371520 0.643640
26.595734 0.790160
26.738157 0.715131
26.738185 0.571652
26.681893 0.671644
26.597080 0.891284
26.473651 0.742406
26.383536 0.735862
26.484833 0.828198
26.504496 0.725559
26.595736 0.924369
26.598860 0.669144
26.611391 0.546531
26.673692 0.725612
26.659101 0.741871
26.715691 0.684392
26.800994 0.668575
26.707952 0.613767
26.520091 0.524173
26.598862 0.846229
26.589336 0.931986
26.593755 0.679681
26.672541 0.945904
26.577646 0.812319
26.607708 0.716239
26.688053 0.833270
26.687924 0.777420
26.672250 0.740584
26.613002 0.699930
26.655628 0.829740
26.559529 0.686963
26.634272 0.580221
26.666089 0.640009
26.581385 0.719070
26.677737 0.757200
26.675027 0.684734
26.647914 0.527691
26.617654 0.574478
26.561674 0.753714
26.690672 0.654276
26.815484 0.460191
26.825318 0.716157
26.734519 0.615210
26.637879 0.666318
26.623207 0.689701
26.760917 0.818061
26.825320 0.856312
26.724531 0.747008
26.726568 0.552183
26.794387 0.710124
26.700359 0.648470
26.538065 0.722609
26.549613 0.674922
26.602295 0.860716
26.675413 0.819033
26.688977 0.622982
26.736624 0.592350
26.750506 0.647037
26.759375 0.662776
26.757475 0.530997
26.681776 0.488819
26.667489 0.666266
26.697291 0.589937
26.780465 0.732113
26.672693 0.810741
26.694897 0.750880
26.678252 0.787197
26.760147 0.894423
26.718551 0.750978
26.644128 0.786808
26.492211 0.669136
26.389283 0.810477
26.662751 0.871574
26.708841 0.891013
26.750389 0.790841
26.746588 0.809517
26.668178 0.678710
26.760269 0.758775
26.813278 0.734179
26.706660 0.814515
26.675932 0.688536
26.802563 0.705801
26.650982 0.743483
26.505995 0.741053
26.560140 0.648696
26.579691 0.750186
26.581999 0.885251
26.507918 0.737895
26.482120 0.829266
26.689572 0.875502
26.670583 0.691870
26.668413 0.709410
26.634143 0.844983
26.621398 0.616027
26.514307 0.677772
26.564449 0.671873
26.577591 0.788899
26.549890 0.853729
26.562024 0.854478
26.642429 0.709717
26.650817 0.693149
26.545674 0.752101
26.425879 0.660590
26.615305 0.787293
26.540958 0.991960
26.508952 0.763521
26.583239 0.904066
26.306315 0.767447
25.941247 0.870861
26.202046 0.880538
26.525262 0.753572
26.608214 0.853811
26.715535 0.617377
26.635781 0.765416
26.799942 0.582744
26.862261 0.501488
26.746999 0.694095
26.723039 0.508376
26.755350 0.673237
26.611634 0.715585
26.644793 0.846680
26.615302 0.787682
26.737549 0.709666
26.804115 0.578397
26.724736 0.574247
26.689406 0.695755
26.637217 0.758287
26.649744 0.767014
26.742651 0.753610
26.690175 0.898995
26.769436 0.919459
26.791168 0.749210
26.693387 0.824914
26.488229 0.784743
26.539166 0.988623
26.486148 0.679391
26.346087 0.960597
26.404533 0.779284
26.621910 0.637257
26.788433 0.846983
26.737333 0.787660
26.548392 0.518174
26.549101 0.665218
26.457370 0.758219
26.564505 0.913110
26.565581 1.034415
