# Imag Bmag-Vmag
# F814W F555W-F814W
# Vega Mags
# Disk Gap region extracted from square X=[3000,3400), Y=[6000, 6400) from M51 image
26.692311 0.966847
26.772561 0.990431
26.727563 1.077491
26.678427 1.046730
26.594095 1.047982
26.520339 0.995189
26.481850 1.106206
26.477358 1.092382
26.531492 1.114322
26.647062 0.932032
26.444933 1.075361
26.448870 1.111662
26.574727 1.046331
26.651859 1.052897
26.667459 1.101925
26.772349 1.004148
26.672520 1.019456
26.486605 1.006329
26.566855 0.976225
26.477898 1.152115
26.537792 1.093912
26.638008 1.071772
26.676940 0.947292
26.644049 1.176947
26.689394 0.982879
26.643644 1.045776
26.699922 1.033096
26.643347 1.092505
26.723044 1.090890
26.590845 1.003170
26.560718 1.182063
26.605508 1.205955
26.541288 1.024892
26.641806 1.158254
26.763526 0.875917
26.768697 0.875301
26.696063 1.069971
26.578820 1.038686
26.662883 1.059986
26.774315 1.039324
26.726819 0.990837
26.535744 1.074415
26.490886 1.226069
26.526054 1.058291
26.638305 0.922198
26.818669 0.895602
26.832117 1.007751
26.750558 1.058740
26.675045 0.947434
26.453688 1.141920
26.458642 1.129680
26.523930 1.222402
26.608580 0.990388
26.628886 0.969181
26.677762 0.935960
26.664769 0.952538
26.640878 1.005119
26.711332 0.963117
26.675747 1.006007
26.690173 0.901640
26.741225 0.834910
26.766105 0.930699
26.752278 0.937309
26.673074 0.853183
26.641724 0.941583
26.699575 0.943235
26.800657 0.821478
26.717189 1.075614
26.689472 1.169514
26.644315 1.039451
26.557392 0.984703
26.724472 1.013469
26.714011 1.050507
26.699109 1.145661
26.730056 0.973903
26.743471 1.014411
26.707780 1.245350
26.664484 1.264178
26.598613 1.187615
26.735091 0.950761
26.675472 1.015853
26.614527 1.034373
26.472354 0.929649
26.414801 1.058238
26.605086 1.061515
26.628786 1.001588
26.661010 1.061854
26.610167 1.121687
26.615624 1.018121
26.659130 0.950347
26.621176 0.971601
26.624255 0.984671
26.590219 0.877863
26.463827 1.076660
26.462733 1.124743
26.622680 0.960890
26.643896 0.935473
26.589800 1.145380
26.617475 1.037013
26.582297 1.177928
26.481362 1.156109
26.371758 1.246237
26.498186 1.184889
26.705276 0.822849
26.670191 1.104074
26.616900 1.081922
26.417406 1.143349
26.267216 1.256474
26.407454 1.221946
26.596560 1.131027
26.613607 1.072318
26.613286 1.030369
26.650477 1.046707
26.586053 1.134538
26.749204 1.100536
26.808031 1.012219
26.775457 1.221949
26.656142 1.165190
26.680408 1.202020
26.653502 1.301138
26.610086 1.122697
26.652080 1.043775
26.816228 1.005506
26.657402 1.247171
26.597759 1.075610
26.563626 1.199583
26.599123 1.111098
26.796165 0.971443
26.768969 1.094148
26.779482 1.116755
26.775274 1.140355
26.868950 0.937552
26.566000 1.143756
26.514175 1.180089
26.569112 1.360984
26.511227 1.265712
26.524012 1.270213
26.658769 1.264365
26.849601 1.006140
26.792810 0.979953
26.639999 1.307375
26.591194 1.300759
26.562716 1.336615
26.561171 1.270705
26.580315 1.200322
26.561135 1.383527
26.547808 1.298463
26.658923 1.190310
26.708255 1.109513
26.805419 1.077705
26.776402 1.256449
26.625140 1.230106
26.535594 1.213270
26.659548 1.131464
26.625148 1.166741
26.603978 1.219489
26.812059 1.144335
26.901645 1.026636
26.854896 0.974603
26.828596 0.991572
26.803814 1.080302
26.776892 1.239149
26.804725 1.257804
26.866855 1.226020
26.779005 1.063590
26.738270 1.016875
26.819972 1.097140
26.839313 1.188909
26.849671 0.987568
26.743557 1.045108
26.650620 0.938703
26.692325 0.943013
26.680191 0.871651
26.621792 0.998026
26.650847 1.084122
26.781875 1.156008
26.702056 1.195830
26.718185 1.047708
26.699841 1.079621
26.696360 1.086566
26.736632 1.019040
26.724254 1.156302
26.696631 1.193519
26.665296 1.184872
26.667324 1.274977
26.575036 1.226132
26.671935 1.215322
26.707651 1.154170
26.662051 1.175767
26.720014 1.189921
26.804162 0.992577
26.774963 1.058070
26.736157 1.083705
26.725483 1.153704
26.700886 1.144537
26.629604 1.198532
26.672256 1.155185
26.614814 1.219701
26.613839 0.931046
26.706949 1.175467
26.754756 1.249407
26.799694 1.230136
26.722979 1.221692
26.722696 1.259762
26.699170 1.118651
26.707602 1.112681
26.550277 1.140585
26.460461 1.318376
26.690720 1.065015
26.560511 1.354905
26.795891 1.105258
26.825346 1.066803
26.715207 1.178813
26.586499 1.194189
26.689088 1.212802
26.621866 1.258210
26.637011 1.159582
26.758580 1.156795
26.829760 1.148422
26.800514 1.158279
26.714268 1.295045
26.652628 1.291790
26.637222 1.312248
26.735632 1.121969
26.788197 1.039469
26.721147 1.167553
26.669759 1.135187
26.509929 1.220636
26.469608 1.383694
26.642345 1.101178
26.649557 1.217466
26.846087 1.035884
26.880522 0.993656
26.841736 1.081332
26.816277 1.080673
26.878166 1.119876
26.837325 1.186889
26.705421 1.212983
26.588953 1.295334
