# Vega Mags
# m51b region extracted from square X=[2652,2908), Y=[10412, 10668) from M51 image
# Imag Vmag-Imag Bmag-Vmag
# F814W F555W-F814W F435W-F555W
25.210956 1.118777 0.806809
25.191850 1.176120 0.708710
25.191418 1.105258 0.771361
25.071380 1.205158 0.723952
25.054087 1.284361 0.708246
25.140481 1.216157 0.697683
25.150315 1.163351 0.759884
25.168788 1.134292 0.758158
25.144267 1.177148 0.763430
25.113264 1.203524 0.768926
25.192520 1.140491 0.737634
25.286227 1.118236 0.609394
25.241598 1.109587 0.746209
25.241212 1.136243 0.731884
25.219710 1.121889 0.788558
25.245082 1.108570 0.685895
25.247971 1.114840 0.735480
25.193944 1.080588 0.820296
25.186204 1.151940 0.765549
25.170885 1.151055 0.757781
25.138238 1.178494 0.740726
25.115114 1.198048 0.739317
25.091486 1.194170 0.742898
25.067726 1.173936 0.853325
25.157564 1.157845 0.781224
25.199799 1.114258 0.750075
25.161998 1.120007 0.753727
25.178589 1.104853 0.812583
25.183317 1.127436 0.792680
25.181828 1.175695 0.763766
25.200456 1.150366 0.754242
25.202619 1.114145 0.832937
25.160408 1.104549 0.851108
25.142068 1.111744 0.854881
25.160013 1.125621 0.782453
25.206376 1.100377 0.788572
25.206476 1.151256 0.778270
25.172498 1.234718 0.733915
25.083423 1.235354 0.779432
25.066222 1.160109 0.854775
25.040008 1.208465 0.777638
24.901315 1.150840 0.967318
24.629063 1.182891 0.997035
24.689919 1.032478 0.873663
24.952586 0.993126 0.619917
25.091492 1.120506 0.589380
25.199189 1.107248 0.654620
25.177916 1.165960 0.734407
25.170927 1.223125 0.768147
25.149694 1.226701 0.782168
25.158641 1.167250 0.876704
25.104283 1.270248 0.792931
25.069872 1.261704 0.839395
25.056594 1.241839 0.807012
25.148946 1.148347 0.808831
25.182199 1.156012 0.801271
25.186886 1.089148 0.794063
25.197229 1.046638 0.781125
25.148293 1.229814 0.577745
25.081595 1.290965 0.719821
25.040581 1.346362 0.772694
25.039479 1.334643 0.826849
25.122396 1.281475 0.844120
25.130086 1.273768 0.803462
25.116955 1.303285 0.826721
25.081279 1.247512 0.832760
25.083902 1.173711 0.864348
25.139706 1.203755 0.800763
25.189878 1.167361 0.731275
25.144214 1.159678 0.782837
25.120626 1.193715 0.807616
25.117880 1.202169 0.802739
25.108765 1.191312 0.806337
25.075161 1.173674 0.819069
25.110661 1.196159 0.784311
25.153182 1.084373 0.845384
25.135767 1.133762 0.782371
25.100014 1.172495 0.812495
25.121029 1.205015 0.831353
25.153826 1.155910 0.802488
25.164253 1.207931 0.791922
25.182367 1.198327 0.822703
