# Vega Mags
# Elliptical M49 region extracted from isophotes (64.06,64.07]
# Num Pixels: 175412
# Neff ~ 419^2
# zmag gmag-zmag
# F850LP F475W-F850LP
# 
26.318638 1.596476
26.152326 1.762400
26.247549 1.819069
26.254381 1.548749
26.227559 1.547820
26.211662 1.740644
26.239779 1.655097
26.161504 1.769041
26.268106 1.764414
26.163256 1.747418
26.230491 1.746277
26.170554 1.697756
26.176689 1.802762
26.200641 1.933004
26.106239 1.840517
26.036653 2.056681
26.140644 1.718775
26.323314 1.671820
26.469675 1.599438
26.371526 1.561774
26.185509 1.754514
26.234008 1.720525
26.140402 1.761584
26.205531 1.712766
26.133350 1.780097
26.092524 1.731217
26.087929 1.725975
26.348787 1.713604
26.149770 1.747671
26.148325 1.916078
26.201001 1.725988
26.172996 1.719534
26.257251 1.720796
26.252482 1.717698
26.357412 1.635059
26.212313 1.729128
26.208754 1.765669
26.383260 1.704101
26.201087 1.798775
26.198775 1.645074
26.237005 1.750284
26.251478 1.627187
26.249720 1.596840
26.118541 1.718250
26.091158 1.900890
26.131857 1.771855
26.143199 1.759745
26.279278 1.684461
26.312098 1.612825
26.183942 1.747073
26.153921 1.769630
26.204433 1.679060
26.284424 1.588966
26.209398 1.637668
26.165875 1.662923
26.151472 1.630884
26.092847 1.891547
26.241883 1.670239
26.179078 1.863317
26.181377 1.979409
26.019193 1.921841
26.000776 1.952315
26.115166 1.809931
26.082561 1.785534
26.177518 1.696444
26.190728 1.760339
26.055408 1.832482
26.119634 1.810666
26.138068 1.806928
26.287661 1.585989
26.296593 1.603021
26.233232 1.626013
26.262797 1.691353
26.247413 1.668281
26.166537 1.652752
26.199336 1.725288
26.058982 1.793589
26.164412 1.628570
26.069464 1.832449
25.969385 2.052924
26.106694 1.823294
26.423756 1.439865
26.291235 1.607730
26.298434 1.602380
26.244138 1.631826
26.208637 1.627621
26.209313 1.593337
26.133484 1.715646
26.156951 1.752186
26.180113 1.836230
26.139481 1.810986
26.060703 1.849692
26.161502 1.664732
26.029236 1.898710
26.010964 1.926008
26.153079 1.713344
26.118698 1.890645
26.042706 1.956888
26.239171 1.684091
26.245717 1.651153
26.093657 1.868054
26.076007 1.878678
26.116885 1.937625
26.229943 1.739553
26.160187 1.845389
26.072169 1.854260
26.067901 1.790281
26.181285 1.725481
26.133900 1.846886
26.124605 1.768891
26.260826 1.672807
26.224102 1.687039
26.166732 1.795431
26.178352 1.719572
26.155544 1.792344
26.209933 1.657384
26.298680 1.592487
26.317659 1.601483
26.168826 1.848635
26.129880 1.959315
26.200366 1.847896
26.162158 1.777669
26.212040 1.599876
26.164415 1.724112
26.105243 1.781361
26.252973 1.640494
26.136881 1.793947
26.098345 1.898323
26.008086 1.914589
25.952011 1.953411
25.981017 1.988290
26.304629 1.616911
26.317037 1.679653
26.277516 1.739357
26.202693 1.777881
26.175664 1.732140
26.314632 1.598091
26.199186 1.800670
26.118917 1.892913
26.091802 1.824452
26.172806 1.783895
26.177403 1.778695
26.215740 1.811518
26.318339 1.605341
26.266600 1.703522
26.265155 1.692088
26.216281 1.663367
26.190467 1.788644
26.160296 1.740318
26.244176 1.690270
26.174889 1.706488
26.324224 1.594578
26.210185 1.743932
26.198678 1.707785
26.172925 1.719696
26.078381 1.959573
26.089850 1.908811
26.140153 1.678049
26.097920 2.051279
26.216713 1.811965
26.283874 1.661551
26.272157 1.700915
26.153728 1.740232
26.263540 1.723910
26.198955 1.776657
26.091302 1.877243
26.308089 1.601564
26.156827 1.704943
26.148131 1.731710
26.309277 1.693940
26.298478 1.680744
26.168740 1.731023
26.264758 1.656985
26.275322 1.558311
26.156295 1.715537
26.059062 1.844822
26.163652 1.744725
26.286161 1.539287
26.034563 1.802715
26.028087 1.889638
26.104855 1.862473
26.098667 1.815346
26.195225 1.689649
26.044449 1.781014
25.924853 1.867856
25.970876 2.074743
26.227122 1.791977
26.199520 1.644498
26.186835 1.711946
26.176278 1.780706
26.103050 1.711129
26.041155 1.796202
26.143617 1.801041
26.269085 1.677680
26.195471 1.725968
26.103040 1.796687
26.185417 1.686980
26.295875 1.581511
26.216768 1.616459
26.175602 1.722715
26.219673 1.581289
26.199468 1.588664
26.118154 1.764734
26.060443 1.922423
26.162618 1.688252
26.323102 1.680929
26.261654 1.739996
26.237550 1.769479
26.143303 1.800526
26.130345 1.679593
26.171664 1.697331
26.239868 1.662362
26.281998 1.615132
26.182604 1.738004
26.100522 1.864097
26.214210 1.694884
26.244068 1.566982
26.253411 1.670971
26.166645 1.837031
26.122470 1.717480
26.189072 1.937738
26.217782 1.890483
26.265799 1.703374
25.989486 1.862235
26.061736 1.855279
26.028132 1.910667
26.074762 1.828272
26.127962 1.871975
26.101641 2.037673
26.089414 1.736220
26.130045 1.736125
26.193889 1.704697
26.240416 1.766128
26.236861 1.561475
26.155941 1.661763
26.084267 1.819829
26.139118 1.850006
26.198517 1.790047
26.149095 1.808722
26.155358 1.787028
26.276698 1.641692
26.325676 1.493826
26.169972 1.735821
26.117711 1.871932
26.113608 1.909672
26.210351 1.764429
26.203358 1.666185
26.126499 1.763763
26.196958 1.720627
26.140386 1.628277
26.015199 1.965793
26.013501 1.878299
26.068798 1.773675
26.088696 1.848237
26.157945 1.877670
26.241256 1.659609
26.237374 1.717501
26.112955 1.770646
26.232909 1.785168
26.174109 1.682587
26.077864 1.766959
26.172232 1.829521
26.134504 1.939527
26.197975 1.640958
26.314659 1.592374
26.356362 1.509448
26.140848 1.719408
25.984794 1.877414
26.145308 1.675673
26.110245 1.732806
26.019329 1.843559
26.058461 1.925844
26.107679 1.931438
26.144483 1.654701
26.110110 1.753998
26.271994 1.689897
26.210920 1.774133
26.046695 1.875248
26.230281 1.817818
26.092305 1.935747
26.092922 2.030687
26.134729 1.828756
26.184794 1.722163
26.178483 1.678564
26.143706 1.892945
26.159451 1.666922
26.202042 1.654213
26.234322 1.629454
26.137270 1.774740
26.165363 1.848412
26.313325 1.679834
26.383478 1.558402
26.242970 1.846183
26.252872 1.850283
26.390660 1.777359
26.259362 1.588443
26.302239 1.497916
26.158628 1.904960
26.154926 1.763554
26.151979 1.878367
