age,mass,logT,logg,logIMF,bmag,vmag,imag,jmag,hmag,f275,f336,fuv,nuv
5.0,0.1107,3.5837,-0.5014,0.173,7.6899,7.0596,5.8321,5.3756,5.0973,13.9385,10.7813,27.015,13.801
5.0,0.1301,3.5923,-0.3816,-0.3911,7.2905,6.6893,5.5281,5.0916,4.812,13.2803,10.2661,26.801,13.587
5.0,0.1542,3.6022,-0.248,-0.4835,6.8367,6.2706,5.1883,4.7757,4.5003,12.4853,9.6599,26.935,13.412
5.0,0.1822,3.6131,-0.1285,-0.5661,6.4086,5.8783,4.8802,4.4958,4.2317,11.7113,9.0651,24.839,12.598
5.0,0.2187,3.626,0.0034,-0.6037,5.9353,5.443,4.5376,4.1885,3.9452,10.8643,8.4004,23.897,11.943
5.0,0.275,3.6437,0.1701,-0.7504,5.3453,4.8999,4.1027,3.8057,3.6043,9.7693,7.5546,22.325,10.993
5.0,0.325,3.657,0.291,-0.9357,4.9303,4.5175,3.7905,3.533,3.3676,8.9919,6.9563,21.352,10.348
5.0,0.3806,3.6705,0.4125,-1.0106,4.5265,4.1452,3.4827,3.2638,3.134,8.2519,6.3792,20.35,9.653
5.0,0.4564,3.6868,0.5464,-1.0919,4.0866,3.7438,3.1537,2.9774,2.8855,7.4349,5.7456,18.867,8.775
5.0,0.5451,3.7018,0.6756,-1.0316,3.6789,3.3722,2.8461,2.7058,2.6444,6.7032,5.1757,17.715,8.039
5.0,0.7802,3.7158,0.9853,-1.1043,2.8353,2.5617,2.0932,1.9838,1.9478,5.5955,4.2075,16.196,6.913
5.0,1.1283,3.7293,1.2391,-1.4196,2.1406,1.8961,1.4814,1.4013,1.3911,4.6895,3.4262,14.545,5.935
5.0,1.3778,3.7368,1.3034,-1.2771,1.9505,1.7202,1.3341,1.2702,1.2755,4.392,3.195,13.959,5.609
5.0,3.7251,3.7765,2.3504,-1.8422,-0.8364,-0.9933,-1.2181,-1.1958,-1.0924,1.4025,0.4566,9.078,2.343
5.0,4.1021,3.8367,2.5614,-2.6075,-1.5697,-1.6302,-1.6113,-1.4716,-1.2091,0.5735,-0.1014,5.293,1.264
5.0,4.6066,3.8886,2.8033,-2.9332,-2.3112,-2.2819,-2.0503,-1.8286,-1.4365,-0.1465,-0.6748,2.28,0.226
5.0,4.6066,3.9162,2.821,-3.5517,-2.3635,-2.2989,-1.9792,-1.7209,-1.2794,-0.2879,-0.7432,1.068,-0.11
5.0,4.7386,3.9497,2.8852,-3.1843,-2.4658,-2.3754,-1.9822,-1.6826,-1.201,-0.6068,-0.967,-0.041,-0.669
5.0,4.9321,3.9857,2.9638,-3.1432,-2.5374,-2.4294,-1.9895,-1.6488,-1.1441,-0.9794,-1.2516,-0.749,-1.164
5.0,5.1287,4.0215,3.0355,-3.1734,-2.5548,-2.4356,-1.964,-1.5875,-1.0695,-1.2884,-1.4869,-1.157,-1.469
5.0,5.3312,4.0571,3.1021,-3.1965,-2.5446,-2.4159,-1.9161,-1.5083,-0.9797,-1.5352,-1.67,-1.484,-1.719
5.0,5.5434,4.0927,3.1655,-3.2143,-2.5185,-2.3807,-1.854,-1.4182,-0.8797,-1.7349,-1.8131,-1.749,-1.914
5.0,5.7676,4.1283,3.227,-3.2297,-2.4817,-2.3348,-1.7822,-1.3207,-0.7729,-1.8988,-1.9241,-1.992,-2.085
5.0,6.0057,4.1638,3.2873,-3.2437,-2.4376,-2.2816,-1.7034,-1.2183,-0.6613,-2.0349,-2.0095,-2.194,-2.221
