logfeh,logdust,logNpix,logage,dmod,logl
-1.0064e+00,-1.7961e+00,3.1081e+00,9.9978e+00,3.1068e+01,-1.3130e+03
-1.0024e+00,-1.6421e+00,3.1105e+00,9.9813e+00,3.1060e+01,-1.3104e+03
-1.0355e+00,-1.5313e+00,3.1132e+00,9.9464e+00,3.1138e+01,-1.3117e+03
-1.1518e+00,-1.6472e+00,3.1369e+00,9.9997e+00,3.1154e+01,-1.3131e+03
-1.0441e+00,-1.5325e+00,3.1337e+00,9.9939e+00,3.1107e+01,-1.3120e+03
-1.0823e+00,-1.5115e+00,3.0593e+00,9.9748e+00,3.1008e+01,-1.3122e+03
-1.0435e+00,-1.5418e+00,3.1113e+00,1.0004e+01,3.1045e+01,-1.3133e+03
-1.0042e+00,-1.6673e+00,3.1098e+00,1.0015e+01,3.1052e+01,-1.3114e+03
-1.0169e+00,-1.8101e+00,3.1333e+00,1.0004e+01,3.1144e+01,-1.3127e+03
-1.0987e+00,-1.5221e+00,3.0800e+00,9.9566e+00,3.1072e+01,-1.3108e+03
-1.1301e+00,-1.7128e+00,3.0963e+00,9.9793e+00,3.1060e+01,-1.3135e+03
-1.0250e+00,-1.5554e+00,3.0907e+00,9.9358e+00,3.1095e+01,-1.3123e+03
-1.0154e+00,-1.6693e+00,3.0765e+00,9.9939e+00,3.0970e+01,-1.3083e+03
-1.0610e+00,-1.5207e+00,3.0968e+00,9.9638e+00,3.1097e+01,-1.3054e+03
-1.1066e+00,-1.5193e+00,3.1209e+00,9.9774e+00,3.1099e+01,-1.3034e+03
-1.0569e+00,-1.5860e+00,3.0936e+00,9.9301e+00,3.1104e+01,-1.3122e+03
-1.0150e+00,-1.6518e+00,3.0734e+00,9.9612e+00,3.1057e+01,-1.3076e+03
-1.0417e+00,-1.5873e+00,3.0944e+00,9.9622e+00,3.1099e+01,-1.3054e+03
-1.0031e+00,-1.8664e+00,3.0720e+00,9.9401e+00,3.1072e+01,-1.3126e+03
-1.0374e+00,-1.5258e+00,3.0935e+00,9.9443e+00,3.1099e+01,-1.3122e+03
-1.0488e+00,-1.6505e+00,3.0967e+00,9.9455e+00,3.1118e+01,-1.3127e+03
-1.0287e+00,-1.5624e+00,3.1148e+00,9.9323e+00,3.1137e+01,-1.3087e+03
-1.0227e+00,-1.6989e+00,3.0800e+00,1.0010e+01,3.0980e+01,-1.3096e+03
-1.0187e+00,-1.6558e+00,3.1131e+00,1.0007e+01,3.1078e+01,-1.3064e+03
-1.0245e+00,-1.5316e+00,3.1281e+00,1.0021e+01,3.1090e+01,-1.3072e+03
-1.0194e+00,-1.7898e+00,3.1102e+00,1.0019e+01,3.1080e+01,-1.3029e+03
-1.0000e+00,-1.5354e+00,3.0849e+00,1.0008e+01,3.0989e+01,-1.3118e+03
-1.0249e+00,-1.5761e+00,3.1319e+00,1.0014e+01,3.1111e+01,-1.3074e+03
-1.0647e+00,-1.7775e+00,3.0864e+00,9.9288e+00,3.1116e+01,-1.3117e+03
-1.0280e+00,-1.5603e+00,3.1000e+00,9.9401e+00,3.1099e+01,-1.3129e+03
-1.1415e+00,-1.5095e+00,3.1818e+00,1.0077e+01,3.1065e+01,-1.3091e+03
-1.0238e+00,-1.5177e+00,3.0752e+00,1.0003e+01,3.0961e+01,-1.3096e+03
-1.0281e+00,-1.6381e+00,3.0948e+00,1.0004e+01,3.1023e+01,-1.3097e+03
-1.2341e+00,-1.5963e+00,3.2015e+00,1.0093e+01,3.1183e+01,-1.3127e+03
-1.0180e+00,-1.6792e+00,3.0814e+00,9.9694e+00,3.1070e+01,-1.3117e+03
-1.0278e+00,-1.7588e+00,3.0954e+00,9.9311e+00,3.1114e+01,-1.3124e+03
-1.0528e+00,-1.5039e+00,3.0940e+00,9.9619e+00,3.1108e+01,-1.3082e+03
-1.0224e+00,-1.5890e+00,3.0935e+00,1.0013e+01,3.1008e+01,-1.3081e+03
-1.0235e+00,-1.7886e+00,3.1071e+00,1.0025e+01,3.1056e+01,-1.3117e+03
-1.0308e+00,-1.9135e+00,3.0701e+00,9.9287e+00,3.1072e+01,-1.3124e+03
-1.0376e+00,-1.7190e+00,3.0873e+00,9.9306e+00,3.1096e+01,-1.3109e+03
-1.0978e+00,-1.5448e+00,3.0910e+00,9.9554e+00,3.1095e+01,-1.3053e+03
-1.0353e+00,-1.8054e+00,3.1019e+00,9.9775e+00,3.1067e+01,-1.3132e+03
-1.0270e+00,-1.6146e+00,3.1093e+00,1.0017e+01,3.1058e+01,-1.3104e+03
-1.0005e+00,-1.6696e+00,3.0898e+00,1.0025e+01,3.1005e+01,-1.3119e+03
-1.0221e+00,-1.5959e+00,3.0622e+00,9.9137e+00,3.1112e+01,-1.3133e+03
-1.0099e+00,-1.5062e+00,3.0941e+00,9.9548e+00,3.1085e+01,-1.3132e+03
-1.0416e+00,-1.5600e+00,3.1067e+00,9.9769e+00,3.1038e+01,-1.3078e+03
-1.0543e+00,-1.6923e+00,3.0937e+00,9.9722e+00,3.1124e+01,-1.3066e+03
-1.0723e+00,-1.5053e+00,3.0968e+00,1.0023e+01,3.1032e+01,-1.3117e+03
-1.1307e+00,-1.7601e+00,3.1697e+00,1.0083e+01,3.1063e+01,-1.3095e+03
-1.0205e+00,-1.8973e+00,3.0988e+00,9.9963e+00,3.1067e+01,-1.3094e+03
-1.2189e+00,-1.5884e+00,3.1730e+00,1.0088e+01,3.1107e+01,-1.3069e+03
-1.0514e+00,-1.5631e+00,3.0925e+00,9.9968e+00,3.1025e+01,-1.3111e+03
