niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.2845e+05,-1.2846e+05,-1.9980e-03,-1.2846e+05,1.1750e-01,6.9098e+00,inf,3.2732e-01,-1.2365e+00,-1.7742e+00,3.9460e+00,9.5744e+00,3.0239e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.2571e+05,-1.2571e+05,-3.9960e-03,-1.2571e+05,1.1751e-01,6.9118e+00,1.2706e+05,6.6656e-01,-1.2255e+00,-1.7809e+00,3.8425e+00,9.5250e+00,3.0622e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.2557e+05,-1.2557e+05,-5.9940e-03,-1.2557e+05,1.1753e-01,6.9138e+00,1.2432e+05,9.9961e-01,-1.2112e+00,-1.8195e+00,3.8652e+00,9.5781e+00,3.0546e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.2547e+05,-1.2548e+05,-7.9920e-03,-1.2548e+05,1.1755e-01,6.9157e+00,1.2418e+05,1.3273e+00,-1.0188e+00,-1.7354e+00,3.9136e+00,9.8284e+00,3.0013e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.2496e+05,-1.2497e+05,-9.9900e-03,-1.2497e+05,1.1757e-01,6.9177e+00,1.2408e+05,1.6568e+00,-1.0461e+00,-1.5132e+00,3.7618e+00,9.5594e+00,3.0237e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.2481e+05,-1.2481e+05,-1.1988e-02,-1.2481e+05,1.1758e-01,6.9197e+00,1.2358e+05,1.9806e+00,-1.2477e+00,-1.5497e+00,3.9317e+00,9.8341e+00,3.0170e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.2473e+05,-1.2474e+05,-1.3986e-02,-1.2474e+05,1.1760e-01,6.9217e+00,1.2342e+05,2.3168e+00,-1.2481e+00,-1.5518e+00,3.9927e+00,9.9836e+00,3.0060e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.2459e+05,-1.2459e+05,-1.5984e-02,-1.2459e+05,1.1762e-01,6.9237e+00,1.2334e+05,2.6503e+00,-1.2465e+00,-1.6955e+00,3.9657e+00,9.6345e+00,3.1174e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.2458e+05,-1.2458e+05,-1.7982e-02,-1.2458e+05,1.1763e-01,6.9250e+00,1.2320e+05,2.9757e+00,-1.0385e+00,-1.9084e+00,3.7389e+00,9.5622e+00,3.0254e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.2436e+05,-1.2436e+05,-1.9980e-02,-1.2436e+05,1.1765e-01,6.9277e+00,1.2319e+05,3.4155e+00,-1.0211e+00,-1.9111e+00,3.9463e+00,9.8926e+00,3.0284e+01
