niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logSFH0,logSFH1,logSFH2,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.1585e+05,-1.1586e+05,-1.9980e-03,-1.1586e+05,1.1750e-01,6.9098e+00,inf,3.6740e-01,-1.2445e+00,-1.6970e+00,2.4120e+00,3.4190e+00,3.3251e+00,3.0369e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.1416e+05,-1.1417e+05,-3.9960e-03,-1.1417e+05,1.1751e-01,6.9118e+00,1.1485e+05,9.0291e-01,-1.0956e+00,-1.5439e+00,1.9763e+00,3.4802e+00,3.3970e+00,3.1584e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.1372e+05,-1.1373e+05,-5.9940e-03,-1.1373e+05,1.1753e-01,6.9138e+00,1.1316e+05,1.2821e+00,-1.0521e+00,-1.7167e+00,2.0685e+00,3.4373e+00,3.4131e+00,3.1899e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.1355e+05,-1.1356e+05,-7.9920e-03,-1.1356e+05,1.1755e-01,6.9157e+00,1.1272e+05,1.6719e+00,-1.1199e+00,-1.9790e+00,1.8937e+00,3.4709e+00,3.0035e+00,3.0688e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.1292e+05,-1.1293e+05,-9.9900e-03,-1.1293e+05,1.1757e-01,6.9177e+00,1.1255e+05,2.1972e+00,-1.1232e+00,-1.8667e+00,1.1133e+00,3.4340e+00,2.9944e+00,3.0568e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.1266e+05,-1.1266e+05,-1.1988e-02,-1.1266e+05,1.1758e-01,6.9197e+00,1.1192e+05,2.5772e+00,-1.1706e+00,-1.7159e+00,2.3371e-02,3.2516e+00,3.4431e+00,3.1114e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.1258e+05,-1.1258e+05,-1.3986e-02,-1.1258e+05,1.1760e-01,6.9217e+00,1.1165e+05,2.9581e+00,-1.1383e+00,-1.7924e+00,1.2010e+00,3.4583e+00,1.9336e+00,3.0025e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.1250e+05,-1.1251e+05,-1.5984e-02,-1.1251e+05,1.1762e-01,6.9237e+00,1.1157e+05,3.3335e+00,-1.1537e+00,-1.9690e+00,2.0443e+00,3.4529e+00,1.8808e+00,3.0161e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.1218e+05,-1.1219e+05,-1.7982e-02,-1.1219e+05,1.1763e-01,6.9257e+00,1.1150e+05,3.8489e+00,-1.1202e+00,-1.8805e+00,1.8239e+00,3.4902e+00,2.6797e+00,3.1143e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.1216e+05,-1.1217e+05,-1.9980e-02,-1.1217e+05,1.1765e-01,6.9277e+00,1.1118e+05,4.4869e+00,-1.0928e+00,-1.9212e+00,1.8265e+00,3.4727e+00,2.9494e+00,3.1959e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.1210e+05,-1.1211e+05,-2.1978e-02,-1.1211e+05,1.1767e-01,6.9297e+00,1.1116e+05,4.9817e+00,-1.1132e+00,-1.9792e+00,2.2540e-01,3.4697e+00,1.5777e+00,3.0263e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.1210e+05,-1.1210e+05,-2.3976e-02,-1.1210e+05,1.1466e-01,6.5799e+00,1.1110e+05,5.3602e+00,-1.1505e+00,-1.8323e+00,2.1681e+00,3.4943e+00,2.6089e+00,3.1451e+01
