logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.5672e-01,-1.4488e+00,-1.7062e+00,-7.2627e-02,5.1245e-01,2.2667e+00,2.4478e+00,2.4564e+01,-1.5129e+03
1.4918e-01,-1.6007e+00,-2.1916e+00,-1.5640e-01,3.2176e-01,2.2733e+00,2.5094e+00,2.4665e+01,-1.6049e+03
2.2425e-01,-1.7765e+00,-1.6513e+00,-2.2185e-01,3.8183e-01,2.2751e+00,2.3815e+00,2.4458e+01,-1.5540e+03
1.0157e-01,-1.3843e+00,-2.2123e+00,-1.3665e-01,3.4909e-01,2.2590e+00,2.4818e+00,2.4613e+01,-1.6230e+03
1.5800e-01,-1.4352e+00,-2.5215e+00,-1.8663e-01,4.4802e-01,2.2917e+00,2.3890e+00,2.4524e+01,-1.5690e+03
1.2985e-01,-1.4275e+00,-2.4912e+00,-2.5012e-01,6.3431e-01,2.2912e+00,2.4240e+00,2.4598e+01,-1.6152e+03
1.2507e-01,-1.4536e+00,-2.8418e+00,-7.1725e-02,3.7994e-01,2.3101e+00,2.5040e+00,2.4719e+01,-1.5871e+03
2.4032e-01,-1.8918e+00,-3.1314e+00,-3.3232e-01,5.6965e-01,2.2595e+00,2.4095e+00,2.4483e+01,-1.5314e+03
1.6342e-01,-1.6497e+00,-2.3648e+00,-1.4930e-01,-1.1137e-01,2.2497e+00,2.4699e+00,2.4571e+01,-1.6137e+03
2.4777e-01,-1.9200e+00,-2.9498e+00,-2.6775e-01,5.1428e-01,2.2702e+00,2.3993e+00,2.4501e+01,-1.6239e+03
2.1672e-01,-1.6855e+00,-2.7334e+00,-8.9419e-02,-1.0164e+00,2.3150e+00,2.3532e+00,2.4464e+01,-1.6007e+03
2.2609e-01,-1.7662e+00,-1.5170e+00,-6.4551e-01,6.5700e-01,2.3037e+00,2.3636e+00,2.4494e+01,-1.5876e+03
2.2901e-01,-1.8643e+00,-2.8094e+00,-3.0204e-01,5.4223e-01,2.2852e+00,2.4089e+00,2.4524e+01,-1.5905e+03
2.0781e-01,-1.8999e+00,-1.4881e+00,-8.4827e-02,6.3203e-01,2.2246e+00,2.4831e+00,2.4549e+01,-1.6251e+03
