logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
2.1280e-01,-1.5539e+00,-2.8450e+00,-1.6644e-01,6.2797e-01,2.3030e+00,2.3107e+00,-1.3717e+03
2.2078e-01,-1.5750e+00,-2.5870e+00,-2.6794e-01,6.5105e-01,2.3029e+00,2.3083e+00,-1.3752e+03
2.3139e-01,-1.5418e+00,-1.8546e+00,-1.9489e-01,6.4618e-01,2.3054e+00,2.3064e+00,-1.3587e+03
2.0305e-01,-1.5787e+00,-2.2384e+00,-2.1625e-01,5.7138e-01,2.3031e+00,2.3140e+00,-1.3650e+03
2.2234e-01,-1.5802e+00,-2.2716e+00,-2.6248e-01,6.6383e-01,2.3002e+00,2.3127e+00,-1.3716e+03
2.2819e-01,-1.5602e+00,-2.3327e+00,-1.9451e-01,6.2599e-01,2.3038e+00,2.3094e+00,-1.3728e+03
2.3394e-01,-1.5630e+00,-2.2568e+00,-1.6960e-01,6.1202e-01,2.3019e+00,2.3101e+00,-1.3716e+03
2.0702e-01,-1.5609e+00,-1.8511e+00,-1.9552e-01,6.3658e-01,2.3026e+00,2.3094e+00,-1.3729e+03
2.1740e-01,-1.5640e+00,-2.3666e+00,-2.0310e-01,6.0492e-01,2.3037e+00,2.3111e+00,-1.3740e+03
2.2868e-01,-1.5713e+00,-2.9791e+00,-2.4872e-01,6.5202e-01,2.3031e+00,2.3068e+00,-1.3751e+03
2.0796e-01,-1.5635e+00,-2.6612e+00,-2.1647e-01,6.5019e-01,2.3040e+00,2.3097e+00,-1.3714e+03
2.1815e-01,-1.5288e+00,-2.9385e+00,-9.8055e-02,6.1690e-01,2.3053e+00,2.3113e+00,-1.3686e+03
2.2316e-01,-1.5515e+00,-2.6396e+00,-1.0653e-01,5.7168e-01,2.3047e+00,2.3111e+00,-1.3673e+03
2.1269e-01,-1.5814e+00,-2.8134e+00,-1.8533e-01,5.4869e-01,2.3034e+00,2.3125e+00,-1.3590e+03
2.3239e-01,-1.5472e+00,-2.4112e+00,-1.7957e-01,6.4990e-01,2.3019e+00,2.3127e+00,-1.3669e+03
2.0250e-01,-1.5303e+00,-2.6009e+00,-1.8139e-01,6.4617e-01,2.3052e+00,2.3093e+00,-1.3730e+03
