logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.2388e-01,-1.6282e+00,-3.1042e+00,-9.9180e-02,-1.8249e-01,2.1953e+00,2.6149e+00,2.4741e+01,-1.4412e+03
2.3142e-01,-1.8501e+00,-2.6193e+00,-4.0421e-01,-9.4165e-01,2.2142e+00,2.4746e+00,2.4486e+01,-1.5255e+03
1.4920e-01,-1.5035e+00,-1.5567e+00,-1.9273e-01,-1.6670e-01,2.3024e+00,2.5067e+00,2.4670e+01,-1.5241e+03
2.2819e-01,-1.7758e+00,-2.0147e+00,-2.3197e-01,-9.5360e-01,2.2885e+00,2.4564e+00,2.4580e+01,-1.3478e+03
2.0139e-01,-1.6589e+00,-2.9238e+00,-1.9081e-01,-8.5156e-02,2.1833e+00,2.4392e+00,2.4417e+01,-1.5875e+03
1.6374e-01,-1.5211e+00,-1.1616e+00,-8.9320e-02,-2.6552e-01,2.2796e+00,2.5392e+00,2.4694e+01,-1.3670e+03
2.2361e-01,-1.6193e+00,-2.2876e+00,-1.8362e-01,1.3982e-01,2.2808e+00,2.4365e+00,2.4544e+01,-1.2724e+03
1.7965e-01,-1.4783e+00,-1.6639e+00,-3.0798e-01,2.5435e-01,2.2574e+00,2.3882e+00,2.4465e+01,-1.5934e+03
3.8850e-02,-1.6993e+00,-1.3464e+00,-1.3285e-01,-7.0782e-01,1.9955e+00,2.7526e+00,2.4894e+01,-1.5748e+03
1.2758e-01,-1.7746e+00,-1.3309e+00,-2.0300e-01,6.1181e-01,2.0906e+00,2.6456e+00,2.4748e+01,-1.5753e+03
2.4121e-01,-1.7270e+00,-2.4140e+00,-1.6558e-01,-5.6185e-01,2.2664e+00,2.4709e+00,2.4535e+01,-1.5031e+03
1.7827e-01,-1.8967e+00,-1.5555e+00,-1.0366e-01,-2.8105e-01,2.1624e+00,2.6293e+00,2.4716e+01,-1.4639e+03
1.8834e-01,-1.7846e+00,-1.6280e+00,-2.4501e-01,-6.3339e-01,2.1597e+00,2.5202e+00,2.4517e+01,-1.4891e+03
2.2853e-01,-1.8621e+00,-1.2822e+00,-2.5228e-01,2.0880e-01,2.2395e+00,2.4701e+00,2.4563e+01,-1.5871e+03
2.3998e-01,-1.9140e+00,-2.5905e+00,-2.7440e-01,2.9539e-01,2.2960e+00,2.5115e+00,2.4670e+01,-1.3468e+03
1.5580e-01,-1.7209e+00,-2.4841e+00,-1.4591e-01,2.7386e-03,2.0935e+00,2.5820e+00,2.4564e+01,-1.6044e+03
1.5948e-01,-1.8978e+00,-1.1954e+00,-2.3282e-01,3.5665e-03,2.1417e+00,2.6109e+00,2.4677e+01,-1.5341e+03
1.9091e-01,-1.5961e+00,-1.2438e+00,-1.5807e-01,5.5632e-01,2.2221e+00,2.5511e+00,2.4626e+01,-1.6164e+03
2.3534e-01,-1.5652e+00,-2.6939e+00,-1.3707e-01,-8.4576e-01,2.2998e+00,2.4108e+00,2.4495e+01,-1.5036e+03
2.2736e-01,-1.9942e+00,-1.6145e+00,-4.3682e-01,-2.7068e-01,2.2235e+00,2.4593e+00,2.4508e+01,-1.4370e+03
6.3066e-02,-1.3939e+00,-1.5868e+00,-4.2629e-01,5.8977e-01,2.2599e+00,2.5844e+00,2.4792e+01,-1.5610e+03
1.9802e-01,-1.5782e+00,-2.2658e+00,-1.1842e-01,-4.5070e-01,2.2634e+00,2.4589e+00,2.4556e+01,-1.3060e+03
2.2814e-01,-1.6539e+00,-2.2283e+00,-1.3527e-01,-1.2050e+00,2.2823e+00,2.4264e+00,2.4505e+01,-1.5967e+03
2.1180e-01,-1.8020e+00,-1.9001e+00,-6.1822e-01,4.6970e-01,2.1824e+00,2.5106e+00,2.4522e+01,-1.6312e+03
1.9396e-01,-1.7015e+00,-1.5525e+00,-4.1068e-01,-2.5086e-01,2.2738e+00,2.5093e+00,2.4641e+01,-1.5575e+03
2.2379e-01,-1.6843e+00,-2.1502e+00,-2.9114e-01,4.3617e-01,2.2878e+00,2.5252e+00,2.4666e+01,-1.5857e+03
2.3373e-01,-1.8312e+00,-2.2515e+00,-3.0226e-01,6.3651e-01,2.1603e+00,2.4641e+00,2.4456e+01,-1.4696e+03
1.5696e-01,-1.6789e+00,-2.8968e+00,-2.9209e-01,4.2621e-01,2.2046e+00,2.5895e+00,2.4691e+01,-1.6246e+03
1.1299e-01,-1.7338e+00,-1.4605e+00,-1.6965e-01,5.3111e-01,2.1944e+00,2.6945e+00,2.4920e+01,-1.5920e+03
2.4495e-01,-1.7543e+00,-2.5109e+00,-1.9216e-01,2.8357e-01,2.2185e+00,2.4896e+00,2.4510e+01,-1.5285e+03
6.6445e-02,-1.4935e+00,-1.1789e+00,-7.6356e-02,1.4452e-01,2.1976e+00,2.6644e+00,2.4847e+01,-1.5380e+03
2.2027e-01,-1.8676e+00,-2.8606e+00,-2.0543e-01,-4.6035e-01,2.2280e+00,2.5436e+00,2.4626e+01,-1.4827e+03
2.4162e-01,-1.7336e+00,-2.7706e+00,-5.1339e-01,4.2029e-02,2.3063e+00,2.4407e+00,2.4569e+01,-1.4934e+03
1.9414e-01,-1.7886e+00,-2.4982e+00,-7.1227e-02,-3.3312e-01,2.2285e+00,2.5226e+00,2.4630e+01,-1.5108e+03
2.1612e-01,-1.5035e+00,-3.1158e+00,-2.6435e-01,-1.7693e-01,2.2970e+00,2.4040e+00,2.4493e+01,-1.5205e+03
1.3771e-01,-1.9802e+00,-1.7582e+00,-1.9615e-01,-4.8023e-02,2.0759e+00,2.6124e+00,2.4643e+01,-1.4894e+03
1.9545e-01,-1.5189e+00,-3.0994e+00,-1.3800e-01,5.9492e-01,2.2802e+00,2.4748e+00,2.4591e+01,-1.3939e+03
9.5451e-02,-1.2728e+00,-2.1249e+00,-1.9188e-01,6.0600e-01,2.2996e+00,2.4078e+00,2.4570e+01,-1.5357e+03
1.2840e-01,-1.8766e+00,-1.4894e+00,-1.7652e-01,5.8017e-01,2.1380e+00,2.6752e+00,2.4836e+01,-1.4707e+03
1.1678e-01,-1.5250e+00,-2.2123e+00,-4.3885e-01,3.2930e-01,2.2142e+00,2.5629e+00,2.4677e+01,-1.5245e+03
2.4578e-01,-1.6321e+00,-1.7192e+00,-6.0124e-01,5.1911e-01,2.2342e+00,2.3876e+00,2.4408e+01,-1.5035e+03
8.9172e-02,-1.3960e+00,-1.1869e+00,-1.2465e-01,-1.7113e-01,2.2349e+00,2.5543e+00,2.4703e+01,-1.6233e+03
2.2460e-01,-1.9109e+00,-1.2673e+00,-1.7790e-01,8.3994e-02,2.2413e+00,2.5530e+00,2.4657e+01,-1.3289e+03
8.7118e-02,-1.5649e+00,-3.0350e+00,-8.0439e-02,5.0749e-01,2.1127e+00,2.6430e+00,2.4758e+01,-1.4266e+03
1.6835e-01,-1.4814e+00,-2.1105e+00,-6.8964e-01,4.6078e-01,2.2896e+00,2.4534e+00,2.4591e+01,-1.5129e+03
1.7052e-01,-1.6585e+00,-1.2582e+00,-7.1631e-01,1.8345e-01,2.1824e+00,2.5115e+00,2.4537e+01,-1.5828e+03
1.4784e-01,-1.5539e+00,-1.1456e+00,-1.4896e-01,-1.0886e+00,2.2337e+00,2.5563e+00,2.4670e+01,-1.4744e+03
1.8668e-01,-1.5836e+00,-1.3522e+00,-3.0001e-01,4.1934e-01,2.2051e+00,2.4585e+00,2.4493e+01,-1.4180e+03
1.1117e-01,-1.9866e+00,-2.7914e+00,-1.5060e-01,2.7134e-01,1.9712e+00,2.7094e+00,2.4762e+01,-1.6235e+03
1.4756e-01,-1.5220e+00,-2.4622e+00,-7.9238e-02,-1.2374e-01,2.2879e+00,2.4982e+00,2.4665e+01,-1.3426e+03
2.2198e-01,-1.8401e+00,-1.6916e+00,-1.2620e-01,-7.5801e-01,2.2381e+00,2.4926e+00,2.4586e+01,-1.6155e+03
2.1051e-01,-1.8025e+00,-2.1270e+00,-8.5801e-01,4.8845e-01,2.2894e+00,2.4906e+00,2.4657e+01,-1.6137e+03
2.0812e-01,-1.6600e+00,-3.0210e+00,-3.5976e-01,-7.8552e-01,2.2891e+00,2.4306e+00,2.4551e+01,-1.4070e+03
1.1923e-01,-1.7234e+00,-2.0332e+00,-7.3058e-02,-3.7302e-01,2.1748e+00,2.6442e+00,2.4803e+01,-1.5524e+03
1.0990e-01,-1.3809e+00,-2.5648e+00,-6.5266e-02,-4.0695e-01,2.2655e+00,2.5153e+00,2.4650e+01,-1.4085e+03
1.5325e-01,-1.6876e+00,-3.1064e+00,-2.2162e-01,-1.0708e+00,2.2882e+00,2.5978e+00,2.4799e+01,-1.6093e+03
1.7756e-01,-1.7442e+00,-1.3769e+00,-5.3251e-01,-4.7512e-01,2.2238e+00,2.5191e+00,2.4603e+01,-1.5305e+03
1.4445e-01,-1.5562e+00,-2.5897e+00,-2.9014e-01,-6.1775e-01,2.2191e+00,2.5253e+00,2.4610e+01,-1.6235e+03
2.2721e-01,-1.7170e+00,-2.9400e+00,-2.0940e-01,-3.1110e-01,2.2243e+00,2.4925e+00,2.4522e+01,-1.5946e+03
2.1015e-01,-1.6035e+00,-2.5571e+00,-2.7534e-01,-9.0404e-01,2.2827e+00,2.4457e+00,2.4535e+01,-1.5367e+03
1.3596e-01,-1.6079e+00,-1.3009e+00,-9.6684e-02,2.0410e-02,2.1359e+00,2.6057e+00,2.4659e+01,-1.5070e+03
2.0285e-02,-1.2607e+00,-3.1053e+00,-1.0888e-01,-7.7945e-01,2.2475e+00,2.5322e+00,2.4683e+01,-1.6253e+03
1.1259e-01,-1.4794e+00,-2.1543e+00,-8.6003e-02,5.4421e-01,2.1427e+00,2.6086e+00,2.4679e+01,-1.5022e+03
