logfeh,logdust,logNpix,tau,dmod,logl
-2.9873e-01,-1.0747e+00,2.9022e+00,3.2990e+00,2.5207e+01,-1.7516e+03
-2.3666e-01,-1.0713e+00,2.9002e+00,3.2957e+00,2.5200e+01,-1.7449e+03
-2.6047e-01,-1.0881e+00,2.9034e+00,3.2114e+00,2.5207e+01,-1.7550e+03
-1.3275e-01,-1.2345e+00,2.8593e+00,3.1899e+00,2.5049e+01,-1.7497e+03
-2.0404e-01,-1.0760e+00,2.8985e+00,3.2443e+00,2.5184e+01,-1.7386e+03
-2.4035e-01,-1.0692e+00,2.9020e+00,3.3270e+00,2.5202e+01,-1.7469e+03
-2.7832e-01,-1.0864e+00,2.8995e+00,3.2082e+00,2.5191e+01,-1.7407e+03
-2.8616e-01,-1.0587e+00,2.8966e+00,3.3213e+00,2.5187e+01,-1.7475e+03
-2.4095e-01,-1.0860e+00,2.8994e+00,3.2354e+00,2.5198e+01,-1.7391e+03
-2.5313e-01,-1.0767e+00,2.8959e+00,3.2425e+00,2.5185e+01,-1.7521e+03
-2.2788e-01,-1.0737e+00,2.8985e+00,3.2604e+00,2.5188e+01,-1.7463e+03
-2.2687e-01,-1.0742e+00,2.8992e+00,3.2927e+00,2.5199e+01,-1.7454e+03
-2.6892e-01,-1.0868e+00,2.8980e+00,3.2460e+00,2.5189e+01,-1.7467e+03
-2.0836e-01,-1.0799e+00,2.8991e+00,3.2088e+00,2.5188e+01,-1.7413e+03
-2.2915e-01,-1.0842e+00,2.8972e+00,3.2559e+00,2.5196e+01,-1.7458e+03
-2.3114e-01,-1.0834e+00,2.8999e+00,3.2956e+00,2.5208e+01,-1.7414e+03
-2.2792e-01,-1.0833e+00,2.8979e+00,3.2686e+00,2.5200e+01,-1.7271e+03
-2.5646e-01,-1.0760e+00,2.8999e+00,3.2954e+00,2.5198e+01,-1.7335e+03
-1.2746e-01,-1.2403e+00,2.8612e+00,3.1595e+00,2.5045e+01,-1.7545e+03
-2.5701e-01,-1.0903e+00,2.9001e+00,3.2107e+00,2.5196e+01,-1.7539e+03
-2.3459e-01,-1.0808e+00,2.8973e+00,3.2412e+00,2.5193e+01,-1.7533e+03
-2.3708e-01,-1.0832e+00,2.8979e+00,3.2417e+00,2.5183e+01,-1.7546e+03
-2.6318e-01,-1.0719e+00,2.8989e+00,3.3046e+00,2.5197e+01,-1.7495e+03
-2.1332e-01,-1.0877e+00,2.8949e+00,3.2374e+00,2.5181e+01,-1.7551e+03
-1.5372e-01,-1.2213e+00,2.8638e+00,3.1084e+00,2.5060e+01,-1.7426e+03
-1.7130e-01,-1.1724e+00,2.8859e+00,3.2311e+00,2.5128e+01,-1.7525e+03
-2.0033e-01,-1.0810e+00,2.8988e+00,3.2518e+00,2.5191e+01,-1.7304e+03
-1.6712e-01,-1.1886e+00,2.8598e+00,3.1651e+00,2.5054e+01,-1.7424e+03
-2.9805e-01,-1.0749e+00,2.8994e+00,3.3122e+00,2.5200e+01,-1.7425e+03
-2.6166e-01,-1.0861e+00,2.8981e+00,3.2543e+00,2.5198e+01,-1.7552e+03
-2.5413e-01,-1.0745e+00,2.8986e+00,3.2459e+00,2.5195e+01,-1.7492e+03
-1.3515e-01,-1.2393e+00,2.8603e+00,3.1705e+00,2.5047e+01,-1.7124e+03
-2.1178e-01,-1.0712e+00,2.8988e+00,3.2963e+00,2.5200e+01,-1.7550e+03
-2.8806e-01,-1.0783e+00,2.8977e+00,3.3017e+00,2.5194e+01,-1.7537e+03
-1.9736e-01,-1.1343e+00,2.8798e+00,3.3011e+00,2.5128e+01,-1.7548e+03
-2.9116e-01,-1.0661e+00,2.8932e+00,3.2747e+00,2.5169e+01,-1.7389e+03
