logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.1988e-01,-1.4705e+00,-2.3126e+00,-1.5229e-01,9.2483e-01,2.5013e+00,2.7739e+00,2.4310e+01,-1.2805e+03
2.2936e-01,-1.4911e+00,-2.3591e+00,-9.3927e-02,1.0279e+00,2.5260e+00,2.8084e+00,2.4404e+01,-1.2907e+03
2.2662e-01,-1.5100e+00,-1.3328e+00,-2.6723e-01,1.0166e+00,2.4653e+00,2.7951e+00,2.4308e+01,-1.2677e+03
2.0272e-01,-1.3911e+00,-2.0527e+00,-2.8491e-01,1.0340e+00,2.5617e+00,2.7463e+00,2.4343e+01,-1.2430e+03
2.2809e-01,-1.3056e+00,-1.7611e+00,-1.3327e-01,1.0537e+00,2.6452e+00,2.6579e+00,2.4370e+01,-1.2652e+03
2.4840e-01,-1.3642e+00,-1.8308e+00,-3.4258e-01,1.0187e+00,2.5546e+00,2.6918e+00,2.4270e+01,-1.2875e+03
2.4584e-01,-1.2929e+00,-1.8950e+00,-2.1539e-01,1.0005e+00,2.6166e+00,2.6130e+00,2.4267e+01,-1.2914e+03
2.0014e-01,-1.5184e+00,-1.2946e+00,-2.4709e-01,1.0601e+00,2.4417e+00,2.8081e+00,2.4305e+01,-1.2789e+03
2.3642e-01,-1.3793e+00,-1.4981e+00,-2.7484e-01,1.0341e+00,2.5370e+00,2.7376e+00,2.4297e+01,-1.2833e+03
2.0050e-01,-1.4244e+00,-1.9422e+00,-1.7902e-01,9.0155e-01,2.5371e+00,2.7408e+00,2.4305e+01,-1.2564e+03
2.4577e-01,-1.4578e+00,-1.8423e+00,-2.4110e-01,9.8551e-01,2.5265e+00,2.7730e+00,2.4348e+01,-1.2826e+03
2.1157e-01,-1.2916e+00,-1.8455e+00,-6.9199e-02,1.0562e+00,2.6446e+00,2.6410e+00,2.4349e+01,-1.2949e+03
2.1555e-01,-1.5254e+00,-2.6117e+00,-1.9779e-01,1.0078e+00,2.5163e+00,2.8185e+00,2.4405e+01,-1.2659e+03
2.4477e-01,-1.5377e+00,-1.3863e+00,-3.9127e-01,1.0587e+00,2.4127e+00,2.8128e+00,2.4280e+01,-1.2762e+03
2.1481e-01,-1.4136e+00,-2.6947e+00,-9.6222e-02,9.5510e-01,2.5242e+00,2.7327e+00,2.4282e+01,-1.2119e+03
2.2069e-01,-1.2999e+00,-2.2338e+00,-7.6439e-02,1.0283e+00,2.6206e+00,2.6394e+00,2.4302e+01,-1.2679e+03
2.3981e-01,-1.4544e+00,-1.7645e+00,-1.6868e-01,9.7094e-01,2.5444e+00,2.7581e+00,2.4349e+01,-1.2545e+03
2.0565e-01,-1.2797e+00,-2.5300e+00,-2.4984e-01,1.0563e+00,2.6408e+00,2.6412e+00,2.4328e+01,-1.2562e+03
2.4923e-01,-1.5347e+00,-2.6645e+00,-9.9713e-02,1.0645e+00,2.4655e+00,2.8338e+00,2.4379e+01,-1.2948e+03
2.4696e-01,-1.3558e+00,-1.3917e+00,-1.3496e-01,9.8150e-01,2.6018e+00,2.7033e+00,2.4351e+01,-1.2942e+03
2.4407e-01,-1.4285e+00,-1.3061e+00,-6.1853e-01,1.0141e+00,2.5191e+00,2.7260e+00,2.4270e+01,-1.2689e+03
2.3958e-01,-1.4644e+00,-1.9938e+00,-1.1087e-01,9.3085e-01,2.5483e+00,2.7731e+00,2.4372e+01,-1.2792e+03
2.1345e-01,-1.4348e+00,-1.9903e+00,-5.5025e-02,9.8011e-01,2.5432e+00,2.7647e+00,2.4352e+01,-1.1921e+03
2.2638e-01,-1.5797e+00,-2.5515e+00,-3.3636e-01,9.8842e-01,2.4479e+00,2.8237e+00,2.4336e+01,-1.2907e+03
2.3539e-01,-1.2668e+00,-1.9148e+00,-1.4685e-01,1.0172e+00,2.6366e+00,2.6209e+00,2.4297e+01,-1.2457e+03
2.2547e-01,-1.3450e+00,-1.5290e+00,-2.4937e-01,1.0269e+00,2.5700e+00,2.7048e+00,2.4300e+01,-1.2417e+03
2.1254e-01,-1.4257e+00,-1.7212e+00,-3.5997e-01,9.4906e-01,2.5316e+00,2.7205e+00,2.4278e+01,-1.2809e+03
2.0042e-01,-1.3611e+00,-1.5230e+00,-8.8165e-02,1.0304e+00,2.5829e+00,2.7094e+00,2.4334e+01,-1.2758e+03
2.2516e-01,-1.4246e+00,-1.7597e+00,-2.5423e-01,1.0478e+00,2.5711e+00,2.7495e+00,2.4371e+01,-1.2952e+03
2.3588e-01,-1.4090e+00,-2.2360e+00,-8.6806e-02,9.5059e-01,2.5224e+00,2.7309e+00,2.4281e+01,-1.2788e+03
2.2987e-01,-1.4004e+00,-2.2219e+00,-2.0938e-01,1.0576e+00,2.5035e+00,2.7447e+00,2.4277e+01,-1.2933e+03
2.3637e-01,-1.3878e+00,-2.2837e+00,-1.2734e-01,1.0465e+00,2.5922e+00,2.7431e+00,2.4393e+01,-1.2900e+03
2.4235e-01,-1.3745e+00,-2.2407e+00,-4.7731e-02,9.0771e-01,2.6179e+00,2.7013e+00,2.4367e+01,-1.2777e+03
2.4111e-01,-1.4546e+00,-2.1408e+00,-2.2955e-01,9.9748e-01,2.4951e+00,2.7510e+00,2.4279e+01,-1.2366e+03
2.3312e-01,-1.4136e+00,-1.7412e+00,-3.0955e-01,1.0239e+00,2.5366e+00,2.7462e+00,2.4313e+01,-1.2434e+03
2.0293e-01,-1.5491e+00,-1.8124e+00,-7.7374e-02,9.7600e-01,2.4594e+00,2.8282e+00,2.4351e+01,-1.2728e+03
2.2754e-01,-1.3522e+00,-1.4760e+00,-2.2224e-01,9.6331e-01,2.5898e+00,2.6916e+00,2.4311e+01,-1.2773e+03
2.1929e-01,-1.2975e+00,-2.1847e+00,-1.3289e-01,1.0219e+00,2.6256e+00,2.6417e+00,2.4311e+01,-1.2368e+03
2.1974e-01,-1.3511e+00,-2.0799e+00,-8.7714e-02,1.0636e+00,2.5743e+00,2.7093e+00,2.4321e+01,-1.2631e+03
2.4074e-01,-1.2670e+00,-1.9265e+00,-9.8538e-02,1.0081e+00,2.6597e+00,2.6156e+00,2.4335e+01,-1.2945e+03
2.0878e-01,-1.3550e+00,-1.5978e+00,-3.4481e-01,1.0643e+00,2.6145e+00,2.7104e+00,2.4382e+01,-1.2801e+03
