logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.5853e-01,-1.1920e+00,-1.2218e+00,-5.1472e-01,1.0503e+00,2.6307e+00,2.6987e+00,-1.5055e+03
1.0620e-01,-1.2068e+00,-1.8811e+00,-1.3595e-01,1.0110e+00,2.4821e+00,2.8302e+00,-1.4026e+03
2.2151e-01,-1.6238e+00,-2.6161e+00,1.1266e-03,9.8635e-01,2.4385e+00,2.8792e+00,-1.4108e+03
2.3483e-01,-1.8592e+00,-1.7631e+00,-1.3463e-01,9.1962e-01,2.3847e+00,2.9056e+00,-1.4627e+03
2.0472e-01,-1.9074e+00,-2.0738e+00,-1.4900e-01,9.8109e-01,2.3218e+00,2.9332e+00,-1.5078e+03
2.2986e-01,-1.4221e+00,-2.0074e+00,-4.7701e-02,9.3960e-01,2.5873e+00,2.7683e+00,-1.4996e+03
2.2820e-01,-1.7014e+00,-1.7169e+00,-1.7395e-01,9.8632e-01,2.4254e+00,2.8781e+00,-1.4840e+03
2.2213e-01,-1.6499e+00,-1.8834e+00,-1.1685e-01,8.5532e-01,2.4626e+00,2.8730e+00,-1.4194e+03
1.9796e-01,-1.4923e+00,-2.0065e+00,-1.4388e-01,8.9793e-01,2.4376e+00,2.8701e+00,-1.4046e+03
1.5391e-01,-1.3001e+00,-1.7704e+00,-1.7516e-01,1.0332e+00,2.4978e+00,2.8240e+00,-1.4430e+03
2.3864e-01,-1.5088e+00,-2.4216e+00,-5.1858e-02,1.0079e+00,2.5219e+00,2.8186e+00,-1.3835e+03
2.1279e-01,-1.5707e+00,-1.2936e+00,-4.5477e-01,9.4621e-01,2.5281e+00,2.8230e+00,-1.4457e+03
2.1852e-01,-1.5115e+00,-2.6460e+00,-1.8386e-03,9.2501e-01,2.5259e+00,2.8310e+00,-1.3679e+03
1.8913e-01,-1.5000e+00,-2.1296e+00,-3.5297e-01,9.6732e-01,2.4132e+00,2.8801e+00,-1.4366e+03
2.4798e-01,-1.8684e+00,-1.7349e+00,-1.3666e-01,8.7192e-01,2.3762e+00,2.9078e+00,-1.4179e+03
2.4193e-01,-1.8148e+00,-1.4420e+00,-2.3464e-04,1.0010e+00,2.3689e+00,2.9055e+00,-1.4869e+03
1.6109e-01,-1.3770e+00,-2.5790e+00,-2.3896e-01,1.0272e+00,2.4415e+00,2.8583e+00,-1.3954e+03
1.6961e-01,-1.3582e+00,-1.5889e+00,4.3335e-02,3.5777e-01,2.5235e+00,2.8172e+00,-1.5059e+03
1.8108e-01,-1.5126e+00,-2.0748e+00,-8.9575e-02,1.1457e-01,2.4404e+00,2.8739e+00,-1.5134e+03
1.6446e-01,-1.6069e+00,-1.7514e+00,-2.8509e-01,1.0614e+00,2.2154e+00,2.9478e+00,-1.5252e+03
2.0093e-01,-1.6235e+00,-1.2045e+00,-4.6987e-01,1.0492e+00,2.4793e+00,2.8462e+00,-1.4978e+03
2.4799e-01,-1.9279e+00,-1.3999e+00,-2.6015e-01,1.0371e+00,2.3377e+00,2.9147e+00,-1.4703e+03
1.9137e-01,-1.5335e+00,-2.1315e+00,-1.7647e-01,1.0173e+00,2.3628e+00,2.8974e+00,-1.4855e+03
1.9764e-01,-1.4580e+00,-2.7180e+00,-2.6943e-02,9.0560e-01,2.4573e+00,2.8573e+00,-1.3747e+03
1.9560e-01,-1.3671e+00,-1.7251e+00,-2.4755e-02,8.3968e-01,2.5186e+00,2.8229e+00,-1.4325e+03
1.2211e-01,-1.2845e+00,-1.9713e+00,-3.7384e-01,1.0365e+00,2.4625e+00,2.8361e+00,-1.5182e+03
2.0759e-01,-1.5445e+00,-1.9267e+00,7.0651e-02,7.0040e-01,2.5180e+00,2.8384e+00,-1.4976e+03
1.8544e-01,-1.5550e+00,-2.5253e+00,-1.0614e-01,-2.5865e-02,2.4489e+00,2.8635e+00,-1.5252e+03
1.6471e-01,-1.5088e+00,-1.1717e+00,-4.1373e-01,9.5378e-01,2.3460e+00,2.9048e+00,-1.4414e+03
1.9170e-01,-1.4282e+00,-1.6086e+00,-2.2854e-01,9.6735e-01,2.4786e+00,2.8474e+00,-1.4769e+03
2.1826e-01,-1.4998e+00,-2.6301e+00,7.4830e-02,9.9319e-01,2.5045e+00,2.8391e+00,-1.4231e+03
1.7438e-01,-1.4059e+00,-1.4346e+00,-4.2542e-02,-1.4273e-02,2.5145e+00,2.8227e+00,-1.5130e+03
2.2528e-01,-1.5797e+00,-1.7103e+00,6.2889e-02,9.1022e-01,2.4625e+00,2.8704e+00,-1.5145e+03
