logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.9122e-01,-1.9928e+00,-1.7256e+00,-1.4892e-01,8.4042e-01,1.8258e+00,3.1258e+00,2.4700e+01,-1.2845e+03
1.8759e-01,-1.3932e+00,-2.2790e+00,-9.8545e-02,8.9136e-01,2.4171e+00,2.9930e+00,2.4630e+01,-1.1728e+03
1.7892e-01,-1.3082e+00,-2.5701e+00,-5.3622e-01,3.6989e-01,2.4245e+00,2.8804e+00,2.4411e+01,-1.4219e+03
1.4477e-01,-1.4753e+00,-1.7625e+00,-4.7893e-01,-3.9385e-02,2.2972e+00,2.9787e+00,2.4535e+01,-1.4423e+03
2.0152e-01,-1.5605e+00,-1.0918e+00,-9.1493e-01,6.6480e-01,2.2830e+00,2.9717e+00,2.4493e+01,-1.3635e+03
1.5986e-01,-1.6155e+00,-1.8634e+00,-3.5903e-01,4.9327e-01,2.0590e+00,3.0275e+00,2.4515e+01,-1.4217e+03
6.2469e-02,-1.3108e+00,-2.5931e+00,4.0444e-02,3.3947e-02,2.3321e+00,3.0649e+00,2.4742e+01,-1.3598e+03
2.4764e-01,-1.6438e+00,-2.2226e+00,-2.3301e-01,1.5199e-01,2.4191e+00,2.9861e+00,2.4610e+01,-1.2890e+03
1.1228e-01,-1.5652e+00,-1.2312e+00,-3.4019e-01,-5.6650e-01,2.1948e+00,3.0937e+00,2.4743e+01,-1.5078e+03
2.0357e-01,-1.7366e+00,-2.5970e+00,8.9641e-02,-7.7794e-01,2.1257e+00,3.0395e+00,2.4556e+01,-1.4031e+03
1.6811e-01,-1.2758e+00,-2.4666e+00,-9.7855e-02,-2.5163e-01,2.5289e+00,2.9132e+00,2.4555e+01,-1.4691e+03
2.1560e-01,-1.3826e+00,-1.1524e+00,-1.0737e-01,-4.9917e-01,2.4833e+00,2.9486e+00,2.4570e+01,-1.3415e+03
1.4951e-01,-1.5191e+00,-2.4594e+00,-6.2554e-01,-2.6822e-01,2.3493e+00,3.0226e+00,2.4654e+01,-1.4934e+03
2.4696e-01,-1.9285e+00,-1.0751e+00,-3.3930e-01,8.9680e-01,2.1493e+00,3.0640e+00,2.4634e+01,-1.1721e+03
1.3683e-01,-1.3738e+00,-1.9649e+00,3.6304e-03,-9.3053e-01,2.4337e+00,3.0192e+00,2.4709e+01,-1.4867e+03
1.9540e-01,-1.6191e+00,-2.5191e+00,-2.3230e-01,-1.4800e-01,2.2500e+00,2.9820e+00,2.4494e+01,-1.4119e+03
1.7733e-01,-1.2512e+00,-1.6649e+00,-1.1181e-01,9.8540e-01,2.5737e+00,2.9444e+00,2.4678e+01,-1.3133e+03
1.6169e-01,-1.7254e+00,-1.1998e+00,-5.5790e-01,2.2484e-01,2.0182e+00,3.0370e+00,2.4536e+01,-1.4623e+03
2.2191e-01,-1.5052e+00,-1.3036e+00,-6.6277e-01,2.1205e-01,2.3383e+00,2.9349e+00,2.4430e+01,-1.4450e+03
1.6052e-01,-1.3090e+00,-1.1434e+00,-1.6186e+00,6.5571e-01,2.5160e+00,2.9227e+00,2.4598e+01,-1.4066e+03
2.1669e-01,-1.4030e+00,-1.5713e+00,-2.2143e-01,6.9905e-01,2.5132e+00,2.9342e+00,2.4606e+01,-1.1414e+03
2.3702e-01,-1.4051e+00,-2.5493e+00,4.9260e-02,-1.0416e-01,2.5117e+00,2.9381e+00,2.4585e+01,-1.1276e+03
1.6025e-01,-1.3621e+00,-2.1409e+00,1.7383e-02,-3.1049e-01,2.4601e+00,2.9498e+00,2.4590e+01,-1.3151e+03
2.0768e-02,-1.2549e+00,-1.8027e+00,-3.4883e-02,2.6003e-01,2.3819e+00,3.0896e+00,2.4842e+01,-1.5056e+03
1.9138e-01,-1.7457e+00,-1.9372e+00,-4.9441e-02,1.0322e+00,1.6202e+00,3.0785e+00,2.4542e+01,-1.2726e+03
1.0274e-01,-1.2897e+00,-1.7182e+00,1.1704e-01,1.1001e-01,2.4575e+00,3.0011e+00,2.4686e+01,-1.5020e+03
5.2214e-02,-1.5317e+00,-8.6706e-01,-6.1854e-01,7.9165e-01,1.6479e+00,3.1222e+00,2.4697e+01,-1.4092e+03
1.2876e-01,-1.9053e+00,-1.3114e+00,-6.0942e-01,5.3773e-01,1.2529e+00,3.0859e+00,2.4550e+01,-1.4991e+03
9.8202e-02,-1.3747e+00,-9.7958e-01,-6.7895e-01,7.1174e-01,2.2186e+00,3.0414e+00,2.4627e+01,-1.3776e+03
1.3789e-01,-1.1497e+00,-1.9323e+00,3.0121e-01,-6.4749e-01,2.5845e+00,2.8804e+00,2.4575e+01,-1.2920e+03
2.1894e-01,-1.3382e+00,-1.8780e+00,6.7016e-03,3.1550e-01,2.5351e+00,2.8824e+00,2.4524e+01,-1.1536e+03
1.8566e-01,-1.9591e+00,-1.0700e+00,-1.5994e-01,3.7963e-01,1.5643e+00,3.0638e+00,2.4488e+01,-1.5048e+03
1.5053e-01,-1.7232e+00,-1.8085e+00,-3.6945e-01,1.0322e+00,1.0733e+00,3.0941e+00,2.4552e+01,-1.4803e+03
2.4516e-01,-1.7452e+00,-2.3342e+00,-6.8603e-01,2.1991e-01,2.2428e+00,2.9450e+00,2.4415e+01,-1.4957e+03
7.9809e-02,-1.7158e+00,-2.1579e+00,-1.0389e-01,3.6356e-01,1.3053e+00,3.1633e+00,2.4760e+01,-1.4639e+03
1.8135e-01,-1.2991e+00,-1.9655e+00,-5.5912e-02,3.5949e-01,2.5230e+00,2.9030e+00,2.4557e+01,-1.0222e+03
1.1677e-01,-1.4327e+00,-1.4414e+00,-6.4038e-01,1.0441e+00,2.2944e+00,3.0796e+00,2.4773e+01,-1.4392e+03
5.7940e-02,-1.1838e+00,-2.5013e+00,-1.7492e-01,-3.8244e-01,2.5114e+00,2.9325e+00,2.4625e+01,-1.4765e+03
-4.4168e-02,-1.1603e+00,-2.2566e+00,2.2439e-01,1.2121e-01,2.2480e+00,3.0902e+00,2.4790e+01,-1.4915e+03
1.5472e-01,-1.2740e+00,-2.1494e+00,-2.2463e-01,-8.4809e-01,2.5761e+00,2.8744e+00,2.4583e+01,-1.5085e+03
1.0025e-01,-1.3564e+00,-2.6991e+00,1.0627e-02,-5.4139e-01,2.2751e+00,3.0162e+00,2.4593e+01,-1.3178e+03
2.2390e-01,-1.4836e+00,-1.4761e+00,-4.7301e-01,-5.5455e-02,2.4753e+00,2.9682e+00,2.4615e+01,-1.3692e+03
