logfeh,logdust,logNpix,tau,dmod,logl
-1.1037e-01,-1.1591e+00,3.1289e+00,2.6930e+00,2.4732e+01,-1.8435e+03
-1.0167e-01,-1.1892e+00,3.1332e+00,2.5837e+00,2.4739e+01,-1.8605e+03
-1.2880e-01,-1.1515e+00,3.1406e+00,2.6064e+00,2.4767e+01,-1.8677e+03
-8.3419e-02,-1.2277e+00,3.1425e+00,2.5767e+00,2.4760e+01,-1.8467e+03
-9.0647e-02,-1.2192e+00,3.1507e+00,2.5883e+00,2.4790e+01,-1.8358e+03
-8.3691e-02,-1.2303e+00,3.1452e+00,2.5830e+00,2.4772e+01,-1.8310e+03
-1.0733e-01,-1.1539e+00,3.1273e+00,2.6976e+00,2.4724e+01,-1.8541e+03
-9.0158e-02,-1.2240e+00,3.1455e+00,2.5734e+00,2.4772e+01,-1.8282e+03
-1.3145e-01,-1.1588e+00,3.1406e+00,2.6318e+00,2.4779e+01,-1.8360e+03
-5.5351e-02,-1.2606e+00,3.1232e+00,2.6263e+00,2.4704e+01,-1.8422e+03
-8.4712e-02,-1.2412e+00,3.1450e+00,2.5875e+00,2.4774e+01,-1.8078e+03
-7.7550e-02,-1.2379e+00,3.1450e+00,2.6159e+00,2.4769e+01,-1.8268e+03
-8.5089e-02,-1.2285e+00,3.1331e+00,2.6296e+00,2.4744e+01,-1.8435e+03
-8.9294e-02,-1.2301e+00,3.1280e+00,2.5488e+00,2.4724e+01,-1.8474e+03
-8.7114e-02,-1.2165e+00,3.1475e+00,2.5650e+00,2.4770e+01,-1.8418e+03
-1.0550e-01,-1.1717e+00,3.1383e+00,2.6774e+00,2.4757e+01,-1.8229e+03
-1.0060e-01,-1.1841e+00,3.1325e+00,2.6353e+00,2.4736e+01,-1.8550e+03
-1.2026e-01,-1.1689e+00,3.1560e+00,2.6709e+00,2.4819e+01,-1.8353e+03
-8.4767e-02,-1.2301e+00,3.1482e+00,2.6221e+00,2.4784e+01,-1.8595e+03
-7.8326e-02,-1.2387e+00,3.1335e+00,2.5529e+00,2.4735e+01,-1.8546e+03
-7.4061e-02,-1.2406e+00,3.1285e+00,2.5755e+00,2.4721e+01,-1.8685e+03
-1.2250e-01,-1.1567e+00,3.1453e+00,2.6179e+00,2.4778e+01,-1.8664e+03
-8.7006e-02,-1.2407e+00,3.1415e+00,2.5161e+00,2.4759e+01,-1.8014e+03
-9.6903e-02,-1.2066e+00,3.1209e+00,2.6410e+00,2.4716e+01,-1.8316e+03
-8.7759e-02,-1.2114e+00,3.1315e+00,2.6368e+00,2.4735e+01,-1.8607e+03
-8.2067e-02,-1.2288e+00,3.1241e+00,2.6113e+00,2.4721e+01,-1.8584e+03
-8.1375e-02,-1.2311e+00,3.1480e+00,2.5809e+00,2.4776e+01,-1.8528e+03
-8.7730e-02,-1.2365e+00,3.1530e+00,2.5801e+00,2.4793e+01,-1.8679e+03
-1.0578e-01,-1.1990e+00,3.1469e+00,2.5872e+00,2.4782e+01,-1.8468e+03
-9.6513e-02,-1.2020e+00,3.1210e+00,2.6462e+00,2.4718e+01,-1.8643e+03
-9.0607e-02,-1.2192e+00,3.1482e+00,2.5956e+00,2.4779e+01,-1.8623e+03
-8.4727e-02,-1.2367e+00,3.1440e+00,2.5692e+00,2.4767e+01,-1.8466e+03
-5.9301e-02,-1.2868e+00,3.1575e+00,2.5582e+00,2.4797e+01,-1.8543e+03
-1.2740e-01,-1.1690e+00,3.1406e+00,2.6110e+00,2.4774e+01,-1.8629e+03
-8.9096e-02,-1.2220e+00,3.1469e+00,2.5868e+00,2.4775e+01,-1.8382e+03
-7.1414e-02,-1.2382e+00,3.1469e+00,2.6173e+00,2.4768e+01,-1.8340e+03
-5.1380e-02,-1.2689e+00,3.1212e+00,2.6282e+00,2.4697e+01,-1.8452e+03
-8.0368e-02,-1.2454e+00,3.1241e+00,2.5837e+00,2.4719e+01,-1.8097e+03
-7.7057e-02,-1.2358e+00,3.1494e+00,2.6155e+00,2.4775e+01,-1.8697e+03
-8.7140e-02,-1.2365e+00,3.1460e+00,2.5881e+00,2.4776e+01,-1.8138e+03
-1.0174e-01,-1.1962e+00,3.1435e+00,2.5896e+00,2.4768e+01,-1.8152e+03
-6.4252e-02,-1.2610e+00,3.1493e+00,2.6209e+00,2.4779e+01,-1.8522e+03
-7.9394e-02,-1.2360e+00,3.1267e+00,2.5898e+00,2.4719e+01,-1.8483e+03
-9.7641e-02,-1.2079e+00,3.1464e+00,2.5968e+00,2.4780e+01,-1.8238e+03
-1.0738e-01,-1.1915e+00,3.1308e+00,2.5910e+00,2.4743e+01,-1.8361e+03
-9.3679e-02,-1.1971e+00,3.1453e+00,2.6213e+00,2.4771e+01,-1.8662e+03
-7.7128e-02,-1.2613e+00,3.1456e+00,2.5675e+00,2.4780e+01,-1.8428e+03
-1.0457e-01,-1.1928e+00,3.1229e+00,2.6160e+00,2.4717e+01,-1.8542e+03
-1.0564e-01,-1.1834e+00,3.1496e+00,2.6959e+00,2.4799e+01,-1.8660e+03
-1.0148e-01,-1.2050e+00,3.1437e+00,2.5946e+00,2.4771e+01,-1.8324e+03
-1.0598e-01,-1.2071e+00,3.1316e+00,2.6099e+00,2.4752e+01,-1.8677e+03
-9.0585e-02,-1.2109e+00,3.1336e+00,2.6017e+00,2.4741e+01,-1.8334e+03
-6.9804e-02,-1.2169e+00,3.1206e+00,2.7051e+00,2.4702e+01,-1.8591e+03
-8.7775e-02,-1.2295e+00,3.1421e+00,2.5274e+00,2.4757e+01,-1.8626e+03
-1.2350e-01,-1.1562e+00,3.1565e+00,2.6894e+00,2.4819e+01,-1.8692e+03
-9.0342e-02,-1.2327e+00,3.1492e+00,2.5583e+00,2.4785e+01,-1.8521e+03
-1.0294e-01,-1.1721e+00,3.1488e+00,2.6954e+00,2.4788e+01,-1.8639e+03
-8.3311e-02,-1.2320e+00,3.1454e+00,2.5822e+00,2.4777e+01,-1.8665e+03
-9.9653e-02,-1.2318e+00,3.1473e+00,2.5708e+00,2.4793e+01,-1.8498e+03
-9.0965e-02,-1.2310e+00,3.1376e+00,2.5787e+00,2.4757e+01,-1.8673e+03
-7.8685e-02,-1.2497e+00,3.1495e+00,2.6103e+00,2.4792e+01,-1.8439e+03
-9.8891e-02,-1.2191e+00,3.1448e+00,2.5877e+00,2.4778e+01,-1.7863e+03
-1.0096e-01,-1.2018e+00,3.1492e+00,2.6058e+00,2.4785e+01,-1.8429e+03
-7.6742e-02,-1.2446e+00,3.1491e+00,2.6110e+00,2.4779e+01,-1.8511e+03
-8.9751e-02,-1.2163e+00,3.1455e+00,2.6036e+00,2.4774e+01,-1.8329e+03
-5.6003e-02,-1.2704e+00,3.1269e+00,2.6053e+00,2.4714e+01,-1.8344e+03
-9.9532e-02,-1.2095e+00,3.1284e+00,2.5545e+00,2.4726e+01,-1.8708e+03
-9.4990e-02,-1.2090e+00,3.1435e+00,2.5825e+00,2.4768e+01,-1.8648e+03
-5.0729e-02,-1.2898e+00,3.1311e+00,2.5906e+00,2.4727e+01,-1.8220e+03
-5.4965e-02,-1.2569e+00,3.1204e+00,2.6367e+00,2.4689e+01,-1.8485e+03
-8.7708e-02,-1.2230e+00,3.1476e+00,2.6012e+00,2.4779e+01,-1.8000e+03
-1.0548e-01,-1.1625e+00,3.1284e+00,2.6826e+00,2.4729e+01,-1.8494e+03
-1.3094e-01,-1.1596e+00,3.1444e+00,2.5985e+00,2.4787e+01,-1.8579e+03
-8.8171e-02,-1.2093e+00,3.1209e+00,2.6389e+00,2.4711e+01,-1.8210e+03
-9.2123e-02,-1.2007e+00,3.1405e+00,2.6284e+00,2.4758e+01,-1.8716e+03
-9.2590e-02,-1.2074e+00,3.1309e+00,2.6023e+00,2.4738e+01,-1.8457e+03
-8.9206e-02,-1.2466e+00,3.1281e+00,2.5501e+00,2.4734e+01,-1.8575e+03
-7.0459e-02,-1.2445e+00,3.1427e+00,2.5774e+00,2.4754e+01,-1.8355e+03
-1.0258e-01,-1.1842e+00,3.1309e+00,2.6462e+00,2.4740e+01,-1.8461e+03
-5.2861e-02,-1.2684e+00,3.1205e+00,2.6477e+00,2.4697e+01,-1.8473e+03
-9.9564e-02,-1.2026e+00,3.1487e+00,2.5981e+00,2.4785e+01,-1.8327e+03
-8.1962e-02,-1.2131e+00,3.1307e+00,2.6215e+00,2.4724e+01,-1.8698e+03
-1.2727e-01,-1.1504e+00,3.1493e+00,2.6428e+00,2.4792e+01,-1.8390e+03
-8.2731e-02,-1.2151e+00,3.1304e+00,2.6533e+00,2.4734e+01,-1.8657e+03
-9.9897e-02,-1.2013e+00,3.1486e+00,2.6142e+00,2.4787e+01,-1.8440e+03
-5.3607e-02,-1.2739e+00,3.1273e+00,2.6047e+00,2.4716e+01,-1.8319e+03
-1.1315e-01,-1.1833e+00,3.1468e+00,2.5753e+00,2.4782e+01,-1.8550e+03
-7.3191e-02,-1.2468e+00,3.1445e+00,2.5818e+00,2.4765e+01,-1.8110e+03
-1.0067e-01,-1.2099e+00,3.1429e+00,2.5892e+00,2.4771e+01,-1.8419e+03
-1.0037e-01,-1.2054e+00,3.1276e+00,2.6174e+00,2.4733e+01,-1.8678e+03
-1.2630e-01,-1.1411e+00,3.1443e+00,2.7128e+00,2.4784e+01,-1.8390e+03
-8.0245e-02,-1.2213e+00,3.1263e+00,2.6039e+00,2.4720e+01,-1.8456e+03
-9.0874e-02,-1.2043e+00,3.1280e+00,2.6072e+00,2.4726e+01,-1.8345e+03
-9.1224e-02,-1.1734e+00,3.1322e+00,2.7334e+00,2.4739e+01,-1.8716e+03
1.0703e-01,-1.8741e+00,3.0686e+00,2.4582e+00,2.4511e+01,-1.8613e+03
-1.0584e-01,-1.1986e+00,3.1471e+00,2.5991e+00,2.4783e+01,-1.8674e+03
-9.8204e-02,-1.2104e+00,3.1345e+00,2.5738e+00,2.4746e+01,-1.8456e+03
-8.2156e-02,-1.2214e+00,3.1323e+00,2.6445e+00,2.4739e+01,-1.8515e+03
-1.3174e-01,-1.1545e+00,3.1405e+00,2.6091e+00,2.4771e+01,-1.8459e+03
-5.7675e-02,-1.2632e+00,3.1193e+00,2.6044e+00,2.4692e+01,-1.8454e+03
-8.2514e-02,-1.2426e+00,3.1464e+00,2.6081e+00,2.4786e+01,-1.8638e+03
-8.8465e-02,-1.2145e+00,3.1387e+00,2.5985e+00,2.4756e+01,-1.8419e+03
-8.2991e-02,-1.2323e+00,3.1451e+00,2.6182e+00,2.4777e+01,-1.8364e+03
-7.5603e-02,-1.2345e+00,3.1265e+00,2.6178e+00,2.4724e+01,-1.8703e+03
-9.2064e-02,-1.2102e+00,3.1503e+00,2.6388e+00,2.4790e+01,-1.8716e+03
-6.4088e-02,-1.2850e+00,3.1433e+00,2.5683e+00,2.4765e+01,-1.8659e+03
1.0712e-01,-1.9037e+00,3.0667e+00,2.4013e+00,2.4502e+01,-1.8526e+03
-1.0313e-01,-1.2113e+00,3.1467e+00,2.5890e+00,2.4785e+01,-1.8270e+03
-1.3314e-01,-1.1403e+00,3.1490e+00,2.6977e+00,2.4801e+01,-1.8634e+03
-9.5684e-02,-1.1947e+00,3.1322e+00,2.6527e+00,2.4739e+01,-1.8683e+03
-1.1955e-01,-1.1577e+00,3.1336e+00,2.7071e+00,2.4757e+01,-1.8426e+03
9.5183e-02,-1.8523e+00,3.0726e+00,2.4068e+00,2.4526e+01,-1.8602e+03
-8.9723e-02,-1.1911e+00,3.1173e+00,2.6453e+00,2.4691e+01,-1.8702e+03
-1.0961e-01,-1.1902e+00,3.1223e+00,2.6322e+00,2.4727e+01,-1.8541e+03
-1.0484e-01,-1.1773e+00,3.1367e+00,2.6753e+00,2.4753e+01,-1.8616e+03
-9.7431e-02,-1.1840e+00,3.1488e+00,2.6967e+00,2.4786e+01,-1.8493e+03
-9.2321e-02,-1.2053e+00,3.1462e+00,2.6144e+00,2.4772e+01,-1.8496e+03
-1.0757e-01,-1.1779e+00,3.1540e+00,2.6701e+00,2.4804e+01,-1.8667e+03
-8.2728e-02,-1.2266e+00,3.1479e+00,2.6131e+00,2.4782e+01,-1.8634e+03
-7.4381e-02,-1.2346e+00,3.1453e+00,2.6039e+00,2.4763e+01,-1.8299e+03
-1.1329e-01,-1.1812e+00,3.1494e+00,2.6401e+00,2.4796e+01,-1.8499e+03
-1.0199e-01,-1.1933e+00,3.1243e+00,2.6365e+00,2.4723e+01,-1.8572e+03
-1.1975e-01,-1.1451e+00,3.1496e+00,2.7637e+00,2.4803e+01,-1.8666e+03
-8.6669e-02,-1.2203e+00,3.1507e+00,2.6092e+00,2.4787e+01,-1.8416e+03
-9.3568e-02,-1.2070e+00,3.1330e+00,2.6106e+00,2.4739e+01,-1.8497e+03
-8.9673e-02,-1.1937e+00,3.1419e+00,2.6652e+00,2.4760e+01,-1.8634e+03
-8.0744e-02,-1.2205e+00,3.1316e+00,2.6219e+00,2.4730e+01,-1.8652e+03
-1.0067e-01,-1.1959e+00,3.1280e+00,2.6271e+00,2.4731e+01,-1.8480e+03
-1.0489e-01,-1.2139e+00,3.1483e+00,2.5859e+00,2.4793e+01,-1.8664e+03
-7.6270e-02,-1.2222e+00,3.1450e+00,2.5994e+00,2.4757e+01,-1.8692e+03
-7.9429e-02,-1.2162e+00,3.1503e+00,2.6783e+00,2.4787e+01,-1.8580e+03
-1.2568e-01,-1.1610e+00,3.1412e+00,2.6033e+00,2.4769e+01,-1.8591e+03
-7.3367e-02,-1.2312e+00,3.1244e+00,2.6216e+00,2.4710e+01,-1.8670e+03
-8.0304e-02,-1.2316e+00,3.1466e+00,2.6230e+00,2.4775e+01,-1.8233e+03
-1.0745e-01,-1.1706e+00,3.1362e+00,2.6805e+00,2.4752e+01,-1.8626e+03
-9.4191e-02,-1.2271e+00,3.1368e+00,2.5899e+00,2.4759e+01,-1.8497e+03
-7.5517e-02,-1.2309e+00,3.1456e+00,2.6223e+00,2.4766e+01,-1.8651e+03
-7.8515e-02,-1.2373e+00,3.1409e+00,2.5969e+00,2.4759e+01,-1.8367e+03
-7.6636e-02,-1.2364e+00,3.1438e+00,2.5829e+00,2.4766e+01,-1.8641e+03
-9.8471e-02,-1.2213e+00,3.1503e+00,2.6100e+00,2.4801e+01,-1.8714e+03
-6.2430e-02,-1.2354e+00,3.1180e+00,2.6620e+00,2.4692e+01,-1.8635e+03
-7.5847e-02,-1.2438e+00,3.1242e+00,2.5945e+00,2.4717e+01,-1.8368e+03
-8.5489e-02,-1.2271e+00,3.1458e+00,2.5699e+00,2.4770e+01,-1.8377e+03
-1.0045e-01,-1.1703e+00,3.1291e+00,2.6851e+00,2.4726e+01,-1.8576e+03
-9.3765e-02,-1.2054e+00,3.1316e+00,2.6019e+00,2.4738e+01,-1.7869e+03
-1.2044e-01,-1.1966e+00,3.1494e+00,2.5297e+00,2.4801e+01,-1.8711e+03
-9.8440e-02,-1.1945e+00,3.1315e+00,2.5927e+00,2.4734e+01,-1.8495e+03
-8.6541e-02,-1.2464e+00,3.1491e+00,2.5588e+00,2.4788e+01,-1.8658e+03
-9.7130e-02,-1.2097e+00,3.1470e+00,2.5909e+00,2.4779e+01,-1.8006e+03
-5.9975e-02,-1.2528e+00,3.1229e+00,2.6354e+00,2.4705e+01,-1.8663e+03
-8.7128e-02,-1.1796e+00,3.1315e+00,2.7544e+00,2.4738e+01,-1.8681e+03
-1.0587e-01,-1.1985e+00,3.1466e+00,2.5854e+00,2.4780e+01,-1.8574e+03
-1.0372e-01,-1.2004e+00,3.1420e+00,2.5919e+00,2.4768e+01,-1.8596e+03
-1.3470e-01,-1.1488e+00,3.1248e+00,2.6415e+00,2.4740e+01,-1.8282e+03
-8.6544e-02,-1.2279e+00,3.1284e+00,2.5593e+00,2.4725e+01,-1.8199e+03
-1.0179e-01,-1.2059e+00,3.1423e+00,2.5888e+00,2.4768e+01,-1.8496e+03
-7.0472e-02,-1.2382e+00,3.1272e+00,2.6049e+00,2.4718e+01,-1.8474e+03
-1.0685e-01,-1.2089e+00,3.1541e+00,2.5747e+00,2.4807e+01,-1.8623e+03
-9.0091e-02,-1.1956e+00,3.1320e+00,2.6356e+00,2.4731e+01,-1.8660e+03
-7.9253e-02,-1.2405e+00,3.1422e+00,2.6118e+00,2.4766e+01,-1.8709e+03
-1.2704e-01,-1.1580e+00,3.1405e+00,2.6137e+00,2.4773e+01,-1.8248e+03
-8.9171e-02,-1.2073e+00,3.1275e+00,2.6729e+00,2.4733e+01,-1.8673e+03
-9.9261e-02,-1.1884e+00,3.1329e+00,2.6326e+00,2.4740e+01,-1.8294e+03
-1.4269e-01,-1.1329e+00,3.1388e+00,2.6510e+00,2.4771e+01,-1.8442e+03
-5.7657e-02,-1.2700e+00,3.1263e+00,2.6020e+00,2.4713e+01,-1.8153e+03
-7.7903e-02,-1.2413e+00,3.1432e+00,2.5920e+00,2.4763e+01,-1.8577e+03
-1.0676e-01,-1.1995e+00,3.1461e+00,2.6050e+00,2.4784e+01,-1.8657e+03
-8.0202e-02,-1.2549e+00,3.1487e+00,2.5801e+00,2.4786e+01,-1.8476e+03
-8.8093e-02,-1.2330e+00,3.1327e+00,2.5250e+00,2.4737e+01,-1.8622e+03
-7.8811e-02,-1.2263e+00,3.1471e+00,2.5984e+00,2.4765e+01,-1.8523e+03
-9.7069e-02,-1.1978e+00,3.1495e+00,2.6200e+00,2.4784e+01,-1.8520e+03
-7.0829e-02,-1.2588e+00,3.1451e+00,2.5797e+00,2.4766e+01,-1.8597e+03
-8.7078e-02,-1.2249e+00,3.1306e+00,2.6007e+00,2.4740e+01,-1.8597e+03
-8.6739e-02,-1.2165e+00,3.1449e+00,2.6074e+00,2.4770e+01,-1.7855e+03
-6.1646e-02,-1.2751e+00,3.1230e+00,2.6236e+00,2.4712e+01,-1.8490e+03
-8.1729e-02,-1.2230e+00,3.1218e+00,2.6064e+00,2.4707e+01,-1.8629e+03
-5.6163e-02,-1.2521e+00,3.1223e+00,2.6177e+00,2.4698e+01,-1.8696e+03
