logfeh,logdust,logNpix,logage,dmod,logl
-1.4557e-01,-1.9499e+00,3.2024e+00,1.0176e+01,2.4820e+01,-2.9761e+03
2.3470e-01,-1.8518e+00,2.9336e+00,9.9446e+00,2.4288e+01,-2.9834e+03
2.1037e-01,-1.8393e+00,2.9287e+00,9.9353e+00,2.4272e+01,-2.9658e+03
2.3099e-01,-1.8445e+00,2.9288e+00,9.9601e+00,2.4272e+01,-2.9825e+03
2.3913e-01,-1.8341e+00,2.9287e+00,9.9693e+00,2.4270e+01,-2.9827e+03
2.3823e-01,-1.8507e+00,2.9286e+00,9.9673e+00,2.4275e+01,-2.9740e+03
-1.8357e-01,-1.6981e+00,3.2505e+00,1.0186e+01,2.4963e+01,-2.9838e+03
2.4682e-01,-1.8768e+00,2.9285e+00,9.9509e+00,2.4276e+01,-2.9768e+03
2.1949e-01,-1.8298e+00,2.9285e+00,9.9308e+00,2.4269e+01,-2.9587e+03
2.4208e-01,-1.8570e+00,2.9287e+00,9.9594e+00,2.4273e+01,-2.9466e+03
-1.9349e-01,-1.6400e+00,3.2440e+00,1.0182e+01,2.4939e+01,-2.9710e+03
2.2145e-01,-1.8422e+00,2.9288e+00,9.9613e+00,2.4273e+01,-2.9601e+03
-1.9872e-01,-1.6003e+00,3.2443e+00,1.0186e+01,2.4938e+01,-2.9525e+03
2.1704e-01,-1.8403e+00,2.9288e+00,9.9495e+00,2.4274e+01,-2.9496e+03
2.4603e-01,-1.8408e+00,2.9285e+00,9.9725e+00,2.4270e+01,-2.9793e+03
2.3068e-01,-1.8999e+00,2.9286e+00,9.9475e+00,2.4278e+01,-2.9813e+03
2.0314e-01,-1.8501e+00,2.9282e+00,9.9685e+00,2.4271e+01,-2.9766e+03
2.1465e-01,-1.8557e+00,2.9285e+00,9.9505e+00,2.4276e+01,-2.9577e+03
2.4873e-01,-1.8832e+00,2.9280e+00,9.9373e+00,2.4274e+01,-2.9770e+03
