logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.4616e-01,-1.7166e+00,-1.3287e+00,-3.3153e-01,1.1169e+00,2.0414e+00,3.0619e+00,2.4028e+01,-2.6582e+03
2.0171e-01,-1.6635e+00,-9.3988e-01,9.5611e-02,1.0841e+00,1.9990e+00,3.0831e+00,2.4053e+01,-2.6812e+03
2.4322e-01,-1.5367e+00,-8.7878e-01,-3.6300e-01,1.1012e+00,2.2686e+00,3.0039e+00,2.4006e+01,-2.6450e+03
1.0892e-01,-1.2891e+00,-2.3860e+00,4.6511e-01,1.1177e+00,1.9989e+00,3.1693e+00,2.4315e+01,-2.6849e+03
1.6028e-01,-1.1970e+00,-1.7175e+00,4.8564e-01,1.2285e+00,2.4754e+00,3.0817e+00,2.4309e+01,-2.4975e+03
2.3911e-01,-1.4191e+00,-1.6337e+00,-9.4901e-02,1.0102e+00,2.4260e+00,2.9839e+00,2.4049e+01,-2.6365e+03
2.1615e-01,-1.6189e+00,-1.8801e+00,-2.0179e-01,1.0640e+00,2.2465e+00,3.0361e+00,2.4065e+01,-2.6550e+03
1.6378e-01,-1.5605e+00,-1.5063e+00,2.5212e-01,1.1637e+00,1.4424e+00,3.1793e+00,2.4258e+01,-2.7026e+03
2.4530e-01,-1.2520e+00,-1.3979e+00,-2.3481e-01,1.1245e+00,2.5270e+00,2.8960e+00,2.3976e+01,-2.7025e+03
2.3501e-01,-1.9139e+00,-2.4168e+00,1.1594e-01,1.0723e+00,1.9138e+00,3.1244e+00,2.4140e+01,-2.5186e+03
2.0165e-01,-1.2590e+00,-2.5026e+00,2.3044e-01,1.1447e+00,2.6157e+00,2.9514e+00,2.4158e+01,-2.5816e+03
2.3148e-01,-1.9155e+00,-1.4590e+00,-2.6785e-01,1.1774e+00,1.7519e+00,3.0829e+00,2.4025e+01,-2.5546e+03
2.4578e-01,-1.7094e+00,-2.1118e+00,3.3460e-02,1.2526e+00,1.9798e+00,3.0684e+00,2.4052e+01,-2.5866e+03
2.2611e-01,-1.8274e+00,-1.7583e+00,-4.3268e-02,1.0063e+00,2.1026e+00,3.1060e+00,2.4147e+01,-2.7057e+03
2.2894e-01,-1.8597e+00,-2.1332e+00,-1.3097e-01,1.2505e+00,1.5602e+00,3.0642e+00,2.3961e+01,-2.6252e+03
1.7269e-01,-1.2891e+00,-2.2481e+00,2.4083e-01,9.9497e-01,2.4797e+00,3.0346e+00,2.4231e+01,-2.7013e+03
2.3097e-01,-1.6523e+00,-1.3021e+00,6.3313e-02,1.1332e+00,1.9706e+00,3.0654e+00,2.4016e+01,-2.5739e+03
2.0233e-01,-1.8966e+00,-1.3857e+00,6.0992e-02,1.2176e+00,1.2356e+00,3.1275e+00,2.4067e+01,-2.6514e+03
1.7898e-01,-1.4461e+00,-1.2488e+00,1.2006e-01,1.2571e+00,2.1627e+00,3.1252e+00,2.4259e+01,-2.5406e+03
2.1125e-01,-1.3536e+00,-1.9220e+00,1.7399e-02,1.2445e+00,2.3581e+00,2.9946e+00,2.4029e+01,-2.2929e+03
2.4111e-01,-1.4762e+00,-2.4842e+00,1.6525e-01,1.1977e+00,2.3274e+00,3.0522e+00,2.4149e+01,-2.7082e+03
2.2066e-01,-1.7407e+00,-1.3375e+00,-2.5216e-01,1.2153e+00,1.9607e+00,3.0558e+00,2.4001e+01,-2.6077e+03
2.3371e-01,-1.8667e+00,-1.9931e+00,1.3916e-01,1.2537e+00,1.0227e+00,3.1258e+00,2.4081e+01,-2.7054e+03
2.1597e-01,-1.7690e+00,-1.8295e+00,1.2531e-01,1.2271e+00,1.3500e+00,3.1165e+00,2.4043e+01,-2.6178e+03
1.7394e-01,-1.2761e+00,-2.4800e+00,2.2472e-01,1.2362e+00,2.2695e+00,3.0401e+00,2.4109e+01,-2.5569e+03
1.4848e-01,-1.5461e+00,-2.2729e+00,5.9173e-02,1.2011e+00,1.5363e+00,3.1527e+00,2.4203e+01,-2.6812e+03
2.3621e-01,-1.5216e+00,-2.0134e+00,1.2057e-01,5.6294e-01,2.4125e+00,3.0295e+00,2.4124e+01,-2.6676e+03
1.8062e-01,-1.6253e+00,-2.3555e+00,2.8569e-01,1.0306e+00,1.7742e+00,3.1803e+00,2.4276e+01,-2.6747e+03
2.2705e-01,-1.6781e+00,-2.0676e+00,1.5153e-01,1.2652e+00,1.5578e+00,3.1082e+00,2.4052e+01,-2.5793e+03
2.1338e-01,-1.8908e+00,-2.1228e+00,2.1715e-01,1.1597e+00,1.4582e+00,3.1447e+00,2.4136e+01,-2.6991e+03
2.4566e-01,-1.8743e+00,-1.3873e+00,2.1535e-01,1.1570e+00,1.5101e+00,3.1401e+00,2.4122e+01,-2.4904e+03
2.2895e-01,-1.8257e+00,-2.4715e+00,-1.3437e-01,1.2479e+00,1.2945e+00,3.0980e+00,2.4000e+01,-2.5991e+03
2.1520e-01,-1.2939e+00,-1.6827e+00,3.4507e-01,1.2547e+00,2.3754e+00,2.9754e+00,2.4001e+01,-2.5201e+03
2.3669e-01,-1.3042e+00,-1.7812e+00,1.1982e-01,1.1546e+00,2.5731e+00,2.9303e+00,2.4116e+01,-2.6289e+03
2.4588e-01,-1.9454e+00,-1.8431e+00,1.1113e-01,1.1664e+00,1.3963e+00,3.0995e+00,2.4023e+01,-2.5706e+03
2.1666e-01,-1.4929e+00,-9.3242e-01,-4.3092e-01,1.2584e+00,2.2694e+00,3.0129e+00,2.4029e+01,-2.3825e+03
2.4829e-01,-1.8154e+00,-2.4087e+00,-1.4941e-01,1.2017e+00,1.4775e+00,3.0518e+00,2.3909e+01,-2.6018e+03
2.2646e-01,-1.7422e+00,-2.1045e+00,1.7698e-01,1.2000e+00,1.6180e+00,3.0958e+00,2.4017e+01,-2.6032e+03
1.5043e-01,-1.2809e+00,-2.2431e+00,2.2805e-01,1.2389e+00,2.4111e+00,3.1077e+00,2.4331e+01,-2.5531e+03
2.3424e-01,-1.9296e+00,-2.4212e+00,5.3051e-02,1.2296e+00,1.5525e+00,3.1257e+00,2.4103e+01,-2.3942e+03
1.7029e-01,-1.6270e+00,-1.9173e+00,1.8084e-01,1.1251e+00,1.3385e+00,3.1671e+00,2.4215e+01,-2.6102e+03
1.9865e-01,-1.1934e+00,-1.8966e+00,2.9784e-01,1.1029e+00,2.5140e+00,2.9765e+00,2.4117e+01,-2.5589e+03
2.3802e-01,-1.4643e+00,-9.6825e-01,9.2979e-02,1.1975e+00,2.2269e+00,3.0316e+00,2.4038e+01,-2.4862e+03
2.0272e-01,-1.9713e+00,-1.2424e+00,-6.6546e-02,9.4453e-01,1.8264e+00,3.0745e+00,2.4002e+01,-2.6734e+03
1.6165e-01,-1.3812e+00,-1.0491e+00,4.2646e-01,1.2630e+00,2.0868e+00,3.1620e+00,2.4327e+01,-2.6509e+03
2.2193e-01,-1.5497e+00,-1.3864e+00,3.9026e-01,1.2210e+00,2.1011e+00,3.1203e+00,2.4176e+01,-2.6428e+03
2.2315e-01,-1.6958e+00,-2.3540e+00,3.6460e-01,1.1351e+00,2.0037e+00,3.1417e+00,2.4208e+01,-2.5254e+03
2.4926e-01,-1.8521e+00,-1.3023e+00,-7.0689e-02,1.2032e+00,1.5758e+00,3.0780e+00,2.3984e+01,-2.6881e+03
2.3452e-01,-1.9469e+00,-1.0769e+00,6.9724e-03,1.2460e+00,1.7786e+00,3.1670e+00,2.4231e+01,-2.6483e+03
1.9451e-01,-1.3608e+00,-2.2643e+00,3.8328e-01,9.6194e-01,2.3367e+00,3.0937e+00,2.4223e+01,-2.6241e+03
2.3617e-01,-1.6500e+00,-2.0774e+00,2.1546e-01,1.2480e+00,1.8649e+00,3.0944e+00,2.4060e+01,-2.3747e+03
1.9785e-01,-1.1622e+00,-1.6751e+00,3.9595e-01,7.1760e-01,2.6822e+00,2.9302e+00,2.4217e+01,-2.6119e+03
2.3599e-01,-1.6399e+00,-1.9242e+00,3.9568e-01,1.1565e+00,2.2386e+00,3.1197e+00,2.4255e+01,-2.5818e+03
2.3986e-01,-1.6462e+00,-1.4230e+00,1.7962e-01,1.1282e+00,2.2979e+00,3.1214e+00,2.4266e+01,-2.6768e+03
1.7693e-01,-1.6397e+00,-1.5246e+00,2.6608e-01,1.1564e+00,1.2573e+00,3.1869e+00,2.4257e+01,-2.6146e+03
2.0221e-01,-1.9447e+00,-1.6017e+00,3.1956e-01,1.1741e+00,1.0261e+00,3.1636e+00,2.4163e+01,-2.5587e+03
2.4953e-01,-1.3739e+00,-2.2211e+00,5.6579e-02,8.6445e-01,2.5273e+00,2.9706e+00,2.4104e+01,-2.6291e+03
2.3428e-01,-1.5570e+00,-1.1807e+00,2.3888e-01,1.2321e+00,2.1549e+00,3.0683e+00,2.4099e+01,-2.5099e+03
1.7712e-01,-1.5263e+00,-1.8975e+00,1.7858e-03,1.2423e+00,1.4838e+00,3.1155e+00,2.4096e+01,-2.6527e+03
2.0195e-01,-1.4571e+00,-1.8123e+00,3.7298e-01,8.0207e-01,2.4752e+00,3.0603e+00,2.4223e+01,-2.7014e+03
1.4510e-01,-1.4771e+00,-2.3227e+00,4.6043e-01,1.2478e+00,1.3610e+00,3.2009e+00,2.4321e+01,-2.6055e+03
2.0691e-01,-1.7955e+00,-1.4422e+00,-1.7124e-01,1.1685e+00,1.8758e+00,3.0905e+00,2.4047e+01,-2.6870e+03
2.2325e-01,-1.5283e+00,-1.8620e+00,1.5773e-01,1.1804e+00,2.2172e+00,3.0241e+00,2.4027e+01,-2.5308e+03
2.2564e-01,-1.9810e+00,-1.7521e+00,1.0922e-01,1.2402e+00,1.1639e+00,3.1238e+00,2.4078e+01,-2.4553e+03
1.7724e-01,-1.5005e+00,-2.5175e+00,2.5925e-01,1.2339e+00,1.3751e+00,3.1402e+00,2.4137e+01,-2.5836e+03
2.3167e-01,-1.6742e+00,-1.8172e+00,2.0911e-01,7.6372e-01,2.3054e+00,3.0679e+00,2.4149e+01,-2.7008e+03
2.1625e-01,-1.8874e+00,-1.0278e+00,-7.8236e-02,1.2466e+00,1.4494e+00,3.1135e+00,2.4051e+01,-2.6299e+03
2.1849e-01,-1.7690e+00,-1.8590e+00,2.2381e-02,1.0551e+00,1.9671e+00,3.0817e+00,2.4055e+01,-2.5638e+03
2.0047e-01,-1.2849e+00,-2.0635e+00,-8.8288e-02,1.2428e+00,2.5355e+00,2.9596e+00,2.4100e+01,-2.6345e+03
