logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.2836e-01,-1.1503e+00,-1.0301e+00,4.9198e-01,1.2343e+00,2.5585e+00,3.0966e+00,-2.8190e+03
9.6759e-02,-1.2654e+00,-2.4821e+00,3.7977e-01,1.0433e+00,2.3418e+00,3.1599e+00,-2.7869e+03
5.3783e-02,-1.2537e+00,-2.5320e+00,4.1463e-01,8.4177e-01,2.1523e+00,3.1903e+00,-2.7734e+03
1.1795e-01,-1.1607e+00,-1.9579e+00,4.7699e-01,1.2243e+00,2.4989e+00,3.1219e+00,-2.8129e+03
8.2648e-02,-1.2068e+00,-2.0087e+00,5.1575e-01,1.2530e+00,2.1767e+00,3.1902e+00,-2.6258e+03
1.8109e-02,-1.1394e+00,-2.4928e+00,4.6888e-01,1.1530e+00,2.0339e+00,3.1973e+00,-2.8496e+03
1.1401e-01,-1.2362e+00,-1.5363e+00,4.4085e-01,1.2014e+00,2.3257e+00,3.1717e+00,-2.7187e+03
8.8195e-02,-1.3001e+00,-1.3848e+00,4.8895e-01,1.9082e-01,2.2486e+00,3.1850e+00,-2.8276e+03
3.1916e-03,-1.1708e+00,-2.3735e+00,5.0061e-01,1.1091e+00,1.3573e+00,3.2306e+00,-2.8446e+03
5.4664e-02,-1.2914e+00,-1.9606e+00,3.8363e-01,1.2098e+00,1.2607e+00,3.2315e+00,-2.8287e+03
1.1071e-01,-1.1874e+00,-1.1933e+00,4.5242e-01,1.1503e+00,2.4524e+00,3.1366e+00,-2.7661e+03
6.1656e-02,-1.3684e+00,-1.4724e+00,3.1171e-01,1.1692e+00,9.7064e-01,3.2363e+00,-2.7759e+03
7.5258e-02,-1.2012e+00,-1.5743e+00,5.2250e-01,1.2572e+00,2.1206e+00,3.1983e+00,-2.6765e+03
5.1215e-02,-1.1886e+00,-1.1308e+00,4.3271e-01,1.2542e+00,2.0589e+00,3.2030e+00,-2.8334e+03
-8.2500e-03,-1.2108e+00,-1.8430e+00,3.4784e-01,1.2289e+00,1.2220e+00,3.2282e+00,-2.7817e+03
-1.6696e-02,-1.1830e+00,-1.8743e+00,3.7279e-01,1.2097e+00,1.2424e+00,3.2321e+00,-2.7612e+03
8.2366e-02,-1.2053e+00,-2.2055e+00,4.9818e-01,1.0366e+00,2.3778e+00,3.1471e+00,-2.7546e+03
8.6428e-02,-1.3936e+00,-1.4989e+00,3.3259e-01,1.2367e+00,1.0240e+00,3.2374e+00,-2.8256e+03
3.4571e-02,-1.1619e+00,-1.7035e+00,4.9175e-01,9.9842e-01,1.8024e+00,3.2203e+00,-2.7918e+03
7.6253e-02,-1.4173e+00,-1.6473e+00,2.3385e-01,1.2234e+00,1.0923e+00,3.2314e+00,-2.8510e+03
4.5828e-02,-1.1655e+00,-1.5764e+00,5.1160e-01,1.1233e+00,1.4330e+00,3.2321e+00,-2.8072e+03
9.3593e-02,-1.1880e+00,-1.7959e+00,5.0386e-01,4.9366e-01,2.4573e+00,3.1423e+00,-2.8494e+03
1.1393e-01,-1.2852e+00,-1.7864e+00,4.8599e-01,1.0683e+00,2.2752e+00,3.1767e+00,-2.7618e+03
7.3586e-02,-1.2200e+00,-2.2008e+00,4.3224e-01,1.1548e+00,2.2571e+00,3.1676e+00,-2.7687e+03
5.1983e-02,-1.2542e+00,-1.7436e+00,4.9756e-01,1.1988e+00,1.5444e+00,3.2285e+00,-2.7831e+03
-2.9345e-02,-1.1571e+00,-1.9498e+00,4.9070e-01,1.0473e+00,1.8902e+00,3.2096e+00,-2.8144e+03
9.5162e-02,-1.3200e+00,-1.6667e+00,4.6502e-01,1.2416e+00,1.6454e+00,3.2310e+00,-2.6731e+03
1.2427e-01,-1.5269e+00,-2.3850e+00,3.9198e-01,1.2027e+00,9.9690e-01,3.2392e+00,-2.8339e+03
7.2270e-02,-1.2429e+00,-2.2552e+00,4.7359e-01,8.8014e-01,2.2050e+00,3.1906e+00,-2.8448e+03
6.9764e-02,-1.1890e+00,-1.9504e+00,4.8121e-01,1.2345e+00,2.2072e+00,3.1774e+00,-2.7090e+03
5.5271e-02,-1.2368e+00,-2.4120e+00,5.1859e-01,1.1984e+00,1.4459e+00,3.2383e+00,-2.7642e+03
4.0701e-02,-1.2091e+00,-1.4559e+00,3.5729e-01,1.1270e+00,1.3344e+00,3.2305e+00,-2.7951e+03
1.0245e-01,-1.4102e+00,-2.3504e+00,3.7987e-01,1.2463e+00,1.4544e+00,3.2346e+00,-2.7944e+03
1.4222e-01,-1.2420e+00,-2.0139e+00,5.1837e-01,1.0801e+00,2.4491e+00,3.1441e+00,-2.7733e+03
8.1776e-02,-1.3517e+00,-1.7091e+00,4.4790e-01,1.2617e+00,1.0445e+00,3.2345e+00,-2.7854e+03
4.1696e-03,-1.1432e+00,-1.7417e+00,5.2745e-01,9.4906e-01,1.9565e+00,3.2087e+00,-2.7780e+03
6.5192e-02,-1.2760e+00,-2.0611e+00,4.3430e-01,8.8978e-01,1.9740e+00,3.2165e+00,-2.8159e+03
8.9381e-02,-1.1635e+00,-1.4411e+00,3.8144e-01,1.1027e+00,2.5163e+00,3.1075e+00,-2.8511e+03
8.4066e-02,-1.3371e+00,-1.7823e+00,3.8543e-01,1.2582e+00,1.5202e+00,3.2327e+00,-2.7421e+03
1.3535e-01,-1.2622e+00,-1.5626e+00,5.3280e-01,1.1996e+00,2.2820e+00,3.1870e+00,-2.8546e+03
1.2109e-01,-1.3975e+00,-2.0008e+00,5.0836e-01,1.2211e+00,1.6811e+00,3.2338e+00,-2.8390e+03
5.3139e-02,-1.1458e+00,-2.2999e+00,5.2710e-01,1.0934e+00,2.2602e+00,3.1803e+00,-2.8523e+03
1.0932e-01,-1.2755e+00,-1.2578e+00,3.9723e-01,1.0947e+00,2.3415e+00,3.1575e+00,-2.8188e+03
5.7729e-02,-1.2949e+00,-1.9767e+00,4.3947e-01,1.0827e+00,1.4669e+00,3.2360e+00,-2.7832e+03
5.4792e-03,-1.1629e+00,-1.3813e+00,4.7208e-01,1.1558e+00,1.3206e+00,3.2341e+00,-2.8532e+03
1.3941e-01,-1.3464e+00,-1.6385e+00,3.4376e-01,1.2091e+00,2.3173e+00,3.1643e+00,-2.7816e+03
6.7489e-02,-1.3171e+00,-2.4618e+00,3.4188e-01,1.2573e+00,1.1610e+00,3.2379e+00,-2.8005e+03
1.3560e-02,-1.0552e+00,-1.8860e+00,5.1470e-01,1.0976e+00,2.3650e+00,3.1503e+00,-2.7737e+03
