logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.7221e-01,-1.1510e+00,-2.2875e+00,3.3696e-01,1.1808e+00,2.4292e+00,3.0887e+00,2.4299e+01,-2.1391e+03
1.7716e-01,-1.3438e+00,-1.0491e+00,2.7879e-01,1.0288e+00,1.9605e+00,3.2049e+00,2.4377e+01,-2.2585e+03
1.5149e-01,-1.3259e+00,-1.1591e+00,1.0872e-01,1.2064e+00,1.9225e+00,3.1936e+00,2.4365e+01,-2.2292e+03
2.4733e-01,-1.6269e+00,-1.4498e+00,4.1097e-02,9.8587e-01,1.0761e+00,3.1618e+00,2.4171e+01,-2.2574e+03
1.8553e-01,-1.4676e+00,-1.7571e+00,7.1584e-02,1.0417e+00,1.4111e+00,3.1955e+00,2.4288e+01,-2.2307e+03
1.9849e-01,-1.3162e+00,-2.4101e+00,3.6755e-01,7.6510e-01,2.3335e+00,3.1760e+00,2.4406e+01,-2.2529e+03
2.1430e-01,-1.4933e+00,-1.5802e+00,2.1153e-01,1.1043e+00,1.0583e+00,3.2210e+00,2.4334e+01,-2.2778e+03
2.2711e-01,-1.5685e+00,-1.0562e+00,-1.4657e-01,1.2261e+00,1.1175e+00,3.2036e+00,2.4299e+01,-2.2593e+03
2.4607e-01,-1.6176e+00,-1.6847e+00,-1.7135e-01,1.1917e+00,1.3360e+00,3.1977e+00,2.4285e+01,-2.2193e+03
2.2727e-01,-1.2272e+00,-2.5231e+00,3.4696e-01,1.1209e+00,2.3114e+00,3.0941e+00,2.4220e+01,-2.1315e+03
2.0832e-01,-1.4143e+00,-1.2238e+00,4.5469e-02,1.2144e+00,1.8221e+00,3.1982e+00,2.4333e+01,-2.2124e+03
1.6268e-01,-1.2895e+00,-2.1714e+00,2.9929e-01,1.2279e+00,1.7405e+00,3.1869e+00,2.4290e+01,-2.2618e+03
1.7103e-01,-1.3783e+00,-2.3441e+00,4.5021e-01,1.2251e+00,1.3979e+00,3.2327e+00,2.4399e+01,-2.2472e+03
2.3601e-01,-1.5277e+00,-2.4313e+00,3.4889e-01,1.1677e+00,1.2423e+00,3.2273e+00,2.4361e+01,-2.1357e+03
1.5589e-01,-1.3037e+00,-1.8787e+00,1.7768e-01,1.0124e+00,2.0542e+00,3.1889e+00,2.4357e+01,-2.1864e+03
1.4835e-01,-1.2222e+00,-1.5961e+00,3.5545e-01,8.6530e-01,2.2516e+00,3.1579e+00,2.4346e+01,-2.2523e+03
2.3476e-01,-1.4952e+00,-1.4900e+00,8.0259e-02,4.7996e-01,2.0474e+00,3.1524e+00,2.4243e+01,-2.2048e+03
2.1992e-01,-1.4442e+00,-1.4835e+00,3.6684e-01,1.0460e+00,1.7466e+00,3.2195e+00,2.4363e+01,-2.2196e+03
1.8209e-01,-1.4067e+00,-2.4713e+00,2.6596e-01,1.1407e+00,1.5075e+00,3.2256e+00,2.4365e+01,-2.2244e+03
1.8118e-01,-1.3163e+00,-1.6627e+00,4.9935e-01,1.1211e+00,1.8961e+00,3.2298e+00,2.4415e+01,-2.2231e+03
2.0960e-01,-1.4781e+00,-1.4928e+00,1.6224e-01,1.1039e+00,1.2934e+00,3.1703e+00,2.4217e+01,-2.2616e+03
2.4388e-01,-1.4940e+00,-1.7302e+00,1.2957e-01,1.0873e+00,1.6201e+00,3.1822e+00,2.4243e+01,-2.1149e+03
1.6007e-01,-1.2434e+00,-2.4243e+00,1.6364e-01,1.0558e+00,2.1807e+00,3.1367e+00,2.4275e+01,-2.2810e+03
1.8973e-01,-1.3525e+00,-2.2358e+00,8.9450e-02,1.1247e+00,2.1045e+00,3.1748e+00,2.4339e+01,-2.2674e+03
1.8382e-01,-1.4740e+00,-1.2380e+00,6.8151e-02,1.0432e+00,1.4375e+00,3.1912e+00,2.4287e+01,-2.2605e+03
1.9043e-01,-1.3770e+00,-1.9953e+00,3.8245e-01,1.1039e+00,1.5226e+00,3.1997e+00,2.4300e+01,-2.2172e+03
1.8625e-01,-1.2637e+00,-1.8406e+00,2.0120e-01,1.0979e+00,2.2016e+00,3.1350e+00,2.4264e+01,-2.1632e+03
2.4738e-01,-1.5267e+00,-1.9100e+00,4.4469e-01,1.1151e+00,1.4587e+00,3.2350e+00,2.4373e+01,-2.1066e+03
1.8404e-01,-1.4021e+00,-1.2247e+00,3.8333e-01,1.0531e+00,1.3630e+00,3.2493e+00,2.4412e+01,-2.2667e+03
1.5687e-01,-1.3677e+00,-1.7971e+00,4.1733e-01,1.0344e+00,1.6063e+00,3.2363e+00,2.4405e+01,-2.2394e+03
1.2850e-01,-1.2286e+00,-2.0293e+00,5.1561e-01,1.1158e+00,2.0833e+00,3.2271e+00,2.4471e+01,-2.1726e+03
1.8820e-01,-1.3582e+00,-1.6468e+00,2.8196e-01,9.3129e-01,1.9850e+00,3.1862e+00,2.4330e+01,-2.1783e+03
2.3164e-01,-1.4930e+00,-1.3656e+00,2.0863e-01,1.2296e+00,1.8871e+00,3.2149e+00,2.4395e+01,-2.1393e+03
