logfeh,logdust,logNpix,tau,dmod,logl
2.2211e-01,-1.7567e+00,3.1558e+00,2.7695e+00,2.4151e+01,-2.8667e+03
2.1480e-01,-1.9639e+00,3.1429e+00,2.6350e+00,2.4118e+01,-2.8788e+03
2.3956e-01,-1.8284e+00,3.1567e+00,2.7427e+00,2.4158e+01,-2.8837e+03
2.1417e-01,-1.8109e+00,3.1526e+00,2.7304e+00,2.4144e+01,-2.8692e+03
2.3229e-01,-1.8313e+00,3.1553e+00,2.7516e+00,2.4154e+01,-2.8522e+03
2.0007e-01,-1.8387e+00,3.1594e+00,2.7199e+00,2.4164e+01,-2.8755e+03
2.0505e-01,-1.7606e+00,3.1522e+00,2.7704e+00,2.4143e+01,-2.8567e+03
2.3853e-01,-1.9367e+00,3.1192e+00,2.5810e+00,2.4051e+01,-2.8633e+03
2.3468e-01,-1.8122e+00,3.1575e+00,2.7663e+00,2.4160e+01,-2.8894e+03
2.4767e-01,-1.8591e+00,3.1600e+00,2.7090e+00,2.4161e+01,-2.8687e+03
2.0535e-01,-1.8746e+00,3.1437e+00,2.6415e+00,2.4111e+01,-2.8482e+03
2.0341e-01,-1.8922e+00,3.1441e+00,2.6438e+00,2.4112e+01,-2.8885e+03
2.4576e-01,-1.7869e+00,3.1574e+00,2.7615e+00,2.4154e+01,-2.8792e+03
2.2103e-01,-1.8232e+00,3.1546e+00,2.7558e+00,2.4155e+01,-2.8897e+03
1.8320e-01,-1.5251e+00,3.1632e+00,2.6783e+00,2.4185e+01,-2.8850e+03
2.1110e-01,-1.9217e+00,3.1441e+00,2.6652e+00,2.4124e+01,-2.8850e+03
2.2986e-01,-1.9457e+00,3.1426e+00,2.6389e+00,2.4120e+01,-2.8590e+03
2.4651e-01,-1.7867e+00,3.1563e+00,2.7431e+00,2.4150e+01,-2.8824e+03
2.1955e-01,-1.8627e+00,3.1561e+00,2.7435e+00,2.4161e+01,-2.8434e+03
