logfeh,logdust,logNpix,logage,dmod,logl
-5.8326e-02,-1.9773e+00,3.3065e+00,1.0182e+01,2.4534e+01,-4.1498e+03
-5.0333e-02,-1.9952e+00,3.2816e+00,1.0196e+01,2.4463e+01,-4.1381e+03
-6.2435e-02,-1.9561e+00,3.3061e+00,1.0199e+01,2.4534e+01,-4.1504e+03
-7.9277e-02,-1.8139e+00,3.3060e+00,1.0198e+01,2.4537e+01,-4.1467e+03
-5.4227e-02,-1.9593e+00,3.2819e+00,1.0179e+01,2.4461e+01,-4.1474e+03
-5.5103e-02,-1.9793e+00,3.3076e+00,1.0199e+01,2.4532e+01,-4.1473e+03
-6.0647e-02,-1.9015e+00,3.3080e+00,1.0177e+01,2.4535e+01,-4.1503e+03
-5.4711e-02,-1.9953e+00,3.3074e+00,1.0196e+01,2.4535e+01,-4.1422e+03
-5.5792e-02,-1.9385e+00,3.2793e+00,1.0179e+01,2.4460e+01,-4.1497e+03
-6.1986e-02,-1.9184e+00,3.3059e+00,1.0179e+01,2.4529e+01,-4.1462e+03
-7.4756e-02,-1.7963e+00,3.2793e+00,1.0193e+01,2.4464e+01,-4.1471e+03
-5.5690e-02,-1.9035e+00,3.2809e+00,1.0176e+01,2.4455e+01,-4.1501e+03
-6.1301e-02,-1.9154e+00,3.3062e+00,1.0188e+01,2.4533e+01,-4.1480e+03
-7.8948e-02,-1.8091e+00,3.3067e+00,1.0184e+01,2.4538e+01,-4.1049e+03
-5.6787e-02,-1.9978e+00,3.3084e+00,1.0200e+01,2.4538e+01,-4.1057e+03
-7.1321e-02,-1.8353e+00,3.2766e+00,1.0192e+01,2.4455e+01,-4.1498e+03
-6.5856e-02,-1.8364e+00,3.2754e+00,1.0190e+01,2.4448e+01,-4.1443e+03
-6.2328e-02,-1.9216e+00,3.3057e+00,1.0190e+01,2.4531e+01,-4.1506e+03
-5.1840e-02,-1.9674e+00,3.2805e+00,1.0191e+01,2.4461e+01,-4.1309e+03
-7.8447e-02,-1.8349e+00,3.3056e+00,1.0185e+01,2.4537e+01,-4.1302e+03
-6.8295e-02,-1.8365e+00,3.2738e+00,1.0192e+01,2.4450e+01,-4.1406e+03
-7.9574e-02,-1.8126e+00,3.3049e+00,1.0200e+01,2.4535e+01,-4.1462e+03
-5.5504e-02,-1.9555e+00,3.3081e+00,1.0181e+01,2.4532e+01,-4.1370e+03
-5.3938e-02,-1.9671e+00,3.2791e+00,1.0191e+01,2.4455e+01,-4.1436e+03
-5.3926e-02,-1.9835e+00,3.3087e+00,1.0188e+01,2.4537e+01,-4.1521e+03
-5.5079e-02,-1.9741e+00,3.3081e+00,1.0184e+01,2.4534e+01,-4.1353e+03
-5.5098e-02,-1.9895e+00,3.3083e+00,1.0189e+01,2.4534e+01,-4.1208e+03
-7.8195e-02,-1.8272e+00,3.3059e+00,1.0178e+01,2.4537e+01,-4.1170e+03
-5.6679e-02,-1.9185e+00,3.2808e+00,1.0191e+01,2.4461e+01,-4.1472e+03
-7.6955e-02,-1.8567e+00,3.3067e+00,1.0193e+01,2.4541e+01,-4.1504e+03
-5.6425e-02,-1.9243e+00,3.2809e+00,1.0193e+01,2.4465e+01,-4.1511e+03
-5.2783e-02,-1.9952e+00,3.2806e+00,1.0190e+01,2.4458e+01,-4.1397e+03
-5.8256e-02,-1.9659e+00,3.3055e+00,1.0178e+01,2.4528e+01,-4.1340e+03
-7.8248e-02,-1.7869e+00,3.3060e+00,1.0195e+01,2.4532e+01,-4.1273e+03
-5.4973e-02,-1.9718e+00,3.2811e+00,1.0178e+01,2.4465e+01,-4.1254e+03
-6.7744e-02,-1.8448e+00,3.2739e+00,1.0199e+01,2.4449e+01,-4.1461e+03
-5.5025e-02,-1.9603e+00,3.2812e+00,1.0193e+01,2.4460e+01,-4.1086e+03
-5.8248e-02,-1.9608e+00,3.3068e+00,1.0195e+01,2.4534e+01,-4.1434e+03
-5.5635e-02,-1.9849e+00,3.3079e+00,1.0183e+01,2.4538e+01,-4.1368e+03
-5.7260e-02,-1.9948e+00,3.3054e+00,1.0185e+01,2.4533e+01,-4.1459e+03
-5.9413e-02,-1.9323e+00,3.3056e+00,1.0190e+01,2.4530e+01,-4.1461e+03
-6.0359e-02,-1.9480e+00,3.3082e+00,1.0180e+01,2.4537e+01,-4.1295e+03
-7.9389e-02,-1.8021e+00,3.3052e+00,1.0191e+01,2.4537e+01,-4.1184e+03
-5.5027e-02,-1.9675e+00,3.3082e+00,1.0183e+01,2.4536e+01,-4.1108e+03
-5.3537e-02,-1.9891e+00,3.2785e+00,1.0179e+01,2.4458e+01,-4.1510e+03
-5.3396e-02,-1.9577e+00,3.2807e+00,1.0176e+01,2.4462e+01,-4.1249e+03
-5.5105e-02,-1.9285e+00,3.2812e+00,1.0193e+01,2.4463e+01,-4.1369e+03
-6.1460e-02,-1.9539e+00,3.3060e+00,1.0188e+01,2.4532e+01,-4.1434e+03
-5.8703e-02,-1.9952e+00,3.3075e+00,1.0199e+01,2.4537e+01,-4.1409e+03
-7.7199e-02,-1.8008e+00,3.3063e+00,1.0178e+01,2.4534e+01,-4.1510e+03
-7.7533e-02,-1.7830e+00,3.3059e+00,1.0189e+01,2.4532e+01,-4.1291e+03
-5.2737e-02,-1.9978e+00,3.2805e+00,1.0199e+01,2.4461e+01,-4.1482e+03
-5.3610e-02,-1.9782e+00,3.2785e+00,1.0195e+01,2.4454e+01,-4.1398e+03
-7.2323e-02,-1.8040e+00,3.2756e+00,1.0175e+01,2.4450e+01,-4.1305e+03
-5.5916e-02,-1.9895e+00,3.3061e+00,1.0189e+01,2.4530e+01,-4.1455e+03
-7.8961e-02,-1.7967e+00,3.3056e+00,1.0189e+01,2.4531e+01,-4.0991e+03
