logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.8480e-01,-1.5213e+00,-1.5302e+00,6.9471e-01,1.1779e+00,2.6977e+00,3.4295e+00,-1.5036e+03
1.7756e-01,-1.4235e+00,-2.1290e+00,7.7604e-01,1.5635e+00,2.5847e+00,3.4545e+00,-1.5032e+03
1.1525e-01,-1.5238e+00,-1.9253e+00,5.2347e-01,1.5141e+00,2.0075e+00,3.5028e+00,-1.4900e+03
1.7002e-01,-1.8777e+00,-2.2022e+00,5.6548e-01,1.4246e+00,1.9224e+00,3.5118e+00,-1.4711e+03
1.6788e-01,-1.7752e+00,-1.7477e+00,6.5262e-01,1.5456e+00,1.5437e+00,3.5212e+00,-1.4591e+03
1.1271e-01,-1.4476e+00,-1.6224e+00,5.6220e-01,1.3750e+00,2.3645e+00,3.4812e+00,-1.5014e+03
9.7881e-02,-1.4796e+00,-1.7274e+00,6.9342e-01,1.5393e+00,1.4434e+00,3.5138e+00,-1.4328e+03
1.3129e-01,-1.5581e+00,-2.0167e+00,6.9975e-01,1.4746e+00,1.9959e+00,3.5051e+00,-1.4691e+03
1.6434e-01,-1.7638e+00,-2.1468e+00,5.1513e-01,1.4883e+00,2.0265e+00,3.5080e+00,-1.4887e+03
1.3386e-01,-1.1698e+00,-1.6278e+00,7.7165e-01,1.2596e+00,2.9741e+00,3.3077e+00,-1.4877e+03
1.0343e-01,-1.2689e+00,-2.0169e+00,8.0171e-01,1.2798e+00,2.6683e+00,3.4297e+00,-1.5048e+03
1.3324e-01,-1.5532e+00,-1.9259e+00,6.7081e-01,1.4807e+00,1.9806e+00,3.5089e+00,-1.5090e+03
1.4623e-01,-1.3970e+00,-1.8623e+00,6.6243e-01,1.5135e+00,2.6109e+00,3.4431e+00,-1.4765e+03
1.0500e-01,-1.5139e+00,-1.9891e+00,6.6405e-01,1.2393e+00,2.1806e+00,3.4932e+00,-1.4322e+03
1.5510e-01,-1.5225e+00,-2.1222e+00,6.2964e-01,1.3601e+00,2.5417e+00,3.4572e+00,-1.4566e+03
1.7189e-01,-1.9981e+00,-1.3241e+00,4.5092e-01,1.5162e+00,1.3743e+00,3.5234e+00,-1.4849e+03
7.4159e-02,-1.4173e+00,-1.8493e+00,6.0625e-01,1.5035e+00,1.8327e+00,3.5049e+00,-1.5033e+03
8.9184e-02,-1.4235e+00,-2.1688e+00,7.3500e-01,1.4126e+00,2.0006e+00,3.5035e+00,-1.5245e+03
1.4292e-01,-1.7492e+00,-1.6188e+00,5.2821e-01,1.5173e+00,1.6774e+00,3.5139e+00,-1.5068e+03
9.8832e-02,-1.4384e+00,-1.3755e+00,6.5531e-01,1.5539e+00,2.0451e+00,3.4952e+00,-1.5219e+03
1.2302e-01,-1.6418e+00,-1.4532e+00,5.3481e-01,1.4277e+00,1.8379e+00,3.5105e+00,-1.5083e+03
1.3544e-01,-1.4959e+00,-1.8640e+00,5.5882e-01,1.5452e+00,2.2862e+00,3.4871e+00,-1.4879e+03
1.3033e-01,-1.5848e+00,-1.4505e+00,4.9665e-01,1.5179e+00,2.1171e+00,3.4951e+00,-1.4315e+03
1.4032e-01,-1.7771e+00,-1.7478e+00,5.5454e-01,1.4737e+00,1.2698e+00,3.5205e+00,-1.4578e+03
1.3652e-01,-1.4081e+00,-1.7104e+00,6.7352e-01,1.0232e+00,2.6774e+00,3.4349e+00,-1.5252e+03
9.7106e-02,-1.4900e+00,-1.9944e+00,5.3503e-01,1.4152e+00,2.1909e+00,3.4890e+00,-1.4873e+03
1.1793e-01,-1.4413e+00,-1.4092e+00,6.3836e-01,1.3853e+00,2.3487e+00,3.4834e+00,-1.5081e+03
1.6212e-01,-1.4309e+00,-1.5477e+00,6.5262e-01,1.5451e+00,2.6257e+00,3.4381e+00,-1.4623e+03
1.8759e-01,-1.6233e+00,-1.9446e+00,6.2360e-01,1.3997e+00,2.5698e+00,3.4570e+00,-1.5249e+03
1.5404e-01,-1.6656e+00,-1.6005e+00,4.3596e-01,1.4201e+00,2.2694e+00,3.4933e+00,-1.5110e+03
1.4536e-01,-1.4170e+00,-1.7043e+00,6.1656e-01,1.2217e+00,2.6896e+00,3.4290e+00,-1.4669e+03
1.1589e-01,-1.4072e+00,-1.5655e+00,5.3892e-01,1.4902e+00,2.5043e+00,3.4537e+00,-1.5211e+03
1.1726e-01,-1.2542e+00,-1.3270e+00,6.9841e-01,1.0174e+00,2.8314e+00,3.3811e+00,-1.4828e+03
1.9535e-01,-1.4960e+00,-1.9538e+00,5.7942e-01,1.5338e+00,2.7137e+00,3.4190e+00,-1.5063e+03
1.5566e-01,-1.8903e+00,-2.1350e+00,4.2493e-01,1.4840e+00,1.5879e+00,3.5184e+00,-1.5086e+03
1.3100e-01,-1.2669e+00,-2.1764e+00,7.2271e-01,1.4978e+00,2.7864e+00,3.3924e+00,-1.4544e+03
1.4182e-01,-1.7773e+00,-1.5531e+00,6.0781e-01,1.2863e+00,1.5256e+00,3.5225e+00,-1.5132e+03
1.5843e-01,-1.4011e+00,-2.0370e+00,6.1032e-01,1.3345e+00,2.7437e+00,3.4101e+00,-1.5010e+03
1.7252e-01,-1.8173e+00,-1.9577e+00,6.0494e-01,1.5110e+00,1.8509e+00,3.5150e+00,-1.4814e+03
1.6649e-01,-1.9158e+00,-1.6137e+00,5.0087e-01,1.5465e+00,1.4964e+00,3.5169e+00,-1.4645e+03
1.3633e-01,-1.3297e+00,-1.4033e+00,6.8702e-01,1.0976e+00,2.7719e+00,3.4044e+00,-1.5111e+03
1.0622e-01,-1.5000e+00,-1.8526e+00,6.7475e-01,1.5234e+00,1.7641e+00,3.5068e+00,-1.4421e+03
1.4900e-01,-1.3971e+00,-1.5944e+00,7.3849e-01,1.3687e+00,2.6365e+00,3.4379e+00,-1.5123e+03
1.3144e-01,-1.1693e+00,-2.1486e+00,7.8040e-01,1.3896e+00,2.9625e+00,3.3089e+00,-1.4730e+03
1.5441e-01,-1.7705e+00,-1.8532e+00,5.5041e-01,1.5459e+00,1.3335e+00,3.5202e+00,-1.3841e+03
1.5712e-01,-1.8093e+00,-1.4730e+00,5.8020e-01,1.5555e+00,1.6610e+00,3.5125e+00,-1.4506e+03
1.7103e-01,-1.7122e+00,-1.9015e+00,4.3783e-01,1.5122e+00,2.2843e+00,3.4910e+00,-1.4760e+03
8.2089e-02,-1.4893e+00,-1.8977e+00,5.1733e-01,1.4789e+00,1.4056e+00,3.5149e+00,-1.5120e+03
1.6330e-01,-1.5636e+00,-1.4364e+00,6.4355e-01,1.5252e+00,2.4026e+00,3.4742e+00,-1.4495e+03
1.5285e-01,-1.7996e+00,-1.4819e+00,5.5338e-01,1.4768e+00,1.7948e+00,3.5125e+00,-1.4863e+03
1.0514e-01,-1.5937e+00,-2.0050e+00,6.3463e-01,1.3576e+00,1.3869e+00,3.5190e+00,-1.4837e+03
1.8252e-01,-1.9446e+00,-1.6093e+00,6.0930e-01,1.5213e+00,1.3860e+00,3.5237e+00,-1.5196e+03
1.0160e-01,-1.5223e+00,-2.1255e+00,5.5001e-01,1.5406e+00,1.7817e+00,3.5051e+00,-1.4676e+03
1.7688e-01,-1.5329e+00,-1.8478e+00,6.4529e-01,1.4717e+00,2.5264e+00,3.4645e+00,-1.4651e+03
1.6234e-01,-1.4396e+00,-2.0654e+00,7.2107e-01,1.5595e+00,2.5611e+00,3.4519e+00,-1.4149e+03
1.6958e-01,-1.3952e+00,-1.3528e+00,6.9440e-01,1.3167e+00,2.7746e+00,3.4025e+00,-1.4998e+03
1.4757e-01,-1.4376e+00,-1.9105e+00,6.8012e-01,1.1771e+00,2.6509e+00,3.4374e+00,-1.4788e+03
1.3425e-01,-1.5321e+00,-1.5361e+00,5.1930e-01,1.5200e+00,2.2760e+00,3.4862e+00,-1.4919e+03
1.5081e-01,-1.6857e+00,-1.7453e+00,6.9276e-01,1.5209e+00,1.4889e+00,3.5211e+00,-1.5234e+03
1.5853e-01,-1.5139e+00,-1.6232e+00,5.9933e-01,1.3773e+00,2.5884e+00,3.4496e+00,-1.5224e+03
1.1911e-01,-1.4504e+00,-2.1569e+00,7.8071e-01,1.5173e+00,2.1152e+00,3.4960e+00,-1.5103e+03
1.9365e-01,-1.6157e+00,-1.8812e+00,6.6719e-01,1.4224e+00,2.5510e+00,3.4604e+00,-1.4770e+03
1.2530e-01,-1.5588e+00,-1.4952e+00,7.0061e-01,1.4668e+00,1.9439e+00,3.5041e+00,-1.5234e+03
1.5442e-01,-1.6775e+00,-1.4458e+00,4.9598e-01,1.5592e+00,2.1416e+00,3.4949e+00,-1.4666e+03
1.3738e-01,-1.3312e+00,-1.4066e+00,6.8367e-01,1.5395e+00,2.6484e+00,3.4343e+00,-1.4861e+03
1.3833e-01,-1.3832e+00,-1.6717e+00,6.4179e-01,1.0955e+00,2.7288e+00,3.4180e+00,-1.5199e+03
1.8446e-01,-1.5860e+00,-1.6728e+00,6.8794e-01,1.3830e+00,2.5181e+00,3.4678e+00,-1.4763e+03
1.4428e-01,-1.5133e+00,-2.1703e+00,5.9868e-01,1.4015e+00,2.5154e+00,3.4574e+00,-1.4818e+03
1.6473e-01,-1.8216e+00,-1.4484e+00,6.4916e-01,1.2937e+00,2.0104e+00,3.5105e+00,-1.4906e+03
1.0513e-01,-1.5026e+00,-1.6605e+00,5.1944e-01,1.5394e+00,1.9971e+00,3.4987e+00,-1.3928e+03
1.4983e-01,-1.3713e+00,-1.4805e+00,7.4473e-01,1.4889e+00,2.6152e+00,3.4444e+00,-1.4635e+03
1.6784e-01,-1.6248e+00,-1.4298e+00,5.7116e-01,1.3618e+00,2.4549e+00,3.4725e+00,-1.5177e+03
1.9162e-01,-1.3439e+00,-1.6934e+00,7.1365e-01,1.4228e+00,2.8692e+00,3.3666e+00,-1.5120e+03
9.5117e-02,-1.5311e+00,-1.2291e+00,4.2535e-01,1.4184e+00,2.0740e+00,3.4963e+00,-1.5208e+03
1.2109e-01,-1.6188e+00,-1.9282e+00,5.1241e-01,1.5521e+00,1.7153e+00,3.5081e+00,-1.4200e+03
1.5210e-01,-1.4723e+00,-1.3086e+00,6.2697e-01,1.5386e+00,2.4714e+00,3.4656e+00,-1.4121e+03
1.5883e-01,-1.4978e+00,-1.9729e+00,7.0786e-01,1.5443e+00,2.4287e+00,3.4732e+00,-1.4311e+03
1.2109e-01,-1.5086e+00,-1.8724e+00,6.8962e-01,1.1192e+00,2.3124e+00,3.4902e+00,-1.5118e+03
1.4289e-01,-1.4799e+00,-1.8085e+00,6.9904e-01,1.4710e+00,2.4185e+00,3.4738e+00,-1.4342e+03
9.8373e-02,-1.5771e+00,-1.6530e+00,5.9778e-01,1.4423e+00,1.3818e+00,3.5135e+00,-1.5074e+03
1.3042e-01,-1.4630e+00,-1.5165e+00,5.0508e-01,1.4978e+00,2.4474e+00,3.4664e+00,-1.4776e+03
9.3738e-02,-1.4645e+00,-1.9908e+00,6.2983e-01,1.3626e+00,2.1054e+00,3.4977e+00,-1.4356e+03
1.5466e-01,-1.5512e+00,-1.3542e+00,6.3952e-01,1.4995e+00,2.3265e+00,3.4883e+00,-1.5075e+03
1.6617e-01,-1.4307e+00,-1.8915e+00,6.3599e-01,1.5416e+00,2.5884e+00,3.4526e+00,-1.4679e+03
1.3408e-01,-1.4134e+00,-2.1903e+00,7.2359e-01,1.3394e+00,2.5611e+00,3.4534e+00,-1.4219e+03
1.3179e-01,-1.5053e+00,-2.1101e+00,6.5183e-01,1.1979e+00,2.4391e+00,3.4764e+00,-1.5116e+03
1.6628e-01,-1.5629e+00,-1.2886e+00,6.7947e-01,1.5149e+00,2.3379e+00,3.4851e+00,-1.4629e+03
1.7600e-01,-1.7439e+00,-1.6079e+00,5.0157e-01,1.3901e+00,2.4019e+00,3.4803e+00,-1.5037e+03
