logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.0253e-01,-1.6779e+00,-2.1492e+00,2.8698e-01,1.3114e+00,1.8596e+00,3.4796e+00,2.4325e+01,-1.6292e+03
2.1091e-01,-1.4459e+00,-9.2244e-01,3.5703e-01,3.2816e-01,2.7921e+00,3.4646e+00,2.4544e+01,-1.9209e+03
9.3170e-02,-1.3676e+00,-1.0830e+00,6.0674e-01,1.2676e+00,1.7948e+00,3.5272e+00,2.4465e+01,-1.7726e+03
9.9897e-02,-1.3382e+00,-1.8957e+00,3.8834e-01,9.2283e-01,2.3796e+00,3.4846e+00,2.4417e+01,-1.8933e+03
1.3152e-01,-1.4786e+00,-1.8745e+00,7.1894e-01,1.0797e+00,2.0176e+00,3.5837e+00,2.4619e+01,-1.9086e+03
8.3651e-02,-1.3208e+00,-5.0784e-01,6.8939e-01,6.2193e-01,2.2229e+00,3.5426e+00,2.4524e+01,-1.7551e+03
3.2119e-02,-1.2805e+00,-1.0406e+00,3.6249e-01,8.3667e-01,2.3447e+00,3.5295e+00,2.4551e+01,-1.7545e+03
1.7396e-01,-1.7084e+00,-2.2355e+00,5.1680e-01,1.1656e+00,1.4940e+00,3.5481e+00,2.4489e+01,-1.4640e+03
2.2258e-01,-1.6102e+00,-1.5602e+00,6.9614e-01,7.0483e-01,2.1996e+00,3.5093e+00,2.4410e+01,-1.4890e+03
2.2572e-01,-1.8675e+00,-7.1627e-01,3.4670e-01,4.9046e-01,2.0227e+00,3.5298e+00,2.4434e+01,-1.9145e+03
2.4810e-01,-1.7857e+00,-1.2386e+00,3.7164e-01,1.3053e+00,1.6556e+00,3.5376e+00,2.4431e+01,-1.9017e+03
2.2932e-01,-1.7110e+00,-1.0866e+00,4.8384e-01,8.4193e-02,2.2195e+00,3.5112e+00,2.4414e+01,-1.6224e+03
2.2161e-01,-1.6202e+00,-1.4718e+00,3.6911e-01,1.5567e+00,2.0595e+00,3.4779e+00,2.4367e+01,-1.6096e+03
6.4820e-02,-1.4431e+00,-1.7663e+00,3.6385e-01,1.0070e+00,1.4911e+00,3.5594e+00,2.4531e+01,-1.7058e+03
1.8483e-01,-1.8675e+00,-6.1800e-01,4.3077e-01,5.4211e-01,1.7739e+00,3.5524e+00,2.4506e+01,-1.9055e+03
1.5950e-01,-1.5672e+00,-1.9980e+00,7.5393e-01,4.3383e-01,1.6766e+00,3.5981e+00,2.4604e+01,-1.7148e+03
3.9454e-02,-1.3467e+00,-2.1838e+00,5.3994e-01,1.2616e-01,1.7811e+00,3.5524e+00,2.4519e+01,-1.8147e+03
1.3872e-01,-1.5294e+00,-1.3292e+00,7.0733e-01,-3.1714e-02,2.2625e+00,3.6022e+00,2.4685e+01,-1.8807e+03
-2.3119e-02,-1.1750e+00,-2.0252e+00,5.3653e-01,6.3989e-01,2.4492e+00,3.5293e+00,2.4587e+01,-1.8354e+03
1.3209e-01,-1.3822e+00,-1.5024e+00,7.9901e-01,1.2865e+00,1.9648e+00,3.5713e+00,2.4559e+01,-1.7155e+03
5.3579e-02,-1.1914e+00,-1.5764e+00,8.0185e-01,9.0052e-01,2.6648e+00,3.5342e+00,2.4641e+01,-1.4838e+03
5.2800e-02,-1.3566e+00,-2.9690e-01,5.1963e-01,1.2916e+00,2.0290e+00,3.6016e+00,2.4686e+01,-1.9144e+03
2.3614e-01,-1.5225e+00,-1.2208e+00,4.9682e-01,-2.3783e-01,2.6347e+00,3.4404e+00,2.4389e+01,-1.3415e+03
9.3746e-03,-1.2200e+00,-1.6025e+00,7.4383e-01,3.6229e-01,2.2957e+00,3.5453e+00,2.4580e+01,-1.6569e+03
1.1400e-01,-1.3293e+00,-6.9933e-01,4.7480e-01,1.1474e+00,2.4768e+00,3.4839e+00,2.4461e+01,-1.7153e+03
1.6030e-01,-1.5348e+00,-1.5059e+00,4.9153e-01,7.9432e-01,2.0055e+00,3.4867e+00,2.4344e+01,-1.6398e+03
2.0166e-02,-1.3206e+00,-7.1074e-01,3.2352e-01,1.2088e+00,1.4970e+00,3.6073e+00,2.4671e+01,-1.9265e+03
2.1825e-01,-1.5058e+00,-1.0684e+00,5.1145e-01,1.0235e+00,2.3984e+00,3.4766e+00,2.4385e+01,-1.8564e+03
2.1307e-01,-1.4828e+00,-2.0374e+00,4.5508e-01,-2.7936e-02,2.5025e+00,3.4251e+00,2.4294e+01,-1.6399e+03
2.4608e-01,-1.4920e+00,-1.1887e+00,3.8364e-01,1.1468e-01,2.7753e+00,3.4255e+00,2.4440e+01,-1.5820e+03
5.0999e-02,-1.2925e+00,-1.4997e+00,4.8964e-01,1.5597e+00,2.2457e+00,3.5449e+00,2.4586e+01,-1.8877e+03
4.9569e-02,-1.2987e+00,-1.0282e+00,7.4053e-01,3.8250e-01,2.2413e+00,3.5829e+00,2.4650e+01,-1.8637e+03
1.8095e-01,-1.7037e+00,-1.6167e+00,3.0246e-01,7.5482e-01,1.9440e+00,3.5092e+00,2.4392e+01,-1.7851e+03
1.5664e-01,-1.6317e+00,-1.2134e+00,1.9979e-01,3.2927e-01,1.8804e+00,3.5081e+00,2.4381e+01,-1.8559e+03
2.0050e-01,-1.8120e+00,-2.0218e+00,2.4510e-01,1.1439e+00,1.5297e+00,3.5061e+00,2.4372e+01,-1.6307e+03
1.6345e-01,-1.7004e+00,-8.4828e-01,3.8634e-01,2.8426e-01,1.5382e+00,3.5559e+00,2.4488e+01,-1.5829e+03
2.2091e-01,-1.8523e+00,-2.0669e+00,8.8536e-02,8.3601e-01,1.8335e+00,3.4707e+00,2.4284e+01,-1.8747e+03
1.4763e-01,-1.5093e+00,-1.3900e+00,8.0639e-01,6.7170e-01,2.0080e+00,3.6166e+00,2.4671e+01,-1.7299e+03
1.4246e-01,-1.4246e+00,-8.8620e-01,6.7105e-01,-3.1287e-01,2.2524e+00,3.5179e+00,2.4456e+01,-1.6247e+03
2.0045e-01,-1.6624e+00,-1.2306e+00,6.4580e-01,7.3401e-01,1.9840e+00,3.5260e+00,2.4443e+01,-1.5999e+03
1.3388e-01,-1.5926e+00,-7.2775e-01,7.1603e-01,3.9700e-01,1.4858e+00,3.6216e+00,2.4665e+01,-1.8785e+03
1.1042e-01,-1.5936e+00,-1.4087e+00,3.0689e-01,-1.2283e-01,1.3011e+00,3.5395e+00,2.4456e+01,-1.6845e+03
1.7713e-01,-1.6716e+00,-6.0791e-01,5.8934e-01,5.2907e-01,1.9993e+00,3.5690e+00,2.4561e+01,-1.8090e+03
2.9597e-02,-1.2083e+00,-2.1956e+00,6.3539e-01,1.5412e+00,2.1411e+00,3.5350e+00,2.4552e+01,-1.6151e+03
8.4211e-02,-1.1539e+00,-1.1378e+00,7.0005e-01,1.8885e-02,2.8960e+00,3.4260e+00,2.4560e+01,-1.6398e+03
7.8247e-02,-1.3997e+00,-1.3511e+00,6.9131e-01,1.5544e+00,1.3249e+00,3.6138e+00,2.4698e+01,-1.7448e+03
9.0496e-02,-1.3093e+00,-1.7790e+00,2.5927e-01,1.3804e+00,2.3860e+00,3.5157e+00,2.4511e+01,-1.8838e+03
7.5964e-02,-1.4012e+00,-8.9819e-01,5.8165e-01,7.5764e-01,1.3082e+00,3.5610e+00,2.4512e+01,-1.7040e+03
1.8378e-01,-1.6691e+00,-1.4756e+00,-2.0146e-02,1.4281e+00,2.1036e+00,3.4994e+00,2.4424e+01,-1.8349e+03
1.4123e-01,-1.5630e+00,-1.2116e+00,1.1735e-01,5.6069e-01,1.8367e+00,3.4860e+00,2.4323e+01,-1.9166e+03
4.8167e-02,-1.2865e+00,-1.7346e+00,5.1489e-01,5.4261e-01,2.3523e+00,3.5467e+00,2.4567e+01,-1.6961e+03
1.3150e-01,-1.5382e+00,-9.0464e-01,3.5152e-01,7.1591e-01,1.3232e+00,3.5112e+00,2.4369e+01,-1.8105e+03
2.3219e-01,-1.8464e+00,-1.5352e+00,6.8732e-01,8.3851e-01,1.5698e+00,3.5235e+00,2.4403e+01,-1.7142e+03
3.7999e-02,-1.2965e+00,-1.3811e+00,2.1175e-01,1.1415e+00,2.2126e+00,3.5146e+00,2.4494e+01,-1.9070e+03
2.1027e-01,-1.7234e+00,-9.7474e-01,7.0584e-01,1.1924e+00,1.5743e+00,3.5781e+00,2.4561e+01,-1.6811e+03
1.4311e-02,-1.1631e+00,-8.6777e-01,4.4781e-01,-3.2911e-01,2.7320e+00,3.4995e+00,2.4620e+01,-1.7851e+03
1.7588e-01,-1.6316e+00,-1.3698e+00,4.0621e-01,1.1243e+00,2.1005e+00,3.5553e+00,2.4543e+01,-1.6535e+03
4.3580e-02,-1.3455e+00,-2.1232e+00,6.6107e-01,1.0404e+00,1.7855e+00,3.5838e+00,2.4626e+01,-1.7782e+03
2.3746e-01,-1.7194e+00,-1.1617e+00,6.1313e-01,2.8315e-02,2.4199e+00,3.4970e+00,2.4450e+01,-1.8997e+03
2.2339e-01,-1.4580e+00,-1.7271e+00,3.8883e-01,1.2797e+00,2.4638e+00,3.4254e+00,2.4302e+01,-1.7648e+03
1.4934e-01,-1.3196e+00,-1.4192e+00,5.7505e-01,1.4900e+00,2.6698e+00,3.4844e+00,2.4551e+01,-1.5545e+03
1.3414e-01,-1.5856e+00,-9.2558e-01,6.2495e-01,7.0230e-01,1.2588e+00,3.5969e+00,2.4602e+01,-1.5879e+03
5.0169e-02,-1.3013e+00,-1.6576e+00,5.4936e-01,1.4681e+00,2.1267e+00,3.5345e+00,2.4541e+01,-1.6594e+03
1.8517e-01,-1.5256e+00,-1.2029e+00,8.1392e-01,2.6668e-01,2.0606e+00,3.5308e+00,2.4448e+01,-1.8333e+03
1.0712e-01,-1.4989e+00,-1.4217e+00,7.4240e-01,3.8069e-01,1.6373e+00,3.5889e+00,2.4600e+01,-1.4033e+03
5.2613e-02,-1.4409e+00,-1.7401e+00,5.1705e-01,7.3698e-01,1.5445e+00,3.6064e+00,2.4661e+01,-1.8574e+03
