logfeh,logdust,logNpix,tau,dmod,logl
1.6702e-01,-1.8400e+00,3.5063e+00,2.5477e+00,2.4384e+01,-1.6383e+03
1.6398e-01,-1.7785e+00,3.5048e+00,2.5566e+00,2.4376e+01,-1.6385e+03
1.5761e-01,-1.7597e+00,3.5054e+00,2.5590e+00,2.4383e+01,-1.6452e+03
1.4956e-01,-1.7198e+00,3.5091e+00,2.5417e+00,2.4391e+01,-1.6470e+03
1.5790e-01,-1.7332e+00,3.5052e+00,2.5593e+00,2.4376e+01,-1.6444e+03
1.6731e-01,-1.8701e+00,3.5059e+00,2.5395e+00,2.4383e+01,-1.6443e+03
1.6841e-01,-1.8458e+00,3.5056e+00,2.5404e+00,2.4378e+01,-1.6416e+03
1.5765e-01,-1.7531e+00,3.5054e+00,2.5594e+00,2.4382e+01,-1.6270e+03
1.5667e-01,-1.7557e+00,3.5056e+00,2.5553e+00,2.4381e+01,-1.6459e+03
1.6633e-01,-1.8288e+00,3.5066e+00,2.5472e+00,2.4383e+01,-1.6460e+03
1.5804e-01,-1.7654e+00,3.5050e+00,2.5575e+00,2.4380e+01,-1.6420e+03
1.5858e-01,-1.7599e+00,3.5061e+00,2.5569e+00,2.4383e+01,-1.6394e+03
1.4378e-01,-1.6975e+00,3.5077e+00,2.5503e+00,2.4392e+01,-1.6399e+03
1.6375e-01,-1.8031e+00,3.5050e+00,2.5564e+00,2.4379e+01,-1.6420e+03
1.5776e-01,-1.7725e+00,3.5067e+00,2.5572e+00,2.4386e+01,-1.6450e+03
1.5759e-01,-1.7599e+00,3.5064e+00,2.5564e+00,2.4384e+01,-1.6470e+03
1.5823e-01,-1.7478e+00,3.5055e+00,2.5590e+00,2.4381e+01,-1.6454e+03
1.5793e-01,-1.7510e+00,3.5051e+00,2.5596e+00,2.4381e+01,-1.6434e+03
1.5517e-01,-1.7320e+00,3.5061e+00,2.5617e+00,2.4380e+01,-1.6411e+03
1.4135e-01,-1.7019e+00,3.5094e+00,2.5459e+00,2.4400e+01,-1.6380e+03
1.6908e-01,-1.8417e+00,3.5054e+00,2.5393e+00,2.4376e+01,-1.6397e+03
1.5009e-01,-1.7202e+00,3.5078e+00,2.5469e+00,2.4389e+01,-1.6447e+03
1.5154e-01,-1.7450e+00,3.5068e+00,2.5593e+00,2.4390e+01,-1.6469e+03
1.6818e-01,-1.8343e+00,3.5060e+00,2.5383e+00,2.4378e+01,-1.6226e+03
1.6744e-01,-1.8369e+00,3.5064e+00,2.5364e+00,2.4380e+01,-1.6470e+03
1.5471e-01,-1.7453e+00,3.5059e+00,2.5600e+00,2.4383e+01,-1.6431e+03
1.6780e-01,-1.8553e+00,3.5059e+00,2.5474e+00,2.4382e+01,-1.6464e+03
1.5779e-01,-1.7672e+00,3.5064e+00,2.5563e+00,2.4383e+01,-1.6387e+03
1.5760e-01,-1.7623e+00,3.5055e+00,2.5537e+00,2.4381e+01,-1.6378e+03
1.5673e-01,-1.7389e+00,3.5056e+00,2.5596e+00,2.4379e+01,-1.6415e+03
1.6757e-01,-1.8379e+00,3.5065e+00,2.5386e+00,2.4381e+01,-1.6469e+03
1.5787e-01,-1.7623e+00,3.5054e+00,2.5604e+00,2.4382e+01,-1.6403e+03
1.5879e-01,-1.7641e+00,3.5064e+00,2.5579e+00,2.4383e+01,-1.6278e+03
1.6609e-01,-1.8382e+00,3.5064e+00,2.5486e+00,2.4384e+01,-1.6454e+03
1.6737e-01,-1.8557e+00,3.5059e+00,2.5481e+00,2.4382e+01,-1.6325e+03
1.5894e-01,-1.7661e+00,3.5062e+00,2.5586e+00,2.4382e+01,-1.6304e+03
1.5763e-01,-1.7548e+00,3.5054e+00,2.5546e+00,2.4380e+01,-1.6409e+03
1.5738e-01,-1.7490e+00,3.5062e+00,2.5588e+00,2.4381e+01,-1.6335e+03
1.4241e-01,-1.6969e+00,3.5094e+00,2.5459e+00,2.4398e+01,-1.6314e+03
1.6709e-01,-1.8226e+00,3.5061e+00,2.5473e+00,2.4381e+01,-1.6410e+03
1.5045e-01,-1.7448e+00,3.5087e+00,2.5454e+00,2.4394e+01,-1.6445e+03
1.6726e-01,-1.8516e+00,3.5060e+00,2.5408e+00,2.4381e+01,-1.6337e+03
1.6569e-01,-1.8458e+00,3.5068e+00,2.5425e+00,2.4385e+01,-1.6424e+03
1.6630e-01,-1.8279e+00,3.5062e+00,2.5457e+00,2.4381e+01,-1.6279e+03
1.5744e-01,-1.7366e+00,3.5057e+00,2.5598e+00,2.4377e+01,-1.6436e+03
1.5670e-01,-1.7604e+00,3.5071e+00,2.5561e+00,2.4386e+01,-1.6412e+03
1.5412e-01,-1.7325e+00,3.5055e+00,2.5556e+00,2.4381e+01,-1.6409e+03
1.6888e-01,-1.8504e+00,3.5059e+00,2.5383e+00,2.4378e+01,-1.6449e+03
1.4152e-01,-1.6939e+00,3.5096e+00,2.5459e+00,2.4398e+01,-1.6423e+03
