logfeh,logdust,logNpix,logage,dmod,logl
-9.6164e-02,-1.9471e+00,3.6066e+00,1.0193e+01,2.4607e+01,-2.8004e+03
-1.0060e-01,-1.9313e+00,3.6202e+00,1.0180e+01,2.4645e+01,-2.7954e+03
-1.1686e-01,-1.8246e+00,3.6392e+00,1.0188e+01,2.4700e+01,-2.7581e+03
-1.1120e-01,-1.9622e+00,3.6510e+00,1.0198e+01,2.4738e+01,-2.7970e+03
-9.5795e-02,-1.9859e+00,3.5879e+00,1.0179e+01,2.4562e+01,-2.8008e+03
-1.1395e-01,-1.8912e+00,3.6378e+00,1.0186e+01,2.4703e+01,-2.7887e+03
-9.9406e-02,-1.9552e+00,3.6174e+00,1.0191e+01,2.4638e+01,-2.7701e+03
-1.2182e-01,-1.8035e+00,3.6391e+00,1.0180e+01,2.4702e+01,-2.7910e+03
-9.4361e-02,-1.9413e+00,3.6074e+00,1.0180e+01,2.4607e+01,-2.7966e+03
-9.8784e-02,-1.9653e+00,3.6175e+00,1.0194e+01,2.4637e+01,-2.7932e+03
-1.1497e-01,-1.8509e+00,3.6380e+00,1.0192e+01,2.4698e+01,-2.7920e+03
-1.0948e-01,-1.9393e+00,3.6518e+00,1.0196e+01,2.4737e+01,-2.7699e+03
-1.1937e-01,-1.8234e+00,3.6277e+00,1.0198e+01,2.4671e+01,-2.7734e+03
-1.1809e-01,-1.8560e+00,3.6379e+00,1.0182e+01,2.4704e+01,-2.7912e+03
-1.0005e-01,-1.9716e+00,3.6202e+00,1.0184e+01,2.4648e+01,-2.7973e+03
-1.2408e-01,-1.8076e+00,3.6390e+00,1.0187e+01,2.4705e+01,-2.7901e+03
-9.2093e-02,-1.9809e+00,3.6073e+00,1.0195e+01,2.4607e+01,-2.7985e+03
-1.0111e-01,-1.9595e+00,3.6386e+00,1.0183e+01,2.4694e+01,-2.8002e+03
-1.2458e-01,-1.8067e+00,3.6394e+00,1.0185e+01,2.4707e+01,-2.7999e+03
-1.0283e-01,-1.9401e+00,3.6158e+00,1.0191e+01,2.4638e+01,-2.7988e+03
-9.3624e-02,-1.9978e+00,3.6062e+00,1.0192e+01,2.4608e+01,-2.7822e+03
-1.0982e-01,-1.9008e+00,3.6515e+00,1.0187e+01,2.4731e+01,-2.7863e+03
-1.2078e-01,-1.8017e+00,3.6074e+00,1.0187e+01,2.4621e+01,-2.7866e+03
-1.1764e-01,-1.8485e+00,3.6381e+00,1.0190e+01,2.4700e+01,-2.7927e+03
-1.1621e-01,-1.8848e+00,3.6396e+00,1.0198e+01,2.4705e+01,-2.8000e+03
-1.1140e-01,-1.9501e+00,3.6508e+00,1.0189e+01,2.4735e+01,-2.7982e+03
-1.1107e-01,-1.9437e+00,3.6511e+00,1.0178e+01,2.4733e+01,-2.7896e+03
