logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.0417e-01,-1.2676e+00,-1.4820e+00,1.0122e+00,1.0174e+00,2.9463e+00,3.6960e+00,2.4527e+01,-5.5206e+02
1.6866e-01,-1.1961e+00,-1.7156e+00,9.5347e-01,-6.0230e-02,3.2408e+00,3.5363e+00,2.4448e+01,-5.6601e+02
1.6909e-01,-1.2677e+00,-1.3754e+00,9.6548e-01,6.0856e-01,3.1449e+00,3.5866e+00,2.4440e+01,-5.7848e+02
1.1727e-01,-1.3111e+00,-1.5538e+00,9.0123e-01,1.6408e+00,2.8002e+00,3.7040e+00,2.4487e+01,-5.3061e+02
5.7903e-02,-1.3394e+00,-1.4795e+00,8.6927e-01,1.7316e+00,1.6964e+00,3.7892e+00,2.4551e+01,-5.7093e+02
1.6827e-01,-1.4964e+00,-1.3628e+00,8.0785e-01,1.6778e+00,2.5936e+00,3.7053e+00,2.4410e+01,-5.6628e+02
2.2344e-01,-1.6079e+00,-1.5175e+00,7.4435e-01,1.6214e+00,2.8752e+00,3.6418e+00,2.4342e+01,-5.5018e+02
1.0366e-01,-1.4229e+00,-1.4936e+00,9.2379e-01,1.5263e+00,2.1144e+00,3.7712e+00,2.4500e+01,-5.7437e+02
1.1011e-01,-1.2693e+00,-1.8076e+00,9.0596e-01,1.7536e+00,2.7584e+00,3.7175e+00,2.4495e+01,-5.5462e+02
1.7175e-01,-1.4290e+00,-1.7261e+00,8.8674e-01,1.5350e+00,2.7249e+00,3.6864e+00,2.4390e+01,-5.7190e+02
1.5995e-01,-1.4271e+00,-1.9022e+00,9.5489e-01,1.6672e+00,2.7130e+00,3.7225e+00,2.4485e+01,-5.3150e+02
5.3613e-02,-1.3385e+00,-1.7106e+00,1.0173e+00,1.0716e+00,2.2225e+00,3.8025e+00,2.4593e+01,-5.7430e+02
9.8267e-02,-1.4001e+00,-1.8126e+00,8.6700e-01,1.6210e+00,2.1454e+00,3.7525e+00,2.4466e+01,-5.6210e+02
1.4662e-01,-1.3882e+00,-1.4893e+00,9.2650e-01,2.2967e-01,2.8714e+00,3.6805e+00,2.4434e+01,-5.5996e+02
-2.8638e-02,-1.2428e+00,-1.9918e+00,1.0121e+00,1.4884e+00,2.0521e+00,3.8163e+00,2.4646e+01,-5.5138e+02
1.5614e-01,-1.3481e+00,-1.1310e+00,9.4261e-01,1.7345e+00,2.7161e+00,3.6929e+00,2.4415e+01,-5.6137e+02
1.2678e-01,-1.5182e+00,-1.5167e+00,8.4631e-01,1.5337e+00,2.3175e+00,3.7521e+00,2.4481e+01,-5.6974e+02
1.2131e-01,-1.5035e+00,-1.9336e+00,7.6859e-01,1.6998e+00,1.8280e+00,3.7452e+00,2.4426e+01,-5.6981e+02
1.9220e-01,-1.3378e+00,-1.5685e+00,8.4190e-01,1.3722e+00,3.0677e+00,3.6136e+00,2.4418e+01,-5.6787e+02
1.7084e-01,-1.2475e+00,-1.4504e+00,9.5700e-01,1.5239e-01,3.1494e+00,3.5693e+00,2.4403e+01,-5.7450e+02
9.6484e-02,-1.3976e+00,-1.7840e+00,1.0290e+00,7.4517e-02,2.5377e+00,3.7697e+00,2.4548e+01,-5.7241e+02
1.5109e-01,-1.3096e+00,-1.8672e+00,9.2504e-01,1.4778e+00,2.9557e+00,3.6557e+00,2.4440e+01,-5.5305e+02
7.8188e-02,-1.4012e+00,-1.5572e+00,9.4017e-01,8.7582e-01,2.2938e+00,3.7670e+00,2.4509e+01,-5.7928e+02
1.1745e-01,-1.3450e+00,-1.2617e+00,9.7724e-01,1.6840e+00,2.6533e+00,3.7478e+00,2.4539e+01,-5.5631e+02
1.7792e-01,-1.4038e+00,-1.6880e+00,8.5693e-01,1.0506e+00,3.0061e+00,3.6556e+00,2.4458e+01,-5.7779e+02
8.3261e-02,-1.3067e+00,-1.6079e+00,1.0107e+00,1.6805e+00,2.3357e+00,3.7682e+00,2.4524e+01,-5.7163e+02
1.0460e-01,-1.4115e+00,-1.9527e+00,8.7089e-01,1.7648e+00,1.7866e+00,3.7678e+00,2.4485e+01,-5.2881e+02
9.2878e-02,-1.3844e+00,-1.8505e+00,9.2759e-01,1.7335e+00,1.6864e+00,3.7930e+00,2.4544e+01,-5.7480e+02
1.2624e-01,-1.4729e+00,-2.0104e+00,9.1964e-01,1.6141e+00,2.3176e+00,3.7591e+00,2.4496e+01,-5.6345e+02
1.3712e-01,-1.5238e+00,-1.5654e+00,7.9131e-01,1.7289e+00,1.7777e+00,3.7511e+00,2.4432e+01,-5.5457e+02
1.2912e-01,-1.2332e+00,-1.3680e+00,1.0236e+00,1.7490e+00,2.9601e+00,3.7005e+00,2.4546e+01,-5.4271e+02
