logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
1.6035e-01,-1.4948e+00,-1.5433e+00,8.6581e-01,1.3863e+00,2.6183e+00,3.7135e+00,-5.7013e+02
1.7769e-01,-1.4256e+00,-1.6417e+00,8.2876e-01,1.6523e+00,2.8365e+00,3.6737e+00,-5.5913e+02
1.5805e-01,-1.4931e+00,-1.6126e+00,8.3539e-01,1.6679e+00,2.5373e+00,3.7144e+00,-5.5763e+02
1.5257e-01,-1.3404e+00,-1.3822e+00,8.6422e-01,1.7614e+00,2.7987e+00,3.6779e+00,-5.5577e+02
1.3831e-01,-1.3321e+00,-1.4634e+00,8.8548e-01,1.6712e+00,2.7422e+00,3.6883e+00,-5.5449e+02
1.4900e-01,-1.5797e+00,-1.6506e+00,7.7935e-01,1.7321e+00,1.6924e+00,3.7469e+00,-5.6895e+02
1.8112e-01,-1.7579e+00,-1.5785e+00,7.3331e-01,1.7099e+00,1.7162e+00,3.7507e+00,-5.6700e+02
1.5495e-01,-1.3071e+00,-1.9655e+00,8.5721e-01,1.5533e+00,2.9566e+00,3.6452e+00,-5.7072e+02
1.4122e-01,-1.2603e+00,-1.4483e+00,9.4395e-01,9.4373e-01,3.0272e+00,3.6266e+00,-5.6331e+02
1.6540e-01,-1.3992e+00,-1.3115e+00,8.2861e-01,1.6279e+00,2.8489e+00,3.6694e+00,-5.7379e+02
1.4173e-01,-1.5848e+00,-1.6976e+00,7.7588e-01,1.6030e+00,2.0419e+00,3.7404e+00,-5.6058e+02
1.8062e-01,-1.2933e+00,-1.4056e+00,8.1965e-01,1.5168e+00,3.0901e+00,3.6008e+00,-5.3170e+02
1.7985e-01,-1.2632e+00,-1.1713e+00,8.9698e-01,1.6396e+00,3.0814e+00,3.6030e+00,-5.5584e+02
1.5757e-01,-1.4107e+00,-1.5373e+00,8.6363e-01,1.4974e+00,2.7562e+00,3.6927e+00,-5.7335e+02
1.6960e-01,-1.6057e+00,-1.5543e+00,8.0556e-01,1.7500e+00,1.9273e+00,3.7484e+00,-5.7259e+02
1.5500e-01,-1.4313e+00,-1.1472e+00,8.0917e-01,1.6429e+00,2.7211e+00,3.6924e+00,-5.6625e+02
1.6773e-01,-1.3111e+00,-1.7790e+00,9.0677e-01,1.5645e+00,2.9701e+00,3.6414e+00,-5.7229e+02
1.5223e-01,-1.3094e+00,-1.4428e+00,8.9509e-01,1.5060e+00,2.9481e+00,3.6471e+00,-5.3392e+02
1.8580e-01,-1.4452e+00,-1.6918e+00,7.5010e-01,1.7143e+00,2.8087e+00,3.6834e+00,-5.6376e+02
1.9232e-01,-1.5780e+00,-1.9705e+00,8.5624e-01,1.7074e+00,2.5503e+00,3.7174e+00,-5.5500e+02
1.8227e-01,-1.3243e+00,-1.3048e+00,8.8533e-01,1.6216e+00,3.0166e+00,3.6273e+00,-5.5266e+02
1.4417e-01,-1.1334e+00,-1.6419e+00,9.5121e-01,1.7241e+00,3.1579e+00,3.5568e+00,-5.4112e+02
1.8730e-01,-1.3210e+00,-1.2738e+00,8.9483e-01,1.6218e+00,3.0054e+00,3.6362e+00,-5.4707e+02
1.2950e-01,-1.3206e+00,-1.9553e+00,8.7828e-01,1.7291e+00,2.7147e+00,3.6894e+00,-5.2621e+02
1.9612e-01,-1.5178e+00,-1.7221e+00,8.5627e-01,1.5000e+00,2.7918e+00,3.6908e+00,-5.6201e+02
1.8849e-01,-1.2815e+00,-1.2520e+00,8.8132e-01,1.7650e+00,3.0482e+00,3.6153e+00,-5.6094e+02
1.6341e-01,-1.3763e+00,-1.2127e+00,7.9414e-01,1.7377e+00,2.8258e+00,3.6735e+00,-5.6731e+02
1.3638e-01,-1.2970e+00,-1.2153e+00,8.3966e-01,1.6944e+00,2.8621e+00,3.6637e+00,-5.4281e+02
1.5624e-01,-1.3232e+00,-2.0175e+00,8.5219e-01,1.4715e+00,2.9563e+00,3.6469e+00,-5.1978e+02
1.8107e-01,-1.2400e+00,-1.2929e+00,9.5808e-01,1.4078e+00,3.1455e+00,3.5766e+00,-5.6561e+02
1.7914e-01,-1.3397e+00,-1.5244e+00,8.1922e-01,1.5597e+00,3.0234e+00,3.6247e+00,-5.4869e+02
1.4242e-01,-1.2910e+00,-1.9990e+00,9.0621e-01,1.4056e+00,2.9583e+00,3.6467e+00,-5.7219e+02
1.8172e-01,-1.3992e+00,-1.7355e+00,8.7704e-01,1.7353e+00,2.8127e+00,3.6785e+00,-5.7279e+02
1.5623e-01,-1.2534e+00,-1.7220e+00,9.0240e-01,9.2172e-01,3.1028e+00,3.5994e+00,-5.7320e+02
1.4438e-01,-1.4202e+00,-1.1233e+00,8.2690e-01,1.6987e+00,2.5679e+00,3.7100e+00,-5.7149e+02
1.6453e-01,-1.5843e+00,-1.6287e+00,7.7267e-01,1.7399e+00,2.2245e+00,3.7355e+00,-5.4516e+02
1.5982e-01,-1.5491e+00,-1.2415e+00,8.4336e-01,1.7551e+00,2.1085e+00,3.7400e+00,-5.4461e+02
1.4910e-01,-1.4412e+00,-1.6293e+00,8.0620e-01,1.6876e+00,2.5599e+00,3.7137e+00,-5.4749e+02
1.7092e-01,-1.3088e+00,-1.9234e+00,9.8755e-01,1.3246e+00,3.0014e+00,3.6372e+00,-5.5611e+02
