logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.6060e-01,-1.3779e+00,-1.1603e+00,6.0562e-01,1.3253e+00,1.9608e+00,3.2291e+00,2.5406e+01,-1.4283e+05
-9.4178e-01,-1.1291e+00,-2.8333e-01,1.3039e-01,-9.1440e-02,3.2093e+00,3.4964e+00,2.4961e+01,-1.4580e+05
-3.7115e-01,-1.9862e+00,-4.9013e-01,8.0019e-01,4.9512e-01,2.6464e+00,2.8270e+00,2.4106e+01,-1.3606e+05
1.2759e-02,-1.4729e+00,-5.8379e-02,7.9475e-01,1.3969e+00,2.4734e+00,3.0061e+00,2.5248e+01,-1.3836e+05
1.5663e-02,-1.9291e+00,-7.2142e-01,6.2044e-02,6.4835e-01,2.9476e+00,3.9548e+00,2.5525e+01,-1.3285e+05
-9.2524e-01,-1.8157e+00,-1.9411e+00,3.8467e-01,9.5460e-01,2.4822e+00,2.7628e+00,2.4684e+01,-1.3965e+05
-5.8791e-01,-1.4970e+00,-1.8120e+00,2.4929e-01,8.9724e-01,1.4291e+00,3.9111e+00,2.5736e+01,-1.4422e+05
-9.8160e-01,-1.9199e+00,-2.0348e+00,5.8363e-01,9.9042e-01,1.7465e+00,3.0906e+00,2.3821e+01,-1.3629e+05
1.3511e-01,-1.7269e+00,-2.0267e-01,-1.2578e-01,1.6909e+00,3.2373e+00,2.7826e+00,2.5951e+01,-1.4577e+05
-4.1046e-01,-1.8929e+00,-1.5773e+00,8.3484e-01,5.9886e-01,2.4873e+00,2.6886e+00,2.3902e+01,-1.3502e+05
2.1148e-01,-1.5316e+00,-5.2418e-01,3.5624e-01,1.9450e-01,2.6439e+00,3.2868e+00,2.4998e+01,-1.4453e+05
-5.3134e-01,-1.9867e+00,-2.0719e-01,-3.5479e-01,4.1592e-01,1.8649e+00,3.2174e+00,2.5335e+01,-1.4192e+05
-6.9713e-01,-1.9637e+00,-1.9590e+00,1.4032e-01,1.2640e+00,2.2317e+00,2.9497e+00,2.3212e+01,-1.3865e+05
1.5387e-01,-1.8428e+00,-6.9485e-02,5.9213e-01,9.1365e-01,3.0636e+00,2.8348e+00,2.5917e+01,-1.4327e+05
-1.6661e-01,-1.1495e+00,-1.1122e+00,-1.6043e-01,5.5805e-01,1.9295e+00,2.8060e+00,2.4976e+01,-1.3835e+05
-9.1677e-02,-1.0999e+00,-4.7745e-01,2.3322e-01,3.4760e-01,1.7184e+00,3.3465e+00,2.4973e+01,-1.4357e+05
-9.0832e-01,-1.9450e+00,-1.3894e+00,2.1587e-01,1.4731e+00,1.9897e+00,3.0223e+00,2.3402e+01,-1.3990e+05
-1.9212e-01,-1.5131e+00,-1.1513e+00,-4.9520e-01,5.6328e-01,2.2958e+00,2.8500e+00,2.5393e+01,-1.4057e+05
-5.0498e-01,-1.9181e+00,-3.5246e-01,-5.8005e-01,2.4032e-01,1.7214e+00,3.1310e+00,2.5297e+01,-1.4089e+05
