logfeh,logdust,logNpix,tau,dmod,logl
7.3769e-02,-1.3184e+00,3.8023e+00,2.6544e+00,2.4588e+01,-7.5086e+02
8.0425e-02,-1.3876e+00,3.7707e+00,2.4980e+00,2.4502e+01,-7.5488e+02
1.5503e-01,-1.6855e+00,3.7356e+00,2.3725e+00,2.4385e+01,-7.5486e+02
5.6830e-02,-1.3383e+00,3.7928e+00,2.4772e+00,2.4564e+01,-7.4695e+02
1.5076e-01,-1.5767e+00,3.7486e+00,2.4959e+00,2.4418e+01,-7.4475e+02
1.5037e-01,-1.5949e+00,3.7368e+00,2.4478e+00,2.4386e+01,-7.4898e+02
5.3699e-02,-1.2900e+00,3.7942e+00,2.6155e+00,2.4572e+01,-7.5366e+02
1.9764e-01,-1.9526e+00,3.7216e+00,2.3020e+00,2.4326e+01,-7.4440e+02
1.1249e-01,-1.4376e+00,3.7626e+00,2.5459e+00,2.4471e+01,-7.5239e+02
1.6482e-01,-1.6670e+00,3.7262e+00,2.4148e+00,2.4354e+01,-7.4942e+02
1.8287e-01,-1.8692e+00,3.7249e+00,2.2766e+00,2.4339e+01,-7.5262e+02
1.5349e-01,-1.6051e+00,3.7569e+00,2.4673e+00,2.4439e+01,-7.5185e+02
7.1002e-02,-1.3842e+00,3.7728e+00,2.4492e+00,2.4509e+01,-7.5446e+02
1.5844e-01,-1.6694e+00,3.7465e+00,2.3952e+00,2.4410e+01,-7.5371e+02
1.4003e-01,-1.6246e+00,3.7371e+00,2.3740e+00,2.4395e+01,-7.2756e+02
1.5033e-01,-1.6677e+00,3.7391e+00,2.3668e+00,2.4395e+01,-7.3632e+02
1.5770e-01,-1.6439e+00,3.7546e+00,2.4513e+00,2.4435e+01,-7.2944e+02
7.6099e-02,-1.3335e+00,3.7987e+00,2.6171e+00,2.4577e+01,-7.5354e+02
1.3313e-01,-1.5639e+00,3.7650e+00,2.4418e+00,2.4470e+01,-7.5346e+02
1.4677e-01,-1.6290e+00,3.7644e+00,2.4114e+00,2.4461e+01,-7.3934e+02
9.4431e-02,-1.3801e+00,3.7878e+00,2.6012e+00,2.4544e+01,-7.4819e+02
5.6204e-02,-1.2958e+00,3.8058e+00,2.6115e+00,2.4600e+01,-7.3816e+02
1.8550e-01,-1.8199e+00,3.7411e+00,2.4016e+00,2.4388e+01,-7.4944e+02
1.4194e-01,-1.6091e+00,3.7332e+00,2.3811e+00,2.4381e+01,-7.4831e+02
1.4519e-01,-1.5735e+00,3.7527e+00,2.4609e+00,2.4430e+01,-7.4805e+02
1.4245e-01,-1.5756e+00,3.7320e+00,2.4272e+00,2.4376e+01,-7.3215e+02
1.8851e-01,-1.8516e+00,3.7380e+00,2.4213e+00,2.4382e+01,-7.5312e+02
1.9019e-01,-1.9308e+00,3.7007e+00,2.3294e+00,2.4284e+01,-7.4299e+02
7.4653e-02,-1.3332e+00,3.7954e+00,2.6109e+00,2.4568e+01,-7.3132e+02
1.2158e-01,-1.5432e+00,3.7702e+00,2.4267e+00,2.4488e+01,-7.4290e+02
1.5642e-01,-1.7066e+00,3.7372e+00,2.3857e+00,2.4393e+01,-7.3197e+02
