logfeh,logdust,logNpix,logage,dmod,logl
-6.2103e-02,-1.9741e+00,3.8509e+00,1.0192e+01,2.4644e+01,-1.1704e+03
-7.2949e-02,-1.9056e+00,3.8469e+00,1.0176e+01,2.4640e+01,-1.1696e+03
-7.0112e-02,-1.9289e+00,3.8492e+00,1.0192e+01,2.4645e+01,-1.1705e+03
-6.8776e-02,-1.9856e+00,3.8487e+00,1.0196e+01,2.4644e+01,-1.1682e+03
-7.0027e-02,-1.8989e+00,3.8468e+00,1.0189e+01,2.4635e+01,-1.1637e+03
-7.3795e-02,-1.9388e+00,3.8464e+00,1.0182e+01,2.4642e+01,-1.1662e+03
-6.5054e-02,-1.9736e+00,3.8485e+00,1.0191e+01,2.4639e+01,-1.1699e+03
-6.9158e-02,-1.9490e+00,3.8485e+00,1.0184e+01,2.4642e+01,-1.1631e+03
-6.3464e-02,-1.9918e+00,3.8471e+00,1.0191e+01,2.4636e+01,-1.1667e+03
-7.0145e-02,-1.9182e+00,3.8467e+00,1.0188e+01,2.4636e+01,-1.1648e+03
-7.3385e-02,-1.8825e+00,3.8465e+00,1.0184e+01,2.4637e+01,-1.1670e+03
-7.2759e-02,-1.9233e+00,3.8466e+00,1.0187e+01,2.4639e+01,-1.1659e+03
-7.1538e-02,-1.9177e+00,3.8466e+00,1.0191e+01,2.4637e+01,-1.1702e+03
-7.4288e-02,-1.8957e+00,3.8464e+00,1.0188e+01,2.4637e+01,-1.1668e+03
-7.2123e-02,-1.9446e+00,3.8465e+00,1.0184e+01,2.4640e+01,-1.1653e+03
-6.8815e-02,-1.9521e+00,3.8486e+00,1.0187e+01,2.4644e+01,-1.1653e+03
-7.3732e-02,-1.8953e+00,3.8464e+00,1.0180e+01,2.4639e+01,-1.1654e+03
-6.5605e-02,-1.9860e+00,3.8491e+00,1.0194e+01,2.4644e+01,-1.1698e+03
-6.4060e-02,-1.9831e+00,3.8491e+00,1.0192e+01,2.4641e+01,-1.1660e+03
-7.3879e-02,-1.9165e+00,3.8466e+00,1.0191e+01,2.4640e+01,-1.1615e+03
-6.1715e-02,-1.9901e+00,3.8513e+00,1.0180e+01,2.4645e+01,-1.1707e+03
-7.2511e-02,-1.9358e+00,3.8467e+00,1.0187e+01,2.4641e+01,-1.1630e+03
-7.3583e-02,-1.8739e+00,3.8469e+00,1.0186e+01,2.4638e+01,-1.1688e+03
-7.1692e-02,-1.9041e+00,3.8468e+00,1.0195e+01,2.4636e+01,-1.1608e+03
-6.8766e-02,-1.9770e+00,3.8486e+00,1.0194e+01,2.4645e+01,-1.1620e+03
-7.1216e-02,-1.9302e+00,3.8467e+00,1.0191e+01,2.4638e+01,-1.1688e+03
-6.4034e-02,-1.9821e+00,3.8493e+00,1.0182e+01,2.4641e+01,-1.1632e+03
-6.4974e-02,-1.9733e+00,3.8490e+00,1.0183e+01,2.4641e+01,-1.1694e+03
-7.1675e-02,-1.9073e+00,3.8467e+00,1.0182e+01,2.4636e+01,-1.1680e+03
-6.5334e-02,-1.9982e+00,3.8490e+00,1.0186e+01,2.4643e+01,-1.1670e+03
-7.2085e-02,-1.8904e+00,3.8465e+00,1.0181e+01,2.4636e+01,-1.1703e+03
-7.1554e-02,-1.9221e+00,3.8468e+00,1.0186e+01,2.4638e+01,-1.1606e+03
-6.3961e-02,-1.9682e+00,3.8468e+00,1.0183e+01,2.4634e+01,-1.1707e+03
-7.3566e-02,-1.8972e+00,3.8464e+00,1.0175e+01,2.4637e+01,-1.1654e+03
-7.4296e-02,-1.9006e+00,3.8451e+00,1.0190e+01,2.4636e+01,-1.1661e+03
-7.2635e-02,-1.9195e+00,3.8464e+00,1.0179e+01,2.4638e+01,-1.1595e+03
-6.5120e-02,-1.9752e+00,3.8489e+00,1.0182e+01,2.4642e+01,-1.1609e+03
-6.4538e-02,-1.9695e+00,3.8490e+00,1.0176e+01,2.4640e+01,-1.1539e+03
-7.0294e-02,-1.9360e+00,3.8483e+00,1.0190e+01,2.4643e+01,-1.1690e+03
-6.8555e-02,-1.9757e+00,3.8490e+00,1.0186e+01,2.4646e+01,-1.1663e+03
-7.4499e-02,-1.9054e+00,3.8465e+00,1.0192e+01,2.4641e+01,-1.1665e+03
-7.0933e-02,-1.9163e+00,3.8467e+00,1.0184e+01,2.4636e+01,-1.1694e+03
-6.6576e-02,-1.9750e+00,3.8497e+00,1.0189e+01,2.4644e+01,-1.1559e+03
-7.2324e-02,-1.9455e+00,3.8466e+00,1.0200e+01,2.4641e+01,-1.1664e+03
-7.2182e-02,-1.9101e+00,3.8467e+00,1.0188e+01,2.4638e+01,-1.1657e+03
-7.1888e-02,-1.9329e+00,3.8467e+00,1.0183e+01,2.4639e+01,-1.1641e+03
-7.3954e-02,-1.9540e+00,3.8467e+00,1.0190e+01,2.4644e+01,-1.1690e+03
-7.3410e-02,-1.9537e+00,3.8469e+00,1.0197e+01,2.4643e+01,-1.1616e+03
-6.9078e-02,-1.9571e+00,3.8487e+00,1.0177e+01,2.4645e+01,-1.1703e+03
-6.5936e-02,-1.9629e+00,3.8653e+00,1.0198e+01,2.4682e+01,-1.1702e+03
-7.4086e-02,-1.9034e+00,3.8465e+00,1.0199e+01,2.4639e+01,-1.1641e+03
-7.3089e-02,-1.9013e+00,3.8467e+00,1.0178e+01,2.4638e+01,-1.1643e+03
-7.2497e-02,-1.9330e+00,3.8466e+00,1.0191e+01,2.4639e+01,-1.1707e+03
