logfeh_scale,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
4.3084e-01,-9.2895e-01,-4.2363e-01,-1.6454e+00,1.5238e+00,2.6662e+00,1.9698e+00,2.5061e+01,-1.7090e+03
4.2962e-01,-9.0337e-01,-2.3992e+00,3.8821e-01,-8.7732e-01,2.6722e+00,1.5760e+00,2.4840e+01,-1.2588e+03
1.7465e-01,-8.9254e-01,-3.8300e-01,8.2640e-03,2.0047e+00,1.9625e+00,2.8330e+00,2.5373e+01,-1.6061e+03
2.9411e-01,-8.7314e-01,-2.0146e+00,-3.0170e-01,7.0366e-01,2.6876e+00,1.3150e+00,2.4868e+01,-1.6558e+03
1.3933e-01,-1.2240e+00,-1.6222e+00,-9.4921e-01,1.2813e+00,2.3172e-01,2.8599e+00,2.4991e+01,-1.7915e+03
3.7736e-01,-1.0105e+00,-1.8781e+00,1.5920e-01,9.2381e-02,2.5256e+00,2.3216e+00,2.4821e+01,-1.1321e+03
3.7674e-01,-1.2880e+00,-2.0209e+00,-4.5744e-01,1.5016e+00,1.8213e+00,2.8156e+00,2.5057e+01,-1.1646e+03
3.5846e-01,-1.3303e+00,-1.0792e+00,-1.5080e+00,1.4716e+00,2.1195e-01,2.8510e+00,2.4979e+01,-1.4457e+03
4.5407e-01,-1.5790e+00,-2.5363e+00,-1.6469e-01,5.6459e-02,2.0400e+00,2.7665e+00,2.4935e+01,-1.6040e+03
2.1667e-01,-9.2450e-01,-1.0960e+00,-4.5923e-01,9.1341e-01,2.5935e+00,2.2631e+00,2.4956e+01,-1.3240e+03
1.3999e-01,-7.6125e-01,-1.4376e+00,3.2837e-01,1.7452e+00,2.6166e+00,1.7705e+00,2.5025e+01,-1.4146e+03
4.5592e-01,-1.6549e+00,-1.9428e+00,-9.8679e-02,5.4256e-01,1.6667e+00,2.8379e+00,2.4914e+01,-1.8336e+03
3.4512e-01,-1.3314e+00,-6.9234e-01,-4.2228e-01,1.1803e+00,1.8504e+00,2.8337e+00,2.5016e+01,-1.5764e+03
3.1931e-01,-1.5327e+00,-1.1821e+00,-1.1356e+00,-1.6733e-01,1.9904e+00,2.8449e+00,2.5073e+01,-1.8612e+03
1.6890e-03,-7.7183e-01,-1.6559e+00,7.2671e-01,1.8555e+00,2.2771e+00,2.7361e+00,2.5296e+01,-1.4944e+03
2.7425e-01,-1.1871e+00,-1.9956e+00,2.7759e-01,1.4560e+00,1.0449e+00,2.9147e+00,2.5161e+01,-1.8685e+03
4.0739e-01,-1.3565e+00,-8.7371e-01,-7.2345e-01,1.5457e+00,7.5330e-01,2.8696e+00,2.5043e+01,-1.5454e+03
2.8386e-02,-9.2297e-01,-2.3656e+00,-9.8686e-01,1.5199e+00,2.3378e+00,2.6668e+00,2.5126e+01,-1.8491e+03
3.8307e-01,-9.2217e-01,-1.3162e+00,-5.5147e-01,2.1678e-02,2.6039e+00,1.4855e+00,2.4638e+01,-1.6008e+03
4.8556e-01,-1.2130e+00,-7.6802e-01,-2.7845e-01,1.4572e-01,2.4327e+00,2.6319e+00,2.4997e+01,-1.5296e+03
1.3251e-01,-1.1048e+00,-1.4557e+00,-9.4406e-01,1.2806e+00,1.8059e+00,2.7963e+00,2.4949e+01,-1.7967e+03
2.7748e-01,-8.8800e-01,-1.2727e+00,5.0943e-01,5.4949e-01,2.7151e+00,2.0549e+00,2.5112e+01,-1.1758e+03
4.1167e-01,-9.3417e-01,-5.3054e-01,-8.2455e-01,-4.2091e-01,2.7255e+00,1.3669e+00,2.4981e+01,-1.7580e+03
2.5833e-01,-8.1859e-01,-1.8398e+00,-7.1538e-01,1.6279e+00,2.5450e+00,1.9405e+00,2.4840e+01,-1.3080e+03
2.3410e-01,-8.8200e-01,-4.5762e-01,-2.9821e-01,2.0662e+00,6.6038e-01,2.8383e+00,2.5253e+01,-1.7262e+03
2.5541e-01,-1.1389e+00,-7.8268e-01,-4.0832e-01,7.2168e-01,2.2160e+00,2.6632e+00,2.4850e+01,-1.8567e+03
5.3419e-02,-1.0067e+00,-1.6954e+00,-1.3768e+00,1.6685e+00,2.7823e-01,2.8595e+00,2.5098e+01,-1.6165e+03
2.0988e-01,-7.2750e-01,-1.4359e+00,6.4310e-01,1.9841e+00,2.6855e+00,1.4302e+00,2.5276e+01,-1.8252e+03
4.5738e-01,-1.0778e+00,-2.2006e+00,-5.0424e-01,8.3416e-01,2.3858e+00,2.4365e+00,2.4698e+01,-1.5026e+03
4.9452e-01,-1.0080e+00,-1.8632e+00,3.2937e-01,9.3890e-01,2.4575e+00,2.3380e+00,2.4744e+01,-1.7241e+03
3.1822e-01,-9.6973e-01,-5.6873e-01,-1.6707e+00,-2.3408e-01,2.5340e+00,2.2334e+00,2.4752e+01,-1.4407e+03
3.7792e-01,-1.0134e+00,-1.7280e+00,-7.0010e-01,1.9189e+00,1.6766e+00,2.7373e+00,2.5056e+01,-1.6909e+03
-1.2514e-01,-7.3001e-01,-2.2141e+00,8.5242e-01,1.6157e+00,2.5807e+00,2.6231e+00,2.5399e+01,-1.6899e+03
7.0607e-02,-8.2129e-01,-9.7375e-01,1.4120e-01,-9.8213e-01,2.6785e+00,1.9417e+00,2.4993e+01,-1.3908e+03
4.7175e-01,-8.9048e-01,-1.8081e+00,3.2497e-01,7.2080e-01,2.6735e+00,1.3547e+00,2.4832e+01,-1.3479e+03
4.7671e-03,-9.0176e-01,-2.4101e+00,7.1639e-01,1.2639e+00,2.4426e+00,2.8073e+00,2.5424e+01,-1.8511e+03
-6.6364e-03,-9.8783e-01,-2.3868e+00,-1.3301e-01,1.4445e+00,1.9491e+00,2.8552e+00,2.5216e+01,-1.5380e+03
2.8089e-01,-1.1863e+00,-2.3155e+00,-7.3517e-01,1.5448e+00,1.3606e+00,2.8710e+00,2.5093e+01,-1.6465e+03
3.4074e-01,-1.3247e+00,-2.6372e+00,-1.5999e-02,-7.1570e-02,2.1541e+00,2.7987e+00,2.5031e+01,-1.7525e+03
4.1247e-01,-1.5643e+00,-1.5203e+00,-6.7190e-01,1.4220e+00,1.4589e+00,2.8661e+00,2.5108e+01,-1.8760e+03
-1.9334e-01,-7.1714e-01,-2.0597e+00,7.6261e-01,-4.9589e-01,2.6880e+00,2.4139e+00,2.5284e+01,-1.6659e+03
2.0349e-01,-1.1193e+00,-1.2321e+00,-8.0673e-01,-7.1013e-01,2.2355e+00,2.6655e+00,2.4850e+01,-1.8657e+03
4.9073e-02,-8.5287e-01,-1.3922e+00,-4.4037e-01,-7.5895e-01,2.5782e+00,2.2279e+00,2.4877e+01,-1.8695e+03
4.6764e-01,-1.2536e+00,-2.0568e+00,3.4813e-01,2.6873e-01,2.4400e+00,2.7616e+00,2.5241e+01,-1.7298e+03
4.2990e-01,-9.6527e-01,-1.8305e+00,2.5800e-01,-3.4171e-01,2.7185e+00,1.5814e+00,2.5029e+01,-1.8633e+03
3.4739e-01,-1.3979e+00,-6.0131e-01,-6.6849e-01,4.7987e-01,1.9187e+00,2.8126e+00,2.4950e+01,-1.8147e+03
4.5573e-01,-1.2011e+00,-7.5425e-01,-1.2539e+00,1.6610e+00,1.1305e+00,2.8395e+00,2.5019e+01,-1.6681e+03
1.4302e-01,-7.8581e-01,-1.6253e+00,-1.3642e+00,1.7581e+00,2.6635e+00,1.8478e+00,2.5140e+01,-1.7709e+03
-8.8573e-02,-6.9584e-01,-2.4023e+00,6.6845e-01,4.6707e-01,2.6972e+00,1.1395e+00,2.4956e+01,-1.7138e+03
3.5824e-01,-1.6655e+00,-1.9780e+00,-6.6410e-01,1.0258e+00,1.1323e+00,2.8232e+00,2.4890e+01,-1.8678e+03
4.3078e-01,-1.0937e+00,-1.0671e+00,-6.1688e-01,-1.0527e+00,2.5005e+00,2.3150e+00,2.4760e+01,-1.5451e+03
-1.8897e-02,-7.4403e-01,-2.2886e+00,6.4192e-01,9.3808e-01,2.6475e+00,2.1517e+00,2.5037e+01,-1.3971e+03
4.7383e-01,-1.1877e+00,-2.0643e+00,-2.7924e-01,1.7794e+00,1.9899e-01,2.8382e+00,2.5062e+01,-1.1822e+03
4.6689e-01,-1.4003e+00,-1.5447e+00,-2.6768e-01,1.5824e+00,1.3483e+00,2.9393e+00,2.5260e+01,-1.6055e+03
