logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.1184e-02,-1.5207e+00,-2.4336e+00,-8.8386e-01,1.1777e+00,3.6633e-01,2.8681e+00,-1.1722e+05
2.8672e-01,-1.3360e+00,-2.5526e+00,1.9509e-01,2.2340e+00,1.9067e+00,1.1300e+00,-1.4270e+05
-7.7677e-01,-5.7693e-01,-2.3793e-02,-1.3973e+00,1.7610e+00,2.5505e+00,1.4914e+00,-9.9754e+04
-2.4524e-01,-1.0757e+00,-2.6296e+00,9.1604e-01,1.4988e+00,1.7347e+00,2.8606e+00,-7.3979e+04
-5.9864e-01,-1.5700e+00,1.9213e-01,-1.4065e+00,7.9454e-01,1.7887e+00,2.6309e+00,-1.5097e+05
4.4767e-01,-1.5140e+00,-1.6901e+00,-5.6083e-01,1.9026e+00,2.4452e+00,3.0612e+00,-9.5064e+04
1.5073e-01,-1.7413e+00,-1.9217e+00,1.0694e-01,4.8438e-01,1.2698e-01,3.1133e+00,-1.3763e+04
-4.0110e-01,-7.4871e-01,-6.8416e-01,-1.2999e+00,-9.5771e-02,2.2161e+00,3.1114e+00,-9.9531e+04
1.8579e-01,-5.1188e-01,1.0689e+00,1.4341e+00,1.7273e-02,2.6083e+00,2.8479e+00,-5.9934e+04
1.1421e-01,-1.4607e+00,-2.1965e+00,4.2007e-01,1.4412e+00,2.5605e+00,2.2690e+00,-8.6194e+04
2.8775e-01,-1.9452e+00,8.4711e-01,7.9136e-01,-1.0822e-01,1.2659e+00,2.9119e+00,-1.3906e+05
3.8985e-01,-1.2846e+00,6.9732e-01,1.2356e-01,1.7488e+00,2.3897e+00,2.9548e+00,-7.7542e+04
3.8629e-01,-1.0086e+00,-4.4025e-01,1.5769e+00,1.9052e+00,1.1623e+00,2.9582e+00,-1.0383e+05
4.2857e-01,-7.4596e-01,-1.5848e+00,1.5652e+00,1.0970e+00,2.3297e+00,2.6770e+00,-1.3374e+05
-2.3124e-02,-9.7222e-01,3.7083e-01,1.0376e+00,3.3774e-01,2.5123e+00,2.3367e+00,-1.1885e+05
3.8180e-01,-1.2838e+00,-1.3272e+00,-1.3314e-01,2.3215e-01,2.9382e+00,1.4517e+00,-7.2568e+03
-1.1403e-01,-6.9921e-01,3.2301e-01,1.1135e+00,2.0159e+00,1.7912e+00,3.0417e+00,-9.5424e+04
-5.6359e-01,-5.2003e-01,-3.6863e-01,-3.9405e-01,2.1914e+00,2.6965e+00,2.5989e+00,-1.0114e+05
-1.1976e-01,-1.1147e+00,-5.2361e-01,-5.9537e-01,1.7953e+00,6.2250e-01,2.5660e+00,-1.4474e+05
3.5880e-01,-7.1374e-01,-3.2915e-02,1.7469e+00,3.7579e-01,1.8211e+00,2.7498e+00,-1.3711e+05
-7.5809e-01,-1.6487e+00,-1.2099e+00,-6.0365e-01,-7.1749e-01,1.2253e+00,2.7356e+00,-1.4826e+05
7.1166e-02,-6.5549e-01,-9.5627e-01,-1.0064e+00,1.9648e+00,2.5874e+00,3.0528e+00,-1.0092e+05
3.6744e-01,-1.3853e+00,-2.5186e+00,4.7195e-01,2.0432e+00,4.3151e-01,3.1353e+00,-8.9083e+04
2.7595e-01,-1.5293e+00,-9.9949e-01,3.7706e-02,2.2621e+00,2.5109e-01,2.8605e+00,-1.3327e+05
-2.3333e-01,-1.9269e+00,-2.4318e+00,-3.1830e-01,-6.2129e-01,2.0614e+00,2.8744e+00,-1.1531e+05
4.6935e-01,-1.1969e+00,-1.4652e+00,-1.5629e+00,1.8973e+00,2.6835e+00,1.6074e+00,-1.1639e+05
-6.2734e-01,-8.2505e-01,-2.1999e-01,-2.9188e-01,3.3480e-01,2.5657e+00,2.7589e+00,-1.3140e+05
-3.4923e-01,-1.9089e+00,-2.5834e-01,-6.6965e-01,1.4146e+00,1.6672e+00,2.6565e+00,-1.2004e+05
-6.2731e-01,-8.9408e-01,-1.7337e+00,-2.9880e-01,7.9547e-01,1.8053e+00,2.6383e+00,-1.4440e+05
-5.5243e-01,-5.1773e-01,1.1658e+00,-1.0459e+00,-3.2673e-01,8.8801e-01,3.0247e+00,-5.9566e+04
-8.7471e-01,-8.5873e-01,-7.2922e-01,9.1040e-01,1.3975e+00,1.5923e+00,2.7225e+00,-1.3862e+05
2.7185e-02,-8.1381e-01,-1.4170e-01,1.3176e+00,2.1869e+00,2.4162e+00,2.0458e+00,-1.3688e+05
-5.4352e-01,-5.0530e-01,-1.7274e+00,-4.2406e-01,2.8339e-01,2.9445e+00,2.3260e+00,-6.6410e+04
-3.5693e-01,-6.1141e-01,-1.3832e+00,-1.0171e+00,2.2722e+00,1.7809e+00,1.1536e+00,-1.1531e+05
-3.3272e-01,-6.3175e-01,1.1040e-01,-3.4407e-01,1.5350e+00,1.4343e+00,2.9685e+00,-1.0883e+05
2.1411e-01,-9.3314e-01,-1.4512e+00,-1.7272e+00,3.4080e-01,2.3525e+00,3.3111e+00,-1.5221e+05
-5.5395e-01,-1.7759e+00,-1.6484e+00,-2.9683e-01,-2.3736e-01,2.9337e-01,2.6570e+00,-1.5233e+05
-1.3068e-01,-7.7527e-01,-2.5727e+00,-1.6080e+00,8.1823e-02,2.5535e+00,2.7194e+00,-9.6095e+04
3.8518e-02,-1.2915e+00,6.6118e-01,9.2519e-01,2.0977e-01,2.1812e+00,2.5143e+00,-1.5246e+05
3.2310e-01,-8.5104e-01,-1.6281e+00,1.3098e+00,1.8217e+00,2.5672e+00,2.1809e+00,-9.0991e+04
4.8352e-02,-1.1808e+00,1.3657e-01,1.0462e+00,1.6212e+00,1.9208e+00,2.6299e+00,-1.3026e+05
9.3321e-02,-9.2072e-01,-1.3376e+00,1.0782e+00,5.0589e-01,2.7865e+00,1.7048e+00,-4.3372e+04
-1.0814e-01,-1.2254e+00,4.7434e-01,-1.5758e+00,-1.8777e-01,2.5189e+00,2.2720e+00,-1.1808e+05
1.6670e-01,-1.4949e+00,-1.1106e+00,5.6024e-01,-4.1286e-02,2.6047e+00,1.6586e+00,-1.4076e+05
3.7915e-01,-1.6108e+00,-3.2890e-01,1.5901e+00,-7.2126e-02,2.1374e+00,2.9046e+00,-1.4730e+05
-1.8004e-01,-7.5925e-01,2.5092e-01,6.2998e-01,3.6007e-01,2.6231e+00,1.9036e+00,-1.2233e+05
1.3771e-01,-5.6782e-01,6.2015e-01,-6.0623e-01,2.4290e+00,7.4348e-01,1.1013e+00,-1.3329e+05
-2.4002e-01,-7.3089e-01,-2.6278e+00,1.2837e+00,-1.8632e-01,2.6263e+00,2.8928e+00,-1.2006e+05
-4.0094e-01,-6.9401e-01,1.9703e-01,2.6922e-01,2.0212e+00,2.7854e+00,1.9370e+00,-1.4113e+05
-9.5229e-01,-5.5607e-01,-6.8777e-01,-9.0262e-01,2.3767e+00,1.0052e+00,1.4902e+00,-1.4532e+05
5.8821e-02,-8.2110e-01,1.0063e+00,5.2562e-01,1.8168e+00,2.3214e+00,2.8568e+00,-1.1991e+05
4.0372e-01,-1.0514e+00,-2.6048e+00,1.2631e+00,1.7988e+00,2.9126e+00,1.3662e+00,-1.0238e+05
2.6720e-01,-1.9825e+00,-3.3664e-01,1.2845e+00,-1.1067e+00,1.3064e+00,3.0370e+00,-9.0298e+04
-7.2801e-01,-7.7103e-01,7.7438e-01,-6.7681e-01,-3.1535e-01,1.3272e+00,2.8659e+00,-1.0450e+05
-4.1163e-01,-5.1564e-01,-2.6549e+00,1.7615e+00,2.1278e+00,1.7366e+00,1.5524e+00,-1.0548e+05
2.5597e-01,-7.6105e-01,9.1164e-01,-1.2002e+00,-1.6860e-01,2.6043e+00,2.8476e+00,-5.8014e+04
6.0418e-02,-7.2063e-01,1.1623e+00,2.8375e-02,1.5884e+00,2.2990e+00,2.6749e+00,-1.2627e+05
-6.1966e-02,-1.0716e+00,1.2980e-01,6.4316e-01,1.8924e+00,1.4851e+00,2.5091e+00,-1.2837e+05
-8.0285e-01,-6.5218e-01,-6.6680e-01,-1.4447e+00,1.5656e+00,2.5873e+00,1.5920e+00,-9.5157e+04
-4.8518e-01,-6.4652e-01,1.4439e-01,-9.2218e-01,-9.1127e-01,2.3743e+00,3.0891e+00,-9.6638e+04
4.6419e-01,-1.3184e+00,-1.7247e+00,1.5808e+00,1.9673e+00,1.1110e+00,2.9129e+00,-1.3881e+05
-8.7956e-01,-6.3082e-01,1.0850e+00,-6.7218e-01,-3.2796e-01,2.5022e+00,2.4505e+00,-1.5198e+05
-6.2181e-03,-1.1597e+00,-2.0047e+00,-5.6802e-01,2.9260e-01,2.1179e+00,3.0750e+00,-4.1183e+04
1.7026e-01,-1.7587e+00,-1.8791e+00,-9.6444e-01,1.5240e-02,1.6969e+00,2.8765e+00,-1.5281e+05
-1.5956e-01,-1.1991e+00,-2.7400e+00,-1.0843e+00,1.9969e+00,2.4039e-01,1.9440e+00,-1.4702e+05
-2.8187e-01,-5.6311e-01,1.1218e+00,-8.9586e-01,1.7608e+00,1.1521e+00,2.7954e+00,-8.7727e+04
-5.0155e-01,-5.3177e-01,-1.9535e+00,9.3432e-01,1.1754e+00,3.1649e-01,3.1069e+00,-9.3357e+04
-3.3798e-02,-8.3655e-01,-2.0009e+00,1.5505e+00,4.0955e-01,2.4215e+00,2.5433e+00,-1.1767e+05
-5.3559e-02,-1.9730e+00,-1.7737e+00,2.9246e-01,1.4406e+00,2.2984e+00,2.1567e+00,-1.4732e+05
-3.1431e-02,-9.6601e-01,-1.0928e+00,-1.3828e+00,3.8553e-01,2.5234e+00,2.7636e+00,-4.5522e+04
3.6552e-01,-1.0257e+00,-4.5140e-01,-7.1540e-01,1.7543e+00,1.8691e+00,3.0428e+00,-1.1182e+05
-1.5312e-01,-1.8080e+00,3.3506e-01,-1.5287e+00,-5.2997e-01,1.8122e+00,2.7751e+00,-1.1059e+05
3.9251e-01,-1.4083e+00,9.4439e-01,1.0997e+00,-9.8072e-01,2.4131e+00,2.9758e+00,-1.5019e+05
-7.9674e-01,-6.7196e-01,-9.7066e-01,1.2707e+00,1.6593e+00,2.1963e+00,2.4062e+00,-1.2767e+05
