logfeh,logdust,logNpix,logage,dmod,logl
6.3629e-02,-9.8969e-01,3.6210e+00,9.8353e+00,2.4425e+01,-1.9716e+03
-1.4494e-01,-1.1754e+00,3.8308e+00,1.0090e+01,2.4704e+01,-1.8096e+03
1.6846e-01,-1.7839e+00,3.6680e+00,1.0067e+01,2.4241e+01,-1.5723e+03
2.4244e-01,-1.6695e+00,3.7156e+00,9.9491e+00,2.4507e+01,-2.1190e+03
2.1994e-01,-1.5149e+00,3.5772e+00,9.9415e+00,2.4142e+01,-1.9638e+03
4.4941e-01,-1.6790e+00,3.5447e+00,9.8393e+00,2.4066e+01,-2.0957e+03
3.6063e-01,-1.8857e+00,3.5353e+00,9.9551e+00,2.3962e+01,-2.0365e+03
-9.3781e-02,-1.4912e+00,3.8822e+00,1.0131e+01,2.4782e+01,-1.8777e+03
1.6930e-01,-1.6783e+00,3.6977e+00,1.0032e+01,2.4303e+01,-1.6443e+03
4.2792e-01,-1.4700e+00,3.4797e+00,9.7979e+00,2.3995e+01,-2.0262e+03
1.6479e-01,-1.4390e+00,3.6570e+00,9.9896e+00,2.4272e+01,-2.0295e+03
1.8171e-01,-1.5140e+00,3.7234e+00,1.0003e+01,2.4440e+01,-2.2060e+03
-2.3436e-02,-1.9557e+00,3.8022e+00,1.0146e+01,2.4566e+01,-1.7613e+03
-3.0366e-03,-1.8452e+00,3.9130e+00,1.0168e+01,2.4819e+01,-2.0283e+03
4.2636e-01,-1.4039e+00,3.4809e+00,9.7650e+00,2.4099e+01,-2.2007e+03
-7.1757e-02,-1.2477e+00,3.7973e+00,1.0096e+01,2.4563e+01,-2.0335e+03
1.1407e-01,-1.4977e+00,3.6299e+00,1.0055e+01,2.4151e+01,-1.9772e+03
2.2276e-02,-1.2593e+00,3.7052e+00,1.0048e+01,2.4389e+01,-1.8775e+03
4.5697e-02,-1.4660e+00,3.8363e+00,1.0096e+01,2.4661e+01,-1.7408e+03
-6.5814e-02,-1.3547e+00,3.7973e+00,1.0116e+01,2.4604e+01,-2.1922e+03
1.1147e-01,-1.9720e+00,3.7160e+00,1.0099e+01,2.4335e+01,-1.8297e+03
1.9787e-01,-1.8868e+00,3.6451e+00,1.0056e+01,2.4150e+01,-1.8641e+03
-2.8049e-02,-1.9563e+00,3.8751e+00,1.0158e+01,2.4745e+01,-1.4775e+03
-2.3776e-03,-1.6256e+00,3.8209e+00,1.0149e+01,2.4560e+01,-2.0096e+03
-7.0612e-02,-1.8227e+00,3.9494e+00,1.0199e+01,2.4881e+01,-2.0555e+03
-1.3340e-01,-1.1842e+00,3.8542e+00,1.0103e+01,2.4744e+01,-2.0440e+03
3.3578e-01,-1.9714e+00,3.5271e+00,9.9729e+00,2.3979e+01,-1.7247e+03
2.1045e-01,-1.0871e+00,3.5787e+00,9.8028e+00,2.4300e+01,-1.8772e+03
3.0396e-01,-1.6598e+00,3.6257e+00,9.9544e+00,2.4218e+01,-1.9662e+03
6.4693e-03,-1.4065e+00,3.8126e+00,1.0079e+01,2.4604e+01,-2.1540e+03
1.0770e-01,-1.6707e+00,3.7260e+00,1.0036e+01,2.4432e+01,-2.0016e+03
4.0975e-01,-1.9450e+00,3.5961e+00,9.8996e+00,2.4176e+01,-2.1300e+03
3.0110e-02,-1.2877e+00,3.7801e+00,1.0057e+01,2.4584e+01,-1.6143e+03
-1.2949e-01,-1.1846e+00,3.8517e+00,1.0104e+01,2.4749e+01,-1.9334e+03
6.8734e-02,-1.5975e+00,3.7307e+00,1.0107e+01,2.4356e+01,-1.5484e+03
1.8231e-01,-1.9138e+00,3.7982e+00,1.0059e+01,2.4558e+01,-2.2123e+03
2.8616e-01,-1.5839e+00,3.7037e+00,9.9369e+00,2.4457e+01,-2.1145e+03
3.7648e-01,-1.3719e+00,3.5183e+00,9.8518e+00,2.4018e+01,-1.9921e+03
2.1897e-01,-1.4423e+00,3.5874e+00,9.9679e+00,2.4148e+01,-2.0721e+03
3.5107e-01,-1.4902e+00,3.5378e+00,9.8784e+00,2.4032e+01,-1.8036e+03
8.5699e-02,-1.5940e+00,3.7644e+00,1.0106e+01,2.4430e+01,-2.0590e+03
3.7759e-01,-1.5865e+00,3.5258e+00,9.8804e+00,2.3996e+01,-1.7918e+03
-2.1717e-02,-1.9277e+00,3.9026e+00,1.0163e+01,2.4810e+01,-1.6596e+03
-1.4190e-01,-1.3277e+00,3.8583e+00,1.0150e+01,2.4721e+01,-1.8685e+03
1.5737e-01,-1.8678e+00,3.6753e+00,1.0073e+01,2.4276e+01,-1.9488e+03
-1.5839e-01,-1.1663e+00,3.8380e+00,1.0089e+01,2.4730e+01,-1.8846e+03
1.5040e-02,-1.8306e+00,3.9195e+00,1.0161e+01,2.4841e+01,-1.8937e+03
3.4718e-02,-1.3468e+00,3.7961e+00,1.0102e+01,2.4525e+01,-2.2183e+03
-2.5670e-02,-1.8014e+00,3.8182e+00,1.0137e+01,2.4592e+01,-1.5716e+03
7.2695e-02,-1.2970e+00,3.7112e+00,9.9776e+00,2.4459e+01,-2.0567e+03
2.2848e-01,-1.6732e+00,3.6835e+00,9.9604e+00,2.4424e+01,-2.1106e+03
7.7245e-02,-1.0030e+00,3.5866e+00,9.8472e+00,2.4336e+01,-2.0651e+03
8.8605e-02,-1.8522e+00,3.7680e+00,1.0092e+01,2.4472e+01,-1.4791e+03
2.3715e-01,-1.3215e+00,3.6770e+00,9.8801e+00,2.4431e+01,-2.0090e+03
-4.2704e-02,-1.4171e+00,3.8669e+00,1.0120e+01,2.4730e+01,-1.9000e+03
3.0661e-01,-1.0514e+00,3.4566e+00,9.6876e+00,2.4117e+01,-2.0096e+03
2.9981e-01,-1.5145e+00,3.5766e+00,9.9406e+00,2.4127e+01,-1.7425e+03
5.2129e-02,-1.2589e+00,3.6753e+00,9.9963e+00,2.4372e+01,-2.1224e+03
6.6887e-02,-9.9694e-01,3.6460e+00,9.8683e+00,2.4501e+01,-2.1722e+03
2.1283e-01,-1.7675e+00,3.7320e+00,1.0023e+01,2.4425e+01,-2.0482e+03
3.7550e-02,-1.7521e+00,3.8643e+00,1.0172e+01,2.4681e+01,-2.1402e+03
2.6185e-01,-1.2555e+00,3.6128e+00,9.9188e+00,2.4245e+01,-1.9809e+03
1.7795e-01,-1.7590e+00,3.6636e+00,1.0057e+01,2.4225e+01,-1.9715e+03
2.7414e-01,-1.7652e+00,3.6741e+00,1.0013e+01,2.4271e+01,-1.6229e+03
2.6270e-01,-1.4979e+00,3.6159e+00,9.9698e+00,2.4232e+01,-1.7706e+03
2.3044e-01,-1.6867e+00,3.6604e+00,9.9946e+00,2.4226e+01,-1.4887e+03
-8.1171e-03,-1.1507e+00,3.7575e+00,9.9938e+00,2.4587e+01,-1.9314e+03
1.7362e-01,-1.7110e+00,3.7749e+00,1.0071e+01,2.4489e+01,-2.1269e+03
3.9433e-02,-1.2685e+00,3.7150e+00,1.0049e+01,2.4424e+01,-2.0759e+03
4.0205e-01,-7.3681e-01,3.3112e+00,9.3557e+00,2.4205e+01,-1.9827e+03
4.1733e-03,-9.7736e-01,3.6729e+00,9.9211e+00,2.4484e+01,-2.0863e+03
1.1242e-01,-1.5945e+00,3.7095e+00,1.0040e+01,2.4366e+01,-1.8126e+03
-8.6707e-02,-1.2071e+00,3.8133e+00,1.0124e+01,2.4605e+01,-2.1203e+03
-4.7280e-03,-1.7011e+00,3.8667e+00,1.0132e+01,2.4703e+01,-2.1972e+03
3.5462e-01,-1.6657e+00,3.6233e+00,9.9097e+00,2.4272e+01,-1.9997e+03
2.0361e-01,-1.6358e+00,3.6438e+00,1.0005e+01,2.4187e+01,-1.9578e+03
3.5110e-01,-1.3855e+00,3.6138e+00,9.8646e+00,2.4295e+01,-2.0257e+03
2.5209e-01,-1.6340e+00,3.6627e+00,9.9652e+00,2.4374e+01,-1.7032e+03
-1.7012e-01,-1.0975e+00,3.8159e+00,1.0099e+01,2.4647e+01,-1.9811e+03
7.5489e-02,-1.7523e+00,3.7939e+00,1.0098e+01,2.4549e+01,-1.9806e+03
2.0374e-02,-1.7042e+00,3.7537e+00,1.0126e+01,2.4416e+01,-1.9527e+03
-4.5800e-02,-1.6603e+00,3.8439e+00,1.0143e+01,2.4631e+01,-1.8445e+03
2.2489e-01,-1.3486e+00,3.6372e+00,9.8961e+00,2.4344e+01,-1.9032e+03
1.7265e-02,-1.3922e+00,3.7051e+00,1.0080e+01,2.4323e+01,-2.1950e+03
1.0671e-01,-1.6000e+00,3.8078e+00,1.0056e+01,2.4622e+01,-2.0114e+03
-2.1731e-02,-1.9358e+00,3.9087e+00,1.0168e+01,2.4824e+01,-1.6843e+03
4.0910e-01,-1.2776e+00,3.4720e+00,9.7301e+00,2.4049e+01,-1.8184e+03
3.5932e-02,-1.3808e+00,3.7831e+00,1.0101e+01,2.4510e+01,-1.6856e+03
4.0838e-01,-1.4216e+00,3.5204e+00,9.7773e+00,2.4126e+01,-2.1006e+03
-5.6413e-02,-1.6265e+00,3.8620e+00,1.0145e+01,2.4717e+01,-1.8536e+03
4.5929e-01,-1.8102e+00,3.4080e+00,9.8031e+00,2.3789e+01,-2.1900e+03
3.8144e-01,-1.5945e+00,3.5537e+00,9.9128e+00,2.4058e+01,-1.9227e+03
2.0825e-01,-1.6556e+00,3.7032e+00,1.0018e+01,2.4328e+01,-1.9103e+03
2.2485e-01,-1.5282e+00,3.6443e+00,9.9557e+00,2.4298e+01,-1.6336e+03
5.5954e-02,-1.2864e+00,3.7385e+00,9.9989e+00,2.4543e+01,-2.1914e+03
3.2511e-01,-1.2246e+00,3.5250e+00,9.8209e+00,2.4152e+01,-1.7583e+03
3.9947e-01,-1.3137e+00,3.5020e+00,9.7503e+00,2.4154e+01,-1.8615e+03
3.2605e-01,-1.9497e+00,3.5216e+00,9.9445e+00,2.3971e+01,-1.8316e+03
2.0981e-01,-1.7208e+00,3.7054e+00,1.0015e+01,2.4348e+01,-1.8353e+03
3.4004e-01,-1.8211e+00,3.5444e+00,9.9315e+00,2.3999e+01,-1.8761e+03
3.5676e-01,-1.6319e+00,3.5699e+00,9.9061e+00,2.4143e+01,-2.0287e+03
4.5916e-03,-1.4370e+00,3.8690e+00,1.0105e+01,2.4736e+01,-2.0903e+03
