logfeh,logdust,logNpix,tau,logl
-3.9428e-01,-8.7536e-01,5.2731e+00,2.7063e+00,-2.1162e+02
-4.3939e-01,-8.5044e-01,5.2760e+00,2.5996e+00,-2.1273e+02
-4.4865e-01,-8.4393e-01,5.2753e+00,2.6226e+00,-2.1056e+02
-4.4237e-01,-8.5089e-01,5.2769e+00,2.5695e+00,-2.1273e+02
-4.4525e-01,-8.3825e-01,5.2747e+00,2.6928e+00,-2.1142e+02
-4.5491e-01,-8.0784e-01,5.2778e+00,2.6084e+00,-2.1281e+02
-4.2655e-01,-8.5913e-01,5.2751e+00,2.6233e+00,-2.1167e+02
-3.9819e-01,-8.8077e-01,5.2751e+00,2.6142e+00,-2.1205e+02
-4.6844e-01,-8.0861e-01,5.2777e+00,2.6098e+00,-2.0945e+02
-4.7161e-01,-8.0057e-01,5.2768e+00,2.6895e+00,-2.1272e+02
-4.1987e-01,-8.5389e-01,5.2719e+00,2.7618e+00,-2.1227e+02
-4.5014e-01,-8.2039e-01,5.2804e+00,2.4447e+00,-2.1296e+02
-4.2683e-01,-8.5363e-01,5.2751e+00,2.6656e+00,-2.1136e+02
-3.8374e-01,-8.8075e-01,5.2738e+00,2.7126e+00,-2.1099e+02
-3.9418e-01,-8.8214e-01,5.2753e+00,2.6269e+00,-2.1215e+02
-4.1382e-01,-8.6713e-01,5.2751e+00,2.6399e+00,-2.0906e+02
-4.9869e-01,-8.1833e-01,5.2802e+00,2.4569e+00,-2.0660e+02
-4.2588e-01,-8.6102e-01,5.2755e+00,2.6122e+00,-2.0699e+02
-4.2047e-01,-8.6311e-01,5.2755e+00,2.6178e+00,-2.1172e+02
-4.6984e-01,-8.2657e-01,5.2814e+00,2.3511e+00,-2.1113e+02
-4.2184e-01,-8.6043e-01,5.2750e+00,2.6495e+00,-2.0862e+02
-4.3758e-01,-8.4446e-01,5.2735e+00,2.7104e+00,-2.0939e+02
-4.4797e-01,-8.4595e-01,5.2749e+00,2.6230e+00,-2.0641e+02
-4.6393e-01,-7.9666e-01,5.2767e+00,2.7315e+00,-2.1107e+02
-4.3865e-01,-8.5229e-01,5.2757e+00,2.6020e+00,-2.0768e+02
-4.7068e-01,-8.1024e-01,5.2792e+00,2.5634e+00,-2.1111e+02
-4.5959e-01,-8.0002e-01,5.2772e+00,2.6851e+00,-2.1085e+02
-3.6268e-01,-9.0028e-01,5.2741e+00,2.6878e+00,-2.1293e+02
-4.1447e-01,-8.7066e-01,5.2757e+00,2.5929e+00,-2.1201e+02
-3.8848e-01,-8.7982e-01,5.2730e+00,2.7133e+00,-2.1287e+02
-4.2071e-01,-8.6474e-01,5.2758e+00,2.5968e+00,-2.0655e+02
-3.6793e-01,-8.8810e-01,5.2710e+00,2.7888e+00,-2.1290e+02
-4.4963e-01,-8.3441e-01,5.2736e+00,2.7312e+00,-2.0949e+02
-4.4350e-01,-8.5287e-01,5.2771e+00,2.5478e+00,-2.1232e+02
-3.4699e-01,-9.0700e-01,5.2728e+00,2.7395e+00,-2.1181e+02
-4.1554e-01,-8.6939e-01,5.2764e+00,2.5870e+00,-2.1307e+02
-4.9747e-01,-8.1350e-01,5.2799e+00,2.5109e+00,-2.1188e+02
-4.5757e-01,-8.2873e-01,5.2819e+00,2.3243e+00,-2.1267e+02
-3.7199e-01,-8.9045e-01,5.2737e+00,2.7101e+00,-2.0848e+02
-4.8873e-01,-8.2139e-01,5.2809e+00,2.4201e+00,-2.1198e+02
-4.3446e-01,-8.4356e-01,5.2733e+00,2.7375e+00,-2.1257e+02
-4.4338e-01,-8.4883e-01,5.2756e+00,2.6063e+00,-2.1280e+02
-3.5983e-01,-9.0595e-01,5.2748e+00,2.6497e+00,-2.1263e+02
-4.2601e-01,-8.6086e-01,5.2754e+00,2.6137e+00,-2.1196e+02
-4.4595e-01,-8.4689e-01,5.2756e+00,2.6079e+00,-2.0992e+02
-4.5865e-01,-8.1068e-01,5.2791e+00,2.5544e+00,-2.1165e+02
-4.3109e-01,-8.5682e-01,5.2752e+00,2.6220e+00,-2.1230e+02
-4.0295e-01,-8.7500e-01,5.2744e+00,2.6549e+00,-2.0932e+02
-4.6751e-01,-8.0939e-01,5.2789e+00,2.5647e+00,-2.1300e+02
-4.8848e-01,-8.1104e-01,5.2785e+00,2.5657e+00,-2.1240e+02
-3.5911e-01,-8.8945e-01,5.2699e+00,2.8470e+00,-2.1270e+02
-4.0526e-01,-8.7482e-01,5.2760e+00,2.6112e+00,-2.1286e+02
-4.3418e-01,-8.5604e-01,5.2750e+00,2.6221e+00,-2.0814e+02
-4.6898e-01,-8.2061e-01,5.2802e+00,2.4500e+00,-2.1071e+02
-3.9164e-01,-8.7466e-01,5.2723e+00,2.7438e+00,-2.1306e+02
-4.6807e-01,-8.0364e-01,5.2769e+00,2.6586e+00,-2.0937e+02
-4.5106e-01,-8.0432e-01,5.2773e+00,2.6473e+00,-2.1183e+02
-4.2516e-01,-8.5701e-01,5.2752e+00,2.6420e+00,-2.1182e+02
-4.0544e-01,-8.6552e-01,5.2735e+00,2.7214e+00,-2.1102e+02
-3.7958e-01,-8.9046e-01,5.2740e+00,2.6615e+00,-2.1172e+02
-4.4088e-01,-8.5131e-01,5.2770e+00,2.5676e+00,-2.1291e+02
-4.4584e-01,-8.4372e-01,5.2743e+00,2.6652e+00,-2.1260e+02
-3.9461e-01,-8.7644e-01,5.2743e+00,2.6746e+00,-2.1238e+02
-4.0689e-01,-8.7368e-01,5.2754e+00,2.6121e+00,-2.1234e+02
-4.0882e-01,-8.7356e-01,5.2745e+00,2.6265e+00,-2.1255e+02
-4.3411e-01,-8.5495e-01,5.2760e+00,2.6098e+00,-2.1159e+02
-4.9103e-01,-8.0675e-01,5.2777e+00,2.6116e+00,-2.1152e+02
-4.3336e-01,-8.5501e-01,5.2758e+00,2.6062e+00,-2.1103e+02
-4.5126e-01,-8.0176e-01,5.2776e+00,2.6643e+00,-2.1236e+02
-4.1051e-01,-8.5600e-01,5.2706e+00,2.8187e+00,-2.1239e+02
-4.6929e-01,-8.1188e-01,5.2786e+00,2.5634e+00,-2.1120e+02
-4.4177e-01,-8.4869e-01,5.2762e+00,2.6164e+00,-2.1291e+02
-4.3488e-01,-8.5038e-01,5.2751e+00,2.6537e+00,-2.1035e+02
-4.8543e-01,-8.1104e-01,5.2782e+00,2.5677e+00,-2.1199e+02
-4.8163e-01,-8.1799e-01,5.2796e+00,2.4803e+00,-2.1169e+02
-4.6429e-01,-8.0913e-01,5.2790e+00,2.5708e+00,-2.1221e+02
-4.4917e-01,-8.4786e-01,5.2770e+00,2.5627e+00,-2.1171e+02
-4.4944e-01,-8.3981e-01,5.2749e+00,2.6616e+00,-2.1126e+02
-4.0298e-01,-8.7409e-01,5.2741e+00,2.6607e+00,-2.1259e+02
-4.5719e-01,-8.0156e-01,5.2774e+00,2.6637e+00,-2.1009e+02
-3.2840e-01,-9.3148e-01,5.2750e+00,2.6422e+00,-2.1013e+02
-4.4826e-01,-8.4773e-01,5.2773e+00,2.5623e+00,-2.1209e+02
-4.3957e-01,-8.4049e-01,5.2746e+00,2.7055e+00,-2.1234e+02
-4.9669e-01,-8.2180e-01,5.2802e+00,2.4342e+00,-2.1198e+02
-4.4436e-01,-8.4549e-01,5.2755e+00,2.6353e+00,-2.0418e+02
-4.3273e-01,-8.5734e-01,5.2752e+00,2.6088e+00,-2.0815e+02
-4.4942e-01,-8.3953e-01,5.2739e+00,2.6736e+00,-2.1297e+02
-4.4576e-01,-8.5447e-01,5.2787e+00,2.4868e+00,-2.1297e+02
-4.3198e-01,-8.5581e-01,5.2760e+00,2.6091e+00,-2.1305e+02
-3.8104e-01,-8.8945e-01,5.2759e+00,2.6303e+00,-2.1123e+02
-3.8248e-01,-8.9599e-01,5.2769e+00,2.5651e+00,-2.1291e+02
-4.2545e-01,-8.5193e-01,5.2733e+00,2.7222e+00,-2.1304e+02
-4.2926e-01,-8.5464e-01,5.2753e+00,2.6448e+00,-2.0805e+02
-4.1904e-01,-8.6674e-01,5.2752e+00,2.6076e+00,-2.1177e+02
-4.3459e-01,-8.5506e-01,5.2753e+00,2.6128e+00,-2.1296e+02
-4.3462e-01,-8.5859e-01,5.2771e+00,2.5578e+00,-2.1203e+02
-4.2867e-01,-8.6370e-01,5.2763e+00,2.5614e+00,-2.1146e+02
-3.9503e-01,-8.7225e-01,5.2735e+00,2.7133e+00,-2.1168e+02
-4.1792e-01,-8.6192e-01,5.2745e+00,2.6605e+00,-2.1053e+02
-4.0004e-01,-8.7662e-01,5.2745e+00,2.6443e+00,-2.0803e+02
-4.3538e-01,-8.5489e-01,5.2757e+00,2.6100e+00,-2.1196e+02
-4.3007e-01,-8.5552e-01,5.2764e+00,2.6176e+00,-2.0951e+02
-4.3145e-01,-8.5526e-01,5.2750e+00,2.6299e+00,-2.1031e+02
-4.6104e-01,-8.1948e-01,5.2800e+00,2.4527e+00,-2.1081e+02
-4.3405e-01,-8.5276e-01,5.2759e+00,2.6108e+00,-2.0960e+02
-3.1886e-01,-9.4747e-01,5.2770e+00,2.5670e+00,-2.1277e+02
-4.3262e-01,-8.5650e-01,5.2756e+00,2.6131e+00,-2.1304e+02
-4.8357e-01,-8.0471e-01,5.2768e+00,2.6547e+00,-2.1190e+02
-4.1398e-01,-8.6355e-01,5.2741e+00,2.6780e+00,-2.0861e+02
-3.9286e-01,-8.7852e-01,5.2739e+00,2.6843e+00,-2.1227e+02
-3.9158e-01,-8.7482e-01,5.2733e+00,2.7243e+00,-2.1244e+02
