niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.5116e+05,-1.5116e+05,-1.9980e-03,-1.5116e+05,1.1750e-01,6.9098e+00,inf,2.5837e-01,-9.1919e-01,-1.5484e+00,6.2460e+00,9.5868e+00,3.0239e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.5019e+05,-1.5020e+05,-3.9960e-03,-1.5020e+05,1.1751e-01,6.9118e+00,1.3922e+05,5.2937e-01,-7.6710e-01,-1.6390e+00,6.1652e+00,9.5911e+00,3.0546e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.5015e+05,-1.5016e+05,-5.9940e-03,-1.5016e+05,1.1753e-01,6.9138e+00,1.3825e+05,7.9627e-01,-8.5281e-01,-1.5618e+00,6.1425e+00,9.5291e+00,3.0622e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.5012e+05,-1.5012e+05,-7.9920e-03,-1.5012e+05,1.1755e-01,6.9157e+00,1.3822e+05,1.0540e+00,-9.8858e-01,-1.1037e+00,6.2927e+00,1.0064e+01,3.0060e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.5005e+05,-1.5005e+05,-9.9900e-03,-1.5005e+05,1.1757e-01,6.9177e+00,1.3818e+05,1.3166e+00,-3.8559e-01,-1.9943e+00,6.1620e+00,9.9237e+00,3.0013e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.5003e+05,-1.5003e+05,-1.1988e-02,-1.5003e+05,1.1758e-01,6.9197e+00,1.3811e+05,1.5871e+00,-9.8598e-01,-1.0994e+00,6.2317e+00,9.8898e+00,3.0170e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4976e+05,-1.4976e+05,-1.3986e-02,-1.4976e+05,1.1760e-01,6.9217e+00,1.3809e+05,1.8450e+00,-1.4544e-01,-1.1107e+00,6.0544e+00,9.6067e+00,3.0238e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4949e+05,-1.4950e+05,-1.5984e-02,-1.4950e+05,1.1762e-01,6.9237e+00,1.3782e+05,2.1098e+00,2.2353e-01,-1.0264e+00,6.0618e+00,9.5693e+00,3.0237e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4948e+05,-1.4949e+05,-1.7982e-02,-1.4949e+05,1.1722e-01,6.8771e+00,1.3755e+05,2.3733e+00,2.6910e-01,-1.8167e+00,6.0389e+00,9.5726e+00,3.0254e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4946e+05,-1.4946e+05,-1.9980e-02,-1.4946e+05,1.1765e-01,6.9277e+00,1.3755e+05,2.8305e+00,-9.7902e-01,-1.3910e+00,6.2657e+00,9.6569e+00,3.1174e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.4943e+05,-1.4944e+05,-2.1978e-02,-1.4944e+05,1.1767e-01,6.9297e+00,1.3752e+05,3.0916e+00,3.8747e-01,-1.4709e+00,6.2136e+00,9.8831e+00,3.0013e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.4926e+05,-1.4927e+05,-2.3976e-02,-1.4927e+05,1.1768e-01,6.9317e+00,1.3750e+05,3.3529e+00,-2.3242e-01,-1.1564e+00,6.2806e+00,9.9415e+00,3.0571e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.4924e+05,-1.4924e+05,-2.5974e-02,-1.4924e+05,1.1770e-01,6.9337e+00,1.3732e+05,3.6158e+00,-7.0184e-01,-1.5560e+00,6.0743e+00,9.9700e+00,3.0163e+01
1.4000e+01,1.0000e+00,2.7237e+00,-1.4923e+05,-1.4924e+05,-2.7972e-02,-1.4924e+05,1.1768e-01,6.9309e+00,1.3730e+05,3.8866e+00,-9.8678e-01,-1.3803e+00,6.0371e+00,9.6488e+00,3.0644e+01
1.5000e+01,1.0000e+00,2.9126e+00,-1.4912e+05,-1.4913e+05,-2.9970e-02,-1.4913e+05,1.1774e-01,6.9377e+00,1.3729e+05,4.1495e+00,3.7338e-01,-1.8223e+00,6.2463e+00,9.9581e+00,3.0284e+01
1.6000e+01,1.0000e+00,3.1008e+00,-1.4902e+05,-1.4903e+05,-3.1968e-02,-1.4903e+05,1.1775e-01,6.9397e+00,1.3719e+05,4.4127e+00,-9.2180e-01,-1.9073e+00,5.9610e+00,9.6177e+00,3.0726e+01
1.7000e+01,1.0000e+00,3.2882e+00,-1.4902e+05,-1.4902e+05,-3.3966e-02,-1.4902e+05,1.1614e-01,6.7504e+00,1.3708e+05,4.6913e+00,-2.2055e-01,-1.7922e+00,5.9253e+00,9.6569e+00,3.0277e+01
1.8000e+01,1.0000e+00,3.4749e+00,-1.4894e+05,-1.4895e+05,-3.5964e-02,-1.4895e+05,1.1779e-01,6.9437e+00,1.3708e+05,4.9479e+00,-6.7716e-01,-1.9816e+00,5.8890e+00,9.5778e+00,3.0504e+01
1.9000e+01,1.0000e+00,3.6609e+00,-1.4891e+05,-1.4891e+05,-3.7962e-02,-1.4891e+05,1.1780e-01,6.9457e+00,1.3701e+05,5.2057e+00,-9.0400e-01,-1.4941e+00,6.1003e+00,9.6043e+00,3.1139e+01
