logfeh,logdust,logNpix,tau,dmod,logl
-3.7251e-01,-9.7004e-01,5.1850e+00,7.0803e-01,3.0723e+01,-2.1874e+02
-4.2693e-01,-8.8257e-01,5.1615e+00,2.2866e+00,3.0699e+01,-1.9844e+02
-4.2568e-01,-8.5275e-01,5.1840e+00,2.7173e+00,3.0775e+01,-2.1480e+02
-4.9111e-01,-8.4975e-01,5.1824e+00,2.0466e+00,3.0746e+01,-2.0096e+02
-3.9249e-01,-8.9546e-01,5.1910e+00,2.5099e+00,3.0785e+01,-2.0215e+02
-4.1836e-01,-8.9918e-01,5.1407e+00,2.0703e+00,3.0637e+01,-2.1878e+02
-4.8555e-01,-8.3366e-01,5.1138e+00,2.2912e+00,3.0579e+01,-2.0702e+02
-4.2338e-01,-9.1357e-01,5.2220e+00,1.7363e+00,3.0831e+01,-2.1734e+02
-4.2466e-01,-9.1189e-01,5.1237e+00,1.6903e+00,3.0582e+01,-2.0864e+02
-4.9117e-01,-8.1538e-01,5.2346e+00,2.4832e+00,3.0887e+01,-2.0645e+02
-4.4672e-01,-9.1269e-01,5.1484e+00,7.0790e-01,3.0638e+01,-2.0666e+02
-4.9555e-01,-8.1658e-01,5.1735e+00,2.5504e+00,3.0737e+01,-2.1751e+02
-4.3456e-01,-8.7319e-01,5.1989e+00,2.3144e+00,3.0791e+01,-1.8920e+02
-3.6137e-01,-9.0035e-01,5.2348e+00,2.6703e+00,3.0900e+01,-2.1352e+02
-4.2267e-01,-9.2873e-01,5.1425e+00,1.3049e+00,3.0625e+01,-2.1337e+02
-4.8331e-01,-8.3309e-01,5.1201e+00,2.2161e+00,3.0588e+01,-2.0888e+02
-4.8438e-01,-8.6456e-01,5.2049e+00,1.4483e+00,3.0787e+01,-2.0515e+02
-4.4827e-01,-8.7394e-01,5.1545e+00,2.1723e+00,3.0676e+01,-2.0711e+02
-4.8361e-01,-8.4228e-01,5.1716e+00,2.1506e+00,3.0723e+01,-2.1264e+02
-3.7100e-01,-9.1709e-01,5.1728e+00,2.4728e+00,3.0737e+01,-2.1177e+02
-4.1058e-01,-9.3825e-01,5.1298e+00,1.0953e+00,3.0590e+01,-2.2122e+02
-4.3364e-01,-9.1025e-01,5.1608e+00,1.6393e+00,3.0675e+01,-2.1199e+02
-4.8359e-01,-8.7356e-01,5.1720e+00,6.0157e-01,3.0698e+01,-2.2012e+02
-3.9829e-01,-8.9106e-01,5.2051e+00,2.4912e+00,3.0816e+01,-2.0350e+02
-4.9250e-01,-8.4471e-01,5.2134e+00,1.9938e+00,3.0819e+01,-2.1339e+02
-4.9237e-01,-8.4375e-01,5.1867e+00,2.0186e+00,3.0751e+01,-1.9349e+02
-4.8142e-01,-8.5411e-01,5.1377e+00,1.8868e+00,3.0629e+01,-1.8778e+02
-4.0365e-01,-8.9891e-01,5.1868e+00,2.2648e+00,3.0759e+01,-2.0281e+02
-3.8290e-01,-9.2326e-01,5.2085e+00,2.1704e+00,3.0810e+01,-2.1419e+02
-4.2476e-01,-8.6396e-01,5.2492e+00,2.6218e+00,3.0936e+01,-2.1050e+02
-4.7713e-01,-8.5776e-01,5.1804e+00,1.8836e+00,3.0735e+01,-2.1550e+02
-4.3917e-01,-8.6958e-01,5.1886e+00,2.4017e+00,3.0775e+01,-2.0280e+02
-4.8989e-01,-8.3316e-01,5.1586e+00,2.3480e+00,3.0696e+01,-2.2051e+02
-4.4428e-01,-8.6723e-01,5.1455e+00,2.3691e+00,3.0664e+01,-2.0548e+02
-4.8498e-01,-8.1717e-01,5.1422e+00,2.4519e+00,3.0652e+01,-1.8985e+02
-4.0176e-01,-9.3953e-01,5.1235e+00,1.4860e+00,3.0577e+01,-2.1917e+02
-4.1568e-01,-8.9029e-01,5.1769e+00,2.3849e+00,3.0745e+01,-2.0555e+02
-4.7135e-01,-8.7536e-01,5.2002e+00,9.8898e-01,3.0774e+01,-2.1776e+02
-4.0454e-01,-9.0970e-01,5.1452e+00,2.1967e+00,3.0654e+01,-2.1801e+02
-3.8561e-01,-8.8955e-01,5.1563e+00,2.6394e+00,3.0704e+01,-2.1765e+02
-3.7264e-01,-9.5906e-01,5.1452e+00,1.5541e+00,3.0630e+01,-2.1831e+02
-4.3264e-01,-8.6259e-01,5.1671e+00,2.5235e+00,3.0725e+01,-2.0662e+02
-3.9707e-01,-9.0976e-01,5.1795e+00,2.2290e+00,3.0739e+01,-2.0868e+02
-4.2040e-01,-9.3382e-01,5.1718e+00,6.0542e-01,3.0696e+01,-2.0835e+02
-4.9599e-01,-8.6632e-01,5.1886e+00,6.7004e-01,3.0737e+01,-2.1719e+02
-4.7527e-01,-8.7593e-01,5.1359e+00,9.5364e-01,3.0611e+01,-2.1233e+02
-3.9194e-01,-9.0289e-01,5.1561e+00,2.4118e+00,3.0693e+01,-2.1512e+02
-3.4927e-01,-9.4342e-01,5.2026e+00,2.2818e+00,3.0797e+01,-2.2074e+02
-4.8598e-01,-8.3055e-01,5.1784e+00,2.2969e+00,3.0739e+01,-1.8335e+02
-3.8170e-01,-9.0604e-01,5.2502e+00,2.4610e+00,3.0929e+01,-2.1576e+02
-4.2836e-01,-8.5092e-01,5.1968e+00,2.7014e+00,3.0805e+01,-2.1729e+02
-4.3976e-01,-8.7125e-01,5.2063e+00,2.3541e+00,3.0816e+01,-2.0255e+02
-4.7890e-01,-8.2243e-01,5.2033e+00,2.4005e+00,3.0806e+01,-1.7744e+02
-3.8485e-01,-9.2311e-01,5.2034e+00,2.2129e+00,3.0801e+01,-2.1499e+02
-4.8831e-01,-8.1645e-01,5.1342e+00,2.4672e+00,3.0635e+01,-1.8151e+02
-4.4337e-01,-8.6459e-01,5.1723e+00,2.3446e+00,3.0729e+01,-2.1932e+02
-4.9220e-01,-8.0554e-01,5.2371e+00,2.5920e+00,3.0893e+01,-2.1377e+02
-4.8080e-01,-8.3576e-01,5.1197e+00,2.2543e+00,3.0594e+01,-1.9159e+02
-4.9612e-01,-8.2191e-01,5.1319e+00,2.4373e+00,3.0631e+01,-1.9273e+02
-4.0566e-01,-9.2639e-01,5.1755e+00,1.8417e+00,3.0718e+01,-2.1025e+02
-4.8662e-01,-8.6604e-01,5.1958e+00,1.4038e+00,3.0761e+01,-2.1808e+02
-4.4567e-01,-9.0608e-01,5.1288e+00,1.3611e+00,3.0590e+01,-2.1001e+02
-4.9624e-01,-8.5067e-01,5.2341e+00,1.8593e+00,3.0865e+01,-2.1949e+02
-4.0611e-01,-9.4471e-01,5.1210e+00,7.0882e-01,3.0566e+01,-2.1584e+02
-3.3111e-01,-9.1824e-01,5.2533e+00,2.7838e+00,3.0955e+01,-2.1618e+02
-4.8138e-01,-8.2787e-01,5.1600e+00,2.3902e+00,3.0699e+01,-1.9624e+02
-4.3407e-01,-9.1623e-01,5.1293e+00,1.3963e+00,3.0593e+01,-2.1014e+02
-4.7149e-01,-8.6511e-01,5.1903e+00,1.6548e+00,3.0755e+01,-2.1303e+02
-4.4314e-01,-9.0272e-01,5.1290e+00,1.6882e+00,3.0598e+01,-2.1098e+02
-4.0779e-01,-9.0217e-01,5.2110e+00,2.1738e+00,3.0814e+01,-2.2112e+02
-4.1591e-01,-9.3442e-01,5.1687e+00,1.3069e+00,3.0690e+01,-2.1963e+02
-4.0690e-01,-9.3993e-01,5.1750e+00,1.3620e+00,3.0706e+01,-2.1946e+02
-4.8391e-01,-8.1527e-01,5.1540e+00,2.5586e+00,3.0689e+01,-1.9083e+02
-4.8404e-01,-8.6845e-01,5.1806e+00,1.4607e+00,3.0729e+01,-1.9515e+02
-4.9100e-01,-8.1185e-01,5.1495e+00,2.5475e+00,3.0677e+01,-1.8175e+02
-4.2687e-01,-9.0276e-01,5.1943e+00,1.9804e+00,3.0771e+01,-2.0533e+02
-4.4160e-01,-8.5806e-01,5.1690e+00,2.4198e+00,3.0719e+01,-2.0001e+02
-4.8827e-01,-8.7553e-01,5.1304e+00,3.0646e-01,3.0598e+01,-2.0575e+02
-4.6775e-01,-8.6881e-01,5.1537e+00,8.0989e-01,3.0650e+01,-2.1883e+02
-4.7289e-01,-8.6696e-01,5.1563e+00,1.6320e+00,3.0672e+01,-2.0977e+02
-4.7633e-01,-8.2085e-01,5.1024e+00,2.4103e+00,3.0553e+01,-2.0555e+02
-4.1465e-01,-9.2291e-01,5.1918e+00,1.8156e+00,3.0759e+01,-2.1779e+02
-3.7170e-01,-9.0479e-01,5.1821e+00,2.5214e+00,3.0757e+01,-2.1007e+02
-4.2289e-01,-9.2313e-01,5.1391e+00,1.4440e+00,3.0616e+01,-2.2069e+02
-3.9889e-01,-8.7935e-01,5.1579e+00,2.6238e+00,3.0706e+01,-2.0355e+02
-3.7601e-01,-8.8625e-01,5.2186e+00,2.7230e+00,3.0862e+01,-2.1369e+02
-4.9586e-01,-8.7085e-01,5.1346e+00,1.3508e+00,3.0611e+01,-2.0597e+02
-4.8963e-01,-8.3614e-01,5.1695e+00,2.2231e+00,3.0719e+01,-2.1443e+02
-4.4247e-01,-9.1340e-01,5.2066e+00,7.3453e-01,3.0781e+01,-2.0971e+02
-4.9259e-01,-8.5128e-01,5.1745e+00,1.9839e+00,3.0726e+01,-2.1113e+02
-4.7389e-01,-8.3648e-01,5.1665e+00,2.1831e+00,3.0708e+01,-2.0192e+02
-4.4254e-01,-9.0919e-01,5.1449e+00,1.0188e+00,3.0629e+01,-2.2143e+02
-4.4937e-01,-9.1217e-01,5.1392e+00,5.2715e-01,3.0616e+01,-2.0501e+02
-4.0180e-01,-8.8011e-01,5.2116e+00,2.5500e+00,3.0836e+01,-2.0746e+02
-4.0039e-01,-8.8664e-01,5.1280e+00,2.4927e+00,3.0625e+01,-2.0720e+02
-4.4667e-01,-9.0688e-01,5.1369e+00,7.5575e-01,3.0606e+01,-2.0556e+02
-4.3942e-01,-8.6107e-01,5.2281e+00,2.4340e+00,3.0871e+01,-2.1463e+02
-4.8507e-01,-8.1569e-01,5.1508e+00,2.4577e+00,3.0677e+01,-2.1186e+02
-3.5333e-01,-9.2781e-01,5.1482e+00,2.4719e+00,3.0673e+01,-2.0840e+02
-4.0480e-01,-9.1970e-01,5.1666e+00,2.0091e+00,3.0702e+01,-2.1590e+02
-4.6313e-01,-8.6567e-01,5.2134e+00,1.5723e+00,3.0811e+01,-2.0828e+02
-3.9743e-01,-9.1757e-01,5.1905e+00,2.1361e+00,3.0767e+01,-2.1356e+02
-4.6370e-01,-8.7167e-01,5.0967e+00,8.3417e-01,3.0511e+01,-2.1194e+02
-4.1321e-01,-8.8609e-01,5.1594e+00,2.3845e+00,3.0699e+01,-2.0460e+02
-4.9794e-01,-8.3614e-01,5.1688e+00,2.2447e+00,3.0714e+01,-2.1266e+02
-4.7169e-01,-8.5669e-01,5.1449e+00,1.7410e+00,3.0643e+01,-2.0644e+02
-4.0201e-01,-9.3720e-01,5.1567e+00,1.5417e+00,3.0662e+01,-2.0994e+02
-4.3362e-01,-8.5209e-01,5.1992e+00,2.6677e+00,3.0814e+01,-2.1033e+02
-3.6462e-01,-9.4387e-01,5.1683e+00,2.0741e+00,3.0703e+01,-2.2144e+02
-3.5711e-01,-9.6942e-01,5.1359e+00,1.7313e+00,3.0611e+01,-2.1566e+02
-4.4172e-01,-9.1193e-01,5.1896e+00,1.1813e+00,3.0742e+01,-2.0528e+02
-4.4764e-01,-9.0788e-01,5.1549e+00,1.1139e+00,3.0656e+01,-2.0795e+02
-4.1997e-01,-9.1534e-01,5.1341e+00,1.7891e+00,3.0613e+01,-2.0874e+02
-4.9308e-01,-8.1594e-01,5.1047e+00,2.4831e+00,3.0562e+01,-1.9679e+02
-4.9227e-01,-8.3010e-01,5.1297e+00,2.2989e+00,3.0620e+01,-1.9506e+02
-4.9093e-01,-8.3423e-01,5.1759e+00,2.1505e+00,3.0727e+01,-2.0192e+02
-3.9595e-01,-8.6684e-01,5.2003e+00,2.7829e+00,3.0819e+01,-2.1926e+02
-4.9086e-01,-8.1602e-01,5.1724e+00,2.4997e+00,3.0733e+01,-1.8517e+02
-4.3541e-01,-9.1878e-01,5.2090e+00,2.8582e-01,3.0788e+01,-2.2103e+02
-3.7460e-01,-9.6023e-01,5.1501e+00,1.4432e+00,3.0640e+01,-2.1627e+02
-4.8365e-01,-8.4355e-01,5.1943e+00,2.0639e+00,3.0774e+01,-2.0136e+02
-4.0860e-01,-8.8982e-01,5.2366e+00,2.3729e+00,3.0889e+01,-2.1505e+02
-4.1944e-01,-9.3235e-01,5.1729e+00,8.4936e-01,3.0698e+01,-2.1462e+02
-3.3508e-01,-9.3976e-01,5.1731e+00,2.4459e+00,3.0730e+01,-2.1125e+02
-4.3818e-01,-8.6751e-01,5.1753e+00,2.3570e+00,3.0737e+01,-2.1649e+02
-4.4729e-01,-8.8714e-01,5.1777e+00,2.0131e+00,3.0733e+01,-1.9690e+02
-4.6977e-01,-8.6764e-01,5.1372e+00,1.5574e+00,3.0620e+01,-2.1714e+02
-3.9950e-01,-9.0351e-01,5.1690e+00,2.2735e+00,3.0714e+01,-2.1878e+02
-4.2047e-01,-9.3083e-01,5.1544e+00,6.4293e-01,3.0649e+01,-2.1235e+02
-4.0470e-01,-9.3965e-01,5.1855e+00,1.2354e+00,3.0728e+01,-2.1968e+02
-4.8054e-01,-8.6559e-01,5.1623e+00,1.2688e+00,3.0676e+01,-1.8809e+02
-3.3819e-01,-9.1619e-01,5.1851e+00,2.7339e+00,3.0780e+01,-2.1955e+02
-4.3969e-01,-8.8409e-01,5.2035e+00,2.1929e+00,3.0803e+01,-2.1268e+02
-4.7764e-01,-8.7429e-01,5.1779e+00,1.1274e+00,3.0719e+01,-1.9943e+02
-3.7569e-01,-9.6489e-01,5.1211e+00,1.1268e+00,3.0565e+01,-2.2096e+02
-4.0513e-01,-9.0626e-01,5.2010e+00,2.2331e+00,3.0796e+01,-2.0466e+02
-4.1875e-01,-9.2955e-01,5.1616e+00,6.3196e-01,3.0667e+01,-2.2016e+02
-4.4689e-01,-9.1246e-01,5.1126e+00,2.7749e-01,3.0550e+01,-2.0765e+02
-4.3339e-01,-8.7017e-01,5.2337e+00,2.3904e+00,3.0881e+01,-2.1307e+02
-4.8581e-01,-8.4806e-01,5.1722e+00,2.0357e+00,3.0720e+01,-1.9409e+02
-4.2037e-01,-8.9447e-01,5.1659e+00,2.2159e+00,3.0707e+01,-1.9954e+02
-4.8681e-01,-8.7036e-01,5.1838e+00,1.1103e+00,3.0728e+01,-2.0593e+02
-3.8305e-01,-9.6458e-01,5.1586e+00,4.7007e-01,3.0659e+01,-2.1904e+02
-4.2114e-01,-9.3262e-01,5.1492e+00,5.0356e-01,3.0638e+01,-2.0641e+02
-4.1074e-01,-9.4355e-01,5.1162e+00,5.2830e-01,3.0558e+01,-2.1759e+02
-4.3597e-01,-9.1894e-01,5.1271e+00,9.3623e-01,3.0584e+01,-2.0628e+02
-4.0897e-01,-9.4149e-01,5.1775e+00,5.5679e-01,3.0707e+01,-2.2019e+02
-4.7331e-01,-8.7395e-01,5.1251e+00,8.2613e-01,3.0585e+01,-2.1425e+02
-4.2285e-01,-8.5746e-01,5.3027e+00,2.6746e+00,3.1072e+01,-2.1914e+02
-4.9139e-01,-8.1364e-01,5.1175e+00,2.4662e+00,3.0590e+01,-2.1209e+02
-4.8144e-01,-8.6705e-01,5.2205e+00,1.2541e+00,3.0823e+01,-2.0813e+02
-3.5808e-01,-9.4102e-01,5.1536e+00,2.2894e+00,3.0678e+01,-2.1370e+02
-4.9087e-01,-8.2721e-01,5.2103e+00,2.4124e+00,3.0828e+01,-2.2033e+02
-4.9444e-01,-8.6550e-01,5.2157e+00,1.2645e+00,3.0810e+01,-2.1421e+02
-4.3604e-01,-8.7730e-01,5.1940e+00,2.3238e+00,3.0785e+01,-2.1438e+02
-4.4672e-01,-8.4739e-01,5.1604e+00,2.5967e+00,3.0710e+01,-2.0081e+02
-4.3994e-01,-8.7620e-01,5.2171e+00,2.2362e+00,3.0836e+01,-2.0822e+02
-4.1006e-01,-9.0032e-01,5.1419e+00,2.1784e+00,3.0643e+01,-2.1313e+02
-4.9244e-01,-8.0404e-01,5.1421e+00,2.6064e+00,3.0658e+01,-2.1008e+02
-4.7796e-01,-8.7304e-01,5.1278e+00,1.0317e+00,3.0593e+01,-2.1987e+02
-3.7035e-01,-9.4663e-01,5.2140e+00,2.0665e+00,3.0821e+01,-2.1887e+02
-3.4918e-01,-9.5064e-01,5.1597e+00,2.1766e+00,3.0687e+01,-2.1869e+02
-3.8076e-01,-8.9319e-01,5.2002e+00,2.6471e+00,3.0815e+01,-2.1462e+02
-4.3414e-01,-8.5515e-01,5.1235e+00,2.6235e+00,3.0620e+01,-2.1500e+02
-4.1707e-01,-9.0479e-01,5.1576e+00,2.0214e+00,3.0676e+01,-2.0646e+02
-4.1647e-01,-9.0886e-01,5.2329e+00,2.0110e+00,3.0865e+01,-2.1478e+02
-4.1985e-01,-8.6004e-01,5.1792e+00,2.7077e+00,3.0766e+01,-2.1804e+02
-3.6580e-01,-9.1561e-01,5.1785e+00,2.5027e+00,3.0750e+01,-2.1928e+02
-3.4801e-01,-9.4825e-01,5.1203e+00,2.2334e+00,3.0591e+01,-2.1878e+02
-3.9959e-01,-9.0287e-01,5.1743e+00,2.3667e+00,3.0736e+01,-2.1534e+02
-4.2908e-01,-8.8548e-01,5.1820e+00,2.1695e+00,3.0743e+01,-2.0568e+02
-3.3243e-01,-9.6470e-01,5.1650e+00,2.1691e+00,3.0698e+01,-2.1459e+02
-4.8850e-01,-8.6779e-01,5.1798e+00,1.0235e+00,3.0718e+01,-2.0088e+02
-4.3065e-01,-9.2027e-01,5.1823e+00,1.1534e+00,3.0720e+01,-2.2031e+02
-4.8838e-01,-8.6821e-01,5.1871e+00,7.1993e-01,3.0734e+01,-2.1049e+02
-4.4862e-01,-8.6517e-01,5.1013e+00,2.2883e+00,3.0547e+01,-2.1483e+02
-4.3827e-01,-9.1538e-01,5.1385e+00,1.3474e+00,3.0617e+01,-2.0994e+02
-4.2890e-01,-9.1916e-01,5.1631e+00,1.2315e+00,3.0673e+01,-2.1399e+02
-3.4702e-01,-9.5689e-01,5.1931e+00,2.1088e+00,3.0765e+01,-2.1863e+02
