logfeh,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-1.2440e-01,-1.2226e+00,9.8988e-01,4.8541e-01,2.6624e+00,2.6381e+00,4.8651e+00,-2.0403e+02
-2.5734e-01,-1.0727e+00,1.0400e+00,-7.7632e-02,1.0258e+00,2.2747e+00,4.8660e+00,-2.0951e+02
4.1335e-03,-1.2171e+00,-8.1697e-01,2.3753e+00,2.8867e+00,3.3325e+00,4.8719e+00,-2.8348e+02
1.8586e-02,-1.4992e+00,3.8082e-01,-1.6392e-01,6.7315e-01,3.6867e+00,4.8556e+00,-2.7581e+02
8.1827e-02,-1.8862e+00,1.1050e+00,1.0944e+00,1.7662e+00,2.5825e+00,4.9026e+00,-2.7203e+02
-5.9314e-02,-1.0840e+00,7.6991e-01,1.3090e+00,9.6467e-01,4.2905e+00,4.6958e+00,-2.7427e+02
-1.9473e-01,-1.0733e+00,-8.4074e-01,1.0729e+00,2.8573e+00,3.8884e+00,4.7682e+00,-2.7956e+02
1.2273e-01,-1.1928e+00,1.1585e+00,6.1658e-01,1.1216e+00,4.5118e+00,4.5295e+00,-2.6292e+02
-1.1602e-01,-1.1032e+00,3.8236e-01,2.4106e+00,2.8195e+00,2.2850e+00,4.8650e+00,-2.1023e+02
-1.3113e-01,-1.2640e+00,5.7456e-01,6.8463e-02,2.3797e+00,2.8044e+00,4.8659e+00,-2.7076e+02
2.6400e-02,-1.5802e+00,6.4758e-01,1.5156e-01,2.2342e+00,2.6302e+00,4.8920e+00,-2.3337e+02
-5.9110e-03,-1.4538e+00,1.0705e+00,2.6019e-01,2.1283e+00,3.4775e+00,4.8702e+00,-2.0988e+02
-5.5580e-02,-1.2567e+00,6.4666e-01,1.1021e+00,1.2485e+00,3.9025e+00,4.8210e+00,-2.3509e+02
-8.3774e-02,-1.2499e+00,1.0588e+00,1.6011e+00,1.6061e+00,2.1103e+00,4.8889e+00,-2.5909e+02
