niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh_mean,logdust,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod
1.0000e+00,1.0000e+00,1.9960e-01,-1.4631e+05,-1.4631e+05,-1.9980e-03,-1.4631e+05,1.1750e-01,6.9098e+00,inf,1.1275e+00,-9.6883e-01,-1.1163e+00,4.1839e-01,1.3853e+00,2.3525e+00,3.2353e+00,5.9326e+00,3.0026e+01
2.0000e+00,1.0000e+00,3.9841e-01,-1.4613e+05,-1.4614e+05,-3.9960e-03,-1.4614e+05,1.1751e-01,6.9118e+00,1.4233e+05,2.2738e+00,-6.6177e-01,-1.4777e+00,-5.3912e-01,1.7622e+00,2.8334e+00,3.8497e+00,5.9652e+00,3.0357e+01
3.0000e+00,1.0000e+00,5.9642e-01,-1.4571e+05,-1.4572e+05,-5.9940e-03,-1.4572e+05,1.1753e-01,6.9138e+00,1.4216e+05,3.4411e+00,-4.9898e-02,-1.1674e+00,3.8411e-01,1.4226e+00,2.2413e+00,2.7659e+00,5.9544e+00,3.0142e+01
4.0000e+00,1.0000e+00,7.9365e-01,-1.4558e+05,-1.4559e+05,-7.9920e-03,-1.4559e+05,1.1755e-01,6.9157e+00,1.4174e+05,4.7492e+00,-7.8735e-01,-1.2816e+00,1.0038e+00,5.9353e-01,3.0135e+00,4.2240e+00,5.8095e+00,3.0075e+01
5.0000e+00,1.0000e+00,9.9010e-01,-1.4557e+05,-1.4558e+05,-9.9900e-03,-1.4558e+05,1.1756e-01,6.9169e+00,1.4161e+05,5.9313e+00,-8.2816e-01,-1.3043e+00,4.0522e-01,1.0105e+00,2.5815e+00,4.3861e+00,5.8155e+00,3.0214e+01
6.0000e+00,1.0000e+00,1.1858e+00,-1.4555e+05,-1.4556e+05,-1.1988e-02,-1.4556e+05,1.1758e-01,6.9197e+00,1.4160e+05,7.2160e+00,-5.1180e-01,-1.1843e+00,1.2115e+00,2.1761e+00,1.2633e+00,2.9525e+00,5.9371e+00,3.0289e+01
7.0000e+00,1.0000e+00,1.3807e+00,-1.4542e+05,-1.4543e+05,-1.3986e-02,-1.4543e+05,1.1760e-01,6.9217e+00,1.4158e+05,8.3469e+00,2.3022e-01,-1.3895e+00,5.6762e-01,1.6438e+00,2.1700e+00,3.0871e+00,5.9381e+00,3.0192e+01
8.0000e+00,1.0000e+00,1.5748e+00,-1.4535e+05,-1.4535e+05,-1.5984e-02,-1.4535e+05,1.1762e-01,6.9237e+00,1.4145e+05,9.3554e+00,-3.3065e-01,-1.5552e+00,-6.9156e-01,1.5469e+00,2.9949e+00,4.6508e+00,5.8362e+00,3.0369e+01
9.0000e+00,1.0000e+00,1.7682e+00,-1.4527e+05,-1.4528e+05,-1.7982e-02,-1.4528e+05,1.1763e-01,6.9257e+00,1.4137e+05,1.0407e+01,-9.2197e-01,-1.7406e+00,3.2858e-01,1.3207e+00,2.9303e+00,2.8265e+00,5.8893e+00,3.0680e+01
1.0000e+01,1.0000e+00,1.9608e+00,-1.4515e+05,-1.4515e+05,-1.9980e-02,-1.4515e+05,1.1765e-01,6.9277e+00,1.4130e+05,1.1519e+01,-5.3174e-01,-1.9369e+00,1.2214e-01,1.7743e+00,2.6014e+00,3.1044e+00,5.7019e+00,3.0057e+01
1.1000e+01,1.0000e+00,2.1526e+00,-1.4512e+05,-1.4513e+05,-2.1978e-02,-1.4513e+05,1.1767e-01,6.9297e+00,1.4117e+05,1.2682e+01,-3.0069e-01,-1.9060e+00,8.4511e-01,1.3567e+00,1.4456e+00,4.0087e+00,5.8424e+00,3.0396e+01
1.2000e+01,1.0000e+00,2.3438e+00,-1.4510e+05,-1.4510e+05,-2.3976e-02,-1.4510e+05,1.1768e-01,6.9317e+00,1.4115e+05,1.3885e+01,1.2902e-01,-1.2541e+00,-3.8861e-02,3.5359e-01,2.3878e+00,4.2679e+00,5.8294e+00,3.0219e+01
1.3000e+01,1.0000e+00,2.5341e+00,-1.4505e+05,-1.4505e+05,-2.5974e-02,-1.4505e+05,1.1770e-01,6.9337e+00,1.4112e+05,1.4893e+01,-4.0720e-01,-1.9489e+00,-1.8435e-01,1.3844e+00,2.2570e+00,3.4484e+00,5.6954e+00,3.0065e+01
