niter,nc,eff,logl,logwt,logvol,logz,logzerr,h,delta_logz,time_elapsed,logfeh,logdust,logNpix,logage,dmod
1.0000e+00,1.0000e+00,3.3223e-01,-4.7705e+05,-4.7705e+05,-3.3278e-03,-4.7705e+05,2.0639e-01,6.4003e+00,inf,4.3827e+02,-9.1919e-01,-1.5484e+00,6.2460e+00,9.5868e+00,3.0239e+01
2.0000e+00,1.0000e+00,6.6225e-01,-4.3168e+05,-4.3168e+05,-6.6556e-03,-4.3168e+05,2.0645e-01,6.4036e+00,4.6705e+05,4.3965e+02,-9.8598e-01,-1.0994e+00,6.2317e+00,9.8898e+00,3.0170e+01
3.0000e+00,1.0000e+00,9.9010e-01,-4.3107e+05,-4.3108e+05,-9.9834e-03,-4.3108e+05,2.0650e-01,6.4069e+00,4.2168e+05,4.4102e+02,-7.6710e-01,-1.6390e+00,6.1652e+00,9.5911e+00,3.0546e+01
4.0000e+00,1.0000e+00,1.3158e+00,-4.2618e+05,-4.2618e+05,-1.3311e-02,-4.2618e+05,2.0655e-01,6.4102e+00,4.2108e+05,4.4237e+02,-3.8559e-01,-1.9943e+00,6.1620e+00,9.9237e+00,3.0013e+01
5.0000e+00,1.0000e+00,1.6393e+00,-4.0106e+05,-4.0107e+05,-1.6639e-02,-4.0107e+05,2.0661e-01,6.4136e+00,4.1618e+05,4.4374e+02,3.8747e-01,-1.4709e+00,6.2136e+00,9.8831e+00,3.0013e+01
6.0000e+00,1.0000e+00,1.9608e+00,-3.9390e+05,-3.9391e+05,-1.9967e-02,-3.9391e+05,2.0666e-01,6.4169e+00,3.9107e+05,4.5169e+02,-7.0184e-01,-1.5560e+00,6.0743e+00,9.9700e+00,3.0163e+01
7.0000e+00,1.0000e+00,2.2801e+00,-3.9222e+05,-3.9223e+05,-2.3295e-02,-3.9223e+05,2.0671e-01,6.4202e+00,3.8391e+05,4.5305e+02,-9.7902e-01,-1.3910e+00,6.2657e+00,9.6569e+00,3.1174e+01
8.0000e+00,1.0000e+00,2.5974e+00,-3.8569e+05,-3.8569e+05,-2.6622e-02,-3.8569e+05,2.0677e-01,6.4235e+00,3.8223e+05,4.5441e+02,-2.3242e-01,-1.1564e+00,6.2806e+00,9.9415e+00,3.0571e+01
9.0000e+00,1.0000e+00,2.9126e+00,-3.8442e+05,-3.8443e+05,-2.9950e-02,-3.8443e+05,2.0682e-01,6.4269e+00,3.7569e+05,4.5576e+02,-2.2055e-01,-1.7922e+00,5.9253e+00,9.6569e+00,3.0277e+01
1.0000e+01,1.0000e+00,3.2258e+00,-3.7480e+05,-3.7481e+05,-3.3278e-02,-3.7481e+05,2.0687e-01,6.4302e+00,3.7443e+05,4.5982e+02,-9.2180e-01,-1.9073e+00,5.9610e+00,9.6177e+00,3.0726e+01
1.1000e+01,1.0000e+00,3.5370e+00,-3.7157e+05,-3.7158e+05,-3.6606e-02,-3.7158e+05,2.0693e-01,6.4335e+00,3.6481e+05,4.6118e+02,-2.7542e-01,-1.8747e+00,6.1934e+00,9.5119e+00,3.1353e+01
