logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-3.9615e-01,-1.9900e+00,1.5876e+00,1.3493e+00,4.8376e-01,3.8349e+00,3.9283e+00,3.0659e+01,-1.5976e+03
-7.3081e-01,-1.5478e+00,9.6870e-01,7.4219e-01,5.0906e-01,3.0229e+00,3.6997e+00,2.9589e+01,-1.4491e+03
-8.3860e-01,-1.1047e+00,8.4728e-01,4.3077e-01,2.2752e+00,2.7891e+00,3.7595e+00,2.9648e+01,-1.6062e+03
-6.7838e-01,-1.5226e+00,1.0260e+00,2.0117e+00,1.7618e+00,2.6745e+00,3.9195e+00,2.9976e+01,-1.6602e+03
-6.3691e-01,-1.2253e+00,5.7654e-01,2.0421e+00,1.9656e+00,2.0132e+00,3.9452e+00,2.9912e+01,-1.6180e+03
-1.2783e-02,-1.1229e+00,5.8905e-01,2.3608e+00,2.2246e+00,3.4608e+00,3.4953e+00,2.9695e+01,-1.6556e+03
-4.5524e-01,-1.1289e+00,1.4767e+00,1.5198e+00,9.4593e-01,4.0568e+00,2.4599e+00,3.0620e+01,-1.5927e+03
-5.3609e-01,-1.9144e+00,1.1361e+00,1.4179e+00,1.3312e+00,3.4379e+00,3.8126e+00,3.0035e+01,-1.5007e+03
-1.3262e-01,-1.2589e+00,8.6110e-01,2.1070e+00,6.7355e-01,3.3605e+00,3.5937e+00,2.9538e+01,-9.8412e+02
-2.1136e-01,-1.4212e+00,1.0129e+00,2.2514e+00,8.1737e-01,2.4415e+00,3.9161e+00,2.9810e+01,-7.5017e+02
-1.0981e-01,-1.7453e+00,1.4962e+00,1.3731e+00,1.6402e+00,3.9197e+00,2.5134e+00,3.0181e+01,-1.3268e+03
-1.2807e-01,-1.8161e+00,2.1493e-01,2.2319e+00,1.8008e+00,3.7700e+00,3.0521e+00,3.0011e+01,-1.5948e+03
2.9685e-02,-1.1449e+00,-5.0830e-01,2.3517e+00,1.6172e+00,3.3502e+00,3.6848e+00,2.9640e+01,-9.4210e+02
2.4059e-02,-1.8391e+00,-8.1373e-02,2.3563e+00,1.4938e+00,3.4126e+00,3.7033e+00,2.9777e+01,-1.1135e+03
-4.4487e-01,-1.8282e+00,-3.6132e-02,1.8956e+00,1.6977e+00,1.9702e+00,3.6793e+00,2.9244e+01,-1.5701e+03
-3.3433e-01,-1.6805e+00,1.2461e+00,2.1966e+00,1.3816e+00,2.5977e+00,3.9478e+00,2.9952e+01,-1.4785e+03
1.6927e-01,-1.6132e+00,-1.2092e+00,2.0378e+00,1.7792e+00,3.2843e+00,3.2680e+00,2.8968e+01,-8.4064e+02
-1.4213e-01,-1.4834e+00,-4.5245e-01,2.0513e+00,2.2528e+00,3.5686e+00,3.0856e+00,2.9635e+01,-1.5616e+03
-4.8996e-01,-1.7193e+00,-1.0846e+00,2.2513e+00,1.9157e+00,2.0505e+00,4.0141e+00,3.0108e+01,-1.6406e+03
-1.4700e-01,-1.9760e+00,6.6634e-01,2.2876e+00,2.7841e+00,3.8550e+00,2.7046e+00,3.0372e+01,-1.5653e+03
-4.2600e-01,-1.0142e+00,1.4747e+00,1.9749e+00,1.5258e+00,2.9768e+00,4.0182e+00,3.0128e+01,-1.4447e+03
-7.6694e-01,-1.1795e+00,5.8909e-01,1.5385e+00,2.3863e+00,3.2356e+00,3.7582e+00,2.9921e+01,-1.6124e+03
-4.4262e-01,-1.8337e+00,1.4030e+00,5.0000e-01,2.1882e+00,3.0661e+00,3.9183e+00,3.0026e+01,-1.4621e+03
-5.5818e-01,-1.5872e+00,1.3589e+00,6.3049e-02,9.9760e-01,2.7182e+00,3.8187e+00,2.9672e+01,-1.4898e+03
6.6089e-02,-1.4977e+00,9.9374e-01,1.9448e+00,2.4187e+00,3.1473e+00,3.6264e+00,2.9423e+01,-1.4127e+03
-8.9636e-03,-1.0288e+00,9.1731e-01,2.1428e+00,1.2471e+00,3.3231e+00,3.5809e+00,2.9434e+01,-8.8926e+02
-1.5778e-01,-1.7213e+00,1.0654e+00,2.1420e+00,2.3139e+00,2.5932e+00,3.8365e+00,2.9711e+01,-1.0435e+03
-8.0037e-01,-1.1247e+00,1.4350e+00,5.3516e-01,9.6071e-01,2.7631e+00,4.0202e+00,3.0161e+01,-1.2554e+03
-3.9835e-01,-1.6402e+00,1.3321e+00,1.1765e+00,1.9607e+00,3.2467e+00,3.6745e+00,2.9686e+01,-1.3692e+03
-1.8478e-02,-1.5704e+00,1.1383e+00,2.0888e+00,5.7987e-01,3.7816e+00,2.9764e+00,2.9842e+01,-1.4110e+03
-5.6552e-01,-1.5183e+00,6.0096e-01,1.3167e+00,1.4332e+00,3.5213e+00,3.2471e+00,2.9600e+01,-1.6391e+03
-7.2385e-01,-1.4256e+00,1.0709e+00,4.9915e-01,1.8542e+00,2.6602e+00,3.9338e+00,2.9950e+01,-1.5768e+03
-3.8980e-01,-1.2278e+00,-1.1477e+00,2.1453e+00,7.7686e-01,2.4090e+00,3.7855e+00,2.9544e+01,-1.6190e+03
1.7692e-01,-1.8574e+00,1.0497e+00,4.4843e-01,3.2313e+00,3.3080e+00,3.0342e+00,2.9672e+01,-1.3172e+03
-3.2859e-01,-1.3099e+00,7.4728e-01,2.0822e+00,9.6414e-01,3.3626e+00,3.6268e+00,2.9693e+01,-9.1177e+02
6.0206e-02,-1.9929e+00,9.6539e-01,1.0258e+00,3.2206e+00,3.4488e+00,2.9033e+00,2.9805e+01,-1.5039e+03
