logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-7.6454e-02,-1.0003e+00,8.4670e-01,2.3541e+00,2.2506e+00,1.8209e+00,3.8783e+00,-5.0106e+02
-1.0092e-01,-1.0027e+00,7.2790e-01,2.3730e+00,2.0592e+00,2.0278e+00,3.8790e+00,-5.0033e+02
-6.7892e-02,-1.0728e+00,7.5345e-01,2.3584e+00,2.2427e+00,2.0020e+00,3.8731e+00,-5.0193e+02
-9.0216e-02,-1.0203e+00,8.5420e-01,2.3660e+00,1.7865e+00,1.9768e+00,3.8972e+00,-5.0237e+02
-1.1167e-01,-1.0025e+00,8.1134e-01,2.3640e+00,1.8499e+00,2.4632e+00,3.8693e+00,-5.0263e+02
-5.5548e-02,-1.0012e+00,8.0400e-01,2.3907e+00,1.7509e+00,2.1130e+00,3.9025e+00,-4.9855e+02
-1.0105e-01,-1.0150e+00,7.3897e-01,2.3711e+00,2.0712e+00,2.2031e+00,3.8723e+00,-5.0241e+02
-1.2482e-01,-1.0123e+00,8.2495e-01,2.3671e+00,1.4334e+00,1.7360e+00,3.8970e+00,-4.9940e+02
-1.3975e-01,-1.0047e+00,8.1366e-01,2.3633e+00,1.7061e+00,1.8363e+00,3.8859e+00,-4.9747e+02
-6.5781e-02,-1.0351e+00,6.9201e-01,2.3826e+00,1.8730e+00,2.3678e+00,3.8852e+00,-4.9998e+02
-1.0809e-01,-1.0052e+00,8.5118e-01,2.3572e+00,2.0119e+00,1.7566e+00,3.8857e+00,-4.9430e+02
-8.3185e-02,-1.0638e+00,7.9429e-01,2.3622e+00,1.7096e+00,2.1844e+00,3.8929e+00,-5.0217e+02
-8.1858e-02,-1.0167e+00,7.7685e-01,2.3782e+00,1.8603e+00,2.2873e+00,3.8849e+00,-4.9976e+02
-9.8973e-02,-1.0232e+00,8.9480e-01,2.3540e+00,1.8980e+00,1.8884e+00,3.8923e+00,-4.9994e+02
-5.5447e-02,-1.0437e+00,7.8508e-01,2.3799e+00,1.7665e+00,2.1117e+00,3.9007e+00,-5.0026e+02
-1.0325e-01,-1.0683e+00,7.3893e-01,2.3579e+00,1.8239e+00,2.2939e+00,3.8811e+00,-5.0265e+02
-1.0183e-01,-1.0151e+00,7.3777e-01,2.3766e+00,1.8729e+00,1.7270e+00,3.8921e+00,-5.0418e+02
-5.7678e-02,-1.0189e+00,7.7852e-01,2.3713e+00,2.2381e+00,1.7415e+00,3.8840e+00,-5.0038e+02
-6.8127e-02,-1.0182e+00,8.0989e-01,2.3755e+00,1.9711e+00,2.0283e+00,3.8947e+00,-5.0386e+02
-9.0777e-02,-1.0267e+00,7.9134e-01,2.3767e+00,1.6699e+00,1.6916e+00,3.9018e+00,-5.0130e+02
-7.9352e-02,-1.0001e+00,8.3043e-01,2.3793e+00,1.9141e+00,2.2869e+00,3.8831e+00,-5.0382e+02
-1.0359e-01,-1.0881e+00,8.3382e-01,2.3500e+00,1.8217e+00,1.7213e+00,3.8931e+00,-5.0318e+02
-7.4849e-02,-1.0428e+00,7.6156e-01,2.3767e+00,1.8296e+00,1.9838e+00,3.8968e+00,-5.0290e+02
-1.0568e-01,-1.0172e+00,8.2909e-01,2.3561e+00,1.8766e+00,2.2518e+00,3.8814e+00,-5.0405e+02
-1.0748e-01,-1.0424e+00,7.5376e-01,2.3619e+00,1.8587e+00,1.7072e+00,3.8919e+00,-4.9676e+02
-9.5389e-02,-1.0149e+00,7.7996e-01,2.3662e+00,2.0393e+00,2.1856e+00,3.8780e+00,-4.9935e+02
-7.3510e-02,-1.0025e+00,8.1036e-01,2.3642e+00,2.1397e+00,1.9370e+00,3.8849e+00,-5.0358e+02
-8.2508e-02,-1.1662e+00,7.9104e-01,2.3270e+00,2.0847e+00,2.2145e+00,3.8769e+00,-5.0226e+02
-8.3283e-02,-1.0042e+00,7.9886e-01,2.3796e+00,1.6730e+00,2.0337e+00,3.8992e+00,-4.9940e+02
-6.3099e-02,-1.0070e+00,8.0781e-01,2.3772e+00,2.0418e+00,2.1161e+00,3.8877e+00,-4.9867e+02
-1.0304e-01,-1.0238e+00,8.1567e-01,2.3603e+00,1.6942e+00,2.3375e+00,3.8869e+00,-5.0127e+02
-1.0754e-01,-1.0092e+00,8.0329e-01,2.3632e+00,2.0080e+00,2.2100e+00,3.8760e+00,-5.0277e+02
-1.1122e-01,-1.0127e+00,8.8915e-01,2.3561e+00,1.7479e+00,1.8650e+00,3.8959e+00,-4.9745e+02
-8.5317e-02,-1.0088e+00,7.8533e-01,2.3781e+00,1.9532e+00,2.1280e+00,3.8863e+00,-5.0311e+02
-1.0561e-01,-1.0134e+00,8.9381e-01,2.3598e+00,1.8038e+00,1.7534e+00,3.8952e+00,-4.9617e+02
-7.2457e-02,-1.0111e+00,8.3284e-01,2.3660e+00,2.1149e+00,1.7273e+00,3.8906e+00,-5.0121e+02
-1.0529e-01,-1.0318e+00,8.3154e-01,2.3443e+00,2.0648e+00,2.2723e+00,3.8705e+00,-4.9804e+02
-9.7103e-02,-1.0229e+00,8.2976e-01,2.3689e+00,1.4954e+00,2.1386e+00,3.8977e+00,-5.0424e+02
-9.4926e-02,-1.0131e+00,8.7874e-01,2.3616e+00,1.8657e+00,1.8906e+00,3.8950e+00,-4.9796e+02
-8.4014e-02,-1.0193e+00,7.8784e-01,2.3661e+00,2.1025e+00,2.3858e+00,3.8674e+00,-4.9655e+02
-7.4348e-02,-1.0107e+00,7.5492e-01,2.3759e+00,2.1033e+00,2.1336e+00,3.8820e+00,-4.9951e+02
-1.1040e-01,-1.0074e+00,8.9889e-01,2.3538e+00,1.8675e+00,1.7614e+00,3.8912e+00,-5.0364e+02
-7.2903e-02,-1.0237e+00,8.4184e-01,2.3671e+00,1.9334e+00,2.0398e+00,3.8932e+00,-5.0116e+02
