logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-9.4413e-01,-1.0649e+00,1.7146e+00,1.9674e+00,9.5640e-01,2.5060e+00,3.3340e+00,2.8411e+01,-8.6913e+02
-7.7226e-01,-1.9088e+00,1.6900e+00,1.9521e+00,1.1656e+00,1.8192e+00,3.3835e+00,2.8432e+01,-9.2224e+02
-7.3582e-01,-1.4787e+00,1.7106e+00,1.3821e-01,1.0661e+00,2.6644e+00,3.1760e+00,2.8082e+01,-9.1008e+02
-8.7716e-01,-1.0719e+00,1.6866e+00,9.4875e-01,1.1067e+00,2.9465e+00,2.8969e+00,2.8069e+01,-9.2557e+02
-7.2568e-01,-1.2020e+00,1.7262e+00,1.8849e+00,8.6547e-01,2.4698e+00,3.2415e+00,2.8265e+01,-9.2353e+02
-9.9990e-01,-1.2414e+00,1.6902e+00,9.0587e-01,2.0272e+00,1.8338e+00,3.2808e+00,2.8088e+01,-8.9958e+02
-7.1958e-01,-1.7881e+00,1.7189e+00,1.3177e+00,6.0660e-01,2.3828e+00,3.2749e+00,2.8160e+01,-9.1422e+02
-8.7136e-01,-1.4593e+00,1.6729e+00,1.6648e+00,1.7198e+00,2.4996e+00,3.2530e+00,2.8258e+01,-8.9980e+02
-6.8235e-01,-1.9132e+00,1.6756e+00,1.5144e+00,7.1326e-01,1.9517e+00,3.2789e+00,2.8061e+01,-8.9818e+02
-7.3771e-01,-1.4301e+00,1.6381e+00,1.8130e+00,8.6863e-01,1.9344e+00,3.2890e+00,2.8155e+01,-8.9026e+02
-7.4384e-01,-1.8358e+00,1.6860e+00,1.3053e+00,1.0067e+00,2.6728e+00,3.1895e+00,2.8169e+01,-9.1531e+02
-8.8756e-01,-1.3601e+00,1.6663e+00,1.6001e+00,1.1105e+00,2.7158e+00,3.1105e+00,2.8096e+01,-9.2123e+02
