logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-9.5998e-01,-1.9943e+00,1.7330e+00,2.7268e+00,1.7890e+00,2.7367e+00,3.7514e+00,-2.2958e+03
-9.7866e-01,-1.9910e+00,1.7335e+00,2.7598e+00,1.7332e+00,1.6528e+00,3.8068e+00,-2.2799e+03
-9.7820e-01,-1.6394e+00,1.7331e+00,2.7646e+00,7.5424e-01,2.7701e+00,3.7550e+00,-2.2823e+03
-9.6010e-01,-1.8664e+00,1.7263e+00,2.7446e+00,2.1573e+00,2.1021e+00,3.7767e+00,-2.2874e+03
-9.7251e-01,-1.8015e+00,1.7300e+00,2.7409e+00,2.1130e+00,2.0936e+00,3.7877e+00,-2.2956e+03
-9.6399e-01,-1.7936e+00,1.7293e+00,2.7473e+00,2.2042e+00,1.7145e+00,3.7888e+00,-2.2975e+03
-9.7086e-01,-1.7736e+00,1.7333e+00,2.7614e+00,1.7244e+00,1.7979e+00,3.8025e+00,-2.2923e+03
-9.7054e-01,-1.9469e+00,1.7324e+00,2.7446e+00,1.4400e+00,2.7209e+00,3.7597e+00,-2.2863e+03
-9.5183e-01,-1.7477e+00,1.7244e+00,2.7493e+00,8.3413e-01,2.5048e+00,3.7975e+00,-2.2981e+03
-9.6828e-01,-1.9576e+00,1.7305e+00,2.7411e+00,7.4153e-01,2.8097e+00,3.7462e+00,-2.2966e+03
-9.8872e-01,-1.9236e+00,1.7276e+00,2.7519e+00,1.3497e+00,1.7944e+00,3.8090e+00,-2.2885e+03
-9.9274e-01,-1.9413e+00,1.7315e+00,2.7291e+00,1.3105e+00,1.7479e+00,3.8155e+00,-2.2969e+03
-9.9326e-01,-1.9139e+00,1.7302e+00,2.7436e+00,1.4374e+00,2.5149e+00,3.7963e+00,-2.2945e+03
-9.8492e-01,-1.9430e+00,1.7313e+00,2.7342e+00,1.0878e+00,1.7864e+00,3.8216e+00,-2.2901e+03
-9.7367e-01,-1.9076e+00,1.7317e+00,2.7432e+00,1.0944e+00,1.8286e+00,3.8122e+00,-2.2935e+03
-9.7606e-01,-1.7262e+00,1.7317e+00,2.7376e+00,2.1725e+00,2.0615e+00,3.7866e+00,-2.2613e+03
-9.9176e-01,-1.9074e+00,1.7308e+00,2.7355e+00,1.9178e+00,2.7007e+00,3.7602e+00,-2.2395e+03
-9.5354e-01,-1.8878e+00,1.7285e+00,2.7516e+00,7.7147e-01,1.6526e+00,3.8252e+00,-2.2922e+03
-9.8344e-01,-1.9514e+00,1.7323e+00,2.7632e+00,8.2266e-01,1.9765e+00,3.8087e+00,-2.2820e+03
-9.8367e-01,-1.7673e+00,1.7315e+00,2.7653e+00,8.4077e-01,2.1464e+00,3.8012e+00,-2.2803e+03
-9.5598e-01,-1.9429e+00,1.7302e+00,2.7654e+00,1.1889e+00,1.6780e+00,3.8172e+00,-2.2950e+03
-9.7560e-01,-1.8557e+00,1.7315e+00,2.7497e+00,1.6267e+00,1.6982e+00,3.8110e+00,-2.2951e+03
-9.7536e-01,-1.9027e+00,1.7321e+00,2.7369e+00,1.6636e+00,2.4740e+00,3.7936e+00,-2.2908e+03
-9.7832e-01,-1.8850e+00,1.7330e+00,2.7543e+00,1.1470e+00,2.2237e+00,3.7980e+00,-2.2882e+03
-9.6279e-01,-1.8227e+00,1.7326e+00,2.7556e+00,1.2048e+00,2.2534e+00,3.7996e+00,-2.2973e+03
-9.7664e-01,-1.8169e+00,1.7335e+00,2.7246e+00,5.7944e-01,3.0705e+00,3.6959e+00,-2.2947e+03
-9.8767e-01,-1.9882e+00,1.7329e+00,2.7472e+00,1.0155e+00,2.2375e+00,3.7981e+00,-2.2966e+03
-9.5226e-01,-1.9124e+00,1.7305e+00,2.7242e+00,2.1825e+00,2.1564e+00,3.7871e+00,-2.2942e+03
-9.6787e-01,-1.9925e+00,1.7322e+00,2.7383e+00,1.2073e+00,1.7457e+00,3.8205e+00,-2.2629e+03
-9.6031e-01,-1.9716e+00,1.7299e+00,2.7651e+00,1.4038e+00,1.8384e+00,3.8072e+00,-2.2900e+03
-9.5094e-01,-1.8230e+00,1.7330e+00,2.7593e+00,8.7702e-01,2.0199e+00,3.8043e+00,-2.2861e+03
-9.8311e-01,-1.8215e+00,1.7331e+00,2.7371e+00,2.3010e+00,2.0238e+00,3.7730e+00,-2.2827e+03
-9.9937e-01,-1.7764e+00,1.7296e+00,2.7496e+00,1.4674e+00,2.7952e+00,3.7467e+00,-2.2940e+03
-9.8192e-01,-1.9326e+00,1.7305e+00,2.7529e+00,1.9001e+00,1.6941e+00,3.7958e+00,-2.2899e+03
-9.6700e-01,-1.9681e+00,1.7234e+00,2.7463e+00,2.0835e+00,2.0670e+00,3.7868e+00,-2.2820e+03
-9.5721e-01,-1.9957e+00,1.7299e+00,2.7315e+00,1.0145e+00,1.7490e+00,3.8168e+00,-2.2980e+03
-9.8065e-01,-1.9121e+00,1.7303e+00,2.7617e+00,7.6600e-01,1.9633e+00,3.8125e+00,-2.2957e+03
-9.8726e-01,-1.8749e+00,1.7317e+00,2.7324e+00,3.9757e-01,3.1538e+00,3.6557e+00,-2.2977e+03
-9.7567e-01,-1.8986e+00,1.7315e+00,2.7427e+00,2.0418e+00,2.6586e+00,3.7480e+00,-2.2918e+03
-9.8149e-01,-1.9800e+00,1.7265e+00,2.7619e+00,1.0372e+00,2.1786e+00,3.7950e+00,-2.2900e+03
-9.5814e-01,-1.9312e+00,1.7333e+00,2.7319e+00,1.0661e+00,2.5351e+00,3.7956e+00,-2.2795e+03
-9.9525e-01,-1.7706e+00,1.7302e+00,2.7633e+00,1.4681e+00,2.4538e+00,3.7839e+00,-2.2961e+03
-9.8730e-01,-1.9597e+00,1.7282e+00,2.7482e+00,1.4637e+00,2.7343e+00,3.7590e+00,-2.2789e+03
-9.6953e-01,-1.8704e+00,1.7325e+00,2.7618e+00,9.7110e-01,2.1920e+00,3.7972e+00,-2.2866e+03
-9.8829e-01,-1.8754e+00,1.7255e+00,2.7648e+00,1.3202e+00,1.7946e+00,3.8149e+00,-2.2982e+03
-9.7286e-01,-1.8924e+00,1.7285e+00,2.7372e+00,7.6527e-01,2.5002e+00,3.7981e+00,-2.2856e+03
-9.6233e-01,-1.9336e+00,1.7319e+00,2.7484e+00,6.5317e-01,1.9999e+00,3.8176e+00,-2.2980e+03
-9.7538e-01,-1.9461e+00,1.7315e+00,2.7381e+00,8.1599e-01,1.9336e+00,3.8198e+00,-2.2917e+03
-9.8025e-01,-1.9210e+00,1.7318e+00,2.7488e+00,6.1926e-01,2.5225e+00,3.7962e+00,-2.2886e+03
-9.7790e-01,-1.8550e+00,1.7312e+00,2.7476e+00,1.0034e+00,1.7664e+00,3.8147e+00,-2.2761e+03
-9.8649e-01,-1.9200e+00,1.7320e+00,2.7298e+00,2.0407e+00,2.7133e+00,3.7605e+00,-2.2928e+03
-9.7732e-01,-1.9510e+00,1.7268e+00,2.7355e+00,1.1330e+00,1.7072e+00,3.8222e+00,-2.2859e+03
-9.5733e-01,-1.9120e+00,1.7335e+00,2.7432e+00,1.0486e+00,2.5201e+00,3.7911e+00,-2.2773e+03
-9.6556e-01,-1.9974e+00,1.7286e+00,2.7439e+00,2.0067e+00,2.1349e+00,3.7879e+00,-2.2884e+03
-9.5565e-01,-1.9702e+00,1.7319e+00,2.7453e+00,1.4392e+00,1.7376e+00,3.8199e+00,-2.2956e+03
-9.8682e-01,-1.9565e+00,1.7336e+00,2.7402e+00,1.5290e+00,1.8572e+00,3.8153e+00,-2.2938e+03
-9.7700e-01,-1.9847e+00,1.7310e+00,2.7312e+00,1.5516e+00,2.5007e+00,3.7944e+00,-2.2627e+03
-9.8798e-01,-1.9780e+00,1.7267e+00,2.7583e+00,1.0635e+00,1.6512e+00,3.8171e+00,-2.2956e+03
-9.7758e-01,-1.8657e+00,1.7327e+00,2.7519e+00,9.1653e-01,1.9222e+00,3.8123e+00,-2.2926e+03
-9.9668e-01,-1.8469e+00,1.7317e+00,2.7642e+00,1.7953e+00,1.8285e+00,3.7958e+00,-2.2857e+03
-9.7794e-01,-1.7987e+00,1.7328e+00,2.7656e+00,1.2532e+00,1.9035e+00,3.8061e+00,-2.2820e+03
-9.5866e-01,-1.8823e+00,1.7320e+00,2.7564e+00,6.6969e-01,2.4944e+00,3.7885e+00,-2.2940e+03
-9.6747e-01,-1.8497e+00,1.7332e+00,2.7511e+00,1.2505e+00,2.8265e+00,3.7478e+00,-2.2977e+03
-9.9959e-01,-1.9656e+00,1.7323e+00,2.7440e+00,1.8178e+00,2.0733e+00,3.8025e+00,-2.2981e+03
-9.7418e-01,-1.8644e+00,1.7326e+00,2.7442e+00,6.5928e-01,2.5098e+00,3.7937e+00,-2.2967e+03
-9.6789e-01,-1.8102e+00,1.7306e+00,2.7587e+00,5.9281e-01,2.1218e+00,3.8041e+00,-2.2943e+03
-9.6413e-01,-1.8239e+00,1.7289e+00,2.7643e+00,1.0407e+00,1.6423e+00,3.8159e+00,-2.2755e+03
-9.9201e-01,-1.8892e+00,1.7305e+00,2.7370e+00,1.0741e+00,2.5546e+00,3.7927e+00,-2.2966e+03
-9.5370e-01,-1.8400e+00,1.7335e+00,2.7564e+00,9.8526e-01,2.5057e+00,3.7961e+00,-2.2761e+03
-9.6288e-01,-1.9846e+00,1.7323e+00,2.7354e+00,1.4878e+00,2.7486e+00,3.7495e+00,-2.2962e+03
