logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-7.8955e-01,-1.8662e+00,1.7109e+00,1.6856e+00,3.8404e-01,3.1784e+00,2.8613e+00,2.8476e+01,-1.1223e+03
-2.7786e-02,-1.8787e+00,1.6793e+00,2.0274e+00,1.1080e+00,2.0751e+00,3.3733e+00,2.8258e+01,-1.0398e+03
-3.1643e-01,-1.7030e+00,1.6989e+00,2.2101e+00,1.5474e+00,2.7090e+00,3.2343e+00,2.8493e+01,-1.1293e+03
-8.1187e-01,-1.8310e+00,1.6306e+00,1.9066e+00,1.2596e+00,2.9858e+00,2.9347e+00,2.8241e+01,-1.3314e+03
-1.3770e-01,-1.9448e+00,1.5994e+00,2.0877e+00,1.1780e+00,2.9481e+00,2.8951e+00,2.8183e+01,-1.0244e+03
-8.9860e-01,-1.6867e+00,1.6592e+00,1.1520e+00,2.1794e+00,2.7069e+00,3.1241e+00,2.8192e+01,-1.1171e+03
-5.6906e-01,-1.6110e+00,1.6474e+00,1.8453e+00,2.2255e+00,1.9701e+00,3.2168e+00,2.8245e+01,-1.2150e+03
-4.7581e-01,-1.6079e+00,1.6185e+00,2.0669e+00,2.0153e+00,2.4207e+00,3.2123e+00,2.8335e+01,-1.2717e+03
-3.9597e-01,-1.6664e+00,1.6610e+00,1.8171e+00,1.5725e+00,2.4844e+00,3.1958e+00,2.8085e+01,-1.2455e+03
1.5677e-01,-1.4581e+00,1.5465e+00,2.3930e+00,1.1193e+00,2.3818e+00,3.3198e+00,2.8374e+01,-1.3434e+03
2.4593e-01,-1.3996e+00,1.6743e+00,2.1543e+00,2.6377e+00,2.5034e+00,3.1190e+00,2.8348e+01,-1.1972e+03
-4.8816e-01,-1.6746e+00,1.7204e+00,1.3767e+00,2.0424e+00,2.1050e+00,3.1643e+00,2.8077e+01,-1.3294e+03
-7.3705e-01,-1.8657e+00,1.7124e+00,1.9429e+00,1.6832e+00,2.1627e+00,3.3097e+00,2.8303e+01,-1.1644e+03
-5.9782e-01,-1.9072e+00,1.5658e+00,2.0387e+00,1.7152e+00,2.9375e+00,2.9554e+00,2.8352e+01,-1.2974e+03
-7.8925e-01,-1.8210e+00,1.6756e+00,1.2125e+00,2.2712e+00,3.0417e+00,2.6864e+00,2.8360e+01,-1.2014e+03
-9.7115e-01,-1.1782e+00,1.6828e+00,1.0441e+00,2.2965e+00,2.0343e+00,3.2550e+00,2.8160e+01,-1.0699e+03
-6.0616e-01,-1.1989e+00,1.6496e+00,2.0589e+00,1.1568e+00,2.6343e+00,3.1191e+00,2.8254e+01,-1.2106e+03
-8.1637e-02,-1.7470e+00,1.6356e+00,1.9330e+00,2.2114e+00,2.4621e+00,3.1095e+00,2.8203e+01,-1.3267e+03
-6.9278e-01,-1.5995e+00,1.6920e+00,1.1138e+00,1.9531e+00,2.4650e+00,3.2159e+00,2.8152e+01,-1.0305e+03
-8.9514e-01,-1.1491e+00,1.5342e+00,2.1673e+00,7.3802e-01,2.3973e+00,3.1747e+00,2.8229e+01,-1.2812e+03
5.2377e-02,-1.6938e+00,1.4728e+00,2.3537e+00,1.3928e+00,2.9301e+00,2.9940e+00,2.8320e+01,-1.2031e+03
-8.3517e-01,-1.6080e+00,1.4721e+00,1.9764e+00,1.4710e+00,2.0178e+00,3.2057e+00,2.8106e+01,-1.2450e+03
-7.6149e-01,-1.6102e+00,1.7182e+00,1.3287e+00,1.7456e+00,2.6650e+00,3.0919e+00,2.8131e+01,-1.3011e+03
-2.1563e-01,-1.7784e+00,1.6191e+00,2.1713e+00,2.0851e+00,2.9622e+00,2.6714e+00,2.8341e+01,-1.3097e+03
9.1090e-02,-1.3029e+00,1.4537e+00,2.2368e+00,1.3567e+00,2.8695e+00,2.8344e+00,2.8061e+01,-1.1871e+03
-9.7857e-01,-1.6985e+00,1.7039e+00,1.8778e+00,1.7784e+00,1.7173e+00,3.4248e+00,2.8412e+01,-1.2271e+03
1.9712e-01,-1.6828e+00,1.6940e+00,2.4309e+00,1.1351e+00,3.2011e+00,3.0573e+00,2.8632e+01,-1.2400e+03
-9.6585e-01,-1.7149e+00,1.7284e+00,9.2010e-01,1.3540e+00,2.8362e+00,3.2281e+00,2.8339e+01,-1.0160e+03
-6.2930e-01,-1.2705e+00,1.6998e+00,1.8580e+00,1.5167e+00,2.2289e+00,3.1960e+00,2.8149e+01,-1.3490e+03
-9.7052e-01,-1.3798e+00,1.7150e+00,5.7654e-01,2.2976e+00,3.0692e+00,2.8065e+00,2.8378e+01,-1.1126e+03
