logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.2231e-02,-1.6835e+00,1.5189e+00,1.4945e+00,3.3527e+00,1.8809e+00,3.0610e+00,2.9864e+01,-1.0653e+03
-4.9610e-03,-1.4810e+00,1.5909e+00,2.1343e+00,3.1462e+00,3.2049e+00,3.2747e+00,2.9962e+01,-9.7392e+02
1.2536e-01,-1.0948e+00,-1.1460e+00,2.2239e+00,9.0472e-01,2.4791e+00,3.2331e+00,2.8558e+01,-1.4404e+03
-8.7977e-01,-1.4772e+00,1.5108e+00,1.3840e+00,1.0203e+00,3.2726e+00,3.5046e+00,2.9736e+01,-1.0132e+03
8.3802e-02,-1.3549e+00,1.2788e+00,2.0514e+00,2.4168e+00,2.0070e+00,3.4623e+00,2.9012e+01,-8.1818e+02
9.7966e-02,-1.8293e+00,5.8532e-01,2.2639e+00,1.5024e+00,2.7180e+00,3.4913e+00,2.9107e+01,-1.5040e+03
-8.2650e-01,-1.0573e+00,1.3906e+00,2.2265e+00,1.3983e+00,2.3104e+00,3.7453e+00,2.9795e+01,-9.4808e+02
9.2392e-02,-1.1817e+00,1.1561e+00,2.0906e+00,2.7594e+00,3.1195e+00,2.9784e+00,2.9205e+01,-1.2979e+03
-7.1519e-01,-1.2851e+00,9.4245e-01,2.1887e+00,7.1990e-01,2.3617e+00,3.5590e+00,2.9391e+01,-1.5088e+03
-4.8685e-01,-1.7910e+00,1.6718e+00,1.4021e+00,9.0026e-01,3.4024e+00,3.3699e+00,2.9763e+01,-1.1505e+03
-4.4027e-01,-1.4159e+00,1.4622e+00,2.3717e+00,4.0646e-01,2.0454e+00,3.8271e+00,2.9937e+01,-8.3303e+02
-5.2806e-01,-1.6182e+00,1.4328e+00,1.7224e+00,9.9414e-01,3.4044e+00,3.2671e+00,2.9628e+01,-1.4408e+03
-6.7251e-01,-1.9268e+00,1.6817e+00,1.2804e+00,2.0052e+00,3.4826e+00,3.6240e+00,3.0150e+01,-1.0419e+03
-3.4645e-02,-1.0213e+00,1.1871e+00,2.1642e+00,2.4639e+00,3.0103e+00,3.1720e+00,2.9151e+01,-8.6198e+02
-5.8650e-01,-1.7359e+00,1.2803e+00,2.1401e+00,1.8812e+00,2.4882e+00,3.6985e+00,2.9680e+01,-1.1067e+03
1.1148e-01,-1.4232e+00,-1.2601e+00,2.3207e+00,2.3392e+00,3.2714e+00,2.4761e+00,2.9141e+01,-1.2077e+03
2.3097e-01,-1.1121e+00,-7.7513e-01,2.5275e+00,3.8538e-01,3.2353e+00,3.2845e+00,2.9294e+01,-1.2849e+03
-5.0439e-01,-1.1114e+00,1.6539e+00,2.4716e+00,6.3783e-01,2.9120e+00,3.8021e+00,3.0084e+01,-1.3539e+03
-5.7506e-01,-1.5839e+00,1.7075e+00,6.9334e-01,2.9461e+00,3.7090e+00,2.8894e+00,3.0375e+01,-1.0289e+03
-3.8545e-01,-1.3677e+00,1.0206e+00,2.2793e+00,4.3854e-01,3.0964e+00,3.4271e+00,2.9467e+01,-1.2314e+03
-9.6864e-01,-1.6267e+00,1.4336e+00,1.8077e+00,1.9040e+00,2.8317e+00,3.7764e+00,2.9934e+01,-1.0686e+03
-7.4303e-01,-1.4505e+00,1.7237e+00,1.9250e+00,2.4981e+00,2.8604e+00,3.8661e+00,3.0232e+01,-1.0789e+03
-8.7378e-01,-1.5220e+00,1.5109e+00,6.3077e-01,2.1008e+00,1.9263e+00,3.6970e+00,2.9590e+01,-1.3275e+03
6.4703e-02,-1.2842e+00,-3.1818e-01,2.3584e+00,1.4823e+00,2.3001e+00,3.4536e+00,2.8986e+01,-9.9374e+02
-7.1820e-01,-1.8449e+00,1.6372e+00,9.3608e-01,2.1011e+00,3.2754e+00,3.6197e+00,2.9922e+01,-1.2929e+03
1.9423e-01,-1.4437e+00,1.7016e+00,2.0356e+00,1.9822e+00,3.5617e+00,3.1640e+00,2.9688e+01,-1.3964e+03
2.1544e-01,-1.8536e+00,1.6686e+00,2.2392e+00,1.5102e+00,3.4976e+00,3.5461e+00,2.9821e+01,-1.3926e+03
-1.2495e-01,-1.3732e+00,1.5765e+00,2.2760e+00,1.4355e+00,3.0418e+00,3.7417e+00,2.9840e+01,-8.9694e+02
-2.2547e-01,-1.8246e+00,1.4455e+00,2.3493e+00,5.0021e-01,2.4873e+00,3.7755e+00,2.9853e+01,-1.3863e+03
-8.8871e-01,-1.3009e+00,1.4789e+00,1.2849e-02,2.0731e+00,3.1603e+00,3.5370e+00,2.9624e+01,-1.5200e+03
1.0277e-01,-1.2081e+00,1.0424e+00,2.5170e+00,1.7754e+00,2.7793e+00,3.6742e+00,2.9543e+01,-1.0284e+03
8.0985e-02,-1.6752e+00,1.7006e+00,1.1212e+00,3.3335e+00,2.9607e+00,2.8399e+00,2.9961e+01,-1.1395e+03
-7.3530e-01,-1.0993e+00,1.5088e+00,1.4243e+00,2.0036e+00,1.7403e+00,3.6238e+00,2.9382e+01,-1.3624e+03
7.9131e-02,-1.6554e+00,1.2574e+00,2.1437e+00,2.7665e+00,2.8648e+00,3.2831e+00,2.9361e+01,-9.2640e+02
1.1562e-01,-1.4027e+00,2.1820e-01,2.2479e+00,8.5687e-01,2.8971e+00,3.2504e+00,2.8847e+01,-6.7982e+02
-5.6846e-01,-1.5465e+00,1.5820e+00,5.9217e-01,3.1140e+00,2.8975e+00,3.4630e+00,3.0028e+01,-1.1292e+03
-7.0206e-01,-1.1720e+00,1.5371e+00,2.2070e+00,1.7682e+00,3.4032e+00,3.6829e+00,3.0219e+01,-1.4776e+03
-8.1282e-01,-1.3544e+00,1.4321e+00,1.4076e+00,2.5123e+00,3.2340e+00,3.3275e+00,2.9682e+01,-1.4344e+03
2.7973e-02,-1.7679e+00,1.4712e+00,2.4138e+00,2.5148e+00,2.2223e+00,3.8524e+00,2.9945e+01,-8.4899e+02
7.7153e-02,-1.5838e+00,6.9851e-01,2.1873e+00,2.4180e+00,2.4061e+00,3.3452e+00,2.8955e+01,-5.6019e+02
