logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.7604e-01,-1.8355e+00,1.3658e+00,2.2657e+00,1.0855e+00,2.9570e+00,3.6195e+00,2.9420e+01,-6.4500e+02
1.6716e-01,-1.5176e+00,7.4483e-01,2.2463e+00,1.7816e+00,3.1185e+00,3.1987e+00,2.9009e+01,-6.6489e+02
2.3122e-03,-1.2105e+00,1.4419e+00,2.2357e+00,2.3019e+00,3.2650e+00,3.3245e+00,2.9527e+01,-5.6036e+02
-4.6160e-02,-1.6735e+00,1.5455e+00,2.3389e+00,7.4357e-01,3.3799e+00,3.5808e+00,2.9852e+01,-6.6491e+02
1.1591e-02,-1.6712e+00,1.4470e+00,2.4742e+00,2.9918e+00,2.8054e+00,3.6576e+00,3.0086e+01,-7.6276e+02
1.4320e-01,-1.6021e+00,1.1406e+00,2.2094e+00,1.0675e+00,2.8357e+00,3.4480e+00,2.9046e+01,-5.6652e+02
-2.2007e-01,-1.6030e+00,1.6017e+00,2.0151e+00,4.9236e-01,3.3523e+00,3.4669e+00,2.9723e+01,-7.6355e+02
-7.8955e-02,-1.9761e+00,1.5542e+00,2.2305e+00,1.6376e+00,3.1309e+00,3.6522e+00,2.9760e+01,-6.3943e+02
6.9684e-02,-1.3084e+00,1.1954e+00,2.2687e+00,2.5114e+00,3.3720e+00,2.6418e+00,2.9443e+01,-7.0967e+02
-1.7023e-01,-1.3596e+00,1.3658e+00,2.1866e+00,1.3553e+00,2.1006e+00,3.6394e+00,2.9361e+01,-6.4186e+02
2.1368e-01,-1.7337e+00,-7.1250e-01,2.3454e+00,1.4023e+00,1.9556e+00,3.4951e+00,2.8954e+01,-7.5881e+02
8.3726e-02,-1.3137e+00,1.3551e+00,2.3450e+00,2.7306e+00,2.5222e+00,3.6131e+00,2.9655e+01,-7.2363e+02
9.9852e-02,-1.5071e+00,-3.5375e-01,2.3164e+00,1.4027e+00,1.6545e+00,3.5227e+00,2.8979e+01,-7.6130e+02
-1.4184e-02,-1.5783e+00,7.1293e-01,2.1912e+00,1.1549e+00,2.7555e+00,3.3551e+00,2.8911e+01,-7.0763e+02
1.7563e-01,-1.6775e+00,1.2938e+00,2.3743e+00,5.2063e-01,1.8808e+00,3.7208e+00,2.9415e+01,-6.3163e+02
1.4028e-01,-1.0851e+00,5.1963e-01,2.4023e+00,2.1924e+00,2.6502e+00,3.4567e+00,2.9149e+01,-7.1296e+02
2.1691e-01,-1.4827e+00,9.9673e-01,2.1972e+00,1.5766e+00,2.8991e+00,3.3659e+00,2.8919e+01,-5.8789e+02
3.0240e-02,-1.4352e+00,1.5645e+00,2.5276e+00,7.5407e-01,2.3763e+00,3.9274e+00,3.0007e+01,-6.7760e+02
-5.1075e-01,-1.6838e+00,1.6111e+00,2.1274e+00,1.5515e+00,1.9829e+00,3.8264e+00,2.9915e+01,-7.0858e+02
2.4423e-01,-1.3552e+00,1.1112e+00,2.2746e+00,2.2107e+00,1.8421e+00,3.5834e+00,2.9141e+01,-5.7379e+02
2.2283e-01,-1.5443e+00,-1.8820e-01,2.1455e+00,1.1752e+00,2.4960e+00,3.2586e+00,2.8491e+01,-6.6718e+02
1.7036e-01,-1.7801e+00,4.0326e-01,2.3318e+00,1.1271e+00,2.9845e+00,3.3617e+00,2.9064e+01,-7.5708e+02
1.7658e-01,-1.8910e+00,8.1853e-01,2.2263e+00,1.0897e+00,2.5556e+00,3.4143e+00,2.8850e+01,-7.6850e+02
-1.2026e-01,-1.7536e+00,1.4398e+00,2.1574e+00,6.5897e-01,2.4816e+00,3.7017e+00,2.9512e+01,-6.8559e+02
1.6895e-01,-1.9442e+00,5.8756e-01,2.2218e+00,1.6108e+00,2.9470e+00,3.2266e+00,2.8882e+01,-6.3162e+02
2.2526e-01,-1.6631e+00,1.1146e+00,2.2517e+00,8.1139e-01,2.1690e+00,3.5453e+00,2.9014e+01,-7.7126e+02
1.2051e-01,-1.3248e+00,1.0225e+00,2.3224e+00,2.4993e+00,2.4215e+00,3.4951e+00,2.9244e+01,-6.9738e+02
-4.1299e-02,-1.8111e+00,1.3890e+00,2.3926e+00,9.0988e-01,1.7413e+00,3.8334e+00,2.9733e+01,-7.1142e+02
3.0300e-02,-1.3143e+00,1.1804e+00,2.2285e+00,2.4768e+00,2.5036e+00,3.4791e+00,2.9268e+01,-6.4604e+02
-5.4140e-01,-1.3009e+00,1.4977e+00,2.4040e+00,1.1575e+00,2.8917e+00,3.8125e+00,3.0072e+01,-7.7875e+02
-4.7471e-01,-1.8558e+00,1.7284e+00,1.3102e+00,7.4725e-01,3.6832e+00,3.1598e+00,3.0096e+01,-7.7384e+02
8.2969e-03,-1.4212e+00,1.2645e+00,2.1170e+00,1.2977e+00,2.8391e+00,3.4933e+00,2.9149e+01,-7.5925e+02
-1.5695e-01,-1.3551e+00,1.2169e+00,2.2988e+00,1.2597e+00,2.3800e+00,3.6057e+00,2.9357e+01,-6.8241e+02
1.2232e-01,-1.0455e+00,1.1507e+00,2.5420e+00,1.5220e+00,2.1412e+00,3.7180e+00,2.9534e+01,-7.8649e+02
-2.6452e-02,-1.5144e+00,1.4086e+00,2.4159e+00,2.6504e+00,3.0032e+00,3.6259e+00,2.9867e+01,-5.7591e+02
-4.9788e-01,-1.4884e+00,1.6328e+00,2.0397e+00,1.3615e+00,3.6854e+00,3.0600e+00,3.0122e+01,-7.4623e+02
1.0703e-01,-1.6472e+00,1.1315e+00,2.3217e+00,1.2765e+00,3.0565e+00,3.5037e+00,2.9338e+01,-4.8834e+02
-4.3953e-01,-1.1461e+00,1.6969e+00,2.5224e+00,1.9626e+00,2.7916e+00,3.9286e+00,3.0326e+01,-7.3148e+02
6.2081e-02,-1.5713e+00,9.3211e-01,2.1900e+00,5.8370e-01,1.8242e+00,3.5185e+00,2.8925e+01,-4.9835e+02
5.2196e-02,-1.5147e+00,1.1042e+00,2.1795e+00,6.5989e-01,3.2520e+00,3.0765e+00,2.9137e+01,-5.8788e+02
-1.8320e-01,-1.2064e+00,1.3048e+00,2.4686e+00,1.3847e+00,2.8284e+00,3.7288e+00,2.9768e+01,-7.4068e+02
-3.5645e-01,-1.5858e+00,1.6541e+00,2.2225e+00,2.3812e+00,3.6905e+00,2.9862e+00,3.0227e+01,-7.5068e+02
1.1277e-01,-1.5972e+00,7.0313e-01,2.2611e+00,2.2547e+00,2.4722e+00,3.4416e+00,2.9046e+01,-6.6197e+02
1.8844e-01,-1.5301e+00,2.3389e-01,2.2285e+00,6.3321e-01,2.2155e+00,3.4172e+00,2.8733e+01,-5.0437e+02
-2.0546e-02,-1.2814e+00,1.5033e+00,2.4106e+00,1.6496e+00,2.5985e+00,3.8292e+00,2.9799e+01,-7.8605e+02
