logfeh,logdust_med,logNpix,tau,dmod,logl
-6.9599e-01,-1.9463e+00,3.6321e+00,9.6954e+00,2.9653e+01,-1.5947e+03
-9.1533e-01,-1.0057e+00,3.6606e+00,9.8331e+00,2.9693e+01,-1.5977e+03
-6.3187e-01,-1.9398e+00,3.6120e+00,9.9889e+00,2.9582e+01,-1.5768e+03
-6.9334e-01,-1.8949e+00,3.6350e+00,9.6410e+00,2.9658e+01,-1.6134e+03
-6.9659e-01,-1.7266e+00,3.6303e+00,9.8193e+00,2.9645e+01,-1.6133e+03
-8.2426e-01,-1.2253e+00,3.6995e+00,9.9147e+00,2.9815e+01,-1.6074e+03
-6.1552e-01,-1.9774e+00,3.6174e+00,9.9963e+00,2.9598e+01,-1.6087e+03
-9.1311e-01,-1.0009e+00,3.6639e+00,9.9895e+00,2.9698e+01,-1.6074e+03
-6.9517e-01,-1.9162e+00,3.6321e+00,9.5735e+00,2.9646e+01,-1.5941e+03
-6.9062e-01,-1.7986e+00,3.6300e+00,9.8281e+00,2.9644e+01,-1.6078e+03
-6.8534e-01,-1.9805e+00,3.7055e+00,9.8174e+00,2.9844e+01,-1.6107e+03
-6.9776e-01,-1.8363e+00,3.6296e+00,9.8048e+00,2.9646e+01,-1.6050e+03
-6.2841e-01,-1.9259e+00,3.6118e+00,9.9390e+00,2.9576e+01,-1.5948e+03
-6.2456e-01,-1.8541e+00,3.6145e+00,9.9635e+00,2.9584e+01,-1.6131e+03
-6.9684e-01,-1.8378e+00,3.7052e+00,9.8750e+00,2.9850e+01,-1.6123e+03
-6.9526e-01,-1.9456e+00,3.6314e+00,9.5860e+00,2.9645e+01,-1.6016e+03
-6.9932e-01,-1.8191e+00,3.6308e+00,9.7642e+00,2.9645e+01,-1.6138e+03
-6.9735e-01,-1.9172e+00,3.6302e+00,9.7880e+00,2.9651e+01,-1.6099e+03
-6.9529e-01,-1.9213e+00,3.6292e+00,9.7359e+00,2.9648e+01,-1.6042e+03
-6.4183e-01,-1.9981e+00,3.6125e+00,9.8935e+00,2.9590e+01,-1.5992e+03
-6.2371e-01,-1.9642e+00,3.6150e+00,9.8949e+00,2.9588e+01,-1.5887e+03
-6.2931e-01,-1.9855e+00,3.6159e+00,9.8387e+00,2.9591e+01,-1.5858e+03
-6.6131e-01,-1.9532e+00,3.6158e+00,9.9436e+00,2.9601e+01,-1.5934e+03
-6.3319e-01,-1.8926e+00,3.6124e+00,9.9310e+00,2.9590e+01,-1.6100e+03
-9.2308e-01,-1.0185e+00,3.6627e+00,9.9793e+00,2.9703e+01,-1.5775e+03
-6.9424e-01,-1.9015e+00,3.6308e+00,9.6472e+00,2.9645e+01,-1.6037e+03
-6.9933e-01,-1.7937e+00,3.6361e+00,9.6579e+00,2.9660e+01,-1.6024e+03
-6.9858e-01,-1.9552e+00,3.6330e+00,9.5673e+00,2.9656e+01,-1.6070e+03
-9.2580e-01,-1.0359e+00,3.6622e+00,9.9742e+00,2.9702e+01,-1.5966e+03
-6.9052e-01,-1.8061e+00,3.6300e+00,9.7024e+00,2.9646e+01,-1.6041e+03
-6.6108e-01,-1.8536e+00,3.6153e+00,9.9898e+00,2.9602e+01,-1.5945e+03
-6.9451e-01,-1.7774e+00,3.6343e+00,9.6962e+00,2.9653e+01,-1.6131e+03
-9.3255e-01,-1.0256e+00,3.6668e+00,9.6986e+00,2.9708e+01,-1.6037e+03
-9.2138e-01,-1.0131e+00,3.6654e+00,9.8781e+00,2.9705e+01,-1.6095e+03
-8.9662e-01,-1.0510e+00,3.6596e+00,9.9940e+00,2.9702e+01,-1.5943e+03
-6.9962e-01,-1.8888e+00,3.6290e+00,9.8250e+00,2.9647e+01,-1.6140e+03
-9.4435e-01,-1.0115e+00,3.6667e+00,9.6545e+00,2.9701e+01,-1.6002e+03
-6.4131e-01,-1.9644e+00,3.6145e+00,9.9587e+00,2.9591e+01,-1.5936e+03
-6.9807e-01,-1.6244e+00,3.6291e+00,9.6646e+00,2.9633e+01,-1.6055e+03
-9.2877e-01,-1.0296e+00,3.7127e+00,9.8894e+00,2.9842e+01,-1.6136e+03
-9.3424e-01,-1.0192e+00,3.6672e+00,9.6560e+00,2.9712e+01,-1.6137e+03
-6.9074e-01,-1.9513e+00,3.6330e+00,9.5563e+00,2.9648e+01,-1.6067e+03
-6.9393e-01,-1.9552e+00,3.6316e+00,9.6252e+00,2.9648e+01,-1.5771e+03
-6.3150e-01,-1.8525e+00,3.6162e+00,9.9254e+00,2.9591e+01,-1.6141e+03
-8.3452e-01,-1.1725e+00,3.6947e+00,9.8841e+00,2.9799e+01,-1.6067e+03
-6.1966e-01,-1.9776e+00,3.6164e+00,9.9160e+00,2.9589e+01,-1.6068e+03
-9.4390e-01,-1.0038e+00,3.6665e+00,9.6340e+00,2.9700e+01,-1.5658e+03
-6.9327e-01,-1.8794e+00,3.6343e+00,9.7601e+00,2.9654e+01,-1.6122e+03
-6.9752e-01,-1.9879e+00,3.6326e+00,9.5554e+00,2.9655e+01,-1.6081e+03
-9.2262e-01,-1.0088e+00,3.6628e+00,9.9872e+00,2.9696e+01,-1.6091e+03
-8.8828e-01,-1.0785e+00,3.7217e+00,9.8518e+00,2.9864e+01,-1.6080e+03
-8.2605e-01,-1.1485e+00,3.6987e+00,9.9220e+00,2.9806e+01,-1.6092e+03
-6.9854e-01,-1.9496e+00,3.6338e+00,9.6665e+00,2.9656e+01,-1.5976e+03
-6.3044e-01,-1.9531e+00,3.6157e+00,9.8697e+00,2.9592e+01,-1.6016e+03
-6.9889e-01,-1.9219e+00,3.6286e+00,9.7578e+00,2.9645e+01,-1.6105e+03
-8.3585e-01,-1.1744e+00,3.6927e+00,9.9560e+00,2.9795e+01,-1.6104e+03
-8.2397e-01,-1.1899e+00,3.6984e+00,9.9475e+00,2.9813e+01,-1.6063e+03
-9.0181e-01,-1.0674e+00,3.6586e+00,9.9861e+00,2.9700e+01,-1.6101e+03
-6.9624e-01,-1.8479e+00,3.6326e+00,9.7163e+00,2.9653e+01,-1.5956e+03
-6.9088e-01,-1.9966e+00,3.7004e+00,9.8982e+00,2.9839e+01,-1.6101e+03
-9.0508e-01,-1.0391e+00,3.6671e+00,9.9974e+00,2.9721e+01,-1.6011e+03
-9.3419e-01,-1.0315e+00,3.6659e+00,9.7099e+00,2.9714e+01,-1.6017e+03
-6.6763e-01,-1.8215e+00,3.6245e+00,9.9738e+00,2.9624e+01,-1.6141e+03
-6.2824e-01,-1.9553e+00,3.6171e+00,9.9217e+00,2.9605e+01,-1.6051e+03
-9.2345e-01,-1.0089e+00,3.6615e+00,9.8386e+00,2.9693e+01,-1.6096e+03
-6.8993e-01,-1.9420e+00,3.6295e+00,9.6450e+00,2.9644e+01,-1.5829e+03
-6.9267e-01,-1.8293e+00,3.6296e+00,9.7119e+00,2.9643e+01,-1.6012e+03
-9.3932e-01,-1.0243e+00,3.6660e+00,9.6806e+00,2.9702e+01,-1.6124e+03
-6.2540e-01,-1.9834e+00,3.6144e+00,9.9355e+00,2.9595e+01,-1.5921e+03
-6.8207e-01,-1.9931e+00,3.7055e+00,9.7736e+00,2.9840e+01,-1.5996e+03
-9.3808e-01,-1.0087e+00,3.6662e+00,9.6714e+00,2.9705e+01,-1.6028e+03
-9.4800e-01,-1.0229e+00,3.6674e+00,9.5126e+00,2.9706e+01,-1.6127e+03
-9.4171e-01,-1.0201e+00,3.7365e+00,9.5628e+00,2.9889e+01,-1.6070e+03
-9.3338e-01,-1.0315e+00,3.6663e+00,9.6098e+00,2.9707e+01,-1.6091e+03
-6.9962e-01,-1.8810e+00,3.6337e+00,9.5815e+00,2.9647e+01,-1.6109e+03
-6.9076e-01,-1.9933e+00,3.6305e+00,9.6036e+00,2.9641e+01,-1.6117e+03
-6.2828e-01,-1.8628e+00,3.6167e+00,9.8829e+00,2.9595e+01,-1.5949e+03
-6.8489e-01,-1.9795e+00,3.7001e+00,9.9546e+00,2.9837e+01,-1.6082e+03
-6.4112e-01,-1.9502e+00,3.6139e+00,9.9546e+00,2.9591e+01,-1.5922e+03
-6.9657e-01,-1.9290e+00,3.6363e+00,9.6940e+00,2.9662e+01,-1.6001e+03
-6.7104e-01,-1.8572e+00,3.6784e+00,9.9636e+00,2.9767e+01,-1.6041e+03
-6.7776e-01,-1.8835e+00,3.6307e+00,9.7662e+00,2.9642e+01,-1.6115e+03
-6.9276e-01,-1.9573e+00,3.6339e+00,9.4261e+00,2.9647e+01,-1.6011e+03
-6.8743e-01,-1.8464e+00,3.6304e+00,9.6889e+00,2.9645e+01,-1.6088e+03
-6.5577e-01,-1.9983e+00,3.6149e+00,9.9346e+00,2.9608e+01,-1.6080e+03
-6.3392e-01,-1.9901e+00,3.6150e+00,9.9377e+00,2.9593e+01,-1.5934e+03
-6.9823e-01,-1.8151e+00,3.6333e+00,9.7295e+00,2.9652e+01,-1.6094e+03
-8.2260e-01,-1.2194e+00,3.6978e+00,9.9711e+00,2.9818e+01,-1.6074e+03
-6.9580e-01,-1.9292e+00,3.6353e+00,9.6536e+00,2.9655e+01,-1.6093e+03
-6.5743e-01,-1.8090e+00,3.6154e+00,9.9227e+00,2.9592e+01,-1.6143e+03
-6.6071e-01,-1.9288e+00,3.6568e+00,9.9970e+00,2.9715e+01,-1.6077e+03
-6.9888e-01,-1.9822e+00,3.6292e+00,9.6380e+00,2.9644e+01,-1.6140e+03
-6.5264e-01,-1.8446e+00,3.6150e+00,9.9459e+00,2.9599e+01,-1.6082e+03
-6.4926e-01,-1.8701e+00,3.6146e+00,9.9935e+00,2.9596e+01,-1.6122e+03
-9.4605e-01,-1.0072e+00,3.7400e+00,9.6654e+00,2.9898e+01,-1.6094e+03
-6.9932e-01,-1.8593e+00,3.6353e+00,9.7416e+00,2.9657e+01,-1.6005e+03
-9.3237e-01,-1.0353e+00,3.6657e+00,9.7107e+00,2.9711e+01,-1.6025e+03
-6.5595e-01,-1.9651e+00,3.6116e+00,9.9435e+00,2.9590e+01,-1.6061e+03
-9.3911e-01,-1.0001e+00,3.6642e+00,9.7666e+00,2.9699e+01,-1.5753e+03
-6.8387e-01,-1.9515e+00,3.7058e+00,9.7472e+00,2.9842e+01,-1.5993e+03
-6.9305e-01,-1.8113e+00,3.6301e+00,9.7129e+00,2.9642e+01,-1.5895e+03
-6.9500e-01,-1.9404e+00,3.6295e+00,9.7408e+00,2.9652e+01,-1.6078e+03
-8.1198e-01,-1.2377e+00,3.7019e+00,9.8954e+00,2.9824e+01,-1.6097e+03
-9.1999e-01,-1.0219e+00,3.6618e+00,9.9484e+00,2.9696e+01,-1.5801e+03
-6.8518e-01,-1.9439e+00,3.6300e+00,9.7925e+00,2.9647e+01,-1.6122e+03
-6.9540e-01,-1.8781e+00,3.6317e+00,9.5340e+00,2.9643e+01,-1.6123e+03
-9.2105e-01,-1.0010e+00,3.6605e+00,9.8526e+00,2.9692e+01,-1.6042e+03
-9.3846e-01,-1.0221e+00,3.6624e+00,9.8274e+00,2.9698e+01,-1.6098e+03
-6.6375e-01,-1.9110e+00,3.6234e+00,9.9494e+00,2.9624e+01,-1.6118e+03
-6.9882e-01,-1.7824e+00,3.6307e+00,9.7703e+00,2.9647e+01,-1.5962e+03
-6.3044e-01,-1.9081e+00,3.6164e+00,9.9445e+00,2.9600e+01,-1.6087e+03
-6.4466e-01,-1.9608e+00,3.6153e+00,9.7838e+00,2.9598e+01,-1.6144e+03
-6.9835e-01,-1.7403e+00,3.6301e+00,9.6580e+00,2.9645e+01,-1.6097e+03
-9.2177e-01,-1.0117e+00,3.6591e+00,9.9472e+00,2.9695e+01,-1.5878e+03
-6.3736e-01,-1.9169e+00,3.6175e+00,9.9504e+00,2.9598e+01,-1.6020e+03
-6.9131e-01,-1.8219e+00,3.6309e+00,9.6412e+00,2.9646e+01,-1.5897e+03
-6.9970e-01,-1.8638e+00,3.6306e+00,9.6020e+00,2.9651e+01,-1.6117e+03
-6.9577e-01,-1.8932e+00,3.6353e+00,9.6533e+00,2.9654e+01,-1.6129e+03
-9.2514e-01,-1.0050e+00,3.6629e+00,9.8978e+00,2.9697e+01,-1.5786e+03
