logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-4.4912e-02,-1.3517e+00,1.7121e+00,1.4998e+00,3.2182e+00,2.4788e+00,2.8160e+00,2.9271e+01,-9.5045e+02
-7.6875e-01,-1.4079e+00,1.7275e+00,1.5703e+00,1.6505e+00,3.1795e+00,3.4274e+00,2.9210e+01,-8.7310e+02
7.3934e-02,-1.9199e+00,1.5440e+00,1.9898e+00,1.8018e+00,3.1799e+00,3.1275e+00,2.8703e+01,-7.2095e+02
1.8811e-01,-1.2847e+00,1.1672e+00,2.3753e+00,2.4219e+00,3.1235e+00,2.9317e+00,2.8721e+01,-8.6328e+02
6.6525e-02,-1.9698e+00,1.7184e+00,2.3681e+00,1.2059e+00,3.0709e+00,3.6678e+00,2.9373e+01,-8.3015e+02
9.4410e-02,-1.2341e+00,1.4105e+00,2.2174e+00,2.4616e+00,2.1950e+00,3.4060e+00,2.8699e+01,-6.9258e+02
1.4775e-02,-1.0006e+00,1.5599e+00,2.1370e+00,2.5927e+00,2.5612e+00,3.2824e+00,2.8702e+01,-9.4274e+02
-2.5276e-02,-1.9648e+00,1.6568e+00,2.0740e+00,1.4566e+00,2.4454e+00,3.6063e+00,2.8950e+01,-9.5339e+02
1.5073e-01,-1.8766e+00,1.6604e+00,2.1072e+00,3.0524e+00,3.2589e+00,3.0145e+00,2.9391e+01,-9.1913e+02
-8.6983e-01,-1.9056e+00,1.6993e+00,3.0399e-01,1.9716e+00,2.7762e+00,3.6355e+00,2.9248e+01,-9.4855e+02
1.0792e-01,-1.2551e+00,1.1761e+00,2.4719e+00,6.0938e-01,2.4047e+00,3.5404e+00,2.8821e+01,-7.9876e+02
1.9067e-01,-1.8889e+00,1.5972e+00,2.2130e+00,3.1133e+00,2.4625e+00,3.2489e+00,2.9212e+01,-5.9757e+02
1.5077e-01,-1.4090e+00,1.3758e+00,2.1057e+00,7.1465e-01,2.7118e+00,3.4172e+00,2.8504e+01,-8.8506e+02
-4.4496e-02,-1.3312e+00,1.5174e+00,2.3106e+00,4.0644e-01,3.4292e+00,2.8277e+00,2.9067e+01,-7.6427e+02
1.6237e-01,-1.6002e+00,1.5460e+00,2.4753e+00,1.6790e+00,2.3563e+00,3.6637e+00,2.9097e+01,-7.6632e+02
7.8598e-02,-1.7967e+00,1.6593e+00,2.1121e+00,2.7020e+00,2.3368e+00,3.5441e+00,2.9085e+01,-6.1343e+02
1.5985e-01,-1.3806e+00,1.3793e+00,2.3683e+00,1.4081e+00,1.9259e+00,3.5475e+00,2.8713e+01,-7.1966e+02
1.0710e-01,-1.9650e+00,1.6726e+00,2.2967e+00,2.7972e+00,2.2272e+00,3.6415e+00,2.9351e+01,-9.5691e+02
7.1023e-02,-1.0639e+00,1.4467e+00,2.2570e+00,2.1850e+00,2.2665e+00,3.4933e+00,2.8738e+01,-7.3662e+02
1.9003e-01,-1.1890e+00,1.2190e+00,2.4677e+00,2.6709e+00,1.7347e+00,3.4582e+00,2.8948e+01,-9.0207e+02
2.2471e-01,-1.7573e+00,1.3476e+00,2.2873e+00,2.8096e+00,2.5366e+00,3.3235e+00,2.8883e+01,-5.7842e+02
7.2962e-02,-1.9197e+00,1.6739e+00,2.5125e+00,1.0270e+00,2.7569e+00,3.8567e+00,2.9538e+01,-8.1327e+02
1.5712e-01,-1.7591e+00,8.6084e-01,2.1614e+00,1.0559e+00,1.9286e+00,3.2968e+00,2.8073e+01,-9.6369e+02
2.4832e-01,-1.2974e+00,1.6110e+00,2.3208e+00,2.4074e+00,2.0837e+00,3.7221e+00,2.9140e+01,-9.2637e+02
1.9095e-01,-1.5015e+00,1.4508e+00,2.0293e+00,2.8601e+00,1.6319e+00,3.1340e+00,2.8649e+01,-9.1614e+02
3.5462e-02,-1.2745e+00,1.7209e+00,1.5422e+00,1.1261e+00,3.0916e+00,3.3852e+00,2.8783e+01,-8.8777e+02
2.2511e-01,-1.6722e+00,1.3573e+00,1.8789e+00,2.2338e+00,2.8223e+00,3.0700e+00,2.8234e+01,-9.4885e+02
1.4792e-01,-1.1293e+00,1.6701e+00,9.3105e-01,2.8478e+00,3.0649e+00,2.6440e+00,2.8687e+01,-9.4319e+02
1.7239e-01,-1.3468e+00,1.5241e+00,2.3545e+00,1.5395e+00,2.4360e+00,3.6437e+00,2.8931e+01,-5.4777e+02
-1.9842e-01,-1.9908e+00,1.6855e+00,2.2564e+00,1.3725e+00,2.7325e+00,3.6664e+00,2.9270e+01,-7.0824e+02
2.4293e-01,-1.5655e+00,1.5049e+00,2.3246e+00,2.5686e+00,3.1235e+00,3.1382e+00,2.8900e+01,-8.1620e+02
2.0825e-01,-1.5193e+00,1.7129e+00,1.9139e+00,1.8213e+00,3.1442e+00,3.3711e+00,2.8779e+01,-9.0127e+02
3.7669e-03,-1.7502e+00,1.6878e+00,1.4955e+00,2.4381e+00,3.0443e+00,3.3063e+00,2.8828e+01,-8.5837e+02
-9.0437e-01,-1.9435e+00,1.6660e+00,7.2595e-01,1.7148e+00,2.4468e+00,3.5938e+00,2.9026e+01,-9.6478e+02
1.0199e-01,-1.0473e+00,1.6975e+00,1.3257e+00,2.4991e+00,3.0492e+00,3.1040e+00,2.8609e+01,-9.1828e+02
1.4211e-01,-1.7534e+00,1.6215e+00,2.5131e+00,2.1664e+00,2.2404e+00,3.8147e+00,2.9422e+01,-5.7083e+02
7.9104e-02,-1.2536e+00,1.4201e+00,2.3435e+00,1.7471e+00,2.8123e+00,3.4910e+00,2.8879e+01,-6.7292e+02
2.4455e-02,-1.7967e+00,1.5960e+00,2.1032e+00,2.7220e+00,2.8574e+00,3.4869e+00,2.9183e+01,-9.4923e+02
1.2432e-01,-1.1981e+00,1.3902e+00,2.4929e+00,2.5419e+00,3.2607e+00,3.1432e+00,2.9162e+01,-8.3244e+02
6.7349e-02,-1.7145e+00,1.6489e+00,2.1962e+00,2.6441e+00,2.2781e+00,3.5310e+00,2.9056e+01,-7.6587e+02
1.9135e-01,-1.2765e+00,1.6771e+00,2.5440e+00,1.9641e+00,3.5435e+00,3.0980e+00,2.9369e+01,-8.9238e+02
1.2965e-01,-1.0559e+00,1.6141e+00,2.5764e+00,1.2602e+00,3.4317e+00,3.1229e+00,2.9276e+01,-8.9633e+02
2.1124e-01,-1.5665e+00,1.6090e+00,1.9508e+00,2.5947e+00,2.3028e+00,3.4850e+00,2.8741e+01,-5.9931e+02
-3.8393e-02,-1.4836e+00,1.2501e+00,2.3146e+00,1.9037e+00,2.9849e+00,3.2512e+00,2.8758e+01,-9.5081e+02
-8.8421e-02,-1.0899e+00,1.6229e+00,2.4612e+00,2.3093e+00,1.8156e+00,3.7039e+00,2.9295e+01,-9.6107e+02
6.1464e-02,-1.9675e+00,1.6645e+00,1.9205e+00,2.5293e+00,3.1236e+00,3.2984e+00,2.9002e+01,-6.6571e+02
1.4950e-01,-1.5352e+00,1.5451e+00,2.7307e+00,9.3958e-01,2.2752e+00,3.8979e+00,2.9636e+01,-8.6264e+02
-8.7599e-01,-1.9795e+00,1.6483e+00,1.9298e+00,8.6318e-01,1.9047e+00,3.7612e+00,2.9366e+01,-9.0903e+02
2.4134e-01,-1.1334e+00,1.2070e+00,2.2436e+00,8.1053e-01,2.8333e+00,3.2294e+00,2.8315e+01,-6.1541e+02
-2.1290e-02,-1.1966e+00,1.6819e+00,2.5312e+00,2.1173e+00,2.9479e+00,3.7141e+00,2.9452e+01,-6.0957e+02
1.4505e-01,-1.2414e+00,1.4923e+00,2.4595e+00,1.7880e+00,2.3420e+00,3.5955e+00,2.8938e+01,-8.0899e+02
2.3367e-01,-1.2905e+00,1.4466e+00,2.4789e+00,1.1182e+00,2.4826e+00,3.7106e+00,2.9082e+01,-7.0661e+02
5.7543e-02,-1.9876e+00,1.5526e+00,2.1137e+00,1.6976e+00,2.0134e+00,3.5489e+00,2.8693e+01,-8.5520e+02
8.9769e-02,-1.3770e+00,1.5532e+00,2.4179e+00,2.8220e+00,3.1736e+00,3.2756e+00,2.9284e+01,-8.0839e+02
9.6238e-02,-1.5393e+00,1.4097e+00,2.2356e+00,4.9633e-01,1.8926e+00,3.5737e+00,2.8734e+01,-7.9626e+02
1.0109e-01,-1.2608e+00,1.6598e+00,1.4499e+00,2.8836e+00,2.9718e+00,2.8674e+00,2.8786e+01,-8.1874e+02
3.3439e-02,-1.7744e+00,1.6765e+00,1.6726e+00,9.3826e-01,2.8461e+00,3.4418e+00,2.8686e+01,-9.6736e+02
2.4791e-01,-1.0389e+00,1.7307e+00,1.7033e+00,2.3648e+00,3.0276e+00,3.4284e+00,2.8814e+01,-9.5700e+02
2.4606e-01,-1.8358e+00,1.5610e+00,2.3325e+00,2.9449e+00,2.9450e+00,3.2009e+00,2.9121e+01,-7.5802e+02
1.4164e-01,-1.2547e+00,1.3169e+00,2.3196e+00,2.7630e+00,2.4572e+00,3.2957e+00,2.8828e+01,-7.9053e+02
-3.3503e-02,-1.7838e+00,1.4147e+00,2.2596e+00,2.1998e+00,1.8064e+00,3.5892e+00,2.8923e+01,-8.0776e+02
1.7651e-01,-1.6215e+00,1.5423e+00,2.1220e+00,5.0346e-01,1.8629e+00,3.6128e+00,2.8741e+01,-6.8562e+02
2.3006e-01,-1.3678e+00,1.1977e+00,2.1559e+00,1.3518e+00,3.0898e+00,2.6999e+00,2.8235e+01,-8.2644e+02
-1.6601e-01,-1.3041e+00,1.4992e+00,2.2943e+00,1.3684e+00,1.7627e+00,3.5975e+00,2.8971e+01,-9.3607e+02
2.4993e-01,-1.0329e+00,1.4208e+00,2.4859e+00,1.6732e+00,2.5504e+00,3.5903e+00,2.8907e+01,-4.5007e+02
-1.3102e-01,-1.8496e+00,1.6838e+00,1.9560e+00,8.3673e-01,2.3669e+00,3.6056e+00,2.8896e+01,-8.3718e+02
1.1697e-01,-1.1245e+00,1.4667e+00,2.4136e+00,1.2447e+00,3.4774e+00,2.4420e+00,2.9046e+01,-6.9538e+02
2.0830e-01,-1.3623e+00,1.5975e+00,2.0197e+00,1.6725e+00,3.1936e+00,3.2915e+00,2.8694e+01,-8.1604e+02
3.4227e-02,-1.8552e+00,1.6325e+00,1.6460e+00,2.2216e+00,3.2893e+00,3.0640e+00,2.8856e+01,-9.6230e+02
-3.9345e-02,-1.0391e+00,1.6685e+00,2.3120e+00,2.7588e+00,2.0518e+00,3.5074e+00,2.9114e+01,-7.1364e+02
2.3863e-01,-1.8483e+00,1.7293e+00,2.3033e+00,1.1511e+00,2.3792e+00,3.7976e+00,2.9186e+01,-4.5590e+02
