logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-9.0206e-03,-1.0996e+00,1.7151e+00,2.7074e+00,3.9723e-01,2.6047e+00,3.8746e+00,-7.0772e+02
2.2900e-01,-1.3199e+00,1.7245e+00,2.6330e+00,3.0876e+00,1.9717e+00,3.7183e+00,-7.1428e+02
1.9936e-01,-1.5233e+00,1.7300e+00,2.4533e+00,3.2551e+00,3.1258e+00,3.2575e+00,-7.3595e+02
-1.6022e-01,-1.6242e+00,1.7291e+00,2.5668e+00,5.9591e-01,2.6614e+00,3.8394e+00,-6.8558e+02
9.2552e-02,-1.4141e+00,1.6900e+00,2.7025e+00,6.7241e-01,1.7760e+00,3.9273e+00,-7.2800e+02
1.3661e-01,-1.3190e+00,1.7196e+00,2.7062e+00,2.3172e+00,2.0200e+00,3.8812e+00,-7.3444e+02
1.1214e-01,-1.8958e+00,1.7094e+00,2.5952e+00,1.3047e+00,2.8915e+00,3.8765e+00,-7.0936e+02
1.4316e-02,-1.7579e+00,1.6810e+00,2.6448e+00,1.4713e+00,2.0444e+00,3.9006e+00,-6.7500e+02
1.6838e-01,-1.2520e+00,1.7257e+00,2.7113e+00,2.0367e+00,3.0494e+00,3.8104e+00,-7.1104e+02
7.5689e-02,-1.5882e+00,1.7176e+00,2.6377e+00,2.1561e+00,1.7147e+00,3.8946e+00,-6.9050e+02
-3.9685e-02,-1.1161e+00,1.6978e+00,2.6916e+00,8.5325e-01,1.9476e+00,3.9051e+00,-6.9462e+02
1.8851e-03,-1.4773e+00,1.7112e+00,2.6340e+00,1.2745e+00,1.6345e+00,3.9173e+00,-6.0580e+02
-8.7221e-02,-1.8462e+00,1.7333e+00,2.5257e+00,2.1622e+00,2.9837e+00,3.7684e+00,-7.3295e+02
3.7324e-02,-1.8518e+00,1.7172e+00,2.6212e+00,1.8937e+00,2.4579e+00,3.8660e+00,-7.3185e+02
-1.8360e-01,-1.7527e+00,1.7242e+00,2.5345e+00,5.4425e-01,2.6412e+00,3.8458e+00,-7.0249e+02
1.5253e-01,-1.5198e+00,1.6888e+00,2.6926e+00,1.3606e+00,3.1382e+00,3.7949e+00,-7.3864e+02
-1.0659e-02,-1.9146e+00,1.7306e+00,2.6222e+00,1.1382e+00,2.1889e+00,3.9100e+00,-6.8304e+02
2.3331e-01,-1.2676e+00,1.6901e+00,2.7385e+00,2.2367e+00,2.4209e+00,3.9108e+00,-7.0591e+02
2.6799e-02,-1.4717e+00,1.7000e+00,2.6344e+00,1.7322e+00,3.1976e+00,3.7341e+00,-6.8680e+02
1.6673e-01,-1.6806e+00,1.7134e+00,2.4324e+00,3.2376e+00,3.2393e+00,3.0417e+00,-6.9885e+02
1.9127e-01,-1.2028e+00,1.7334e+00,2.7326e+00,9.4492e-01,2.8837e+00,3.8768e+00,-6.5988e+02
1.5273e-01,-1.2782e+00,1.7151e+00,2.6010e+00,3.1072e+00,1.7550e+00,3.6810e+00,-7.3295e+02
8.5913e-02,-1.7966e+00,1.7262e+00,2.5650e+00,2.6432e+00,2.3727e+00,3.8419e+00,-6.3936e+02
1.7713e-01,-1.1618e+00,1.6967e+00,2.7242e+00,2.4773e+00,1.7508e+00,3.8807e+00,-7.1703e+02
2.1855e-01,-1.5266e+00,1.7331e+00,2.4424e+00,3.2095e+00,3.3178e+00,3.0793e+00,-6.7311e+02
1.1300e-01,-1.0397e+00,1.7251e+00,2.6894e+00,6.0642e-01,3.4528e+00,3.6028e+00,-7.3497e+02
6.1738e-02,-1.5409e+00,1.7324e+00,2.5716e+00,1.9929e+00,2.9906e+00,3.8462e+00,-7.1484e+02
2.3546e-01,-1.9896e+00,1.7286e+00,2.6648e+00,1.3236e+00,2.1445e+00,3.9752e+00,-6.5437e+02
9.0450e-02,-1.1345e+00,1.7005e+00,2.6887e+00,2.1115e+00,3.1344e+00,3.7669e+00,-7.2619e+02
1.2039e-01,-1.9935e+00,1.6880e+00,2.6402e+00,1.4240e+00,2.6719e+00,3.9078e+00,-6.4444e+02
-3.2890e-02,-1.2426e+00,1.7157e+00,2.6193e+00,1.5672e+00,3.0666e+00,3.7940e+00,-7.3527e+02
1.3026e-01,-1.6864e+00,1.6917e+00,2.6322e+00,1.6107e+00,3.3216e+00,3.7133e+00,-6.6691e+02
6.1703e-02,-1.0922e+00,1.7269e+00,2.6921e+00,1.1287e+00,3.2832e+00,3.7226e+00,-6.9864e+02
1.7971e-01,-1.4230e+00,1.6917e+00,2.6747e+00,7.9205e-01,3.4855e+00,3.6134e+00,-6.8146e+02
4.7889e-02,-1.6061e+00,1.7166e+00,2.5595e+00,1.2928e+00,3.2738e+00,3.7356e+00,-6.5311e+02
6.9225e-02,-1.8339e+00,1.7268e+00,2.6094e+00,2.5989e+00,2.2968e+00,3.8424e+00,-7.1034e+02
9.4469e-02,-1.6411e+00,1.6927e+00,2.6273e+00,1.1732e+00,3.3710e+00,3.6747e+00,-6.9248e+02
1.1664e-01,-1.6658e+00,1.7311e+00,2.4857e+00,3.1866e+00,1.8706e+00,3.5841e+00,-7.3117e+02
1.6760e-01,-1.6698e+00,1.7303e+00,2.5984e+00,2.7819e+00,3.0034e+00,3.7605e+00,-7.0399e+02
1.5523e-01,-1.1427e+00,1.7209e+00,2.7106e+00,7.4352e-01,3.2019e+00,3.7732e+00,-7.3401e+02
2.4247e-01,-1.9735e+00,1.7321e+00,2.5396e+00,2.9593e+00,3.3150e+00,3.5709e+00,-6.8922e+02
2.4841e-01,-1.4310e+00,1.7306e+00,2.6918e+00,1.1392e+00,3.3607e+00,3.7356e+00,-6.7388e+02
8.1219e-02,-1.5919e+00,1.6788e+00,2.6233e+00,2.7033e+00,1.9323e+00,3.8399e+00,-7.0972e+02
-2.4330e-02,-1.5542e+00,1.6984e+00,2.5755e+00,2.0087e+00,3.5521e+00,3.3478e+00,-7.1216e+02
1.9849e-01,-1.4916e+00,1.7121e+00,2.6452e+00,1.5275e+00,3.6074e+00,3.4248e+00,-6.5354e+02
