logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
2.9629e-02,-1.6523e+00,1.1256e+00,2.2907e+00,9.0981e-01,2.1349e+00,3.4377e+00,2.8524e+01,-8.7514e+02
-2.2468e-03,-1.6686e+00,1.6029e+00,2.0247e+00,1.7636e+00,3.0895e+00,3.3155e+00,2.8821e+01,-7.5548e+02
-3.5644e-02,-1.7614e+00,1.7224e+00,1.8443e+00,1.0573e+00,1.7813e+00,3.6270e+00,2.8832e+01,-8.4569e+02
1.6229e-01,-1.6454e+00,1.6234e+00,2.4135e+00,1.0071e+00,1.6118e+00,3.7633e+00,2.9117e+01,-8.5780e+02
2.3021e-02,-1.8618e+00,1.2488e+00,2.0739e+00,1.2021e+00,2.0048e+00,3.3625e+00,2.8295e+01,-8.7726e+02
1.6962e-01,-1.1026e+00,1.3173e+00,2.2593e+00,1.6563e+00,2.1620e+00,3.4244e+00,2.8491e+01,-7.5130e+02
-8.6642e-01,-1.9172e+00,1.7175e+00,1.5256e+00,1.0131e+00,2.4540e+00,3.7325e+00,2.9313e+01,-8.2709e+02
1.6413e-01,-1.6517e+00,1.5204e+00,2.4867e+00,1.1670e+00,3.0696e+00,3.5634e+00,2.9137e+01,-7.4662e+02
-9.6214e-01,-1.6296e+00,1.7197e+00,1.2458e+00,1.1608e+00,3.4600e+00,3.3607e+00,2.9469e+01,-8.8318e+02
1.6688e-02,-1.3794e+00,1.5068e+00,2.0877e+00,1.0824e+00,2.9224e+00,3.3909e+00,2.8699e+01,-7.0905e+02
1.1458e-01,-1.4627e+00,1.7195e+00,2.4055e+00,2.3612e+00,2.6747e+00,3.6658e+00,2.9256e+01,-7.2030e+02
-8.3227e-02,-1.9040e+00,1.5615e+00,2.3877e+00,1.7193e+00,2.5773e+00,3.6950e+00,2.9278e+01,-7.6181e+02
2.2853e-01,-1.0472e+00,1.2557e+00,2.3081e+00,1.4738e+00,2.7578e+00,3.3230e+00,2.8505e+01,-7.6374e+02
2.1647e-01,-1.5683e+00,1.6710e+00,2.5773e+00,3.1866e+00,2.9654e+00,3.4183e+00,2.9680e+01,-7.8926e+02
