logfeh,logdust_med,logNpix,tau,dmod,logl
-9.5420e-01,-1.9746e+00,3.6422e+00,9.9678e+00,2.9293e+01,-2.2484e+03
-9.7127e-01,-1.9875e+00,3.6762e+00,9.9787e+00,2.9384e+01,-2.2514e+03
-9.9166e-01,-1.9716e+00,3.6442e+00,9.8466e+00,2.9301e+01,-2.2603e+03
-9.6782e-01,-1.9844e+00,3.6789e+00,9.9678e+00,2.9398e+01,-2.2519e+03
-9.6387e-01,-1.9515e+00,3.6769e+00,9.9705e+00,2.9385e+01,-2.2575e+03
-9.5583e-01,-1.8842e+00,3.6765e+00,9.9356e+00,2.9382e+01,-2.2514e+03
-9.9521e-01,-1.8989e+00,3.7795e+00,9.9858e+00,2.9665e+01,-2.2604e+03
-9.6532e-01,-1.9691e+00,3.6452e+00,9.9439e+00,2.9311e+01,-2.2264e+03
-9.8524e-01,-1.9546e+00,3.6761e+00,9.9393e+00,2.9393e+01,-2.2452e+03
-9.9733e-01,-1.9644e+00,3.7817e+00,9.9933e+00,2.9667e+01,-2.2473e+03
-9.7388e-01,-1.9096e+00,3.6452e+00,9.9364e+00,2.9300e+01,-2.2525e+03
-9.9222e-01,-1.9810e+00,3.6457e+00,9.9092e+00,2.9312e+01,-2.2522e+03
-9.5647e-01,-1.8840e+00,3.7813e+00,9.9870e+00,2.9669e+01,-2.2499e+03
-9.5032e-01,-1.9966e+00,3.7794e+00,9.9795e+00,2.9655e+01,-2.2385e+03
-9.6767e-01,-1.9048e+00,3.6454e+00,9.9264e+00,2.9300e+01,-2.2598e+03
-9.6092e-01,-1.9978e+00,3.6439e+00,9.9808e+00,2.9303e+01,-2.2309e+03
-9.5318e-01,-1.9562e+00,3.6765e+00,9.9360e+00,2.9392e+01,-2.2324e+03
-9.8095e-01,-1.9554e+00,3.6744e+00,9.9670e+00,2.9382e+01,-2.2618e+03
-9.6137e-01,-1.9533e+00,3.6440e+00,9.9261e+00,2.9302e+01,-2.2570e+03
-9.5316e-01,-1.9758e+00,3.6777e+00,9.8555e+00,2.9393e+01,-2.2587e+03
-9.9184e-01,-1.9860e+00,3.6431e+00,9.9560e+00,2.9301e+01,-2.2430e+03
-9.9099e-01,-1.9379e+00,3.6764e+00,9.8805e+00,2.9384e+01,-2.2602e+03
-9.7257e-01,-1.9432e+00,3.6766e+00,9.9434e+00,2.9385e+01,-2.2483e+03
-9.8904e-01,-1.9421e+00,3.6769e+00,9.9560e+00,2.9382e+01,-2.2610e+03
-9.7516e-01,-1.9237e+00,3.6763e+00,9.9494e+00,2.9387e+01,-2.2401e+03
-9.9911e-01,-1.9356e+00,3.6774e+00,9.9006e+00,2.9396e+01,-2.2492e+03
-9.6906e-01,-1.9964e+00,3.6764e+00,9.9727e+00,2.9398e+01,-2.2316e+03
-9.6727e-01,-1.9741e+00,3.6464e+00,9.9825e+00,2.9319e+01,-2.2571e+03
-9.7738e-01,-1.9262e+00,3.6767e+00,9.9375e+00,2.9390e+01,-2.2440e+03
-9.9591e-01,-1.9814e+00,3.6760e+00,9.9017e+00,2.9397e+01,-2.2529e+03
-9.9155e-01,-1.9522e+00,3.6765e+00,9.9304e+00,2.9387e+01,-2.2148e+03
-9.8292e-01,-1.9834e+00,3.6448e+00,9.9342e+00,2.9310e+01,-2.2606e+03
-9.6549e-01,-1.9330e+00,3.6754e+00,9.9993e+00,2.9380e+01,-2.2577e+03
-9.5712e-01,-1.9492e+00,3.6448e+00,9.9784e+00,2.9304e+01,-2.2529e+03
-9.6515e-01,-1.9349e+00,3.6757e+00,9.9836e+00,2.9395e+01,-2.2435e+03
-9.5748e-01,-1.9445e+00,3.6765e+00,9.8971e+00,2.9382e+01,-2.2559e+03
-9.9827e-01,-1.9587e+00,3.6779e+00,9.9055e+00,2.9392e+01,-2.2481e+03
-9.8476e-01,-1.9052e+00,3.6460e+00,9.9970e+00,2.9306e+01,-2.2498e+03
-9.9823e-01,-1.9747e+00,3.6763e+00,9.8982e+00,2.9385e+01,-2.2318e+03
-9.6359e-01,-1.9410e+00,3.6793e+00,9.9751e+00,2.9400e+01,-2.2557e+03
-9.5341e-01,-1.9035e+00,3.6456e+00,9.9641e+00,2.9310e+01,-2.2433e+03
-9.9055e-01,-1.9596e+00,3.6761e+00,9.9064e+00,2.9384e+01,-2.2561e+03
-9.5320e-01,-1.9427e+00,3.6760e+00,9.9219e+00,2.9387e+01,-2.2472e+03
-9.5972e-01,-1.9290e+00,3.6766e+00,9.9755e+00,2.9400e+01,-2.2545e+03
-9.9174e-01,-1.9542e+00,3.6773e+00,9.8911e+00,2.9389e+01,-2.2452e+03
-9.6412e-01,-1.9711e+00,3.6773e+00,9.9063e+00,2.9402e+01,-2.2527e+03
-9.9271e-01,-1.9374e+00,3.6449e+00,9.9266e+00,2.9300e+01,-2.2411e+03
-9.8745e-01,-1.9745e+00,3.6381e+00,9.9509e+00,2.9285e+01,-2.2439e+03
-9.6338e-01,-1.9629e+00,3.6777e+00,9.9410e+00,2.9391e+01,-2.2486e+03
-9.7232e-01,-1.9163e+00,3.6448e+00,9.9600e+00,2.9303e+01,-2.2488e+03
-9.7677e-01,-1.9946e+00,3.6776e+00,9.9268e+00,2.9384e+01,-2.2440e+03
-9.5181e-01,-1.9463e+00,3.6437e+00,9.9094e+00,2.9304e+01,-2.2564e+03
-9.5401e-01,-1.9875e+00,3.7821e+00,9.9833e+00,2.9666e+01,-2.2440e+03
-9.5615e-01,-1.9455e+00,3.6766e+00,9.9134e+00,2.9387e+01,-2.2200e+03
-9.6108e-01,-1.9371e+00,3.6438e+00,9.9965e+00,2.9305e+01,-2.2534e+03
-9.6721e-01,-1.9070e+00,3.6742e+00,9.9558e+00,2.9387e+01,-2.2602e+03
-9.7883e-01,-1.9509e+00,3.7810e+00,9.9975e+00,2.9667e+01,-2.2294e+03
-9.7027e-01,-1.9132e+00,3.6737e+00,9.9796e+00,2.9384e+01,-2.2611e+03
-9.5227e-01,-1.9505e+00,3.6456e+00,9.9653e+00,2.9313e+01,-2.2514e+03
-9.9017e-01,-1.9612e+00,3.6436e+00,9.9998e+00,2.9301e+01,-2.2251e+03
-9.9657e-01,-1.9308e+00,3.6752e+00,9.9700e+00,2.9381e+01,-2.2488e+03
-9.5852e-01,-1.9787e+00,3.6446e+00,9.9656e+00,2.9301e+01,-2.2280e+03
-9.8899e-01,-1.9818e+00,3.6777e+00,9.8447e+00,2.9385e+01,-2.2436e+03
-9.7084e-01,-1.9668e+00,3.6757e+00,9.9703e+00,2.9393e+01,-2.2276e+03
-9.8973e-01,-1.9619e+00,3.6767e+00,9.9370e+00,2.9398e+01,-2.2592e+03
-9.6230e-01,-1.9199e+00,3.5968e+00,9.9513e+00,2.9174e+01,-2.2596e+03
-9.8518e-01,-1.9900e+00,3.7793e+00,9.9887e+00,2.9652e+01,-2.2578e+03
-9.9345e-01,-1.9868e+00,3.6439e+00,9.9460e+00,2.9304e+01,-2.2548e+03
-9.7595e-01,-1.9671e+00,3.6756e+00,9.9875e+00,2.9396e+01,-2.2569e+03
-9.5787e-01,-1.9543e+00,3.6786e+00,9.9548e+00,2.9393e+01,-2.2515e+03
-9.7888e-01,-1.9841e+00,3.6452e+00,9.9713e+00,2.9313e+01,-2.2499e+03
-9.8667e-01,-1.9800e+00,3.6380e+00,9.9796e+00,2.9293e+01,-2.2578e+03
-9.8290e-01,-1.9919e+00,3.6767e+00,9.8949e+00,2.9397e+01,-2.2396e+03
-9.7948e-01,-1.9827e+00,3.6755e+00,9.9106e+00,2.9394e+01,-2.2402e+03
-9.6531e-01,-1.9330e+00,3.6432e+00,9.9314e+00,2.9296e+01,-2.2541e+03
-9.5504e-01,-1.9766e+00,3.6429e+00,9.9785e+00,2.9295e+01,-2.2607e+03
-9.6912e-01,-1.8550e+00,3.6761e+00,9.9947e+00,2.9387e+01,-2.2553e+03
-9.7776e-01,-1.9718e+00,3.6780e+00,9.8389e+00,2.9387e+01,-2.2606e+03
-9.6873e-01,-1.9045e+00,3.6763e+00,9.9192e+00,2.9386e+01,-2.2618e+03
-9.7291e-01,-1.8849e+00,3.6764e+00,9.9161e+00,2.9390e+01,-2.2426e+03
-9.5378e-01,-1.9561e+00,3.6771e+00,9.8743e+00,2.9390e+01,-2.2412e+03
