logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
1.1299e-01,-1.3729e+00,1.6679e+00,2.1038e+00,1.1895e+00,2.5606e+00,3.9802e+00,2.8597e+01,-4.7770e+03
6.4487e-02,-1.4632e+00,1.7164e+00,2.2367e+00,8.0114e-01,3.0036e+00,4.0237e+00,2.8836e+01,-5.3515e+03
4.4023e-02,-1.0604e+00,1.7087e+00,1.8669e+00,1.0731e+00,3.1188e+00,3.8296e+00,2.8502e+01,-5.2649e+03
1.7318e-01,-1.0656e+00,1.6553e+00,1.7186e+00,9.4175e-01,3.3260e+00,3.7335e+00,2.8347e+01,-5.4324e+03
1.3518e-01,-1.2117e+00,1.3366e+00,2.1683e+00,1.4434e+00,2.2828e+00,3.8025e+00,2.8173e+01,-5.4468e+03
1.9196e-01,-1.7058e+00,1.7089e+00,2.1530e+00,2.8644e+00,1.7877e+00,4.0571e+00,2.8893e+01,-5.5239e+03
1.3033e-01,-1.9004e+00,1.6565e+00,1.4215e-01,1.8174e+00,3.5093e+00,3.5453e+00,2.8438e+01,-5.5088e+03
7.9552e-02,-1.2551e+00,1.7148e+00,1.7058e+00,1.3659e+00,3.8121e+00,2.4522e+00,2.8659e+01,-5.4881e+03
1.9788e-01,-1.2958e+00,1.4257e+00,2.1512e+00,1.7153e+00,2.5081e+00,3.8371e+00,2.8270e+01,-5.2173e+03
1.6559e-01,-1.2832e+00,1.6957e+00,1.6461e+00,1.4298e+00,2.7021e+00,3.9129e+00,2.8423e+01,-4.9084e+03
6.0518e-03,-1.9328e+00,1.7096e+00,7.6554e-01,1.1678e+00,2.9002e+00,3.8699e+00,2.8479e+01,-5.5682e+03
1.4035e-01,-1.3298e+00,1.5743e+00,1.9479e+00,1.7442e+00,2.4764e+00,3.8977e+00,2.8377e+01,-5.3565e+03
1.6968e-01,-1.4790e+00,1.6595e+00,-3.9596e-02,2.1577e+00,3.1014e+00,3.7762e+00,2.8321e+01,-5.2989e+03
1.2043e-01,-1.6297e+00,1.7194e+00,3.6933e-01,1.8117e+00,3.7526e+00,3.0053e+00,2.8569e+01,-5.4998e+03
1.7485e-01,-1.0766e+00,1.7182e+00,1.9676e+00,1.3390e+00,2.7873e+00,3.8832e+00,2.8391e+01,-5.3740e+03
1.7151e-01,-1.1692e+00,1.7086e+00,9.5426e-01,2.9721e+00,3.1779e+00,3.6305e+00,2.8472e+01,-5.3503e+03
2.0228e-01,-1.2259e+00,1.6848e+00,2.0222e+00,2.2813e+00,2.8639e+00,3.9759e+00,2.8612e+01,-5.2302e+03
1.2881e-01,-1.6058e+00,1.6688e+00,1.9280e+00,1.3722e+00,2.4177e+00,3.9456e+00,2.8516e+01,-5.0675e+03
1.9584e-01,-1.9263e+00,1.6833e+00,1.0036e-01,7.2649e-01,3.5923e+00,3.5829e+00,2.8546e+01,-5.5104e+03
1.8988e-01,-1.7412e+00,1.7001e+00,1.7564e+00,1.1001e+00,2.5949e+00,3.9299e+00,2.8405e+01,-5.2002e+03
7.2065e-02,-1.3143e+00,1.5539e+00,2.1123e+00,1.2582e+00,2.4474e+00,3.9124e+00,2.8468e+01,-5.3643e+03
1.2926e-01,-1.8050e+00,1.6800e+00,8.5062e-01,2.0836e+00,3.3488e+00,3.7194e+00,2.8459e+01,-5.0938e+03
1.7861e-01,-1.9771e+00,1.6896e+00,1.7043e+00,1.8016e+00,2.2909e+00,3.9213e+00,2.8375e+01,-5.3189e+03
1.6317e-01,-1.0115e+00,1.5833e+00,2.2855e+00,1.9762e+00,2.9126e+00,3.9386e+00,2.8601e+01,-5.2254e+03
1.4114e-01,-1.4271e+00,1.6470e+00,9.3166e-01,2.7381e+00,3.0562e+00,3.7262e+00,2.8411e+01,-5.1960e+03
8.1905e-02,-1.3654e+00,1.6546e+00,1.0294e+00,2.0128e+00,2.9470e+00,3.7700e+00,2.8264e+01,-5.5322e+03
1.8693e-01,-1.0522e+00,1.6346e+00,4.1349e-01,3.0209e+00,2.7605e+00,3.6201e+00,2.8329e+01,-5.3687e+03
1.5844e-01,-1.7784e+00,1.7057e+00,4.4751e-01,2.6854e+00,3.7696e+00,3.1783e+00,2.8779e+01,-5.5566e+03
