logfeh,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,logl
-2.0840e-01,-1.8276e+00,1.7308e+00,2.5786e+00,2.3506e+00,2.1903e+00,4.2893e+00,-8.7718e+03
-2.0136e-01,-1.9039e+00,1.7331e+00,2.5701e+00,2.2368e+00,1.7748e+00,4.2939e+00,-8.7603e+03
-2.2183e-01,-1.9764e+00,1.7320e+00,2.5926e+00,2.3457e+00,1.7478e+00,4.2870e+00,-8.7812e+03
-2.9644e-01,-1.8566e+00,1.7336e+00,2.5876e+00,1.0711e+00,1.7629e+00,4.3196e+00,-8.7652e+03
-2.4158e-01,-1.8143e+00,1.7326e+00,2.5810e+00,1.3492e+00,1.9039e+00,4.3164e+00,-8.7486e+03
-2.8866e-01,-1.9645e+00,1.7303e+00,2.5717e+00,2.4395e+00,2.1913e+00,4.2777e+00,-8.7000e+03
-2.2282e-01,-1.9722e+00,1.7336e+00,2.5556e+00,2.1872e+00,2.4635e+00,4.2928e+00,-8.6832e+03
-2.3411e-01,-1.9109e+00,1.7336e+00,2.6077e+00,2.1630e+00,2.2644e+00,4.2940e+00,-8.7414e+03
-2.4542e-01,-1.9949e+00,1.7328e+00,2.5810e+00,2.5241e+00,2.9358e+00,4.2363e+00,-8.7772e+03
-2.4418e-01,-1.9285e+00,1.7305e+00,2.5709e+00,2.3568e+00,2.2115e+00,4.2841e+00,-8.7562e+03
-2.1624e-01,-1.9411e+00,1.7333e+00,2.5830e+00,1.2627e+00,1.9012e+00,4.3157e+00,-8.7757e+03
-2.0015e-01,-1.9632e+00,1.7311e+00,2.5620e+00,2.3644e+00,2.2503e+00,4.2828e+00,-8.7469e+03
-2.3703e-01,-1.8264e+00,1.7317e+00,2.5895e+00,2.2729e+00,1.8229e+00,4.2892e+00,-8.6956e+03
-2.7250e-01,-1.8911e+00,1.7333e+00,2.5806e+00,2.1839e+00,1.7590e+00,4.2954e+00,-8.7639e+03
-2.5317e-01,-1.8360e+00,1.7269e+00,2.5980e+00,2.1896e+00,1.6454e+00,4.2951e+00,-8.6830e+03
-2.4317e-01,-1.8977e+00,1.7332e+00,2.5837e+00,2.3505e+00,1.7096e+00,4.2834e+00,-8.7606e+03
-2.2566e-01,-1.9518e+00,1.7263e+00,2.5956e+00,2.2106e+00,1.6422e+00,4.2960e+00,-8.7411e+03
-2.9470e-01,-1.9886e+00,1.7324e+00,2.5945e+00,2.1857e+00,1.7933e+00,4.2956e+00,-8.7281e+03
-2.2068e-01,-1.8799e+00,1.7335e+00,2.5848e+00,2.0375e+00,1.7974e+00,4.3032e+00,-8.7810e+03
-2.9075e-01,-1.8970e+00,1.7316e+00,2.5887e+00,2.5135e+00,2.4649e+00,4.2577e+00,-8.7155e+03
-2.2516e-01,-1.9117e+00,1.7298e+00,2.6038e+00,2.2014e+00,1.6292e+00,4.2955e+00,-8.6606e+03
-2.8702e-01,-1.8807e+00,1.7333e+00,2.5855e+00,1.9792e+00,1.8089e+00,4.3095e+00,-8.7809e+03
-2.5923e-01,-1.9218e+00,1.7306e+00,2.5868e+00,2.1967e+00,1.6852e+00,4.2955e+00,-8.7316e+03
-2.6996e-01,-1.7549e+00,1.7327e+00,2.6058e+00,1.9695e+00,1.6482e+00,4.3066e+00,-8.7808e+03
-2.5174e-01,-1.9554e+00,1.7336e+00,2.5889e+00,1.9359e+00,1.8483e+00,4.3098e+00,-8.7758e+03
-2.9252e-01,-1.9749e+00,1.7328e+00,2.5828e+00,1.0784e+00,1.8511e+00,4.3179e+00,-8.7801e+03
-2.0091e-01,-1.9746e+00,1.7285e+00,2.5807e+00,2.2336e+00,1.7771e+00,4.2914e+00,-8.7523e+03
-2.3603e-01,-1.9074e+00,1.7282e+00,2.6074e+00,2.2125e+00,1.6301e+00,4.2937e+00,-8.7380e+03
-2.7736e-01,-1.8490e+00,1.7305e+00,2.6125e+00,2.5186e+00,2.2062e+00,4.2649e+00,-8.7655e+03
-2.2022e-01,-1.9190e+00,1.7333e+00,2.5885e+00,2.3953e+00,2.8257e+00,4.2585e+00,-8.7425e+03
-2.3860e-01,-1.8371e+00,1.7331e+00,2.6065e+00,2.5114e+00,1.7007e+00,4.2693e+00,-8.7807e+03
-2.0587e-01,-1.9011e+00,1.7335e+00,2.5626e+00,2.1600e+00,2.4652e+00,4.2907e+00,-8.7163e+03
-2.7616e-01,-1.9131e+00,1.7317e+00,2.6043e+00,2.3252e+00,2.2298e+00,4.2804e+00,-8.7659e+03
-2.7454e-01,-1.9335e+00,1.7325e+00,2.5878e+00,2.1789e+00,1.8145e+00,4.2961e+00,-8.7639e+03
-2.7004e-01,-1.9408e+00,1.7330e+00,2.6018e+00,2.2165e+00,1.6418e+00,4.2946e+00,-8.7056e+03
-2.1250e-01,-1.8302e+00,1.7292e+00,2.6094e+00,2.1807e+00,1.6411e+00,4.2969e+00,-8.7501e+03
-2.0020e-01,-1.7955e+00,1.7325e+00,2.6089e+00,2.1281e+00,2.7919e+00,4.2798e+00,-8.7587e+03
-2.5396e-01,-1.9741e+00,1.7336e+00,2.6113e+00,1.7859e+00,1.6505e+00,4.3094e+00,-8.7726e+03
-2.5359e-01,-1.9061e+00,1.7334e+00,2.5906e+00,1.7902e+00,1.6689e+00,4.3098e+00,-8.7409e+03
-2.6327e-01,-1.8258e+00,1.7334e+00,2.5793e+00,2.1500e+00,2.4315e+00,4.2928e+00,-8.7573e+03
-2.8728e-01,-1.7715e+00,1.7319e+00,2.6135e+00,2.2243e+00,1.6482e+00,4.2927e+00,-8.7773e+03
-2.9287e-01,-1.9104e+00,1.7315e+00,2.5856e+00,2.1459e+00,1.7316e+00,4.2976e+00,-8.7557e+03
-2.3741e-01,-1.8390e+00,1.7330e+00,2.5891e+00,1.8854e+00,2.6196e+00,4.2937e+00,-8.7574e+03
-2.4674e-01,-1.9559e+00,1.7334e+00,2.5661e+00,2.2661e+00,1.7728e+00,4.2890e+00,-8.7473e+03
-2.4496e-01,-1.8429e+00,1.7332e+00,2.5779e+00,2.2639e+00,1.6905e+00,4.2894e+00,-8.7670e+03
-2.6012e-01,-1.9939e+00,1.7323e+00,2.5965e+00,2.3553e+00,1.7487e+00,4.2836e+00,-8.7530e+03
-2.3030e-01,-1.8140e+00,1.7330e+00,2.6036e+00,1.5440e+00,1.9493e+00,4.3093e+00,-8.7425e+03
-2.5620e-01,-1.9829e+00,1.7333e+00,2.5735e+00,2.1007e+00,1.8722e+00,4.3003e+00,-8.6792e+03
-2.4593e-01,-1.7104e+00,1.7333e+00,2.6056e+00,2.1916e+00,1.6459e+00,4.2965e+00,-8.7459e+03
-2.7614e-01,-1.9596e+00,1.7329e+00,2.5733e+00,2.2308e+00,1.7206e+00,4.2944e+00,-8.7745e+03
-2.2462e-01,-1.8772e+00,1.7279e+00,2.5960e+00,1.6669e+00,1.9641e+00,4.3104e+00,-8.7498e+03
-2.6278e-01,-1.9864e+00,1.7321e+00,2.6005e+00,2.2621e+00,1.7898e+00,4.2923e+00,-8.7297e+03
-2.2065e-01,-1.8928e+00,1.7336e+00,2.5832e+00,2.2147e+00,1.7899e+00,4.2954e+00,-8.7750e+03
-2.5641e-01,-1.9090e+00,1.7314e+00,2.5915e+00,2.2016e+00,2.7995e+00,4.2788e+00,-8.7802e+03
-2.6577e-01,-1.8471e+00,1.7291e+00,2.5855e+00,2.5830e+00,2.2282e+00,4.2617e+00,-8.7734e+03
-2.3686e-01,-1.9261e+00,1.7320e+00,2.5878e+00,2.3177e+00,2.3648e+00,4.2794e+00,-8.7741e+03
