logfeh_mean,logdust_med,logSFH0,logSFH1,logSFH2,logSFH3,logSFH4,dmod,logl
-1.7007e-01,-1.8832e+00,1.4451e+00,1.5311e+00,1.1599e+00,1.8786e+00,3.7443e+00,2.8105e+01,-7.2535e+03
-4.4443e-02,-1.6176e+00,1.6658e+00,1.9268e+00,1.5864e+00,3.8723e+00,2.9662e+00,2.8979e+01,-6.5695e+03
-2.4731e-02,-1.1655e+00,1.5442e+00,2.0133e+00,1.6240e+00,3.4826e+00,3.6464e+00,2.8609e+01,-6.7525e+03
-1.0392e-01,-1.0872e+00,1.5415e+00,1.5383e+00,4.7174e-01,3.6290e+00,3.1436e+00,2.8413e+01,-7.8191e+03
2.0577e-02,-1.4510e+00,1.7277e+00,2.0366e+00,1.5222e+00,3.2534e+00,4.0326e+00,2.8977e+01,-6.2502e+03
1.7569e-01,-1.1212e+00,1.4339e+00,2.2490e+00,1.4427e+00,2.2378e+00,3.7740e+00,2.8104e+01,-6.8732e+03
-1.0609e-02,-1.3681e+00,1.4898e+00,2.2801e+00,6.5127e-01,2.8538e+00,3.9020e+00,2.8561e+01,-6.6800e+03
2.1308e-01,-1.3699e+00,1.4627e+00,2.3785e+00,1.7283e+00,1.6198e+00,3.9915e+00,2.8583e+01,-5.6271e+03
-2.9626e-01,-1.2660e+00,1.6111e+00,1.4034e+00,1.5326e+00,3.7349e+00,2.7089e+00,2.8662e+01,-7.9830e+03
-1.0171e-01,-1.0233e+00,1.7090e+00,5.7400e-01,2.5516e+00,3.4033e+00,3.6217e+00,2.8639e+01,-7.6538e+03
-1.4680e-01,-1.7413e+00,1.6310e+00,1.8120e+00,1.2050e+00,3.4162e+00,3.6251e+00,2.8546e+01,-7.4181e+03
7.4651e-02,-1.7806e+00,1.6375e+00,5.0639e-01,1.3949e+00,3.0573e+00,3.8348e+00,2.8418e+01,-6.4304e+03
-1.5114e-01,-1.6609e+00,1.5115e+00,1.9315e+00,1.2292e+00,3.6809e+00,3.1424e+00,2.8622e+01,-7.9409e+03
-9.6381e-02,-1.3742e+00,1.6088e+00,1.2780e+00,1.4375e+00,3.7896e+00,2.8363e+00,2.8704e+01,-7.6579e+03
-1.7945e-01,-1.6967e+00,1.6512e+00,1.5973e+00,1.6878e+00,3.5111e+00,3.7241e+00,2.8747e+01,-7.9534e+03
1.5952e-01,-1.8170e+00,1.7168e+00,3.9010e-01,2.7484e+00,2.7592e+00,3.8053e+00,2.8482e+01,-6.9438e+03
-7.3213e-02,-1.0138e+00,1.4245e+00,2.0860e+00,9.8339e-01,2.0293e+00,3.7616e+00,2.8139e+01,-6.3704e+03
9.2017e-02,-1.0297e+00,1.6653e+00,2.5361e+00,7.6149e-01,3.7436e+00,3.7683e+00,2.9099e+01,-7.6072e+03
-3.4838e-01,-1.4708e+00,1.5247e+00,1.8475e+00,1.7003e+00,3.2857e+00,3.6983e+00,2.8598e+01,-7.8032e+03
-7.1652e-01,-1.4403e+00,1.6214e+00,8.5936e-02,9.1906e-01,2.7834e+00,3.9064e+00,2.8742e+01,-7.6049e+03
-1.7619e-02,-1.4162e+00,1.6703e+00,2.3693e+00,2.2698e+00,1.9430e+00,4.1251e+00,2.9054e+01,-6.7658e+03
2.3738e-01,-1.9829e+00,1.5988e+00,2.0677e+00,1.7643e+00,2.5295e+00,3.8993e+00,2.8332e+01,-6.4525e+03
9.3647e-02,-1.4775e+00,1.6798e+00,9.0131e-01,5.8156e-01,2.8568e+00,3.8087e+00,2.8316e+01,-7.9566e+03
-4.8874e-01,-1.8757e+00,1.6241e+00,1.8285e+00,1.3982e+00,2.4820e+00,3.9456e+00,2.8779e+01,-7.3277e+03
-4.1994e-01,-1.8739e+00,1.5865e+00,1.5212e+00,5.9274e-01,2.8441e+00,3.8601e+00,2.8634e+01,-7.2478e+03
-5.2372e-01,-1.8453e+00,1.6294e+00,1.2366e+00,1.0461e+00,3.2237e+00,3.7984e+00,2.8709e+01,-7.5734e+03
1.2242e-02,-1.0550e+00,1.5836e+00,-1.1518e-01,9.2852e-01,3.4760e+00,3.4301e+00,2.8233e+01,-7.6139e+03
1.8401e-01,-1.5164e+00,1.6313e+00,1.3510e+00,1.8328e+00,3.2780e+00,3.6526e+00,2.8243e+01,-5.8344e+03
-2.4000e-03,-1.6217e+00,1.6449e+00,-2.1886e-01,1.0493e+00,3.3076e+00,3.5617e+00,2.8219e+01,-7.0969e+03
1.1132e-01,-1.2278e+00,1.4406e+00,1.8577e+00,2.1065e+00,1.9130e+00,3.8127e+00,2.8189e+01,-7.1126e+03
2.4906e-02,-1.5250e+00,1.5251e+00,1.2218e+00,2.3078e+00,2.2062e+00,3.7537e+00,2.8183e+01,-7.2670e+03
-4.3873e-01,-1.2722e+00,1.6946e+00,9.8596e-01,2.2123e+00,1.8142e+00,3.8809e+00,2.8613e+01,-6.9712e+03
2.1309e-01,-1.2617e+00,1.4441e+00,5.9753e-01,2.9168e+00,3.3416e+00,2.4976e+00,2.8003e+01,-7.9503e+03
2.3252e-01,-1.2025e+00,1.5499e+00,2.0234e+00,7.8550e-01,3.4585e+00,3.6450e+00,2.8373e+01,-6.3272e+03
9.8279e-02,-1.0839e+00,1.3694e+00,2.4492e+00,8.7094e-01,3.4367e+00,3.8331e+00,2.8789e+01,-7.9875e+03
-5.1397e-01,-1.2963e+00,1.5719e+00,-2.2254e-01,3.8073e-01,2.9396e+00,3.6951e+00,2.8285e+01,-7.7433e+03
