logfeh,logdust_med,logNpix,tau,dmod,logl
2.3353e-01,-1.9630e+00,3.7263e+00,9.9860e+00,2.8163e+01,-6.3120e+03
2.1602e-01,-1.9548e+00,3.7264e+00,9.9896e+00,2.8163e+01,-6.3085e+03
2.3305e-01,-1.9206e+00,3.7271e+00,9.9717e+00,2.8169e+01,-6.2975e+03
2.0911e-01,-1.9248e+00,3.7260e+00,9.9914e+00,2.8162e+01,-6.2813e+03
2.3927e-01,-1.9547e+00,3.7270e+00,9.9797e+00,2.8164e+01,-6.3128e+03
2.2891e-01,-1.9828e+00,3.7271e+00,9.9745e+00,2.8161e+01,-6.3148e+03
2.1117e-01,-1.9953e+00,3.7265e+00,9.9938e+00,2.8163e+01,-6.2941e+03
2.4971e-01,-1.9170e+00,3.7274e+00,9.9583e+00,2.8164e+01,-6.3032e+03
2.4900e-01,-1.9827e+00,3.7260e+00,9.9937e+00,2.8158e+01,-6.2854e+03
2.4876e-01,-1.9654e+00,3.7284e+00,9.9851e+00,2.8166e+01,-6.3108e+03
2.2327e-01,-1.9983e+00,3.7280e+00,9.9985e+00,2.8163e+01,-6.3145e+03
2.0919e-01,-1.9982e+00,3.7274e+00,9.9604e+00,2.8163e+01,-6.2796e+03
2.3015e-01,-1.8356e+00,3.7269e+00,9.9689e+00,2.8162e+01,-6.3144e+03
2.2196e-01,-1.9574e+00,3.7264e+00,9.9909e+00,2.8165e+01,-6.3153e+03
2.2414e-01,-1.8917e+00,3.7264e+00,9.9947e+00,2.8164e+01,-6.3037e+03
2.4442e-01,-1.9818e+00,3.7257e+00,9.9776e+00,2.8157e+01,-6.3007e+03
2.3462e-01,-1.9683e+00,3.7264e+00,9.9969e+00,2.8168e+01,-6.2896e+03
2.1630e-01,-1.9000e+00,3.7299e+00,9.9908e+00,2.8169e+01,-6.3131e+03
2.2708e-01,-1.9548e+00,3.7269e+00,9.9670e+00,2.8168e+01,-6.3145e+03
2.4429e-01,-1.9602e+00,3.7287e+00,9.9862e+00,2.8166e+01,-6.3112e+03
2.3713e-01,-1.9923e+00,3.7286e+00,9.9891e+00,2.8167e+01,-6.3084e+03
2.0914e-01,-1.9631e+00,3.7259e+00,9.9955e+00,2.8164e+01,-6.3075e+03
2.0438e-01,-1.9579e+00,3.7269e+00,9.9827e+00,2.8166e+01,-6.3055e+03
2.1530e-01,-1.9882e+00,3.7269e+00,9.9823e+00,2.8162e+01,-6.3149e+03
2.1299e-01,-1.9930e+00,3.7263e+00,9.9855e+00,2.8162e+01,-6.3109e+03
2.2586e-01,-1.9586e+00,3.7269e+00,9.9820e+00,2.8166e+01,-6.3063e+03
